polo,texto
Boulevard Caseros,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **Británico**, Brasil 399"
Microcentro,"**Para conocer.** Adentro hay **22 lugares con reconocimiento**: 16 Bares Notables, 3 restaurantes icónicos y 3 pizzerías emblemáticas.

- *Bares Notables* — **36 Billares**, Av. de Mayo 1265 · **Café Tortoni**, Av. de Mayo 825 · **Claridge's**, Tucumán 535 · **Confitería Saint Moritz**, Esmeralda 894 · **Confitería Ideal**, Suipacha 384 · **El Querandí**, Perú 302 · **Florida Garden**, Florida 899 · **La Giralda**, Av. Corrientes 1453 · **La Puerto Rico**, Alsina 420 · **Le Caravelle**, Lavalle 726 · **Plaza Bar**, Florida 1005 *(cerrado en 2017 y todavía en el catálogo)* · **Paulin**, Sarmiento 635 · **Petit Colón**, Libertad 505 · **The New Brighton**, Sarmiento 645 · **Bar Bidou**, Av. Roque Sáenz Peña 858 · **Bar Iberia**, Av. de Mayo 1196
- *Restaurantes icónicos* — **El Imparcial**, Hipólito Yrigoyen 1201 · **Tancat**, Paraguay 645 · **Zum Edelweiss**, Libertad 431
- *Pizzerías emblemáticas* — **Guerrin**, Av. Corrientes 1368 · **Las Cuartetas**, Av. Corrientes 838 · **El Palacio de la Pizza**, Av. Corrientes 751"
Abasto,"**Para conocer.** Adentro hay **3 lugares con reconocimiento**: 2 Bares Notables y 1 pizzería emblemática.

- *Bares Notables* — **El Símbolo**, Av. Corrientes 3787 · **El Banderín**, Guardia Vieja 3601
- *Pizzerías emblemáticas* — **Pin Pun**, Av. Corrientes 3954"
Avenida Boedo,"**Para conocer.** Adentro hay **3 lugares con reconocimiento**: 2 Bares Notables y 1 pizzería emblemática.

- *Bares Notables* — **Café Margot**, Av. Boedo 857 · **Esquina Homero Manzi**, Av. San Juan 3601
- *Pizzerías emblemáticas* — **San Antonio**, Av. Juan de Garay 3602"
Devoto,"**Para conocer.** Adentro hay **3 lugares con reconocimiento**: 2 Bares Notables y 1 pizzería emblemática.

- *Bares Notables* — **Café de García**, Sanabria 3302 · **Stylo Café**, Fernández de Enciso 3934
- *Pizzerías emblemáticas* — **Gran Pizzería José**, Av. San Martín 6915"
Villa Urquiza,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **Café de la U**, Av. Triunvirato 4801"
La Paternal,"**Para conocer.** Adentro hay **3 lugares con reconocimiento**: 1 pizzería emblemática, 1 en la guía MICHELIN y 1 heladería histórica.

Entre ellos, uno con Bib Gourmand.

- *Pizzerías emblemáticas* — **Torino Norte**, Av. Juan B. Justo 3995
- *En la guía MICHELIN* — **MN Santa Inés**, Ávalos 360 · Bib Gourmand
- *Heladerías históricas* — **Santolin**, Av. San Martín 3185"
Villa Santa Rita,"**Para conocer.** Adentro hay **2 lugares con reconocimiento**: 2 Bares Notables. Son los del barrio y no los del polo, porque su borde todavía no está dibujado.

- *Bares Notables* — **Don Juan**, Camarones 2702 · **El Tokio**, Álvarez Jonte 3550"
Monte Castro,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 pizzería emblemática.

- *Pizzerías emblemáticas* — **El Fortín**, Av. Álvarez Jonte 5299 esquina Av. Lope de Vega"
Liniers · Mercado Andino,"**Para conocer.** En el entorno inmediato, a menos de trescientos metros, hay **1 lugar con reconocimiento**: 1 heladería histórica.

- *Heladerías históricas* — **El Ciervo**, Carhué 124"
Mataderos,"**Para conocer.** Adentro hay **3 lugares con reconocimiento**: 1 Bar Notable y 2 con protección patrimonial.

- *Bares Notables* — **Bar Oviedo**, Av. Lisandro de la Torre 2407
- *Con protección patrimonial* — **Bar Catedral Tango**, Timoteo Gordillo 2498 · **Edificios Administrativos del Antiguo Matadero**, Av. Lisandro de la Torre y Av. de los Corrales"
Balvanera · Once,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **Café de los Angelitos**, Av. Rivadavia 2100"
Almagro,"**Para conocer.** Adentro hay **5 lugares con reconocimiento**: 4 Bares Notables y 1 pizzería emblemática.

- *Bares Notables* — **El Símbolo**, Av. Corrientes 3787 · **El Banderín**, Guardia Vieja 3601 · **Las Violetas**, Av. Rivadavia 3899 · **La Orquídea**, Av. Corrientes 4101
- *Pizzerías emblemáticas* — **Pin Pun**, Av. Corrientes 3954"
Nueva Pompeya y Parque Patricios,"**Para conocer.** En el entorno inmediato, a menos de trescientos metros, hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **El Buzón**, Esquiú 1393"
Núñez,"**Para conocer.** Adentro hay **6 lugares con reconocimiento**: 1 Bar Notable, 4 en la guía MICHELIN y 1 en un ranking internacional. Son los del barrio y no los del polo, porque su borde todavía no está dibujado.

Entre ellos, uno con Bib Gourmand y uno en la lista de los 50 mejores de América Latina.

- *Bares Notables* — **La Escuela**, Manuela Pedraza 2803
- *En la guía MICHELIN* — **Evelia**, Campos Salles 1712 · **Garabato Bistró**, O'Higgins 3424 · Bib Gourmand · **Ness**, Grecia 3691 · **Piedra Pasillo Al Fondo**, Campos Salles 2145
- *En rankings internacionales* — **Ness**, Grecia 3691 · Latin America's 50 Best 2025 (51-100)"
Villa Ortúzar,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 pizzería emblemática.

- *Pizzerías emblemáticas* — **La Mezzetta**, Av. Álvarez Thomas 1321"
Retiro,"**Para conocer.** Adentro hay **11 lugares con reconocimiento**: 5 Bares Notables, 1 restaurante icónico, 1 pizzería emblemática, 3 en la guía MICHELIN y 1 en un ranking internacional. Son los del barrio y no los del polo, porque su borde todavía no está dibujado.

Entre ellos, uno con Bib Gourmand y uno en la lista de los 50 mejores de América Latina.

- *Bares Notables* — **Bárbaro**, Tres Sargentos 415 · **Confitería Saint Moritz**, Esmeralda 894 · **Florida Garden**, Florida 899 · **Plaza Bar**, Florida 1005 *(cerrado en 2017 y todavía en el catálogo)* · **Josephina's Café**, Guido 1532
- *Restaurantes icónicos* — **Tancat**, Paraguay 645
- *Pizzerías emblemáticas* — **El Cuartito**, Talcahuano 937
- *En la guía MICHELIN* — **Chuchú**, Avenida del Libertador 405 · Bib Gourmand · **Elena**, Posadas 1086/88 · **Presencia**, Montevideo 1789
- *En rankings internacionales* — **Florería Atlántico**, Arroyo 872 · The World's 50 Best Bars 2025 (51-100)"
Monserrat y Congreso,"**Para conocer.** Adentro hay **6 lugares con reconocimiento**: 5 Bares Notables y 1 restaurante icónico.

- *Bares Notables* — **36 Billares**, Av. de Mayo 1265 · **Café Tortoni**, Av. de Mayo 825 · **Bar Iberia**, Av. de Mayo 1196 · **London City**, Av. de Mayo 599 · **Cabildo de Buenos Aires**, Perú 86
- *Restaurantes icónicos* — **El Imparcial**, Hipólito Yrigoyen 1201"
Barracas · Av. Montes de Oca,"**Para conocer.** Adentro hay **2 lugares con reconocimiento**: 1 Bar Notable y 1 pizzería emblemática.

- *Bares Notables* — **El Progreso**, Av. Montes de Oca 1700
- *Pizzerías emblemáticas* — **Los Campeones**, Av. Montes de Oca 856"
"Barracas · Iriarte, California y Vieytes","**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **Los Laureles**, Av. Iriarte 2290"
La Boca · Almirante Brown y Necochea,"**Para conocer.** Adentro hay **3 lugares con reconocimiento**: 2 Bares Notables y 1 pizzería emblemática.

- *Bares Notables* — **Café Roma**, Olavarría 409 · **La Buena Medida**, Suárez 101 *(cerrada en octubre de 2025)*
- *Pizzerías emblemáticas* — **Banchero**, Suárez 396"
La Boca · Caminito y Vuelta de Rocha,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **La Perla**, Av. Don Pedro de Mendoza 1899"
Nueva Pompeya · eje Av. Sáenz,"**Para conocer.** En el entorno inmediato, a menos de trescientos metros, hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **El Buzón**, Esquiú 1393"
