enclave_id,establecimiento,calle,altura,rubro,origen_cocina,vigencia,vigencia_fecha,fuente,nota
E02,Peko Peko,Mendoza,1730,restaurante,japonesa,verificado_abierto,2025-04-14,idem,Complejo Via Viva.
E02,5 Onzas,Mendoza,1730,bazar,,verificado_abierto,2025-04-14,idem,Complejo Via Viva. No gastronomico.
E02,Cafe Registrado,Mendoza,1750,cafe de especialidad,,verificado_abierto,2024-06-26,Ohlala 26/06/2024,
E02,Miyaki Gyozas & Baos,Olazabal,1780,gyozas y baos,asiatica,verificado_abierto,2025-04-14,Buenos Aires Portal 14/04/2025,
E02,Orei,Echeverria,1677 local 8,ramen,japonesa,verificado_abierto,2024-06-26,Ohlala 26/06/2024,Pasaje Echeverria.
E02,Vina,Echeverria,1677 local 14,vinos y empanadas,argentina,verificado_abierto,2024-06-26,Ohlala 26/06/2024,Pasaje Echeverria.
E02,Gokana Omakase,Monroe,1625,omakase,japonesa,verificado_abierto,2025-04-14,Buenos Aires Portal 14/04/2025,
E02,Sachi | The Handroll House,F. D. Roosevelt,1702,handrolls,japonesa,verificado_abierto,2025-04-14,Buenos Aires Portal 14/04/2025,FUERA DEL POLIGONO.
E02,Asoc. Civil de los Taiwaneses en Argentina,Arribenos,2275,institucion,taiwanesa,verificado_abierto,2024-09-07,Forbes Argentina 07/09/2024,No gastronomico. Ancla institucional del componente taiwanes.
E02,Templo Chong Kuan,Montaneses,s/altura,templo budista,china,verificado_abierto,,GCBA Turismo,Inaugurado en 1988.
E02,Todos Contentos,Arribenos,2177,dim sum,china,dudoso_probablemente_abierto,2025-08,iProfesional 04/07/2020 (cierre); Forbes 07/09/2024 (operativo); ficha de resenas act. ago-2025,"CERRO EN JULIO DE 2020 tras mas de 35 anos, con 14 empleados. Vuelve a aparecer como operativo en 2024. Es el segundo caso El Tokio: cierre y reapertura sin que ningun listado lo registre."
E02,Palitos,Arribenos,2245 o 2241,restaurante,taiwanesa,dudoso,2017-02-16,La Nacion 16/02/2017 da 2245; comuna13caba da 2241,"DISCREPANCIA DE ALTURA SIN RESOLVER. Se registran las dos, no se elige."
E02,Resto Apu,Arribenos,2243,restaurante,taiwanesa,dudoso,2017-02-16,La Nacion 16/02/2017,
E02,Lotus Neo Thai,Arribenos,2265,restaurante,tailandesa,dudoso,2017-02-16,La Nacion 16/02/2017; MalevaMag 28/03/2014,UNICO TAILANDES CON ALTURA en todo el poligono.
E02,Lai Lai,Arribenos,2168,restaurante,china,dudoso,2017-02-16,La Nacion 16/02/2017; comuna13caba,
E02,Restaurante Su,Arribenos,2123,restaurante,china,dudoso,,comuna13caba.com.ar,
E02,Siempre Verde,Arribenos,2127,restaurante,china,dudoso,,comuna13caba.com.ar,
E02,Dashi,Arribenos,2302,restaurante,japonesa,dudoso,2017-02-16,La Nacion 16/02/2017,
E02,Buddha Ba,Arribenos,2288 esq. Mendoza,fusion asiatica,,dudoso,2017-02-16,La Nacion 2017; MalevaMag 2014,
E02,Break n' Cake,Arribenos,2299,cafe,,dudoso,2017-02-16,La Nacion 2017; MalevaMag 2014,
E02,Casa China 2,Arribenos,2163,supermercado,china,dudoso,2022-09-05,El Holandes Picante,No gastronomico.
E02,Ichiban,Arribenos,2233,supermercado,,dudoso,,El Holandes Picante,No gastronomico.
E02,Casa China,Arribenos,2263,supermercado,china,dudoso,,El Holandes Picante,No gastronomico.
E02,Fujisan,Mendoza,1650,restaurante,japonesa / nikkei,dudoso,2021-08-26,El Cronista 26/08/2021,"Declarado 'Sitio de Interes Cultural de la Ciudad' por el GCBA: dato factual, NO computa como reconocimiento externo. VER ALERTA EL CRONISTA 24/09/2025."
E02,Asia Oriental,Mendoza,1650,supermercado,,dudoso,,El Holandes Picante,No gastronomico.
E02,China Rose,Mendoza,1689,restaurante,china,dudoso,2021-08-26,La Nacion 2017; El Cronista 26/08/2021,VER ALERTA EL CRONISTA 24/09/2025.
E02,Tina & Co (Bio Market),Mendoza,1678,dietetica,,dudoso,2014-03-28,MalevaMag 28/03/2014,No gastronomico.
E02,Iglesia Presbiteriana Sin Heng,Mendoza,1660,culto,,dudoso,,buenosaires123,No gastronomico.
E02,Hua Fu Chen,Olazabal,1673,supermercado,china,dudoso,,El Holandes Picante,No gastronomico.
E02,Lucumma,Olazabal,1679,restaurante,peruana,dudoso,2017-02-16,La Nacion 2017; comuna13caba,No asiatico DENTRO del poligono.
E02,Dogg,Blanco Encalada,1661,hamburguesas,americana,dudoso,2021-08-26,El Cronista 26/08/2021,VER ALERTA EL CRONISTA 24/09/2025.
E02,Las Carnitas,Monroe,1785,parrilla,argentina,dudoso,2021-08-26,El Cronista 26/08/2021,No asiatico DENTRO del poligono. VER ALERTA EL CRONISTA 24/09/2025.
E02,Garbis,Monroe,1799,restaurante,arabe-armenia,dudoso,2021-08-26,El Cronista 26/08/2021,No asiatico DENTRO del poligono. VER ALERTA EL CRONISTA 24/09/2025.
E02,Hong Kong Style,Montaneses,2149,restaurante,china (cantonesa),cerrado,2020-05,iProfesional 04/07/2020,Cerro en mayo de 2020 tras 20 anos. SIN ninguna evidencia de reapertura posterior.
E02,Dragon Porteno,Arribenos,2137,restaurante,china,cerrado,2020-07-04,iProfesional 04/07/2020,Cerro con 8 despidos. SIN evidencia de reapertura.
