polo_id,nombre,comuna,origen,vias_abiertas,veredicto_en_disco,fuente_de_las_vias,C1_umbral,C2_independencia,C3_unidad_espacial,categoria_por_criterio,motivo,perimetro
Z35,Balvanera · Once,3,zona nueva,B+D+F,PENDIENTE,seis_vias_ronda_2.csv (el corpus declara 2 sin detallar cual cae),cumple,cumple,cumple,polo admitido,"RECONCILIACION: el disco lo deja pendiente porque las dos vias que lo decidirian (A y C) estan detras de padrones internos. El criterio no exige esas dos: B (Cafe de los Angelitos, Bar Notable verificado abierto a 06/2026) y D (especializacion kosher documentada) abren con origenes independientes y con unidad espacial evidente. DISCREPANCIA ABIERTA: ronda 2 cuenta 3 vias y el corpus 2.",por trazar
Z37,Almagro,5,zona nueva,A+B+D+E+F,ENTRA,fichas_corpus_polos.csv + ronda_13/via_C_almagro.csv,cumple,cumple,cumple,polo admitido,"CINCO vias, no seis: la via C se cerro por medicion (cero mercados o patios dentro de las 405 ha del barrio; el unico candidato era una feria itinerante). El corpus todavia dice 6: ver ERR-16.",por trazar
Z38,Parque Chacabuco,7,zona nueva,ninguna,NO ENTRA,seis_vias_ronda_2.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,Cero en las seis vias. La unica cobertura hallada ordena bodegones por puntaje de Google Maps y los ubica dispersos en cuatro sectores.,no corresponde
Z39,Parque Avellaneda,9,zona nueva,A+B+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cinco vias.,por trazar
Z39b,Baek-ku · Barrio Coreano,7,zona nueva · subzona de Z39 con ficha propia,A+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Cuatro vias. ES SUBZONA DE Z39: cuenta una vez en superficie y locales, dos veces en el indice de fichas.",por trazar
Z40,Nueva Pompeya y Parque Patricios,4,zona nueva,A+B+C+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Seis vias. PENDIENTE SENALADO EN RONDA 13: su via C no fue reauditada contra la decision 1 y podria caer a cinco. No cambia su admision.,por trazar
Z41,Nunez,13,zona nueva,A+B+C+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cinco vias y seis grupos de via E.,por trazar
Z42,Coghlan,12,zona nueva,C+E,ENTRA,fichas_corpus_polos.csv,cumple,NO CUMPLE,cumple,zona en estudio,"La propia ficha lo dice: la via C depende de un solo local relevado por LA MISMA FUENTE que sostiene la mitad de la via E. Descontado el origen compartido (Time Out 02/2026), queda la via E con un solo grupo de 2022. Sale de polos y queda en estudio hasta que aparezca un origen independiente.",por trazar
Z43,Colegiales,13,zona nueva,A+B+C+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Seis vias. Solapamiento fuerte con R19 y R09: el reparto es geometrico, no de admision.",por trazar
Z44,Villa Ortuzar,15,zona nueva,B+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias.,por trazar
Z45,Belgrano R y Barrancas,13,zona nueva,B,NO ENTRA COMO ZONA AUTONOMA,seis_vias_ronda_3_norte.csv,NO CUMPLE,no evaluada,NO CUMPLE,zona evaluada sin admision,"Una sola via y solapamiento total: R05 absorbe Barrancas, Barrio Chino, Pasaje Echeverria y Cabildo; R16 absorbe el flanco oeste de Belgrano R. No hay objeto propio que delimitar.",no corresponde
Z46,Retiro,1,zona nueva · absorbe R18,A+B+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cinco vias. Absorbe R18 Esmeralda-Paraguay con sus cuatro Bares Notables.,por trazar
Z47,Monserrat y Congreso,1 (con derrame a 3),zona nueva · fusiona Z36,A+B+D+F,ENTRA,seis_vias_Z47_Z48_Z49.csv,cumple,cumple,cumple,polo admitido,Cuatro vias. La via C se cerro por ERR-09 (solo FIAB). Nueve de los noventa Bares Notables de la Ciudad estan aca.,por trazar
Z48,San Cristobal,3,zona nueva,B,PENDIENTE,seis_vias_Z47_Z48_Z49.csv,NO CUMPLE,NO CUMPLE,NO CUMPLE,zona evaluada sin admision,"Falla las tres condiciones. Una sola via; su unico grupo documental es una nota replicada por dos medios del mismo grupo editorial con identificador identico; y los dos anclajes estan a seis cuadras entre si sobre ejes distintos: existen las instituciones, no hay concentracion espacial. PUERTA CERRADA DECLARADA: la guia impresa Time Out 2025 podria dar un segundo grupo; el margen es de un solo grupo.",no corresponde
Z49,Villa Soldati,8,zona nueva,ninguna,NO ENTRA,fichas_corpus_polos.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,"Cero en las seis vias, con los ceros de B y C verificados uno por uno contra tres padrones oficiales. La infraestructura alimentaria documentada del barrio es asistencial, no comercial.",no corresponde
Z50,Barracas · Av. Montes de Oca,4,zona nueva · sur,A+B+E+F,ENTRA,seis_vias_sur_consolidado.csv + ronda_14/montes_de_oca_seis_vias.csv,cumple,cumple,cumple,polo admitido,"Cuatro vias, confirmadas por la medicion del repositorio (A, B y F sobre el poligono; E documental). Es el polo 42 del atlas y entro por la ronda 14 sin que se lo vinculara con su id del sur.",en revision
Z51,"Barracas · Iriarte, California y Vieytes",4,zona nueva · sur,A+B+E,ENTRA,seis_vias_sur_consolidado.csv,cumple,cumple,cumple,polo admitido,"ORFANA: cumple el criterio y hoy NO esta en el atlas. Ancla El Puentecito (Vieytes 1895), declarado de Interes Cultural en 2018. Barracas tiene tres Notables, no uno. REPARTO A RESOLVER con R11 y Z50 antes de publicar.",por trazar
Z52,La Boca · Almirante Brown y Necochea,4,zona nueva · sur,B+F,ENTRA,seis_vias_sur_consolidado.csv,cumple,cumple,cumple,polo admitido,"ORFANA: cumple el criterio y hoy NO esta en el atlas. Cinco anclas (Banchero, El Portuario, Cafe Roma, El Estano 1880, Boca a Boca) y la delimitacion mas precisa de todo el sur: 340 metros lineales, tomados de obra publica en curso de enero de 2026. Su via A esta cerrada CON EVIDENCIA EN CONTRA, no por falta de busqueda.",por trazar
Z53,La Boca · Caminito y Vuelta de Rocha,4,zona nueva · sur,B+D,ENTRA,seis_vias_sur_consolidado.csv,cumple,cumple,cumple,polo admitido,ORFANA: cumple el criterio y hoy NO esta en el atlas.,por trazar
Z54,Nueva Pompeya · eje Av. Saenz,4,zona nueva · sur,B+C,ENTRA,seis_vias_sur_consolidado.csv,cumple,cumple,cumple,polo admitido,"ORFANA: cumple el criterio y hoy NO esta en el atlas. C: el Mercado de Pompeya (Av. Saenz 790), uno de los cuatro mercados municipales que quedan en la Ciudad y el unico de la Comuna 4. REPARTO A RESOLVER con Z40, que ya cubre Nueva Pompeya.",por trazar
Z55,Villa Soldati · Av. Mariano Acosta,8,zona nueva · sur,ninguna (via C en contradiccion),CONTRADICCION A RESOLVER,seis_vias_sur_consolidado.csv,NO CUMPLE,no evaluada,no evaluada,zona en estudio,DOS RONDAS PROPIAS DAN RESULTADOS OPUESTOS y nunca se cerro. La ronda del sur documento una feria callejera de 840 metros sobre Av. Mariano Acosta con comida al paso; la corrida de las seis vias encontro dos FIAB distintas y ninguna es esa. De esto depende que la Comuna 8 tenga o no tenga un polo.,por trazar
Z56,Villa Lugano y Villa Riachuelo,8,zona nueva · sur,ninguna,NO ENTRA,seis_vias_sur_consolidado.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,"Cero en las seis vias, buscado por cinco caminos distintos. Falla exactamente la misma condicion que R22 Villa Pueyrredon: la diferencia entre las dos no es de evidencia, es que una estaba publicada y la otra no. Por eso la regla de permanencia las trata distinto y lo dice.",no corresponde
