polo,texto
Federico Lacroze,"**Cuántos y cuán juntos.** 532 locales en 303,28 hectáreas: **1,75 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,1 %** a veinte metros, 4,9 % a cuarenta, 8,1 % a sesenta, 11,8 % a ochenta y 55,5 % a ciento veinte."
García del Río,"**Cuántos y cuán juntos.** 102 locales en 61,0 hectáreas: **1,67 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **4,9 %** a veinte metros, 5,9 % a cuarenta, 10,8 % a sesenta, 46,1 % a ochenta y 64,7 % a ciento veinte."
La Paternal,"**Cuántos y cuán juntos.** 307 locales en 385,34 hectáreas: **0,8 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,3 %** a veinte metros, 3,6 % a cuarenta, 7,5 % a sesenta, 10,1 % a ochenta y 27,0 % a ciento veinte."
Flores · Avellaneda y Pasaje Ruperto Godoy,"**Cuántos y cuán juntos.** 107 locales en 39,51 hectáreas: **2,71 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **10,3 %** a veinte metros, 39,3 % a cuarenta, 42,1 % a sesenta, 54,2 % a ochenta y 98,1 % a ciento veinte."
Villa Santa Rita,"**Cuántos y cuán juntos.** 182 locales en 215,47 hectáreas: **0,84 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **3,8 %** a veinte metros, 7,1 % a cuarenta, 7,1 % a sesenta, 19,8 % a ochenta y 23,1 % a ciento veinte. **Las dos cifras son del barrio de Villa Santa Rita y no del polo**, porque su borde todavía no está dibujado."
Monte Castro,"**Cuántos y cuán juntos.** 69 locales en 28,73 hectáreas: **2,4 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **7,2 %** a veinte metros, 17,4 % a cuarenta, 33,3 % a sesenta, 39,1 % a ochenta y 56,5 % a ciento veinte."
Villa Luro,"**Cuántos y cuán juntos.** 41 locales en 13,7 hectáreas: **2,99 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **9,8 %** a veinte metros, 29,3 % a cuarenta, 43,9 % a sesenta, 48,8 % a ochenta y 100,0 % a ciento veinte."
Liniers · Mercado Andino,"**Cuántos y cuán juntos.** 63 locales en 7,0 hectáreas: **9,0 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **17,5 %** a veinte metros, 41,3 % a cuarenta, 98,4 % a sesenta, 100,0 % a ochenta y 100,0 % a ciento veinte."
Mataderos,"**Cuántos y cuán juntos.** 17 locales en 43,99 hectáreas: **0,39 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **11,8 %** a veinte metros, 76,5 % a cuarenta, 76,5 % a sesenta, 100,0 % a ochenta y 100,0 % a ciento veinte. **El borde de Mataderos es tentativo**, así que las dos cifras se leen como una primera aproximación y no como la medida del polo."
Balvanera · Once,"**Cuántos y cuán juntos.** 154 locales en 44,75 hectáreas: **3,44 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **3,2 %** a veinte metros, 13,0 % a cuarenta, 35,1 % a sesenta, 40,3 % a ochenta y 100,0 % a ciento veinte."
Almagro,"**Cuántos y cuán juntos.** 207 locales en 60,9 hectáreas: **3,4 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **3,9 %** a veinte metros, 9,7 % a cuarenta, 20,3 % a sesenta, 57,5 % a ochenta y 63,8 % a ciento veinte."
Parque Avellaneda,"**Cuántos y cuán juntos.** 11 locales en 75,26 hectáreas: **0,15 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **27,3 %** a veinte metros, 27,3 % a cuarenta, 45,5 % a sesenta, 45,5 % a ochenta y 54,5 % a ciento veinte."
Baek-ku · Barrio Coreano,"**Cuántos y cuán juntos.** 38 locales en 34,86 hectáreas: **1,09 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **10,5 %** a veinte metros, 42,1 % a cuarenta, 57,9 % a sesenta, 68,4 % a ochenta y 76,3 % a ciento veinte."
Nueva Pompeya y Parque Patricios,"**Cuántos y cuán juntos.** 112 locales en 69,06 hectáreas: **1,62 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **4,5 %** a veinte metros, 8,0 % a cuarenta, 17,9 % a sesenta, 18,8 % a ochenta y 53,6 % a ciento veinte."
Núñez,"**Cuántos y cuán juntos.** 494 locales en 442,64 hectáreas: **1,12 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,0 %** a veinte metros, 3,2 % a cuarenta, 5,9 % a sesenta, 13,6 % a ochenta y 74,3 % a ciento veinte. **Las dos cifras son del barrio de Nuñez y no del polo**, porque su borde todavía no está dibujado."
Colegiales,"**Cuántos y cuán juntos.** 441 locales en 229,08 hectáreas: **1,93 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **1,8 %** a veinte metros, 6,1 % a cuarenta, 10,2 % a sesenta, 25,4 % a ochenta y 92,3 % a ciento veinte. **Las dos cifras son del barrio de Colegiales y no del polo**: el contorno que esta página usa coincide con el polígono del barrio, y todavía no está dibujado el recorte más chico de adentro."
Villa Ortúzar,"**Cuántos y cuán juntos.** 69 locales en 34,39 hectáreas: **2,01 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **8,7 %** a veinte metros, 21,7 % a cuarenta, 23,2 % a sesenta, 39,1 % a ochenta y 82,6 % a ciento veinte."
Retiro,"**Cuántos y cuán juntos.** 597 locales en 451,52 hectáreas: **1,32 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,0 %** a veinte metros, 24,8 % a cuarenta, 50,1 % a sesenta, 56,1 % a ochenta y 93,3 % a ciento veinte. **Las dos cifras son del barrio de Retiro y no del polo**, porque su borde todavía no está dibujado."
Monserrat y Congreso,"**Cuántos y cuán juntos.** 133 locales en 13,77 hectáreas: **9,66 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **9,0 %** a veinte metros, 36,1 % a cuarenta, 74,4 % a sesenta, 74,4 % a ochenta y 74,4 % a ciento veinte."
Barracas · Av. Montes de Oca,"**Cuántos y cuán juntos.** 84 locales en 50,62 hectáreas: **1,66 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **3,6 %** a veinte metros, 10,7 % a cuarenta, 21,4 % a sesenta, 45,2 % a ochenta y 76,2 % a ciento veinte."
"Barracas · Iriarte, California y Vieytes","**Cuántos y cuán juntos.** 12 locales en 5,83 hectáreas: **2,06 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **50,0 %** a veinte metros, 50,0 % a cuarenta, 83,3 % a sesenta, 91,7 % a ochenta y 100,0 % a ciento veinte."
La Boca · Almirante Brown y Necochea,"**Cuántos y cuán juntos.** 21 locales en 16,17 hectáreas: **1,30 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **23,8 %** a veinte metros, 28,6 % a cuarenta, 47,6 % a sesenta, 52,4 % a ochenta y 71,4 % a ciento veinte."
La Boca · Caminito y Vuelta de Rocha,"**Cuántos y cuán juntos.** 37 locales en 4,15 hectáreas: **8,92 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **40,5 %** a veinte metros, 86,5 % a cuarenta, 97,3 % a sesenta, 100,0 % a ochenta y 100,0 % a ciento veinte."
Nueva Pompeya · eje Av. Sáenz,"**Cuántos y cuán juntos.** 52 locales en 39,39 hectáreas: **1,32 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **5,8 %** a veinte metros, 15,4 % a cuarenta, 21,2 % a sesenta, 40,4 % a ochenta y 78,8 % a ciento veinte."
