direccion_original,direccion_consulta,direccion_candidatas,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,comuna_fuente,coincide_comuna,precision,estado,calidad_geo,criterio_seleccion,fecha_consulta
VARELA AV. 791,VARELA 791,VARELA 791 | AV VARELA 791 | AVENIDA VARELA 791,"VARELA AV. 791, CABA",-34.638562,-58.459706,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 9383,RIVADAVIA 9383,RIVADAVIA 9383 | AV RIVADAVIA 9383 | AVENIDA RIVADAVIA 9383,"RIVADAVIA AV. 9383, CABA",-34.636892,-58.496304,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN PEDRITO AV. 395,SAN PEDRITO 395,SAN PEDRITO 395 | AV SAN PEDRITO 395 | AVENIDA SAN PEDRITO 395,"SAN PEDRITO AV. 395, CABA",-34.635396,-58.46766,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"FALCON, RAMON L.,CNEL. 1975",FALCON 1975,FALCON 1975 | RAMON L CORONEL FALCON 1975,"FALCON, RAMON L.,CNEL. 1975, CABA",-34.628339,-58.456853,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AZARA 234,AZARA 234,AZARA 234,"AZARA 234, CABA",-34.634241,-58.372153,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CIUDAD DE LA PAZ 2701,CIUDAD DE LA PAZ 2701,CIUDAD DE LA PAZ 2701,"CIUDAD DE LA PAZ 2701, CABA",-34.557233,-58.462231,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MENDOZA AV. 5305,MENDOZA 5305,MENDOZA 5305 | AV MENDOZA 5305 | AVENIDA MENDOZA 5305,"MENDOZA AV. 5305, CABA",-34.578336,-58.486041,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ THOMAS AV. 2427,ALVAREZ THOMAS 2427,ALVAREZ THOMAS 2427 | AV ALVAREZ THOMAS 2427 | AVENIDA ALVAREZ THOMAS 2427,"ALVAREZ THOMAS AV. 2427, CABA",-34.576897,-58.475887,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"GOYENA, PEDRO AV. 835",GOYENA 835,GOYENA 835 | PEDRO GOYENA 835 | AV PEDRO GOYENA 835,"GOYENA, PEDRO AV. 835, CABA",-34.626247,-58.439673,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VALLE 509,VALLE 509,VALLE 509,"VALLE 509, CABA",-34.624429,-58.434822,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"SAENZ PEÑA, LUIS, PRES. 517",SAENZ PENA 517,SAENZ PENA 517 | LUIS PRES SAENZ PENA 517,"SAENZ PEÑA, LUIS, PRES. 517, CABA",-34.614799,-58.387536,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ARTIGAS, JOSE GERVASIO, GRAL. 1553",ARTIGAS 1553,ARTIGAS 1553 | JOSE GERVASIO GENERAL ARTIGAS 1553,"ARTIGAS, JOSE GERVASIO, GRAL. 1553, CABA",-34.613158,-58.472716,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CHILE 561,CHILE 561,CHILE 561,"CHILE 561, CABA",-34.616035,-58.374049,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
NAZCA 5260,NAZCA 5260,NAZCA 5260,"NAZCA 5260, CABA",-34.581828,-58.506297,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ THOMAS AV. 1355,ALVAREZ THOMAS 1355,ALVAREZ THOMAS 1355 | AV ALVAREZ THOMAS 1355 | AVENIDA ALVAREZ THOMAS 1355,"ALVAREZ THOMAS AV. 1355, CABA",-34.57822,-58.461101,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LOPE DE VEGA AV. 2855,LOPE DE VEGA 2855,LOPE DE VEGA 2855 | AV LOPE DE VEGA 2855 | AVENIDA LOPE DE VEGA 2855,"LOPE DE VEGA AV. 2855, CABA",-34.61582,-58.522605,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SUPERI 1399,SUPERI 1399,SUPERI 1399,"SUPERI 1399, CABA",-34.574416,-58.459256,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
OTAMENDI 23,OTAMENDI 23,OTAMENDI 23,"OTAMENDI 23, CABA",-34.61587,-58.431687,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"LAMARCA, EMILIO 2135",LAMARCA 2135,LAMARCA 2135 | EMILIO LAMARCA 2135,"LAMARCA, EMILIO 2135, CABA",-34.613017,-58.493402,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN JUAN AV. 4243,SAN JUAN 4243,SAN JUAN 4243 | AV SAN JUAN 4243 | AVENIDA SAN JUAN 4243,"SAN JUAN AV. 4243, CABA",-34.626611,-58.424714,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
NAZCA AV. 2468,NAZCA 2468,NAZCA 2468 | AV NAZCA 2468 | AVENIDA NAZCA 2468,"NAZCA AV. 2468, CABA",-34.607229,-58.485008,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PATRON 5689,PATRON 5689,PATRON 5689,"PATRON 5689, CABA",-34.641969,-58.508733,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CORDOBA AV. 2550,CORDOBA 2550,CORDOBA 2550 | AV CORDOBA 2550 | AVENIDA CORDOBA 2550,"CORDOBA AV. 2550, CABA",-34.598914,-58.403049,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ACASSUSO 6492,ACASSUSO 6492,ACASSUSO 6492,"ACASSUSO 6492, CABA",-34.649177,-58.514435,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BALBIN, RICARDO, DR. AV. 3658",BALBIN 3658,BALBIN 3658 | RICARDO BALBIN 3658 | AV RICARDO BALBIN 3658,"BALBIN, RICARDO, DR. AV. 3658, CABA",-34.555648,-58.482292,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
NECOCHEA 842,NECOCHEA 842,NECOCHEA 842,"NECOCHEA 842, CABA",-34.631365,-58.359494,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SEGUROLA AV. 1438,SEGUROLA 1438,SEGUROLA 1438 | AV SEGUROLA 1438 | AVENIDA SEGUROLA 1438,"SEGUROLA AV. 1438, CABA",-34.622765,-58.496522,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TRIUNVIRATO AV. 3551,TRIUNVIRATO 3551,TRIUNVIRATO 3551 | AV TRIUNVIRATO 3551 | AVENIDA TRIUNVIRATO 3551,"TRIUNVIRATO AV. 3551, CABA",-34.582306,-58.471611,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BOEDO AV. 433,BOEDO 433,BOEDO 433 | AV BOEDO 433 | AVENIDA BOEDO 433,"BOEDO AV. 433, CABA",-34.617763,-58.416894,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"DIAZ, AVELINO 1201",DIAZ 1201,DIAZ 1201 | AVELINO DIAZ 1201,"DIAZ, AVELINO 1201, CABA",-34.636682,-58.436805,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BARCO CENTENERA del 2966,BARCO CENTENERA DEL 2966,BARCO CENTENERA DEL 2966,"BARCO CENTENERA DEL 2966, CABA",-34.650971,-58.423965,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DIRECTORIO AV. 307,DIRECTORIO 307,DIRECTORIO 307 | AV DIRECTORIO 307 | AVENIDA DIRECTORIO 307,"DIRECTORIO AV. 307, CABA",-34.627549,-58.431104,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BERMUDEZ 1390,BERMUDEZ 1390,BERMUDEZ 1390,"BERMUDEZ 1390, CABA",-34.625018,-58.502279,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PERGAMINO 3498,PERGAMINO 3498,PERGAMINO 3498,"PERGAMINO 3498, CABA",-34.66499,-58.441406,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MOM 2401,MOM 2401,MOM 2401,"MOM 2401, CABA",-34.646951,-58.431886,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PARAGUAY 3099,PARAGUAY 3099,PARAGUAY 3099,"PARAGUAY 3099, CABA",-34.595122,-58.410758,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ZAPIOLA 4782,ZAPIOLA 4782,ZAPIOLA 4782,"ZAPIOLA 4782, CABA",-34.542811,-58.479835,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CASEROS AV. 2984,CASEROS 2984,CASEROS 2984 | AV CASEROS 2984 | AVENIDA CASEROS 2984,"CASEROS AV. 2984, CABA",-34.637054,-58.40487,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DEHEZA 4813,DEHEZA 4813,DEHEZA 4813,"DEHEZA 4813, CABA",-34.551716,-58.496341,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"SALGUERO, JERONIMO 3048",SALGUERO 3048,SALGUERO 3048 | JERONIMO SALGUERO 3048,"SALGUERO, JERONIMO 3048, CABA",-34.577382,-58.405716,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VIEL 1443,VIEL 1443,VIEL 1443,"VIEL 1443, CABA",-34.633777,-58.429297,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TARIJA 3667,TARIJA 3667,TARIJA 3667,"TARIJA 3667, CABA",-34.628952,-58.416555,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ JONTE AV. 5227,ALVAREZ JONTE 5227,ALVAREZ JONTE 5227 | AV ALVAREZ JONTE 5227 | AVENIDA ALVAREZ JONTE 5227,"ALVAREZ JONTE AV. 5227, CABA",-34.623414,-58.510729,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BOYACA 1998,BOYACA 1998,BOYACA 1998,"BOYACA 1998, CABA",-34.607448,-58.470858,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAENZ AV. 102,SAENZ 102,SAENZ 102 | AV SAENZ 102 | AVENIDA SAENZ 102,"SAENZ AV. 102, CABA",-34.640528,-58.415978,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CARRIL, SALVADOR MARIA DEL AV. 2501",CARRIL 2501,CARRIL 2501 | SALVADOR MARIA DEL CARRIL 2501 | AV SALVADOR MARIA DEL CARRIL 2501,"CARRIL, SALVADOR MARIA DEL AV. 2501, CABA",-34.587894,-58.493799,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CARRERAS, SANTIAGO de las 57",CARRERAS 57,CARRERAS 57 | SANTIAGO DE LAS CARRERAS 57,"CARRERAS, SANTIAGO DE LAS 57, CABA",-34.636499,-58.489273,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
HIDALGO 628,HIDALGO 628,HIDALGO 628,"HIDALGO 628, CABA",-34.612201,-58.440683,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BONIFACIO, JOSE 2208",BONIFACIO 2208,BONIFACIO 2208 | JOSE BONIFACIO 2208,"BONIFACIO, JOSE 2208, CABA",-34.631548,-58.458333,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIESTRA AV. 5398,RIESTRA 5398,RIESTRA 5398 | AV RIESTRA 5398 | AVENIDA RIESTRA 5398,"RIESTRA AV. 5398, CABA",-34.674386,-58.472036,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LAVALLEJA 1094,LAVALLEJA 1094,LAVALLEJA 1094,"LAVALLEJA 1094, CABA",-34.596739,-58.428011,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
FERNANDEZ DE ENCISO 3910,FERNANDEZ DE ENCISO 3910,FERNANDEZ DE ENCISO 3910,"FERNANDEZ DE ENCISO 3910, CABA",-34.601595,-58.512691,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SALTA 1998,SALTA 1998,SALTA 1998,"SALTA 1998, CABA",-34.630532,-58.382628,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALBERDI, JUAN BAUTISTA AV. 4744",ALBERDI 4744,ALBERDI 4744 | JUAN BAUTISTA ALBERDI 4744 | AV JUAN BAUTISTA ALBERDI 4744,"ALBERDI, JUAN BAUTISTA AV. 4744, CABA",-34.643771,-58.492794,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
OLLEROS 3891,OLLEROS 3891,OLLEROS 3891,"OLLEROS 3891, CABA",-34.584683,-58.452324,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MOSCONI GENERAL AV. 3906,MOSCONI 3906,MOSCONI 3906 | AV MOSCONI 3906 | AVENIDA MOSCONI 3906,"MOSCONI GENERAL AV. 3906, CABA",-34.594527,-58.515492,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SALTA 817,SALTA 817,SALTA 817,"SALTA 817, CABA",-34.617915,-58.383061,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SARMIENTO 2893,SARMIENTO 2893,SARMIENTO 2893,"SARMIENTO 2893, CABA",-34.606581,-58.407113,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ESTADOS UNIDOS 3501,ESTADOS UNIDOS 3501,ESTADOS UNIDOS 3501,"ESTADOS UNIDOS 3501, CABA",-34.622246,-58.415117,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SANABRIA 2600,SANABRIA 2600,SANABRIA 2600,"SANABRIA 2600, CABA",-34.61234,-58.50538,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MURILLO 956,MURILLO 956,MURILLO 956,"MURILLO 956, CABA",-34.598467,-58.446249,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TRIUNVIRATO AV. 4202,TRIUNVIRATO 4202,TRIUNVIRATO 4202 | AV TRIUNVIRATO 4202 | AVENIDA TRIUNVIRATO 4202,"TRIUNVIRATO AV. 4202, CABA",-34.578337,-58.480351,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GODOY CRUZ 3255,GODOY CRUZ 3255,GODOY CRUZ 3255,"GODOY CRUZ 3255, CABA",-34.573097,-58.4209,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ANDALGALA 1064,ANDALGALA 1064,ANDALGALA 1064,"ANDALGALA 1064, CABA",-34.650742,-58.521411,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CHILAVERT, MARTINIANO, CORONEL 6372",CHILAVERT 6372,CHILAVERT 6372 | MARTINIANO CORONEL CHILAVERT 6372,"CHILAVERT, MARTINIANO, CORONEL 6372, CABA",-34.685765,-58.475399,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ROJAS 137,ROJAS 137,ROJAS 137,"ROJAS 137, CABA",-34.618817,-58.44211,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MEDINA 713,MEDINA 713,MEDINA 713,"MEDINA 713, CABA",-34.643174,-58.485502,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SANTA FE AV. 4012,SANTA FE 4012,SANTA FE 4012 | AV SANTA FE 4012 | AVENIDA SANTA FE 4012,"SANTA FE AV. 4012, CABA",-34.582251,-58.420351,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GAONA AV. 3767,GAONA 3767,GAONA 3767 | AV GAONA 3767 | AVENIDA GAONA 3767,"GAONA AV. 3767, CABA",-34.622196,-58.477637,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ARTIGAS, JOSE GERVASIO, GRAL. 1744",ARTIGAS 1744,ARTIGAS 1744 | JOSE GERVASIO GENERAL ARTIGAS 1744,"ARTIGAS, JOSE GERVASIO, GRAL. 1744, CABA",-34.611284,-58.474352,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"FALCON, RAMON L.,CNEL. AV. 5602",FALCON 5602,FALCON 5602 | RAMON L CORONEL FALCON 5602 | AV RAMON L CORONEL FALCON 5602,"FALCON, RAMON L.,CNEL. AV. 5602, CABA",-34.639398,-58.505776,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"FALCON, RAMON L.,CNEL. 4203",FALCON 4203,FALCON 4203 | RAMON L CORONEL FALCON 4203,"FALCON, RAMON L.,CNEL. 4203, CABA",-34.63628,-58.486454,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BEIRO, FRANCISCO AV. 4695",BEIRO 4695,BEIRO 4695 | FRANCISCO BEIRO 4695 | AV FRANCISCO BEIRO 4695,"BEIRO, FRANCISCO AV. 4695, CABA",-34.608812,-58.51672,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DE LOS CONSTITUYENTES AV. 4666,DE LOS CONSTITUYENTES 4666,DE LOS CONSTITUYENTES 4666 | AV DE LOS CONSTITUYENTES 4666 | AVENIDA DE LOS CONSTITUYENTES 4666,"DE LOS CONSTITUYENTES AV. 4666, CABA",-34.58118,-58.493161,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN MARTIN AV. 4162,SAN MARTIN 4162,SAN MARTIN 4162 | AV SAN MARTIN 4162 | AVENIDA SAN MARTIN 4162,"ESCALADA DE SAN MARTIN, R. 4162, CABA",-34.624565,-58.491422,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ARTIGAS, JOSE GERVASIO, GRAL. 1098",ARTIGAS 1098,ARTIGAS 1098 | JOSE GERVASIO GENERAL ARTIGAS 1098,"ARTIGAS, JOSE GERVASIO, GRAL. 1098, CABA",-34.618034,-58.469042,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"RIVERA, PEDRO I., Dr. 3245",RIVERA 3245,RIVERA 3245 | PEDRO I RIVERA 3245,"RIVERA, FRUCTUOSO, GENERAL 3245, CABA",-34.662715,-58.442622,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
FOREST AV. 928,FOREST 928,FOREST 928 | AV FOREST 928 | AVENIDA FOREST 928,"FOREST AV. 928, CABA",-34.581691,-58.457247,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN MARTIN AV. 7305,SAN MARTIN 7305,SAN MARTIN 7305 | AV SAN MARTIN 7305 | AVENIDA SAN MARTIN 7305,"SAN MARTIN AV. 7305, CABA",-34.589909,-58.516728,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CASTRO, EMILIO AV. 5266",CASTRO 5266,CASTRO 5266 | EMILIO CASTRO 5266 | AV EMILIO CASTRO 5266,"CASTRO, EMILIO AV. 5266, CABA",-34.644198,-58.498664,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"OROÑO, NICASIO 2302",ORONO 2302,ORONO 2302 | NICASIO ORONO 2302,"OROÑO, NICASIO 2302, CABA",-34.599933,-58.460346,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ASAMBLEA AV. 266,ASAMBLEA 266,ASAMBLEA 266 | AV ASAMBLEA 266 | AVENIDA ASAMBLEA 266,"ASAMBLEA AV. 266, CABA",-34.631843,-58.429305,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"DIAZ, AVELINO 548",DIAZ 548,DIAZ 548 | AVELINO DIAZ 548,"DIAZ, AVELINO 548, CABA",-34.63545,-58.428039,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ACASSUSO 6600,ACASSUSO 6600,ACASSUSO 6600,"ACASSUSO 6600, CABA",-34.649748,-58.515074,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ASAMBLEA AV. 846,ASAMBLEA 846,ASAMBLEA 846 | AV ASAMBLEA 846 | AVENIDA ASAMBLEA 846,"ASAMBLEA AV. 846, CABA",-34.634834,-58.436386,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CACHIMAYO 291,CACHIMAYO 291,CACHIMAYO 291,"CACHIMAYO 291, CABA",-34.623772,-58.441848,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GALLARDO 1051,GALLARDO 1051,GALLARDO 1051,"GALLARDO 1051, CABA",-34.624936,-58.527398,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"MORENO, JOSE MARIA AV. 601",MORENO 601,MORENO 601 | JOSE MARIA MORENO 601 | AV JOSE MARIA MORENO 601,"MORENO 601, CABA",-34.611451,-58.374909,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"GARCIA LORCA, FEDERICO 88",GARCIA LORCA 88,GARCIA LORCA 88 | FEDERICO GARCIA LORCA 88,"GARCIA LORCA, FEDERICO 88, CABA",-34.620724,-58.444904,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PACHECO DE MELO, JOSE ANDRES 2592",PACHECO DE MELO 2592,PACHECO DE MELO 2592 | JOSE ANDRES PACHECO DE MELO 2592,"PACHECO DE MELO, JOSE ANDRES 2592, CABA",-34.587129,-58.400902,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"DE LA TORRE, LISANDRO 1595",DE LA TORRE 1595,DE LA TORRE 1595 | LISANDRO DE LA TORRE 1595,"DE LA TORRE, LISANDRO 1595, CABA",-34.654635,-58.510072,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
