id_fuente,id_candidato,nombre_candidato,tipo_fuente,titulo_fuente,organismo_o_medio,url,fecha_consulta,afirmacion_sostenida,nivel_confianza,observacion
URL-121,MG-0012,Patio Gastronomico Rodrigo Bueno,oficial_gcba,Patio Rodrigo Bueno,GCBA Desarrollo Economico,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-rodrigo-bueno,2026-06-23,direccion dias horarios y politica publica,C1_oficial,Av. Espana 2230; Vie-Dom 11-23
URL-122,MG-0012,Patio Gastronomico Rodrigo Bueno,oficial_gcba,Patio Gastronomico Rodrigo Bueno,GCBA Instituto de Vivienda,https://vivienda.buenosaires.gob.ar/patio_gastronomico_rodrigo_bueno,2026-06-23,emprendimientos del barrio y caracter publico,C1_oficial,5 cocineros + 6 emprendimientos
URL-123,MG-0013,Mercado San Nicolas,oficial_gcba,Mercado San Nicolas,GCBA Desarrollo Economico,http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercado-san-nicolas,2026-06-23,direccion horarios oferta y 18 locales; corresponde a ex CAM 72,C1_oficial,Av. Cordoba 1750
URL-124,MG-0013,Mercado San Nicolas,oficial_gcba,Reinauguro el Mercado San Nicolas,GCBA,https://buenosaires.gob.ar/noticias/reinauguro-el-mercado-san-nicolas,2026-06-23,renovacion paso de 11 a 18 locales y plaza de comidas,C1_oficial,gestion municipal GCBA
URL-125,MG-0014,Mercat Caballito,prensa,Abrio Mercat Caballito,Info Gastronomica,https://www.infogastronomica.com.ar/abrio-mercat-caballito-que-comer-y-beber-en-este-nuevo-mercado-gastronomico-de-buenos-aires/,2026-06-23,abierto todos los dias 10-24; 11 locales y gondolas organicas,C3_multifuente_confiable,Shopping Caballito; falta fuente oficial
URL-126,MG-0014,Mercat Caballito,prensa,Mercat Caballito abre un nuevo mercado gastronomico,El Cronista,https://www.cronista.com/clase/gourmet/mercat-caballito-abre-un-nuevo-mercado-gastronomico-en-buenos-aires/,2026-06-23,concepto de mercado organico y gastronomico,C3_multifuente_confiable,segunda fuente confiable
URL-127,MG-0015,Buenos Aires Market,sitio_oficial_mercado,Buenos Aires Market,Buenos Aires Market,https://www.buenosairesmarket.com/,2026-06-23,feria itinerante de productores y gastronomia,C2_sitio_oficial_del_mercado,sede semanal variable
URL-128,MG-0015,Buenos Aires Market,oficial_gcba,Donde encontrar BA Market y Sabe la Tierra,GCBA,https://buenosaires.gob.ar/noticias/donde-encontrar-las-ferias-ba-market-y-sabe-la-tierra,2026-06-23,respaldo institucional y sedes,C1_oficial,agenda gastronomica GCBA
URL-129,MG-0016,Sabe la Tierra,sitio_oficial_mercado,Sabe la Tierra mercado de productores sustentables,Sabe la Tierra,https://sabelatierra.org/,2026-06-23,feria de productores organicos itinerante,C2_sitio_oficial_del_mercado,asociacion civil
URL-130,MG-0016,Sabe la Tierra,oficial_gcba,Sabe la Tierra,GCBA,https://buenosaires.gob.ar/gcaba_historico/sabe-la-tierra,2026-06-23,presencia en agenda GCBA,C1_oficial,sedes en CABA a confirmar
URL-131,PR-0002,Centro de Abastecimiento Municipal Nº 27 (Mercado Pompeya),oficial_gcba,Permiso de uso precario en CAMs,GCBA,https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-centros-de-abastecimiento-municipales-cams,2026-06-23,existencia y caracter de centro de abastecimiento municipal,C4_fuente_auxiliar,foco gastronomico no confirmado
URL-132,PR-0003,Centro de Abastecimiento Municipal Nº 116 (Villa Pueyrredon),oficial_gcba,Permiso de uso precario en CAMs,GCBA,https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-centros-de-abastecimiento-municipales-cams,2026-06-23,existencia y caracter de centro de abastecimiento municipal,C4_fuente_auxiliar,foco gastronomico no confirmado
URL-133,PR-0008,Los Arcos del Rosedal,prensa,Los Arcos del Rosedal gastronomia,Cada Viaje un Mundo,https://cadaviajeunmundo.com/los-arcos-del-rosedal-de-palermo-gastronomia-cool-a-toda-hora/,2026-06-23,polo de restaurantes bajo viaducto; no es mercado unico,C5_pendiente_revision,distrito/polo gastronomico
URL-134,FUERA-DISTRITO-ARCOS,Distrito Arcos,prensa,Distrito Arcos premium outlet,Palermo Online,https://palermonline.com.ar/wordpress/distrito-arcos-el-premium-outlet-el-complejo-comercial-a-cielo-abierto/,2026-06-23,outlet comercial con gastronomia accesoria,X_fuera_de_alcance,fuera de alcance
