polo_id,polo,familia,familia_origen,modo,ha_vieja,ha_nueva,loc_vieja,loc_nueva,dens_vieja,dens_nueva,unidades,piezas_descartadas,loc_descartados,borde_calle_pct,perimetro_m,borde_recortado,eje,desde,hasta,limites
R14,Avenida Boedo,corredor,declarada,eje,179.5,85.6,245,162,1.37,1.89,54,0,0,100.0,6609,False,Av. Boedo,República Bolivariana de Venezuela,Av. Caseros,Maza · Castro Barros · Colombres · Liniers Virrey · Gregorio Tte. Cnel. Pomar · República Bolivariana de Venezuela · Estados Unidos · Rondeau
R15,Devoto,nucleo,declarada,general,478.7,64.2,422,156,0.88,2.43,51,10,183,100.0,7264,False,,,,Navarro · Simbron · Av. Francisco Beiró · Cervantes · Gualeguaychu · José Pedro Varela · Benito Juárez · José Luis Cantilo
R16,Donado-Holmberg,corredor,declarada,general (el eje no cerró),119.0,56.1,121,129,1.02,2.3,46,2,8,98.3,4175,False,,,,Miller · Gral. Mariano Acha · Holmberg · Plaza · Lugones · Mendoza · Ibera · Roosevelt Franklin D.
R17,Villa Urquiza,piezas,declarada,general,446.6,216.8,528,469,1.18,2.16,156,1,3,98.9,11684,False,,,,La Pampa · Miller · Pacheco · Mendoza · Holmberg · Av. Triunvirato · Bucarelli · Donado
R20,Garcia del Rio,corredor,declarada,eje,61.0,38.8,102,67,1.67,1.73,34,0,0,97.9,3403,False,Av. García del Río,Av. Cabildo,Pinto,Paroissien · Av. Crisólogo Larralde · Vilela · Manzanares · Conesa · Av. Cabildo · García del Río · Roque Pérez
R21,La Paternal,piezas,declarada,general,377.3,147.1,293,249,0.78,1.69,97,3,11,94.0,13247,False,,,,Av. San Martín · Av. Warnes · Dr. Luis Belaustegui · Av. Juan B. Justo · Av. Dr. Honorio Pueyrredón · Dr. Nicolás Repetto · Cucha Cucha · Valentín Virasoro
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,nucleo,declarada,general,39.5,46.8,107,134,2.71,2.86,32,0,0,99.1,3920,False,,,,Bogotá · Terrada · Helguera · Morón · Concordia · Av. Gaona · Cuenca · Condarco
Z27,Villa Santa Rita,piezas,declarada,general,215.5,108.3,182,159,0.84,1.47,77,0,0,100.0,7161,False,,,,Av. Gaona · Terrada · Av. Juan B. Justo · Condarco · Helguera · Campana · Galicia · Av. Álvarez Jonte
Z28,Monte Castro,corredor,declarada,eje,28.7,31.1,69,71,2.4,2.28,29,0,0,100.0,3160,False,Av. Álvarez Jonte,Av. Segurola,Av. Lope de Vega,Alcaraz · Lascano · Av. Lope de Vega · Sanabria · Canadá · Bermudez · Allende
Z31,Villa Luro,nucleo,declarada,general,13.7,11.3,41,45,2.99,3.99,10,0,0,100.0,2357,False,,,,Yerbal · Acassuso · Av. Rivadavia · Av. Cnel. Ramón L. Falcón · Corvalán · Araujo · Av. Escalada · Anselmo Sáenz Valiente
Z32,Liniers · Mercado Andino,nucleo,declarada,general,7.0,7.1,63,63,9.0,8.82,4,0,0,100.0,1072,False,,,,Montiel · Av. Gral. Paz · Cnel. Ramón L. Falcón · Ventura Bosch
Z33,Mataderos,piezas,declarada,general,44.0,3.1,17,15,0.39,4.8,2,0,0,100.0,837,False,,,,Av. Lisandro de la Torre · Timoteo Gordillo · Garzón Eugenio General · Tandil
Z35,Balvanera · Once,nucleo,declarada,general,19.2,19.6,74,74,3.86,3.78,14,0,0,100.0,2122,False,,,,Lavalle · Viamonte · Boulogne Sur Mer · Av. Pueyrredón · Pasteur · Larrea · Av. Córdoba
Z37,Almagro,piezas,declarada,general,37.4,36.4,114,113,3.05,3.11,18,1,6,100.0,2475,False,,,,Don Bosco · Bartolome Mitre · Carlos a Dr. Gianantonio · Gascon · Sánchez de Bustamante · Yapeyu · Av. Rivadavia · Lezica
Z39,Parque Avellaneda,nucleo,declarada,general,75.3,1.0,11,5,0.15,4.91,1,2,3,100.0,432,False,,,,Tandil · Av. Directorio · Laguna · Av. Lacarra
Z39b,Baek-ku · Barrio Coreano,corredor,declarada,eje,34.9,27.7,38,34,1.09,1.23,17,0,0,99.2,2949,False,Av. Carabobo,Av. Eva Perón,Sarazá,Lautaro · Pumacahua · Av. Corea · Curapaligüe · Av. Castañares · Tte. Cnel. Casimiro Recuero · Autopista 25 de Mayo
Z40,Nueva Pompeya y Parque Patricios,piezas,declarada,general,69.1,33.0,112,102,1.62,3.09,22,1,7,100.0,2411,False,,,,Rondeau · Patagones · Av. Caseros · Corrales Viejos · Catamarca · Av. Colonia · 24 de Noviembre
Z41,Nunez,piezas,declarada,general,442.6,242.6,494,474,1.12,1.95,181,0,0,92.3,11221,True,,,,Av. Cabildo · Congreso · Comodoro Rivadavia Martín · Campos Salles · Av. Crisólogo Larralde · Av. Del Libertador · Zapiola · Vuelta de Obligado
Z44,Villa Ortuzar,corredor,declarada,eje,34.4,40.8,69,81,2.01,1.98,27,0,0,100.0,3664,False,Av. Álvarez Thomas,Av. Federico Lacroze,Tronador,Giribone · Delgado · Virrey Aviles · Tronador · Zarraga · Av. Federico Lacroze · Charlone · Estomba
Z46,Retiro,piezas,declarada,general,415.0,208.1,414,526,1.0,2.53,188,1,12,91.1,9124,True,,,,Uruguay · Av. Dr. José María Ramos Mejía · Montevideo · Carlos H. Perette · Cerrito · Colibri · Calle 9 - Alberto Chejolan · Juncal
Z47,Monserrat y Congreso,piezas,declarada,general,13.8,13.4,133,144,9.66,10.72,15,0,0,100.0,1672,False,,,,Hipólito Yrigoyen · Rivadavia · Bolívar · Bernardo de Irigoyen · Av. 9 de Julio · Av. De Mayo
Z50,Barracas · Av. Montes de Oca,corredor,declarada,eje,50.6,48.2,84,83,1.66,1.72,24,0,0,100.0,4585,False,Av. Manuel Montes de Oca,Finochietto Enrique Dr.,Benito Quinquela Martín,Gral. Hornos · Isabel la Catolica · Finochietto Enrique Dr. · Av. Manuel Montes de Oca · Uspallata · Ituzaingó · Cnel. Salvadores · California
Z51,"Barracas · Iriarte, California y Vieytes",nucleo,declarada,general,5.8,4.9,12,12,2.06,2.43,4,0,0,93.3,1074,False,,,,California · Río Cuarto · Goncalves Dias · San Antonio · Av. Gral. Iriarte · Vieytes
Z52,La Boca · Almirante Brown y Necochea,corredor,declarada,eje,16.2,12.1,21,13,1.3,1.07,12,0,0,100.0,1642,False,Av. Alte. Brown y Necochea,Brandsen,Av. Don Pedro de Mendoza,Av. Alte. Brown · Brandsen · Ministro Brin · Av. Don Pedro de Mendoza · Suárez · Puente Nicolás Avellaneda · Caboto
Z53,La Boca · Caminito y Vuelta de Rocha,nucleo,declarada,general,4.2,4.2,37,36,8.92,8.48,5,0,0,100.0,957,False,,,,Gral. Gregorio Aráoz de Lamadrid · Av. Don Pedro de Mendoza · Garibaldi · Rocha · Palos
Z54,Nueva Pompeya · eje Av. Saenz,nucleo,declarada,general,39.4,14.5,52,42,1.32,2.9,12,1,7,97.9,2906,False,,,,Av. Sáenz · Av. Perito Moreno · Romero · Enrique Ochoa · Barco Centenera del · Av. Intendente Francisco Rabanal · Traful · Mom
