nombre,barrio_oficial,sector,limites,calles_caracteristicas,hitos,nivel_reconocimiento,nivel,nota,fuente_url
Polo gastronomico Chacarita,Chacarita,norte,"Entre Av. Dorrego y Av. Jorge Newbery, con expansion mas alla de Av. Federico Lacroze",Av. Jorge Newbery (epicentro); Fraga; Guevara; Roseti; Santos Dumont; Av. Dorrego; Concepcion Arenal,,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Ficha propia 'Polo gastronomico Chacarita' en Turismo BA. El nombre 'Bajo Chacarita' NO esta atestiguado,https://turismo.buenosaires.gob.ar/es/article/polo-gastron%C3%B3mico-chacarita
Polo gastronomico Villa Crespo,Villa Crespo,norte,"Turismo BA no publica limites; los tres ejes citados son Thames, Gurruchaga y Velasco",Thames; Gurruchaga; Velasco; Aguirre; Loyola; Serrano; Murillo (outlets); Av. Corrientes; Av. Scalabrini Ortiz,Mercat Villa Crespo (Thames 747); Convento San Jose,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Ficha propia en Turismo BA,https://turismo.buenosaires.gob.ar/es/article/polo-gastron%C3%B3mico-villa-crespo
Barrio Chino,Belgrano (Bajo Belgrano),norte,"Nucleo de ~4 manzanas entre Av. del Libertador, Juramento, Monroe y las vias del FFCC Mitre. La obra del GCBA cubre Arribenos entre Juramento y Olazabal, y Mendoza entre Montaneses y las vias",Arribenos; Mendoza; Montaneses; Juramento; Olazabal,Arco de acceso en Arribenos y Juramento; Templo Chong Kuan; Ano Nuevo Chino,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,"Obra publica del GCBA, arco y senalizacion, ficha en Turismo BA. Sin ley de creacion",https://buenosaires.gob.ar/noticias/comienzan-las-obras-en-el-barrio-chino
Caminito,La Boca,sur,"Pasaje peatonal de ~100 m entre Av. Pedro de Mendoza y Garibaldi, junto a la Vuelta de Rocha",Caminito; Garibaldi; Magallanes; Av. Pedro de Mendoza,Museo Quinquela Martin; Fundacion Proa; Puente Transbordador; feria de artistas,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,'Calle museo' de facto; ficha propia en Turismo BA; dentro del Distrito de las Artes,https://turismo.buenosaires.gob.ar/es/circuitos-buenos-aires-sur/la-boca-cultural
Vuelta de Rocha,La Boca,sur,"Plazoleta sobre Av. Pedro de Mendoza al 1800, en la curva del Riachuelo, entre Palos y el acceso a Caminito",Av. Pedro de Mendoza; Palos; Del Valle Iberlucea,Cafe La Perla; Puente Transbordador,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Ficha propia en Turismo BA; Lugar Historico Nacional,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/vuelta-de-rocha
Circuito gastronomico de Barracas (bodegones y cantinas),Barracas,sur,"No es un poligono: circuito tematico de ~12 esquinas dispersas, con eje en Av. Iriarte, Av. Montes de Oca, Av. Suarez y Vieytes",Av. Montes de Oca; Av. Iriarte; Av. Suarez; Vieytes,Los Laureles (Av. Iriarte 2290); El Progreso (Montes de Oca 1700); La Flor de Barracas (Suarez 2095); El Puentecito (Vieytes 1875),"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Circuito curado por el GCBA. Varios locales son Bares Notables,https://buenosaires.gob.ar/gcaba_historico/fid/circuito-gastronomico-de-barracas
Feria de Mataderos,Mataderos,oeste,"Se monta sobre Av. Lisandro de la Torre y Av. de los Corrales y calles adyacentes, domingos y feriados",Av. Lisandro de la Torre; Av. de los Corrales,Monumento al Resero; puestos de comida criolla; jineteada y penas,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Gestionada por el GCBA; de interes nacional y turistico nacional,https://buenosaires.gob.ar/gcaba_historico/feriademataderos
Mercado del Progreso,Caballito,oeste,Av. Rivadavia 5430 esquina Del Barco Centenera; ocupa una manzana,Av. Rivadavia; Del Barco Centenera; Rosario,Edificio de 1889; ancla del comercio de Caballito,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Ficha propia en Turismo BA; edificio catalogado,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-del-progreso
Mercado de Bonpland,Palermo (Hollywood),norte,"Bonpland 1660, entre Niceto Vega y Honduras",Bonpland; Niceto Vega; El Salvador,Mercado municipal de 1914 reconvertido en 2003; cooperativas y productores,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Ficha propia en Turismo BA; edificio municipal,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-bonpland
San Juan y Boedo,Boedo,sur,Esquina de Av. San Juan y Av. Boedo; se extiende sobre Av. Boedo entre Av. Independencia y Av. Caseros,Av. Boedo; Av. San Juan; Av. Independencia; Carlos Calvo,Esquina Homero Manzi (Sitio Historico Nacional); Cafe Margot (notable); Esquina Osvaldo Pugliese,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,"Esquina Homero Manzi declarada Sitio Historico Nacional; el GCBA promociona 'Boedo, barrio de tango'. Sin perimetro normativo",https://buenosaires.gob.ar/gcaba_historico/noticias/boedo-barrio-de-tango
Pasaje Lanin,Barracas,sur,"Lanin desde Brandsen 2100 hasta Av. Suarez 2001, entre las vias del Roca y Salmun Feijoo (3 cuadras)",Lanin; Brandsen; Av. Suarez; Salmun Feijoo,~35 fachadas intervenidas por Marino Santa Maria; taller-museo,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Figura en la guia Turismo en Barrios del GCBA,https://es.wikipedia.org/wiki/Calle_Lan%C3%ADn
Puerto Madero · Dique 4,Puerto Madero,centro,"Dique mas al norte, junto a Av. Cordoba / Cecilia Grierson. Concentra la mayor cantidad de restaurantes",Av. Alicia Moreau de Justo (100-500); Juana Manso; Olga Cossettini; Cecilia Grierson,Coleccion Fortabat; I Central Market,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,"Los diques son numeracion portuaria oficial, usada por Turismo BA",http://cdn2.buenosaires.gob.ar/turismo/TurismoEnBarrios_BarrioPuertoMadero.pdf
Puerto Madero · Dique 3,Puerto Madero,centro,"Al sur del Dique 4, pasando el Puente de la Mujer; entorno Fragata Sarmiento",Av. Alicia Moreau de Justo; Olga Cossettini (1100-1200); Azucena Villaflor; Pierina Dealessi,Fragata Sarmiento; Parque Mujeres Argentinas,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Numeracion portuaria oficial,http://cdn2.buenosaires.gob.ar/turismo/TurismoEnBarrios_BarrioPuertoMadero.pdf
Puerto Madero · Dique 2,Puerto Madero,centro,Entorno del Hotel Faena y Parque Micaela Bastidas,Martha Salotti (400); Juana Manso; Av. Alicia Moreau de Justo; Rosario Vera Penaloza,Hotel Faena; El Mercado (50 Best),"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Numeracion portuaria oficial,http://cdn2.buenosaires.gob.ar/turismo/TurismoEnBarrios_BarrioPuertoMadero.pdf
Puerto Madero · Dique 1,Puerto Madero,centro,"Extremo sur, junto a la Reserva Ecologica Costanera Sur",Dr. Tristan Achaval Rodriguez (1500); Av. Alicia Moreau de Justo; Av. de los Italianos,Fuente de las Nereidas; Reserva Ecologica,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Numeracion portuaria oficial,http://cdn2.buenosaires.gob.ar/turismo/TurismoEnBarrios_BarrioPuertoMadero.pdf
Abasto,Balvanera + Almagro,centro,"Sin limites formales. Entorno del ex Mercado de Abasto (Av. Corrientes 3200). El programa Abasto Barrio Cultural define Humahuaca entre Aguero y Billinghurst, y Guardia Vieja entre Bustamante y Bulnes",Av. Corrientes; Humahuaca; Guardia Vieja; Pje. Carlos Gardel; Anchorena; Aguero; Av. Pueyrredon,Ex Mercado de Abasto; Casa Carlos Gardel; Pje. Zelaya,"2 · oficial de facto (ficha GCBA, obra o senalizacion)",2,Programa oficial del Ministerio de Cultura (Abasto Barrio Cultural) y circuito de Turismo BA,https://www.revistaelabasto.com.ar/abasto-barrio-cultural-debuto-la-calle-humahuaca-como-peatonal-y-alternara-con-guardia-vieja/
Palermo Soho,Palermo,norte,Av. Juan B. Justo (NO) · Av. Scalabrini Ortiz (SE) · Av. Cordoba (SO) · Av. Santa Fe (NE). Es la mitad SUR de Palermo Viejo,MARCADORES FUERTES: Serrano / Jorge Luis Borges; Thames; Armenia; Malabia; Gurruchaga; Uriarte. NEUTRALES (cruzan Juan B. Justo): Honduras; Gorriti; Costa Rica; Nicaragua; El Salvador; Cabrera; Guatemala,"Plaza Julio Cortazar (Plaza Serrano); Plaza Inmigrantes de Armenia; Don Julio (1 Estrella, 50 Best #3)",3 · uso corriente atestiguado,3,Unanimidad entre fuentes sobre Av. Juan B. Justo como divisoria. Turismo BA lo nombra pero NUNCA publica limites,https://es.wikipedia.org/wiki/Palermo_Soho
Palermo Hollywood,Palermo,norte,Av. Juan B. Justo (SE) · Av. Dorrego (NO) · Av. Cordoba (SO) · Av. Santa Fe (NE). Es la mitad NORTE de Palermo Viejo. Variante minoritaria: Guatemala en vez de Santa Fe,MARCADORES FUERTES: Humboldt; Fitz Roy; Bonpland; Dr. Emilio Ravignani; Angel J. Carranza. NEUTRALES: Gorriti; Costa Rica; Nicaragua; Honduras; El Salvador; Cabrera; Guatemala,Mercado de Bonpland; Niceto Club,3 · uso corriente atestiguado,3,"Ver nota sobre la franja Guatemala-Santa Fe: si el clustering la separa, la etiqueta mas segura es Palermo Pacifico",https://es.wikipedia.org/wiki/Palermo_Hollywood
Palermo Viejo,Palermo,norte,"Entre Av. Cordoba y Av. Santa Fe, desde Av. Dorrego hasta Av. Scalabrini Ortiz (= Soho + Hollywood)",Todas las de Soho y Hollywood,,3 · uso corriente atestiguado,3,Nombre historico. Util cuando el clustering NO separa Soho de Hollywood,https://es.wikipedia.org/wiki/Palermo_(Buenos_Aires)
Las Canitas,Palermo,norte,"Av. Luis Maria Campos, Av. Dorrego, Av. del Libertador y Matienzo (rodeando el Campo Hipico Militar). Variantes: Av. Olleros o Chenaut en vez de Matienzo",Baez (eje principal); Arevalo; Arce; Ortega y Gasset; Arguibel; Av. Olleros; Migueletes; Chenaut,,3 · uso corriente atestiguado,3,"Nombrado por Turismo BA, sin limites publicados",https://es.wikipedia.org/wiki/Las_Ca%C3%B1itas
Palermo Botanico,Palermo,norte,"Entre Av. Scalabrini Ortiz y Plaza Italia, Av. Las Heras y Charcas (entorno del Jardin Botanico)",Av. Santa Fe; Cervino; Charcas; Av. Las Heras; Republica Arabe Siria; Salguero; Av. Casares,Jardin Botanico Carlos Thays; Mishiguene (50 Best #69),3 · uso corriente atestiguado,3,Nombrado por Turismo BA,https://vamospanish.com/discover/100-barrios-part-2-sub-barrios-of-palermo/
Palermo Pacifico,Palermo,norte,"Entre Av. Santa Fe y Guatemala, Uriarte y Av. Juan B. Justo (entorno del Puente Pacifico)",Av. Santa Fe; Godoy Cruz; Paraguay; Av. Juan B. Justo; Guatemala; Uriarte,Distrito Arcos (Paraguay 4979); Puente Pacifico,3 · uso corriente atestiguado,3,Etiqueta preferible a 'Hollywood' para la franja Guatemala-Santa Fe,https://vamospanish.com/discover/100-barrios-part-2-sub-barrios-of-palermo/
Villa Freud,Palermo,norte,"Honduras, Av. Scalabrini Ortiz, Av. Santa Fe y Av. Coronel Diaz (entorno de Plaza Guemes, ~0,85 km2)",Bulevar Charcas entre Av. Coronel Diaz y Salguero; Honduras; Medrano,Plaza Guemes,3 · uso corriente atestiguado,3,Mencionado por Turismo BA,https://es.wikipedia.org/wiki/Villa_Freud_(Buenos_Aires)
Bajo Belgrano,Belgrano,norte,"Vias del Mitre y Barrancas (NO) · Rio de la Plata (E) · Av. Congreso y Av. Udaondo (N). LIMITE SUR EN DISPUTA: la ley fija Zabala, varios historiadores sostienen Av. Olleros",Av. del Libertador; Sucre; Blanco Encalada; 11 de Septiembre; Migueletes; Zabala; Echeverria; Av. Monroe,Barrio Chino; Barrancas de Belgrano,3 · uso corriente atestiguado,3,La disputa de limites cae sobre la zona de mayor densidad gastronomica: guardar las dos variantes,https://es.wikipedia.org/wiki/Bajo_Belgrano
Belgrano C,Belgrano,norte,"Av. Cabildo, La Pampa, Av. Virrey Vertiz y Av. Congreso",Av. Juramento; Av. Cabildo; Vuelta de Obligado; Echeverria; Arcos; Ciudad de la Paz; Montaneses,Estacion Belgrano C; Casa Watson (notable),3 · uso corriente atestiguado,3,Viene del nombre de la estacion,https://es.wikipedia.org/wiki/Belgrano_(Buenos_Aires)
Belgrano R,Belgrano,norte,"Al oeste de Av. Cramer, aprox. entre Cramer y Estomba, entre Monroe y Elcano. Sin definicion canonica unica",Av. Melian; Superi; Estomba; Sucre; Av. Forest; Echeverria; La Pampa; Mendoza; Av. Elcano,Estacion Belgrano R,3 · uso corriente atestiguado,3,Es la pieza de 2 locales que sobrevivio en el precedente Belgrano por respaldo documental,https://www.lanacion.com.ar/propiedades/casas-y-departamentos/es-uno-de-los-barrios-mas-buscados-de-la-ciudad-para-vivir-y-tiene-microzonas-que-no-paran-de-crecer-nid23062024/
Bajo Nunez (BaNu),Nunez,norte,Franja entre Vuelta de Obligado y Av. del Libertador; en la practica entre Av. Congreso y Av. Udaondo,Ciudad de la Paz; Av. Congreso; Nunez; 11 de Septiembre; Amenabar; Zapiola; Arribenos; Deheza; Manuela Pedraza,Ness (50 Best #64); La Escuela (notable),3 · uso corriente atestiguado,3,"Definicion debil, solo periodistica",https://www.lanacion.com.ar/otros/recorrido-por-el-bajo-nunez-bares-restaurantes-y-take-outs-nid04062018/
Polo Concepcion,Colegiales,norte,"Interseccion de Zapiola y Concepcion Arenal, en el limite Palermo-Colegiales",Concepcion Arenal; Zapiola; Cespedes; Conde; Freire; Av. Federico Lacroze,Mercado de Colegiales (Conde y Concepcion Arenal),3 · uso corriente atestiguado,3,Nombre comercial/periodistico,https://www.lanacion.com.ar/revista-lugares/polo-concepcion-como-es-el-nuevo-circuito-de-moda-y-gastronomia-de-colegiales-nid30042023/
Barrio Norte,Recoleta + Retiro + parte de Palermo,centro,"Av. Cordoba, Av. 9 de Julio, Av. del Libertador y Av. Coronel Diaz; eje tradicional Av. Santa Fe",Av. Santa Fe; Av. Callao; Av. Pueyrredon; Juncal; Arenales; Paraguay; M. T. de Alvear; Av. Las Heras,,3 · uso corriente atestiguado,3,Uso corriente muy establecido. No es barrio oficial,https://es.wikipedia.org/wiki/Barrio_Norte_(Buenos_Aires)
La Isla (Recoleta),Recoleta,centro,"Av. Las Heras, Av. Pueyrredon, Av. del Libertador y Aguero",Aguero; Av. Las Heras; pasajes con escalinatas hacia Av. del Libertador,Plaza Mitre; Biblioteca Nacional,3 · uso corriente atestiguado,3,OJO: hay otra 'La Isla' en La Paternal. Desambiguar siempre,https://es.wikipedia.org/wiki/La_Isla_(Buenos_Aires)
Microcentro,San Nicolas (~90%) + Monserrat,centro,"Av. Cordoba y Av. de Mayo (N-S) entre Av. 9 de Julio, Av. Leandro N. Alem y Av. de la Rabida. ~60 manzanas",Florida; Lavalle; Av. Corrientes; Maipu; Reconquista; San Martin; Sarmiento; Suipacha; Esmeralda,,3 · uso corriente atestiguado,3,El GCBA usa 'Area Centrica' con OTRO poligono (Ley 6.508). No confundirlos,https://es.wikipedia.org/wiki/Microcentro_(Buenos_Aires)
La City,San Nicolas,centro,"Aprox. entre Av. Corrientes, Av. Leandro N. Alem, Av. Rivadavia y Maipu. ~20 manzanas",Reconquista; San Martin; Bartolome Mitre; Sarmiento; 25 de Mayo; Florida; Tte. Gral. Peron,,3 · uso corriente atestiguado,3,Sub-barrio no oficial,https://es.wikipedia.org/wiki/Microcentro_(Buenos_Aires)
Tribunales,San Nicolas,centro,"Libertad, Lavalle, Talcahuano y Av. Cordoba (entorno de Plaza Lavalle)",Talcahuano; Libertad; Tucuman; Viamonte; Uruguay; Lavalle,Teatro Colon; Palacio de Tribunales,3 · uso corriente atestiguado,3,,https://es.wikipedia.org/wiki/Tribunales_(Buenos_Aires)
Corrientes teatral,San Nicolas (y Balvanera al oeste),centro,"Eje Av. Corrientes; nucleo teatral entre Av. 9 de Julio y Av. Callao. Es un EJE, no un poligono",Av. Corrientes; Lavalle (cines); Talcahuano; Parana; Montevideo; Uruguay,Guerrin y Las Cuartetas (pizzerias emblematicas); El Gato Negro y La Giralda (notables); teatros,3 · uso corriente atestiguado,3,Corresponde a R02 del Atlas publicado,https://es.wikipedia.org/wiki/Microcentro_(Buenos_Aires)
Once,Balvanera,centro,"Sin limites canonicos. Aprox. Av. Pueyrredon, Av. Rivadavia, Av. Corrientes/Cordoba y Av. Callao/Ecuador",Av. Pueyrredon; Av. Rivadavia; Bartolome Mitre; Larrea; Av. Corrientes; Tucuman; Paso,Plaza Miserere; estacion Once,3 · uso corriente atestiguado,3,Sin definicion precisa en fuentes,https://es.wikipedia.org/wiki/Once_(Buenos_Aires)
Congreso,Balvanera + Monserrat + San Nicolas,centro,"Sin limites canonicos. Aprox. Av. Callao/Entre Rios, Av. Rivadavia, Av. Corrientes y Av. de Mayo",Av. Callao; Av. Rivadavia; Av. de Mayo; Rodriguez Pena; Montevideo,Palacio del Congreso; La Americana (pizzeria emblematica),3 · uso corriente atestiguado,3,,https://vamospanish.com/discover/100-barrios-part-1-unofficial-neighborhoods-of-buenos-aires/
Avenida de Mayo,Monserrat (sur) + San Nicolas (norte),centro,Eje entre Plaza de Mayo y Plaza del Congreso (Bolivar a Av. Entre Rios),Av. de Mayo; Peru; Bolivar; Chacabuco; Piedras; Tacuari; Salta; Lima,Cafe Tortoni; London City; Los 36 Billares (notables); Casco Historico bajo APH,3 · uso corriente atestiguado,3,El eje es oficial; el entorno esta bajo Area de Proteccion Historica,https://buenosaires.gob.ar/gcaba_historico/informacion-para-tu-proyecto/mapa-area-de-proteccion-historica
Bulevar Caseros,Barracas,sur,Av. Caseros entre Defensa y Av. Montes de Oca; algunas notas lo extienden hasta Av. Regimiento de Patricios,Av. Caseros; Defensa; Bolivar; Av. Montes de Oca,Ex Carcel de Caseros; Parque de las Victorias; Caseros (Bib Gourmand),3 · uso corriente atestiguado,3,Reconocido por Turismo BA en la guia de Barracas como distrito de gastrobares. Corresponde a R11 del Atlas,http://cdn2.buenosaires.gob.ar/turismo/TurismoEnBarrios_BarrioBarracas.pdf
Av. Montes de Oca,Barracas,sur,Eje desde Av. Martin Garcia hasta Av. Regimiento de Patricios / Av. Velez Sarsfield,Av. Montes de Oca; Isabel la Catolica; Av. Suarez; Olavarria,Plaza Colombia; Iglesia Santa Felicitas; El Progreso (notable),3 · uso corriente atestiguado,3,Corredor comercial sin denominacion propia mas alla del nombre de la avenida,http://cdn2.buenosaires.gob.ar/turismo/TurismoEnBarrios_BarrioBarracas.pdf
Barrio Charrua,Nueva Pompeya (limite con Villa Soldati),sur,Enclave al sur del estadio de San Lorenzo (Av. Perito Moreno y Av. Fernandez de la Cruz). Sin poligono cerrado publicado,Charrua; Av. Fernandez de la Cruz; Av. Perito Moreno,Festividad de la Virgen de Copacabana; Tinku; patio de comidas bolivianas,3 · uso corriente atestiguado,3,'La pequena Bolivia'. Catastralmente es Villa 12,https://es.wikipedia.org/wiki/Barrio_Charr%C3%BAa
Barrio Coreano / Baek-ku,"Flores (Bajo Flores), con extension a Parque Chacabuco",sur,"Eje de Av. Carabobo entre Av. Castanares y Av. Eva Peron (~7 cuadras). Una fuente amplia a Av. Carabobo, Av. Castanares, Emilio Mitre, Balbastro, Curapaligue, Asamblea y Av. Eva Peron",Av. Carabobo; Av. Castanares; Av. Eva Peron,Portal de acceso en Av. Carabobo y Av. Castanares; karaokes y restaurantes con carteleria bilingue; iglesias coreanas,3 · uso corriente atestiguado,3,Senalizacion fisica (portal) pero sin ley. 'Baek-ku' (백구 = 109) viene de la linea de colectivo,https://es.wikipedia.org/wiki/Barrio_coreano_(Buenos_Aires)
Bajo Flores,Flores (parte sur),sur,"Av. Perito Moreno, Balbastro, Varela y Av. Castanares. Historicamente 'Banado de Flores'",Av. Perito Moreno; Av. Castanares; Curapaligue; Av. Riestra; Cobo,"Estadio Pedro Bidegain; comercios y comedores bolivianos, peruanos y paraguayos",3 · uso corriente atestiguado,3,Uso corriente muy fuerte y consolidado,https://en.wikipedia.org/wiki/Bajo_Flores
Polo textil de Av. Avellaneda / 'la Avellaneda',Flores (con derrame a Floresta),oeste,"Av. Avellaneda entre 2700 y 3700, epicentro en Avellaneda y Av. Nazca; se derrama a Argerich, Helguera, Cuenca, Campana, Aranguren y Bogota",Av. Avellaneda; Av. Nazca; Cuenca; Aranguren,Galerias mayoristas; alta densidad de comercio de colectividades,3 · uso corriente atestiguado,3,"La mayor concentracion comercial del oeste porteno, sin normativa",https://www.buenosaires123.com.ar/compras/calle-avellaneda.html
Microcentro boliviano de Liniers,Liniers,oeste,"Nucleo en Jose Leon Suarez desde Av. Rivadavia hacia el sur/oeste. Una fuente academica delimita por Jose Leon Suarez, Ramon L. Falcon, Ventura Bosch, Ibarrola y Av. Gral. Paz",Jose Leon Suarez (eje mas dinamico); Av. Rivadavia; Ramon L. Falcon; Ibarrola,Mercado Andino de Liniers; Shopping Plaza Liniers; estacion Liniers; Santuario de San Cayetano,3 · uso corriente atestiguado,3,"DEMASIADOS NOMBRES COMPITIENDO: 'microcentro boliviano', 'la Pequena Bolivia', 'el altiplano de Liniers', 'el Bolishopping'. Hay que elegir uno",https://buenosaireshistoria.org/juntas/liniers-territorio-en-construccion-una-mirada-sobre-la-historia-del-microcentro-boliviano/
