calle_en_la_base,locales
Cabello 3602 esq. Scalabrini Ortiz,1
Pje. El Lazo,1
Barrio YPF Calle,1
Salguero y Cervino,1
pte. peron 7054 Martín coronado,1
"Shopping Paseo Alcorta, Jerónimo Salguero",1
"Alcorta Shopping, Jerónimo Salguero",1
"Avenida Sarmiento, 1425 Ciudad de Buenos Aires, Argentina",1
CARLOS CASARES,1
Punta Carrasco - Av. Costanera Norte y Sarmiento,1
"Ave Costanera Rafael Obligado S/N, C1425 Cdad. Autónoma de Buenos Aires, Buenos Aires, 00000, AR",1
Av. Rafael Obligado Costanera S/N,1
AV. COSTANERA RAFAEL OBLIGADO,1
Aeroparque Internacional Jorge Newbery: Terminal A Ground Floor,1
Juana Azurduy de Padilla,1
Libertador Y Callao,1
Compras Online,1
"Av. Rafael Obligado Costanera y La Pampa, Buenos Aires",1
Av. Rafael Obligado Costanera y Pampa,1
Teniente General Pablo Ricchieri,1
"Av. Rafael Obligado 6551, Buenos Aires",1
"Campos Salles 1138, Nuñez",1
3882,1
frias,1
Calle 13 N°151 [Barrio 53 viviendas],1
Vedia 3626 Plaza Dot Shopping,1
"CTE, Deheza",1
Centro Commercial Dot Baires,1
Av. del Libertador 7395 (at Sportclub),1
Shopping Dot Buenos Aires,1
"Farmacia Colón, Avenida Callao",1
Av San Isidro,1
"Club Ciudad de Buenos Aires, Avenida del Libertador",1
Avda. Costanera Rafael Obligado,1
"Estadio Antonio Vespucio Liberti, Monumental, Club Atlético River Plat",1
Av. Costanera Norte Rafael Obligado s/n,1
"Tierra Santa, Avenida Rafael Obligado",1
1429,1
"Libertador-Comodoro Rivadavia, Avenida del Libertador",1
"Isla "" Las Hermanas""",1
"Centro Cultural de la Memoria Haroldo Conti, Avenida del Libertador",1
