hito_id,clave_dedup,nombre,direccion,barrio,tipo,distincion,anio,posicion,fuente,fuente_url,confianza,licencia,nota
H011,lavalle,Bar Lavalle,Lavalle 1693,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",esquina R. Pena
H012,oviedo,Bar Oviedo,Av. Lisandro de la Torre 2407,Mataderos,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H013,plaza_dorrego,Bar Plaza Dorrego,Defensa 1098,San Telmo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H014,quintino,Bar Quintino,Carlos Calvo 4002,Boedo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",listado 2015 consigna Carlos Calvo 4082
H015,seddon,Bar Seddon,Defensa 695,Monserrat,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",listado 2015 lo ubica en San Telmo
H016,sur,Bar Sur,Estados Unidos 299,San Telmo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H017,via_71,Bar Via 71,Viamonte 1771,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H018,boston_city,Boston City,Florida 165 local 3,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H019,britanico,Britanico,Brasil 399,San Telmo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H020,cabildo_de_buenos_aires,Cabildo de Buenos Aires,Peru 86,Monserrat,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H021,cortazar,Cafe Cortazar,Jose Antonio Cabrera 3797,Palermo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H022,de_garcia,Cafe de Garcia,Sanabria 3302,Villa Devoto,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H023,de_la_u,Cafe de la U,Av. Triunvirato 4801,Villa Urquiza,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H024,de_los_angelitos,Cafe de los Angelitos,Av. Rivadavia 2100,Balvanera,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",catalogo: 'Av. Rivadavia y Rincon'
H025,don_juan,Cafe Don Juan,Camarones 2702,Villa Santa Rita,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H026,la_poesia,Cafe La Poesia,Chile 502,San Telmo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H027,montecarlo,Cafe Montecarlo,Paraguay 5491,Palermo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",listado 2015 consigna Paraguay 5499
H028,olimpo,Cafe Olimpo,Irigoyen 1491,Villa Luro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H029,palacio,Cafe Palacio,Av. Federico Lacroze 3901,Chacarita,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H030,plaza,Cafe Plaza,Av. Rivadavia 4732,Caballito,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",prensa lo llama 'Plaza Cafe'
H031,roma,Cafe Roma,Olavarria 409,La Boca,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H032,roma_del_abasto,Roma del Abasto,San Luis 3101,Balvanera,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",catalogo dice Comuna 5; Balvanera es Comuna 3
H033,san_bernardo,Cafe San Bernardo,Av. Corrientes 5436,Villa Crespo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",unica entrada del catalogo sin comuna
H034,thibon,Cafe Thibon,Montevideo 723,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H035,tortoni,Cafe Tortoni,Av. de Mayo 825,Monserrat,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",catalogo: 825/29
H036,caffe_tabac,Caffe Tabac,Av. del Libertador 2300,Recoleta,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H037,casa_watson,Casa Watson,Vuelta de Obligado 2072,Belgrano,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",listado 2015: misma direccion como 'Capisci'
H038,celta_bar,Celta Bar,Sarmiento 1702,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H039,claridge_s,Claridge's,Tucuman 535,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H040,clasica_y_moderna,Clasica y Moderna,Av. Callao 892,Recoleta,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H041,la_escuela,La Escuela,Manuela Pedraza 2803,Nunez,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H042,la_ideal,Confiteria La Ideal,Suipacha 384,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H043,saint_moritz,Confiteria Saint Moritz,Esmeralda 894,Retiro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H044,el_banderin,El Banderin,Guardia Vieja 3601,Almagro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H045,el_boliche_de_roberto,El Boliche de Roberto,Bulnes 331,Almagro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",listado 2015: misma direccion como '12 de Octubre'
H046,el_buzon,El Buzon,Esquiu 1393,Nueva Pompeya,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H047,el_coleccionista,El Coleccionista,Av. Rivadavia 4929,Caballito,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H048,el_estano_1880,El Estano 1880,Aristobulo del Valle 1100,La Boca,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H049,el_faro,El Faro,Av. de los Constituyentes 4099,Parque Chas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H050,el_gato_negro,El Gato Negro,Av. Corrientes 1669,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",catalogo: 'El Gato Negro/Don Vitoriano'
H051,el_hipopotamo,El Hipopotamo,Brasil 401,San Telmo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H052,el_progreso,El Progreso,Av. Montes de Oca 1700,Barracas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H053,el_querandi,El Querandi,Peru 302,Monserrat,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H054,el_simbolo,El Simbolo,Av. Corrientes 3787,Almagro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H055,el_tokio,El Tokio,Alvarez Jonte 3550,Villa Santa Rita,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H056,el_viejo_buzon,El Viejo Buzon,Neuquen 1100,Caballito,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",esquina Espinosa
H057,esquina_homero_manzi,Esquina Homero Manzi,Av. San Juan 3601,Boedo,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",el catalogo no consigna barrio
H058,florida_garden,Florida Garden,Florida 899,Retiro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H059,hotel_savoy_bar_imperio,Hotel Savoy / Bar Imperio,Av. Callao 181,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H060,la_academia,La Academia,Av. Callao 368,Balvanera,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",catalogo dice Comuna 5; Balvanera es Comuna 3
H061,la_biela,La Biela,Av. Quintana 600,Recoleta,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H062,la_buena_medida,La Buena Medida,Suarez 101,La Boca,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H063,la_orquidea,La Orquidea,Av. Corrientes 4101,Almagro,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H064,la_esquina_de_anibal_troilo,La Esquina de Anibal Troilo,Paraguay 1500,Recoleta,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H065,la_farmacia,La Farmacia,Av. Directorio 2400,Flores,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H066,la_flor_de_barracas,La Flor de Barracas,Suarez 2095,Barracas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H067,la_giralda,La Giralda,Av. Corrientes 1453,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
H068,la_opera,La Opera,Av. Corrientes 1799,San Nicolas,bar_notable,"Cafe, Bar, Billar o Confiteria Notable (Ley 35 / Ley 2548)",2026,,Catalogo consolidado RES-MCGC-3758-24 (Boletin Oficial CABA),https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-3758-24-ANX.pdf,alta,"documento oficial GCBA, sin licencia abierta declarada",
