reparto,local_id,nombre,direccion,barrio,comuna,deja_de_contarlo,lo_sigue_contando,lado
A1,LOC016134,Mallorca,Viamonte 591,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004580,CAFE DE LAS GALERIAS,FLORIDA 727;FLORIDA 729;FLORIDA 735;FLORIDA 753;FLORIDA 755;FLORIDA 765;FLORIDA 771;FLORIDA 777;FLORIDA 783;FLORIDA 785;CORDOBA AV. 532;CORDOBA AV. 550;CORDOBA AV. 552;CORDOBA AV. 570;SAN MARTIN 712;SAN MARTIN 702;SAN MARTIN 712;SAN MARTIN 714;SAN MARTIN 718;SAN MARTIN 728;SAN MARTIN 732;SAN MARTIN 736;SAN MARTIN 746;SAN MARTIN 748;SAN MARTIN 752;SAN MARTIN 760;VIAMONTE 501;VIAMONTE 509;VIAMONTE 515;VIAMONTE 521;VIAMONTE 525;VIAMONTE 529;VIAMONTE 541;VIAMONTE 545;VIAMONTE 547;VIAMONTE 549,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016166,Verde Verde Comida Vegetariana,Viamonte 669,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024061,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016131,The Cosmopolitan Bar,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000134,CASTELAR,CORDOBA AV. 787,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024809,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016211,Pacifico,Av. Córdoba 502/526,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004632,Moksha Coffee and Deli,MAIPU 819,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024790,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024789,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005008,La Sonada,MAIPU 841,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016206,Fresh Foods,Florida 844 local 1,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC001688,La Fantástica Fábrica del Dulce de Leche,FLORIDA 846,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024791,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009254,Barrio Cafetero,Florida 833,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007974,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002859,Bocabajo,MAIPU 864;MAIPU 866,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016219,Brunch Time,Maipú 893,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024808,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024806,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024807,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC010179,Empanairo,Esmeralda,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016222,Delivery gourmet,Esmeralda 950,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024810,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009462,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004360,nan,SUIPACHA 878,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024811,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024817,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024816,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024815,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016223,La Feria Food,Granadero fco gonzalez 2036,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024874,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016220,Los Panchitos del Sol,Florida 860,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009428,Classic BA,Florida 895,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC001969,Quinoto,SAN MARTIN 875,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024875,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008949,Florida Garden,Paraguay,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007774,Alimentari,Paraguay,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005703,La Motofeca,PARAGUAY 627,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006372,HOTEL ASPEN TOWERS,PARAGUAY 557,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024855,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009222,Pousser,Paraguay,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002454,Un Toque Perfecto rotisería vegetariana,PARAGUAY 762,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006357,HABITUE,PARAGUAY 700,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007122,VIA CANDOTTI,PARAGUAY 665,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004383,TANCAT,PARAGUAY 639,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024792,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024804,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024803,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024801,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016216,Boca de Toro,Paraguay 685,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005666,MaicFood,PARAGUAY 854,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000490,Mr. Ho,PARAGUAY 887,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005611,Bagels & Bagels,PARAGUAY 831,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009273,Datri,Paraguay 901,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024737,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009300,Starbucks,Esmeralda 902,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016232,"Puerto Madero, Buenos Aires",nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024831,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024832,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024736,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016214,Visit Sky Bar,Maipú 907,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024788,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024802,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024787,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024805,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024793,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016255,Mc donals,Corrientes,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024800,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009761,Rediscover Cafe,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016256,Florida Plaza,Florida 960,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016826,Bellini,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009972,Kentucky,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007210,El Establo,Paraguay,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024786,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000044,nan,FLORIDA 914,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024857,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016250,Bar Do Poetas Culinarios,Marcelo T. de Alvear 628,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016251,Berrinche,San Martín 925,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005485,MC DONALD'S,FLORIDA 944,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006090,DADA,SAN MARTIN 941,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024858,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000867,Parrilla Cero 5,SUIPACHA 930,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009609,Moliere,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007358,Pekin,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004463,nan,SUIPACHA 945,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024731,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002678,Los Remolinos,SUIPACHA 957,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016241,Havanna,Marcelo T. de Alvear 1000,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024735,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003120,Esmeralda,ESMERALDA 957;ESMERALDA 959,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024828,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009760,Trippin,Maipú 944,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024794,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024782,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016262,Barista Restó Bar,Florida 122,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002357,SHOUT Café & Espresso Bar,MAIPU 989,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024783,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024795,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024796,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024797,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009573,Toki,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024827,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009038,Cayena,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC010462,Seven Days,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024826,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016261,Master Wich,Esmeralda 981,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002823,The Temple Bar,"ALVEAR, MARCELO T. De 944",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003962,Valentino Bar,"ALVEAR, MARCELO T. De 930",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024732,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024733,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024734,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024785,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024784,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007883,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016258,Miaokou taiwanése Street foods,Florida 15,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC010037,Wasabi's,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006311,FILO,SAN MARTIN 975,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024856,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024859,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024860,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016308,Chabrés Bar,Marcelo T. de Alvear 554,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005299,1810,"ALVEAR, MARCELO T. De 868",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008703,On Tap Craft Beer,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000802,Fa Song Song,ESMERALDA 999,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009450,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016275,Cevicheria Manaba AR,CABA ,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000271,On Tap,"ALVEAR, MARCELO T. De 818",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024835,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007352,Restaurante Natacha,Marcelo T. de Alvear,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024834,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024730,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024799,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007753,Casanova,Marcelo T. de Alvear,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016309,ReuniÓN GastronomÍA,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC001931,nan,"ALVEAR, MARCELO T. De 666",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024780,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016302,Brozziano,Esmeralda 532,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016303,El Clásico de Quilmes,Esmeralda 574,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016301,Marcelo T,Suipacha,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008088,Croque Madame,Avenida Santa Fe 750,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024777,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008145,La Parrilla,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005054,nan,ESMERALDA 1037,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024729,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002120,Huacho,ESMERALDA 1050,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016293,Restaurant Contraluz,Suipacha 1036,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016292,Helados TINO'S,"Suipacha 1060, Villa Bosch",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008297,Magno,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024833,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024840,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004571,nan,ESMERALDA 1086,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000516,Café Martínez,SANTA FE AV. 920,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009035,Tostado,Avenida Santa Fe 909,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024886,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024885,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006113,DESIDERIO,SANTA FE AV. 801,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024727,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024728,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016343,Poké & Roll,Suipacha 1127,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016348,Los  amigos  casa de comida,sargento cabral 422,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016339,Antares San Miguel,Sargento Cabral 1069,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005974,CAFE PLAZA,SANTA FE AV. 999,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005979,CAFE VINCENT,"PELLEGRINI, CARLOS 1123",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024883,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024758,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024759,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024829,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008859,Bar Flux,Marcelo T. de Alvear,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003158,Pizzería El Correntino,"ALVEAR, MARCELO T. De 1000",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC001373,Gamas,"ALVEAR, MARCELO T. De 975",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC010463,El Bar de Mon,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024837,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007766,Taragüi II,Marcelo T. de Alvear,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008489,Piacere,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024836,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016276,El Faro,Carlos Pellegrini 1061,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006308,FENICIA,"PELLEGRINI, CARLOS 1061",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024838,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008085,Luxushi,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024839,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016351,La Cava de Vittorio Vinoteca,Arenales 964,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024862,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024861,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016306,Restaurante Pekin,Reconquista 945,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016304,Bread Real Food,Marcelo T. de Alvear 433,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024851,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024852,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024850,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016307,Me Tiento,Marcelo T. de Alvear 472,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003416,nan,"ALVEAR, MARCELO T. De 456",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004781,Niza,"ALVEAR, MARCELO T. De 499",Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009443,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016300,Periplo,Marcelo t. de alvear 554,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024853,nan,nan,Retiro,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
