capa,polo,polo_nombre,pieza,que,orden,calle,clave_callejero,largo_m,altura_desde,altura_hasta,tramos_unidos
el borde publicado hoy,R01,Palermo,1,contorno exterior,48,GUATEMALA,GUATEMALA,96.0,5402-5500 / 5401-5499,5402-5500 / 5401-5499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,49,SOLER,SOLER,76.0,5402-5500 / 5401-5499,5402-5500 / 5401-5499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,50,HUMBOLDT,HUMBOLDT,52.0,2002-2100 / 2001-2099,2002-2100 / 2001-2099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,51,NICARAGUA,NICARAGUA,76.0,5402-5500 / 5401-5499,5402-5500 / 5401-5499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,52,HUMBOLDT,HUMBOLDT,64.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,53,COSTA RICA,COSTA RICA,88.0,5402-5500 / 5401-5499,5402-5500 / 5401-5499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,54,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,40.0,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,55,EL SALVADOR,EL SALVADOR,48.0,5402-5500 / 5401-5499,5402-5500 / 5401-5499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,56,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,92.0,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,57,HONDURAS,HONDURAS,84.0,5362-5430 / 5365-5429,5362-5430 / 5365-5429,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,58,ATACALCO,ATACALCO,140.0,1702-1800 / 1701-1799,1702-1800 / 1701-1799,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,59,HONDURAS,HONDURAS,92.0,5362-5430 / 5365-5429,5362-5430 / 5365-5429,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,60,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,208.1,1302-1400 / 1301-1399,1102-1200 / 1101-1199,3
el borde publicado hoy,R01,Palermo,1,contorno exterior,61,SOLER,SOLER,100.0,5262-5400 / 5261-5399,5262-5400 / 5261-5399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,62,GODOY CRUZ,GODOY CRUZ,108.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,63,PARAGUAY,PARAGUAY,124.0,4802-4900 / 4801-4899,4702-4800 / 4701-4799,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,64,DARREGUEYRA,DARREGUEYRA,88.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,65,URIARTE,URIARTE,60.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,66,CHARCAS,CHARCAS,80.0,4402-4500 / 4401-4499,4402-4500 / 4401-4499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,67,THAMES,THAMES,52.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,68,CHARCAS,CHARCAS,48.0,4302-4400 / 4301-4399,4302-4400 / 4301-4399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,69,"BORGES, JORGE LUIS",BORGES JORGE LUIS,80.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,70,GURRUCHAGA,GURRUCHAGA,68.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,71,VIRASORO,VIRASORO,32.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,72,CHARCAS,CHARCAS,68.0,4102-4176 / 4101-4175,4102-4176 / 4101-4175,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,73,ARMENIA,ARMENIA,96.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,74,MALABIA,MALABIA,96.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,75,PARAGUAY,PARAGUAY,84.0,4102-4200 / 4101-4199,4102-4200 / 4101-4199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,76,"SCALABRINI ORTIZ, RAUL AV.",SCALABRINI ORTIZ RAUL AV,92.0,2002-2100 / 2001-2099,2002-2100 / 2001-2099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,77,GUATEMALA,GUATEMALA,60.0,4302-4400 / 4301-4399,4302-4400 / 4301-4399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,78,ARAOZ,ARAOZ,152.1,1902-2000 / 1901-1999,1802-1900 / 1801-1899,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,79,"ALVAREZ, JULIAN",ALVAREZ JULIAN,32.0,1702-1900 / 1701-1899,1702-1900 / 1701-1899,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,80,GASCON,GASCON,60.0,1602-1700 / 1601-1699,1602-1700 / 1601-1699,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,81,COSTA RICA,COSTA RICA,64.0,4202-4300 / 4201-4299,4202-4300 / 4201-4299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,82,EL SALVADOR,EL SALVADOR,80.0,4302-4400 / 4301-4399,4302-4400 / 4301-4399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,83,ARAOZ,ARAOZ,160.1,1502-1600 / 1501-1599,1402-1500 / 1401-1499,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,84,GORRITI,GORRITI,96.0,4502-4600 / 4501-4599,4502-4600 / 4501-4599,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,85,ARAOZ,ARAOZ,92.0,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,86,"CABRERA, JOSE A.",CABRERA JOSE A,80.0,4402-4500 / 4401-4499,4402-4500 / 4401-4499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,87,MASON,MASON,60.0,4402-4500 / 4401-4499,4402-4500 / 4401-4499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,88,"ALVAREZ, JULIAN",ALVAREZ JULIAN,60.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,89,CORDOBA AV.,CORDOBA AV,312.1,4402-4500 / 4401-4499,4602-4700 / 4601-4699,3
el borde publicado hoy,R01,Palermo,1,contorno exterior,90,MALABIA,MALABIA,32.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,91,CORDOBA AV.,CORDOBA AV,92.0,4702-4800 / 4701-4799,4702-4800 / 4701-4799,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,92,ACEVEDO,ACEVEDO,60.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,93,LERMA,LERMA,96.0,602-700 / 601-699,602-700 / 601-699,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,94,GURRUCHAGA,GURRUCHAGA,44.0,1102-1190 / 1101-1189,1102-1190 / 1101-1189,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,95,SERRANO,SERRANO,116.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,96,THAMES,THAMES,60.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,97,CORDOBA AV.,CORDOBA AV,144.0,5102-5200 / 5101-5199,5102-5200 / 5101-5199,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,98,THAMES,THAMES,40.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,99,JUFRE,JUFRE,64.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,100,THAMES,THAMES,92.0,1002-1100 / 1001-1099,1002-1100 / 1001-1099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,101,CASTILLO,CASTILLO,48.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,102,URIARTE,URIARTE,80.0,902-1000 / 901-983,902-1000 / 901-983,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,103,CASTILLO,CASTILLO,44.0,1002-1100 / 1001-1099,1002-1100 / 1001-1099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,104,URIARTE,URIARTE,148.1,902-1000 / 901-983,802-900 / 801-899,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,105,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,40.0,2102-2200 / 2101-2199,2102-2200 / 2101-2199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,106,AGUIRRE,AGUIRRE,100.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,107,DARWIN,DARWIN,152.1,902-1000 / 901-999,1002-1100 / 1001-1099,2
el borde publicado hoy,R01,Palermo,2,contorno exterior,1,DEL LIBERTADOR AV.,DEL LIBERTADOR AV,548.2,5302-5400 / s/n,5002-5100 / 5001-5099,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,2,OLLEROS AV.,OLLEROS AV,68.0,s/n / 1601-1699,1602-1700 / s/n,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,3,DEL LIBERTADOR AV.,DEL LIBERTADOR AV,72.0,4902-5000 / 4901-4999,4902-5000 / 4901-4999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,4,GOROSTIAGA,GOROSTIAGA,36.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,5,DEL LIBERTADOR AV.,DEL LIBERTADOR AV,108.0,4802-4900 / 4801-4899,4802-4900 / 4801-4899,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,6,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,620.2,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,7,DEL LIBERTADOR AV.,DEL LIBERTADOR AV,484.2,3902-4400 / 3901-4399,3902-4400 / 3901-4399,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,8,ARCE,ARCE,100.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,9,"ARGUIBEL, ANDRES",ARGUIBEL ANDRES,88.0,2802-2900 / 2801-2899,2802-2900 / 2801-2899,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,10,BAEZ,BAEZ,48.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,11,CLAY,CLAY,88.0,2902-3000 / 2901-2999,2902-3000 / 2901-2999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,12,HUERGO,HUERGO,48.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,13,DORREGO AV.,DORREGO AV,88.0,2802-2900 / 2801-2899,2802-2900 / 2801-2899,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,14,"CAMPOS, LUIS M. AV.",CAMPOS LUIS M AV,32.0,202-210 / 201-209,202-210 / 201-209,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,15,"RAVIGNANI, EMILIO, DR.",RAVIGNANI EMILIO DR,156.1,2502-2600 / 2501-2599,2402-2500 / 2401-2499,2
el borde publicado hoy,R01,Palermo,2,contorno exterior,16,SANTA FE AV.,SANTA FE AV,52.0,s/n / 5201-5299,5202-5300 / s/n,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,17,"RAVIGNANI, EMILIO, DR.",RAVIGNANI EMILIO DR,88.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,18,PARAGUAY,PARAGUAY,92.0,5502-5600 / 5501-5599,5502-5600 / 5501-5599,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,19,AREVALO,AREVALO,44.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,20,PARAGUAY,PARAGUAY,36.0,5602-5666 / 5601-5655,5602-5666 / 5601-5655,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,21,DORREGO,DORREGO,48.0,2502-2536 / 2501-2535,2502-2536 / 2501-2535,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,22,CABILDO AV.,CABILDO AV,92.0,2-100 / s/n,s/n / 1-99,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,23,"SAVIO, MANUEL N., GRAL.",SAVIO MANUEL N GRAL,104.0,202-400 / 201-399,202-400 / 201-399,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,24,MAURE,MAURE,108.0,2102-2200 / 2101-2199,2102-2200 / 2101-2199,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,25,MALASIA,MALASIA,112.0,802-900 / 801-899,802-900 / 801-899,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,26,GOROSTIAGA,GOROSTIAGA,36.0,2002-2100 / 2001-2099,2002-2100 / 2001-2099,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,27,VILLANUEVA,VILLANUEVA,40.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,28,GOROSTIAGA,GOROSTIAGA,108.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,29,OLLEROS,OLLEROS,136.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,30,"LACROZE, FEDERICO AV.",LACROZE FEDERICO AV,116.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,31,"GARCIA, TEODORO",GARCIA TEODORO,88.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R01,Palermo,2,contorno exterior,32,"CAMPOS, LUIS M. AV.",CAMPOS LUIS M AV,200.1,1302-1400 / 1301-1399,1402-1500 / 1401-1499,2
el borde publicado hoy,R01,Palermo,2,contorno exterior,33,SOLDADO DE LA INDEPENDENCIA,SOLDADO DE LA INDEPENDENCIA,72.0,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,1,RIOBAMBA,RIOBAMBA,32.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,2,SARMIENTO,SARMIENTO,36.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,3,CORRIENTES AV.,CORRIENTES AV,32.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,4,LAVALLE,LAVALLE,44.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,5,RIOBAMBA,RIOBAMBA,44.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,6,CALLAO AV.,CALLAO AV,48.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,7,RODRIGUEZ PEÑA,RODRIGUEZ PENA,40.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,8,MONTEVIDEO,MONTEVIDEO,32.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,9,PARANA,PARANA,36.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,10,URUGUAY AV.,URUGUAY AV,32.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,11,TALCAHUANO,TALCAHUANO,36.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,12,LIBERTAD,LIBERTAD,36.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,13,CERRITO,CERRITO,36.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,14,9 DE JULIO AV.,9 DE JULIO AV,68.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,15,"PELLEGRINI, CARLOS",PELLEGRINI CARLOS,36.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,16,LAVALLE,LAVALLE,60.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,17,SUIPACHA,SUIPACHA,160.0,402-500 / 401-499,302-400 / 301-399,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,18,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",SAENZ PENA ROQUE PRES DIAGONAL NORTE AV,44.0,902-950 / 901-949,902-950 / 901-949,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,19,SARMIENTO,SARMIENTO,36.0,902-950 / 901-949,902-950 / 901-949,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,20,CARABELAS,CARABELAS,40.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,21,"PELLEGRINI, CARLOS",PELLEGRINI CARLOS,36.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,22,9 DE JULIO AV.,9 DE JULIO AV,76.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,23,CERRITO,CERRITO,32.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,24,LIBERTAD,LIBERTAD,32.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,25,TALCAHUANO,TALCAHUANO,32.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,26,URUGUAY,URUGUAY,36.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,27,PARANA,PARANA,36.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,28,MONTEVIDEO,MONTEVIDEO,32.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,29,RODRIGUEZ PEÑA,RODRIGUEZ PENA,32.0,202-300 / 201-299,202-300 / 201-299,1
el borde publicado hoy,R02,Avenida Corrientes,1,contorno exterior,30,CALLAO AV.,CALLAO AV,36.0,202-300 / 201-299,202-300 / 201-299,1
