polo_id,zonas_publicadas_encima,n_locales,ha,locales_x_ha,clase_densidad,barrios,barrio_principal,comunas,calles_dominantes,pct_locales_con_direccion,n_hitos_adentro,hitos_adentro,d_a_zona_publicada_m
P041,ninguna,60,12.73,4.715,concentración,Floresta (53); Flores (7),Floresta,7; 10,Rivadavia (14); Venancio Flores (4); Bacacay (2); Cuenca (2); Portela (1); Pergamino (1),48.3,0,ninguno,1818.2
P087,ninguna,56,5.8,9.659,concentración,Palermo (56),Palermo,14,Godoy Cruz (8); Santa Fe (5); Beruti (2); Fray Justo Santamaria De Oro (2); Fray Justo Santa Maria De Oro (2); Juan Bautista Justo (2),46.4,0,ninguno,311.2
P061,ninguna,54,6.93,7.796,concentración,Flores (54),Flores,7,Jose Gervasio Artigas (5); Yerbal (4); Varela (3); Ramon L Falcon (3); Rivadavia (3); Jose G Artigas (3),48.1,0,ninguno,848.0
P040,ninguna,54,10.46,5.163,concentración,Villa Santa Rita (36); Villa Del Parque (18),Villa Santa Rita,11,Nazca (19); Alvarez Jonte (3); Adolfo P Carranza (2); Abasto De Bs As (1); Elpidio Gonzalez (1); San Blas (1),50.0,0,ninguno,1321.8
P086,ninguna,54,7.95,6.793,concentración,Palermo (30); Almagro (13); Villa Crespo (11),Palermo,5; 14; 15,Cordoba (15); Gascon (4); Medrano (3); Francisco Acuna De Figueroa (3); Estado De Palestina (3); Lavalle (1),57.4,0,ninguno,285.6
P085,ninguna,53,8.77,6.043,concentración,Balvanera (21); Monserrat (15); Constitucion (10); San Cristobal (7),Balvanera,1; 3,Entre Rios (14); Independencia (12); Solis (3); Combate De Los Pozos (3); Chile (2),64.2,0,ninguno,660.0
P033,ninguna,52,16.68,3.118,concentración extendida,La Boca (52),La Boca,4,Brown (10); Necochea (3); Wenceslao Villafane (3); Suarez (1); Olavarria (1); Martin Rodriguez (1),44.2,2,CAFE ROMA (Bar Notable); Il Matterello (Restaurante Icónico),839.1
P094,ninguna,51,6.37,8.01,concentración,Monserrat (51),Monserrat,1,Salta (13); Mexico (4); Lima (4); Chile (3); Belgrano (3); Republica Bolivariana De Venezuela (3),60.8,0,ninguno,306.1
P070,ninguna,50,5.66,8.835,concentración,Saavedra (28); Nuñez (22),Saavedra,12; 13,Cabildo (12); San Isidro Labrador (4); Ramallo (3); Cuenca (1); Pico (1); Arias (1),46.0,0,ninguno,634.9
P015,ninguna,50,12.12,4.124,concentración extendida,Parque Chacabuco (50),Parque Chacabuco,7,Asamblea (10); Del Barco Centenera (7); Avelino Diaz (2); Castanares (1); Emilio Mitre (1); Cachimayo (1),44.0,0,ninguno,528.8
P009,ninguna,50,24.65,2.029,concentración extendida,Parque Avellaneda (26); Velez Sarsfield (14); Floresta (10),Parque Avellaneda,9; 10,Directorio (13); Lacarra (4); Juan Bautista Alberdi (4); Olivera (4); Jose Bonifacio (2); Bolanos (1),62.0,0,ninguno,2269.8
P067,ninguna,49,7.32,6.69,concentración,Nuñez (49),Nuñez,13,Crisologo Larralde (10); 11 De Septiembre (4); Arribenos (3); Del Libertador (2); Nunez (2); Jaramillo (1),49.0,0,ninguno,326.3
P008,ninguna,49,23.52,2.083,concentración extendida,Barracas (49),Barracas,4,Vieytes (6); Iriarte (5); San Antonio (4); Hipolito Vieytes (3); California (1); Goncalves Dias (1),51.0,1,LOS LAURELES (Bar Notable),1733.6
P006,ninguna,48,28.18,1.703,concentración extendida,Mataderos (48),Mataderos,9,De Los Corrales (15); Lisandro De La Torre (8); Cosquin (2); Cardenas (1); Guamini (1); Lisandro De La Torre Y Tandil\N (1),64.6,1,BAR OVIEDO (Bar Notable),5336.2
P059,ninguna,48,6.08,7.89,concentración,Flores (48),Flores,7,Nazca (8); Rivadavia (6); San Pedrito (2); Yerbal (2); Venancio Flores (1); Bacacay (1),43.8,0,ninguno,1175.4
P083,ninguna,47,5.67,8.295,concentración,Almagro (47),Almagro,5,Juan Domingo Peron (8); Gascon (5); Sarmiento (2); Eva Peron (2); Estado De Palestina (1); Corrientes (1),40.4,0,ninguno,212.9
P025-2,ninguna,47,4.89,9.618,concentración,Monte Castro (40); Villa Luro (7),Monte Castro,10,Lope De Vega (12); Alvarez Jonte (7); Cuenca (1); La Nina (1); Calderon De La Barca (1); Jose Maria Verduga (1),51.1,0,ninguno,1180.0
P058,ninguna,46,11.39,4.038,concentración extendida,Flores (43); Parque Chacabuco (3),Flores,7,Carabobo (10); Directorio (5); Boyaca (4); Juan Bautista Alberdi (2); Rivadavia (2); Fray Luis Beltran (1),58.7,0,ninguno,215.7
P007,ninguna,45,8.96,5.025,concentración,Belgrano (45),Belgrano,13,Antonio Jose De Sucre (8); Figueroa Alcorta (2); La Pampa (2); Castaneda (2); Echeverria (1); Ramsay (1),35.6,2,Kōnā (MICHELIN); Narda Comedor (MICHELIN),704.4
P064,ninguna,45,9.12,4.932,concentración,Palermo (45),Palermo,14,Sinclair (5); Del Libertador (5); Cervino (3); Infanta Isabel (3); Demaria (2); Juan Francisco Segui (2),66.7,0,ninguno,640.4
P060,ninguna,43,5.85,7.349,concentración,Flores (43),Flores,7,Rivadavia (6); Ramon L Falcon (4); Esteban Bonorino (3); Rivera Indarte (3); Gavilan (1); Membrillar (1),48.8,0,ninguno,430.9
P010,ninguna,43,10.63,4.045,concentración extendida,Floresta (26); Velez Sarsfield (17),Floresta,10,Segurola (11); Sanabria (3); Alejandro Magarinos Cervantes (3); Cesar Diaz (2); San Blas (2); Camarones (1),55.8,0,ninguno,2057.1
P031,ninguna,42,7.58,5.541,concentración,Floresta (32); Velez Sarsfield (10),Floresta,10,Gaona (6); Segurola (4); Juan B Justo (3); Avellaneda (2); Mercedes (2); Juan Bautista Justo (2),47.6,0,ninguno,2826.1
P025-1,ninguna,42,10.19,4.12,concentración extendida,Monte Castro (42),Monte Castro,10,Alvarez Jonte (12); Segurola (5); Allende (1); Miranda (1); Benito Juarez (1),50.0,0,ninguno,1195.5
P013,ninguna,42,10.79,3.893,concentración extendida,Mataderos (42),Mataderos,9,Juan Bautista Alberdi (13); Andalgala (2); Saladillo (1); Cuenca (1); Bragado (1); Severo Garcia Grande De Zequeira (1),59.5,1,CLUB GLORIAS ARGENTINAS (Bar Notable),4770.6
P050,ninguna,42,5.07,8.277,concentración,Caballito (42),Caballito,6,Hidalgo (7); Honorio Pueyrredon (6); Felipe Vallese (3); Arengreen (2); Mendez De Andes (1),45.2,0,ninguno,291.6
P069,ninguna,42,7.59,5.53,concentración,Belgrano (42),Belgrano,13,Echeverria (8); Zapiola (4); Juramento (3); Conde (2); Cap Ramon Freire (1); Cramer (1),47.6,0,ninguno,177.0
P011,ninguna,41,7.08,5.791,concentración,Saavedra (41),Saavedra,12,Vedia (8); Dot Baires Shopping (3); Tronador (2); Posta (2); Melian (2); Pico (1),58.5,0,ninguno,1564.9
P019,ninguna,41,20.78,1.973,concentración extendida,Parque Patricios (26); San Cristobal (15),Parque Patricios,3; 4,Brasil (5); Alberti (4); Jujuy (3); Juan De Garay (3); Matheu (2); Inclan (1),51.2,0,ninguno,1107.1
P036,ninguna,41,9.86,4.159,concentración extendida,Flores (28); Villa Gral. Mitre (12); Villa Santa Rita (1),Flores,7; 11,Gaona (14); Boyaca (3); Gavilan (2); Jose Gervasio Artigas (1); 1584 Gaona (1),51.2,0,ninguno,1131.3
P109,ninguna,41,3.29,12.472,concentración,San Nicolas (14); Recoleta (14); Balvanera (13),San Nicolas,1; 2; 3,Callao (7); Cordoba (5); Viamonte (2); Paraguay (1); Riobamba (1),39.0,0,ninguno,180.7
P055,ninguna,40,8.52,4.695,concentración,Balvanera (40),Balvanera,3,La Rioja (9); Urquiza (6); Mexico (2); Independencia (2); Agrelo (1); Belgrano (1),60.0,0,ninguno,524.3
P034,ninguna,40,10.66,3.752,concentración extendida,Monte Castro (14); Villa Del Parque (14); Villa Santa Rita (12),Monte Castro,10; 11,Alvarez Jonte (9); Emilio Lamarca (4); Miranda (2); Bahia Blanca (2); Lascano (1); Tokio (1),50.0,1,EL TOKIO (Bar Notable),1500.8
P072-3,ninguna,40,5.08,7.88,concentración,Belgrano (40),Belgrano,13,Monroe (13); Cramer (3); Zapiola (1); Ricardo Balbin (1); Vidal (1); Moldes (1),50.0,0,ninguno,88.2
