local_id,polo_id,polo_final,polo_unido,barrio,comuna
LOC000055,,,,Monserrat,1.0
LOC000056,,,,Chacarita,15.0
LOC000057,,,,Barracas,4.0
LOC000058,,,,San Nicolas,1.0
LOC000059,,,,Constitucion,1.0
LOC000060,,,,Flores,7.0
LOC000061,,,,Balvanera,3.0
LOC000062,,,,Recoleta,2.0
LOC000063,P108,P108,P108,Monserrat,1.0
LOC000064,P054,P054,P054,Flores,7.0
LOC000065,P035,P035,P035,Villa Devoto,11.0
LOC000066,,,,Constitucion,1.0
LOC000067,,,,Recoleta,2.0
LOC000068,P058,P058,P058,Flores,7.0
LOC000069,P051,P051,P051,Constitucion,1.0
LOC000070,P098,P098,P098,Recoleta,2.0
LOC000071,,,,Recoleta,2.0
LOC000072,,,,San Nicolas,1.0
LOC000073,P091,P091,P091,Palermo,14.0
LOC000074,P047,P047,P047,Caballito,6.0
LOC000075,P094,P094,P094,Monserrat,1.0
LOC000076,P104,P104,P104,Recoleta,2.0
LOC000077,P072,,,Belgrano,13.0
LOC000081,P117,P117,P117,San Nicolas,1.0
LOC000082,,,,Villa Crespo,15.0
LOC000083,,,,Retiro,1.0
LOC000084,P104,P104,P104,Palermo,14.0
LOC000085,P078,P078,P078,Palermo,14.0
LOC000087,P084,P084,P084,Almagro,5.0
LOC000088,P045,P045,P045,Villa Urquiza,12.0
LOC000090,P087,P087,P087,Palermo,14.0
LOC000091,P031,P031,P031,Velez Sarsfield,10.0
LOC000092,P018,,,Monte Castro,10.0
LOC000093,,,,Balvanera,3.0
LOC000094,,,,Boedo,5.0
LOC000096,,,,Villa Crespo,15.0
LOC000097,P046,P046,P046,Villa Urquiza,12.0
LOC000099,,,,Saavedra,12.0
LOC000101,P048,P048,P048,Colegiales,13.0
LOC000102,,,,Monserrat,1.0
LOC000103,P074,P074,P074,Villa Crespo,15.0
LOC000104,P072,P072-3,P072-3,Belgrano,13.0
LOC000105,,,,Recoleta,2.0
LOC000106,P067,P067,P067,Nuñez,13.0
LOC000107,P025,P025-1,P025-1,Monte Castro,10.0
LOC000109,,,,Parque Patricios,4.0
LOC000110,,,,Recoleta,2.0
LOC000111,,,,Villa Gral. Mitre,11.0
LOC000112,,,,Villa Urquiza,12.0
LOC000113,P053,P053,P053,Boedo,5.0
LOC000114,P052,P052,P052,Flores,7.0
LOC000115,,,,Saavedra,12.0
LOC000116,P066,P066,P066,Barracas,4.0
LOC000117,P032,P032,P032,La Boca,4.0
LOC000118,,,,Villa Pueyrredon,12.0
LOC000120,,,,Recoleta,2.0
LOC000121,P018,,,Villa Devoto,11.0
LOC000122,P092,P092,P092,Palermo,14.0
LOC000124,P044,P044,P044,San Cristobal,3.0
LOC000125,P021,P021,P021,Liniers,9.0
LOC000126,,,,Palermo,14.0
LOC000127,P106,P106,P106,Recoleta,2.0
LOC000128,,,,Recoleta,2.0
LOC000129,,,,Villa Pueyrredon,12.0
LOC000130,P079,P079,P079,Caballito,6.0
LOC000131,,,,Villa Crespo,15.0
LOC000132,P092,P092,P092,Palermo,14.0
LOC000133,,,,Caballito,6.0
LOC000134,,,,Retiro,1.0
LOC000135,,,,Caballito,6.0
LOC000136,P025,,,Villa Devoto,11.0
LOC000137,,,,Almagro,5.0
LOC000138,,,,Balvanera,3.0
LOC000139,P108,P108,P108,Monserrat,1.0
LOC000140,P104,P104,P104,Palermo,14.0
LOC000141,,,,Almagro,5.0
LOC000142,P084,P084,P084,Balvanera,3.0
LOC000143,P073,P073,P073,Palermo,14.0
LOC000144,,,,Palermo,14.0
LOC000146,,,,San Nicolas,1.0
LOC000147,,,,Recoleta,2.0
LOC000149,P085,P085,P085,Monserrat,1.0
LOC000150,,,,La Boca,4.0
LOC000151,P093,P093,P093,Balvanera,3.0
LOC000152,P114,P114,P114,San Nicolas,1.0
LOC000153,,,,Balvanera,3.0
LOC000154,P091,P091,P091,Palermo,14.0
LOC000156,,,,Barracas,4.0
LOC000157,P077,P077,P077,Villa Crespo,15.0
LOC000158,,,,Villa Urquiza,12.0
LOC000159,,,,Boedo,5.0
LOC000160,P076,P076,P076,Recoleta,2.0
LOC000161,,,,Almagro,5.0
LOC000162,P021,P021,P021,Liniers,9.0
LOC000163,P078,P078,P078,Palermo,14.0
LOC000164,P070,P070,P070,Saavedra,12.0
LOC000166,P021,P021,P021,Liniers,9.0
LOC000167,P030,P030,P030,Puerto Madero,1.0
LOC000168,P078,P078,P078,Colegiales,13.0
LOC000169,P051,P051,P051,Constitucion,1.0
LOC000171,,,,Balvanera,3.0
LOC000172,,,,Boedo,5.0
LOC000173,P043,P043,P043,Paternal,15.0
LOC000174,,,,Constitucion,1.0
LOC000175,,,,Villa Devoto,11.0
LOC000177,P073,P073,P073,Palermo,14.0
LOC000178,P103,P103,P103,San Telmo,1.0
LOC000179,P040,P040,P040,Villa Santa Rita,11.0
LOC000180,P072,,,Palermo,14.0
LOC000181,P072,,,Colegiales,13.0
LOC000182,,,,Monserrat,1.0
LOC000183,P043,P043,P043,Villa Crespo,15.0
LOC000184,,,,Villa Urquiza,12.0
LOC000185,P047,P047,P047,Caballito,6.0
LOC000186,P074,P074,P074,Villa Crespo,15.0
LOC000187,,,,Monserrat,1.0
LOC000188,,,,Floresta,10.0
LOC000190,,,,Balvanera,3.0
LOC000191,P072,,,Belgrano,13.0
LOC000192,P091,P091,P091,Palermo,14.0
LOC000193,P025,,,Monte Castro,10.0
LOC000194,P059,P059,P059,Flores,7.0
LOC000195,P091,P091,P091,Palermo,14.0
LOC000196,P072,,,Belgrano,13.0
LOC000197,P093,P093,P093,Balvanera,3.0
LOC000199,,,,Retiro,1.0
LOC000200,,,,San Telmo,1.0
LOC000201,P062,P062,P062,Almagro,5.0
LOC000203,P056,P056,P056,Caballito,6.0
LOC000204,P020,P020,P020,Villa Luro,10.0
LOC000206,P025,P025-2,P025-2,Monte Castro,10.0
LOC000207,,,,Boedo,5.0
LOC000208,,,,Balvanera,3.0
LOC000210,P043,P043,P043,Caballito,6.0
LOC000211,P103,P103,P103,San Telmo,1.0
LOC000212,P016,P016,P016,Villa Devoto,11.0
LOC000213,,,,Palermo,14.0
LOC000214,P065,P065,P065,Palermo,14.0
LOC000215,P072,P072-4,P072-4,Belgrano,13.0
LOC000216,,,,Recoleta,2.0
LOC000219,,,,Flores,7.0
LOC000220,P025,P025-2,P025-2,Monte Castro,10.0
LOC000222,,,,Balvanera,3.0
LOC000223,P022,P022,P022,Saavedra,12.0
LOC000224,P043,P043,P043,Paternal,15.0
LOC000226,,,,La Boca,4.0
LOC000227,,,,Coghlan,12.0
LOC000228,,,,Recoleta,2.0
LOC000229,,,,Palermo,14.0
LOC000230,P101,P101,P101+P099,Balvanera,3.0
LOC000231,P072,,,Belgrano,13.0
LOC000232,P113,P113,P113,San Nicolas,1.0
LOC000233,P036,P036,P036,Villa Gral. Mitre,11.0
LOC000234,,,,Villa Urquiza,12.0
LOC000235,P068,P068,P068,Chacarita,15.0
LOC000236,,,,Almagro,5.0
LOC000237,P065,P065,P065,Belgrano,13.0
LOC000238,,,,Villa Luro,10.0
LOC000239,,,,Villa Devoto,11.0
LOC000240,,,,Barracas,4.0
LOC000241,,,,Colegiales,13.0
LOC000242,,,,Monte Castro,10.0
LOC000243,,,,Velez Sarsfield,10.0
LOC000244,P078,P078,P078,Palermo,14.0
LOC000245,P021,P021,P021,Liniers,9.0
LOC000246,P076,P076,P076,Recoleta,2.0
LOC000247,P035,P035,P035,Villa Devoto,11.0
LOC000248,P092,P092,P092,Palermo,14.0
LOC000249,P111,P111,P111,Monserrat,1.0
LOC000250,,,,Balvanera,3.0
LOC000251,P111,P111,P111,San Nicolas,1.0
LOC000252,P063,P063,P063,Villa Crespo,15.0
LOC000253,P065,P065,P065,Palermo,14.0
LOC000254,P072,,,Belgrano,13.0
LOC000255,P112,P112,P112,San Nicolas,1.0
LOC000258,,,,Balvanera,3.0
LOC000259,P080,P080,P080,Villa Crespo,15.0
LOC000260,P016,P016,P016,Villa Devoto,11.0
LOC000261,P043,P043,P043,Villa Crespo,15.0
LOC000262,,,,Villa Urquiza,12.0
LOC000263,P065,P065,P065,Palermo,14.0
LOC000264,P059,P059,P059,Flores,7.0
LOC000265,P115,P115,P115,Retiro,1.0
LOC000267,P091,P091,P091,Palermo,14.0
LOC000268,,,,Palermo,14.0
LOC000270,P045,P045,P045,Villa Ortuzar,15.0
LOC000271,P118,P118,P118,Retiro,1.0
LOC000272,P045,P045,P045,Villa Ortuzar,15.0
LOC000273,P113,P113,P113,San Nicolas,1.0
LOC000274,P052,P052,P052,Floresta,10.0
LOC000275,,,,Flores,7.0
LOC000276,,,,Villa Crespo,15.0
LOC000277,P112,P112,P112,San Nicolas,1.0
LOC000278,P064,P064,P064,Palermo,14.0
LOC000279,P080,P080,P080,Villa Crespo,15.0
LOC000280,P115,P115,P115,Retiro,1.0
LOC000281,,,,Liniers,9.0
LOC000282,P028,P028,P028,Villa Pueyrredon,12.0
LOC000284,,,,Balvanera,3.0
LOC000285,P074,P074,P074,Villa Crespo,15.0
LOC000286,P113,P113,P113,San Nicolas,1.0
LOC000287,,,,Balvanera,3.0
LOC000288,P018,P018-2,P018-2,Villa Devoto,11.0
LOC000289,P037,P037,P037,Villa Del Parque,11.0
LOC000290,,,,Chacarita,15.0
LOC000291,,,,Constitucion,1.0
LOC000292,P091,P091,P091,Palermo,14.0
LOC000294,,,,Retiro,1.0
LOC000296,P094,P094,P094,Monserrat,1.0
LOC000297,P072,,,Palermo,14.0
LOC000298,P016,P016,P016,Villa Devoto,11.0
LOC000299,P016,P016,P016,Villa Devoto,11.0
LOC000300,,,,Caballito,6.0
LOC000303,P045,P045,P045,Villa Urquiza,12.0
LOC000304,P117,P117,P117,San Nicolas,1.0
LOC000305,P062,P062,P062,Almagro,5.0
LOC000306,P089,P089,P090+P089,Palermo,14.0
LOC000307,P078,P078,P078,Palermo,14.0
LOC000308,P072,,,Belgrano,13.0
LOC000309,P048,P048,P048,Colegiales,13.0
LOC000310,P037,P037,P037,Villa Del Parque,11.0
LOC000311,P056,P056,P056,Caballito,6.0
LOC000312,P113,P113,P113,San Nicolas,1.0
LOC000313,P027,P027,P027,Parque Patricios,4.0
LOC000314,P073,P073,P073,Palermo,14.0
LOC000315,P101,P101,P101+P099,Balvanera,3.0
LOC000316,P045,P045,P045,Villa Urquiza,12.0
LOC000317,P062,P062,P062,Boedo,5.0
LOC000318,P097,P097,P097,Recoleta,2.0
LOC000320,P074,P074,P074,Villa Crespo,15.0
LOC000321,,,,Balvanera,3.0
LOC000323,,,,Balvanera,3.0
LOC000324,P097,P097,P097,Recoleta,2.0
LOC000325,P016,P016,P016,Villa Devoto,11.0
LOC000326,,,,Villa Crespo,15.0
LOC000327,,,,Nuñez,13.0
LOC000328,P018,,,Villa Devoto,11.0
LOC000329,P059,P059,P059,Flores,7.0
LOC000330,P058,P058,P058,Flores,7.0
LOC000331,,,,Balvanera,3.0
LOC000332,P047,P047,P047,Caballito,6.0
LOC000333,P110,P110,P110,Recoleta,2.0
LOC000335,,,,Colegiales,13.0
LOC000336,,,,San Nicolas,1.0
LOC000337,P110,P110,P110,Recoleta,2.0
LOC000339,P076,P076,P076,Palermo,14.0
LOC000340,P018,,,Villa Devoto,11.0
LOC000342,P082,P082,P082,Almagro,5.0
LOC000343,,,,Villa Crespo,15.0
LOC000344,,,,Villa Gral. Mitre,11.0
LOC000345,P072,P072-4,P072-4,Belgrano,13.0
LOC000346,P016,P016,P016,Villa Devoto,11.0
LOC000347,P092,P092,P092,Palermo,14.0
LOC000348,P111,P111,P111,San Nicolas,1.0
LOC000349,P063,P063,P063,Caballito,6.0
LOC000350,,,,Caballito,6.0
LOC000351,P080,P080,P080,Villa Crespo,15.0
LOC000353,,,,Balvanera,3.0
LOC000354,P027,P027,P027,Boedo,5.0
LOC000355,,,,Palermo,14.0
LOC000356,P072,,,Belgrano,13.0
LOC000357,P046,P046,P046,Villa Urquiza,12.0
LOC000358,P091,P091,P091,Palermo,14.0
LOC000359,P072,,,Palermo,14.0
LOC000360,P052,P052,P052,Floresta,10.0
LOC000361,,,,Recoleta,2.0
LOC000362,,,,Balvanera,3.0
LOC000363,,,,Villa Urquiza,12.0
LOC000365,P037,P037,P037,Villa Del Parque,11.0
LOC000366,,,,Monserrat,1.0
LOC000367,P066,P066,P066,Barracas,4.0
LOC000368,,,,Boedo,5.0
LOC000369,P025,,,Villa Devoto,11.0
LOC000370,,,,Barracas,4.0
LOC000371,,,,Paternal,15.0
LOC000372,P037,P037,P037,Villa Del Parque,11.0
LOC000373,P078,P078,P078,Chacarita,15.0
LOC000374,P065,P065,P065,Palermo,14.0
LOC000376,P085,P085,P085,Balvanera,3.0
LOC000378,,,,Caballito,6.0
LOC000379,,,,La Boca,4.0
LOC000380,,,,Almagro,5.0
LOC000381,,,,Constitucion,1.0
LOC000382,P062,P062,P062,Almagro,5.0
LOC000383,P072,P072-2,P072-2,Palermo,14.0
LOC000384,,,,Palermo,14.0
LOC000385,P116,P116,P116,San Nicolas,1.0
LOC000386,,,,San Cristobal,3.0
LOC000387,,,,Parque Patricios,4.0
LOC000388,,,,La Boca,4.0
LOC000389,P025,P025-1,P025-1,Monte Castro,10.0
LOC000390,P059,P059,P059,Flores,7.0
LOC000391,P037,P037,P037,Villa Del Parque,11.0
LOC000392,P012,P012,P012,Mataderos,9.0
LOC000393,P042,P042,P042,Velez Sarsfield,10.0
LOC000394,P103,P103,P103,San Telmo,1.0
LOC000395,P072,,,Nuñez,13.0
LOC000396,P093,P093,P093,Balvanera,3.0
LOC000397,P072,,,Belgrano,13.0
LOC000398,,,,Villa Urquiza,12.0
LOC000400,P081,P081,P081,Villa Crespo,15.0
LOC000403,,,,Flores,7.0
LOC000404,,,,Caballito,6.0
LOC000405,,,,Balvanera,3.0
LOC000406,P091,P091,P091,Palermo,14.0
LOC000407,P091,P091,P091,Palermo,14.0
LOC000409,,,,San Nicolas,1.0
LOC000410,,,,Parque Chacabuco,7.0
LOC000411,P047,P047,P047,Caballito,6.0
LOC000412,,,,Villa Gral. Mitre,11.0
LOC000413,,,,Caballito,6.0
LOC000414,P022,P022,P022,Saavedra,12.0
LOC000415,P072,P072-4,P072-4,Belgrano,13.0
LOC000417,P108,P108,P108,Monserrat,1.0
LOC000418,P056,P056,P056,Caballito,6.0
LOC000419,,,,Villa Santa Rita,11.0
LOC000420,,,,Villa Crespo,15.0
LOC000422,P021,P021,P021,Liniers,9.0
LOC000423,,,,Constitucion,1.0
LOC000424,P091,P091,P091,Palermo,14.0
LOC000425,P106,P106,P106,Recoleta,2.0
LOC000426,P078,P078,P078,Palermo,14.0
LOC000427,,,,Caballito,6.0
LOC000428,P100,P100,P100,San Nicolas,1.0
LOC000429,P041,P041,P041,Flores,7.0
LOC000430,,,,Balvanera,3.0
LOC000431,P074,P074,P074,Villa Crespo,15.0
LOC000432,P016,P016,P016,Villa Devoto,11.0
LOC000433,,,,Almagro,5.0
LOC000434,P018,P018-1,P018-1,Villa Devoto,11.0
LOC000436,,,,La Boca,4.0
LOC000438,,,,Monserrat,1.0
LOC000439,P111,P111,P111,Monserrat,1.0
LOC000440,,,,Chacarita,15.0
LOC000442,,,,Balvanera,3.0
LOC000443,P027,P027,P027,Parque Patricios,4.0
LOC000444,,,,Barracas,4.0
LOC000445,,,,Balvanera,3.0
LOC000446,,,,Paternal,15.0
LOC000448,P116,P116,P116,San Nicolas,1.0
LOC000450,P075,P075,P075,Chacarita,15.0
LOC000451,,,,Balvanera,3.0
LOC000453,P098,P098,P098,Recoleta,2.0
LOC000454,P106,P106,P106,Recoleta,2.0
LOC000455,P091,P091,P091,Palermo,14.0
LOC000457,,,,Caballito,6.0
LOC000458,P032,P032,P032,La Boca,4.0
LOC000459,P072,,,Colegiales,13.0
LOC000461,P078,P078,P078,Palermo,14.0
LOC000464,P084,P084,P084,Balvanera,3.0
LOC000465,,,,Balvanera,3.0
LOC000466,P091,P091,P091,Palermo,14.0
LOC000468,,,,Palermo,14.0
LOC000470,P065,P065,P065,Belgrano,13.0
LOC000471,,,,Palermo,14.0
LOC000472,P113,P113,P113,San Nicolas,1.0
LOC000473,P115,P115,P115,Retiro,1.0
LOC000474,P080,P080,P080,Villa Crespo,15.0
LOC000475,P103,P103,P103,San Telmo,1.0
LOC000476,,,,Belgrano,13.0
LOC000477,,,,Palermo,14.0
LOC000478,P072,,,Belgrano,13.0
LOC000479,P046,P046,P046,Villa Urquiza,12.0
LOC000480,,,,Monserrat,1.0
LOC000481,P118,P118,P118,Retiro,1.0
LOC000482,P028,P028,P028,Villa Pueyrredon,12.0
LOC000483,,,,Villa Crespo,15.0
LOC000484,,,,Palermo,14.0
LOC000487,P072,P072-4,P072-4,Belgrano,13.0
LOC000488,P072,,,Belgrano,13.0
LOC000489,P106,P106,P106,Recoleta,2.0
LOC000490,P118,P118,P118,Retiro,1.0
LOC000491,,,,Almagro,5.0
LOC000492,P056,P056,P056,Caballito,6.0
LOC000493,P047,P047,P047,Caballito,6.0
LOC000494,P048,P048,P048,Colegiales,13.0
LOC000495,,,,Nuñez,13.0
LOC000496,,,,Liniers,9.0
LOC000497,P104,P104,P104,Palermo,14.0
LOC000498,,,,Barracas,4.0
LOC000500,P084,P084,P084,Balvanera,3.0
LOC000501,P065,P065,P065,Palermo,14.0
LOC000502,P068,P068,P068,Chacarita,15.0
LOC000503,P112,P112,P112,San Nicolas,1.0
LOC000504,P078,P078,P078,Palermo,14.0
LOC000505,,,,Almagro,5.0
LOC000506,,,,Caballito,6.0
LOC000507,P072,P072-4,P072-4,Belgrano,13.0
LOC000508,,,,Villa Urquiza,12.0
LOC000509,P072,P072-4,P072-4,Belgrano,13.0
LOC000511,P056,P056,P056,Caballito,6.0
LOC000512,P105,P105,P105,Recoleta,2.0
LOC000513,P072,,,Belgrano,13.0
LOC000514,P102,P102,P102,San Telmo,1.0
LOC000515,P068,P068,P068,Chacarita,15.0
LOC000516,,,,Retiro,1.0
LOC000517,P040,P040,P040,Villa Del Parque,11.0
LOC000519,P004,P004,P004,Villa Lugano,8.0
LOC000520,P048,P048,P048,Colegiales,13.0
LOC000521,P056,P056,P056,Caballito,6.0
LOC000523,P111,P111,P111,Monserrat,1.0
LOC000524,P117,P117,P117,San Nicolas,1.0
LOC000525,,,,Agronomia,15.0
LOC000526,P056,P056,P056,Caballito,6.0
LOC000527,P084,P084,P084,Almagro,5.0
LOC000528,P103,P103,P103,San Telmo,1.0
LOC000529,P091,P091,P091,Palermo,14.0
LOC000530,P072,,,Colegiales,13.0
LOC000531,,,,Flores,7.0
LOC000533,P021,P021,P021,Liniers,9.0
LOC000534,,,,Nuñez,13.0
LOC000535,P091,P091,P091,Palermo,14.0
LOC000536,,,,Villa Crespo,15.0
LOC000537,P051,P051,P051,Constitucion,1.0
LOC000539,P062,P062,P062,Almagro,5.0
LOC000540,,,,Recoleta,2.0
LOC000541,,,,Palermo,14.0
LOC000542,P021,P021,P021,Liniers,9.0
LOC000543,P062,P062,P062,Boedo,5.0
LOC000544,P021,P021,P021,Liniers,9.0
LOC000545,,,,San Cristobal,3.0
LOC000546,,,,Recoleta,2.0
LOC000547,P086,P086,P086,Almagro,5.0
LOC000548,,,,Monserrat,1.0
LOC000549,P107,P107,P107,Balvanera,3.0
LOC000550,P107,P107,P107,Balvanera,3.0
LOC000551,P029,P029,P029,Boedo,5.0
LOC000552,P027,P027,P027,Parque Patricios,4.0
LOC000555,P113,P113,P113,San Nicolas,1.0
LOC000556,,,,Nuñez,13.0
LOC000557,P078,P078,P078,Palermo,14.0
LOC000558,P046,P046,P046,Villa Urquiza,12.0
LOC000559,P036,P036,P036,Flores,7.0
LOC000560,,,,Floresta,10.0
LOC000562,,,,Palermo,14.0
LOC000563,,,,San Nicolas,1.0
LOC000564,,,,Villa Ortuzar,15.0
LOC000565,,,,Palermo,14.0
LOC000566,,,,Caballito,6.0
LOC000567,P110,P110,P110,Recoleta,2.0
LOC000568,,,,Caballito,6.0
LOC000569,P020,P020,P020,Villa Luro,10.0
LOC000570,P063,P063,P063,Caballito,6.0
LOC000571,P010,P010,P010,Floresta,10.0
LOC000572,,,,Balvanera,3.0
LOC000573,P043,P043,P043,Paternal,15.0
LOC000574,P098,P098,P098,Recoleta,2.0
LOC000575,,,,Floresta,10.0
LOC000576,P106,P106,P106,Balvanera,3.0
LOC000577,,,,Villa Crespo,15.0
LOC000579,P004,P004,P004,Villa Lugano,8.0
LOC000580,,,,Villa Crespo,15.0
LOC000581,P112,P112,P112,San Nicolas,1.0
LOC000582,P076,P076,P076,Recoleta,2.0
LOC000583,,,,Versalles,10.0
LOC000584,P072,,,Belgrano,13.0
LOC000585,,,,Mataderos,9.0
LOC000586,,,,Recoleta,2.0
LOC000587,P040,P040,P040,Villa Del Parque,11.0
LOC000588,P018,,,Monte Castro,10.0
LOC000589,P019,P019,P019,Parque Patricios,4.0
LOC000590,P047,P047,P047,Caballito,6.0
LOC000592,,,,Caballito,6.0
LOC000593,P074,P074,P074,Villa Crespo,15.0
LOC000594,,,,Monserrat,1.0
LOC000595,,,,Palermo,14.0
LOC000596,,,,Villa Urquiza,12.0
LOC000597,,,,Balvanera,3.0
LOC000598,P091,P091,P091,Palermo,14.0
LOC000599,P073,P073,P073,Palermo,14.0
LOC000600,P087,P087,P087,Palermo,14.0
LOC000601,,,,Monserrat,1.0
LOC000602,,,,Almagro,5.0
LOC000603,,,,Villa Ortuzar,15.0
LOC000604,,,,Parque Chacabuco,7.0
LOC000605,P018,,,Villa Devoto,11.0
LOC000606,,,,Colegiales,13.0
LOC000608,,,,Villa Urquiza,12.0
LOC000611,,,,Palermo,14.0
LOC000612,,,,Balvanera,3.0
LOC000613,P061,P061,P061,Flores,7.0
LOC000614,,,,Monserrat,1.0
LOC000615,,,,Almagro,5.0
LOC000616,P072,P072-1,P072-1,Nuñez,13.0
LOC000617,P072,,,Belgrano,13.0
LOC000618,,,,Retiro,1.0
LOC000619,,,,Recoleta,2.0
LOC000620,,,,Balvanera,3.0
LOC000621,,,,Flores,7.0
LOC000622,,,,Retiro,1.0
LOC000623,P118,P118,P118,Retiro,1.0
LOC000624,,,,Chacarita,15.0
LOC000625,P073,P073,P073,Palermo,14.0
LOC000626,P091,P091,P091,Palermo,14.0
LOC000627,P061,P061,P061,Flores,7.0
LOC000628,P073,P073,P073,Palermo,14.0
LOC000629,P089,P089,P090+P089,Palermo,14.0
LOC000630,P093,P093,P093,Balvanera,3.0
LOC000631,P116,P116,P116,San Nicolas,1.0
LOC000632,P054,P054,P054,Flores,7.0
LOC000633,P072,,,Belgrano,13.0
LOC000634,,,,Villa Urquiza,12.0
LOC000635,,,,Almagro,5.0
LOC000636,,,,Retiro,1.0
LOC000637,,,,Parque Avellaneda,9.0
LOC000638,P100,P100,P100,San Nicolas,1.0
LOC000639,,,,Barracas,4.0
LOC000640,,,,Villa Urquiza,12.0
LOC000641,,,,Villa Lugano,8.0
LOC000642,,,,Constitucion,1.0
LOC000643,P116,P116,P116,San Nicolas,1.0
LOC000644,,,,Villa Urquiza,12.0
LOC000645,P077,P077,P077,Villa Crespo,15.0
LOC000646,P111,P111,P111,Monserrat,1.0
LOC000647,P003,P003,P003,Villa Riachuelo,8.0
LOC000648,,,,Balvanera,3.0
LOC000649,,,,Caballito,6.0
LOC000650,P072,P072-2,P072-2,Palermo,14.0
LOC000651,,,,Almagro,5.0
LOC000652,P072,,,Belgrano,13.0
LOC000655,P027,P027,P027,Parque Patricios,4.0
LOC000657,P091,P091,P091,Palermo,14.0
LOC000658,P084,P084,P084,Almagro,5.0
LOC000659,,,,Balvanera,3.0
LOC000660,P014,P014,P014,Parque Avellaneda,9.0
LOC000661,,,,Villa Urquiza,12.0
LOC000662,,,,Colegiales,13.0
LOC000663,,,,Retiro,1.0
LOC000664,P116,P116,P116,San Nicolas,1.0
LOC000665,,,,Almagro,5.0
LOC000666,,,,Villa Devoto,11.0
LOC000667,P091,P091,P091,Palermo,14.0
LOC000668,P046,P046,P046,Villa Urquiza,12.0
LOC000669,,,,Palermo,14.0
LOC000673,P056,P056,P056,Caballito,6.0
LOC000674,P072,P072-4,P072-4,Belgrano,13.0
LOC000675,P099,P099,P101+P099,Monserrat,1.0
LOC000676,P040,P040,P040,Villa Del Parque,11.0
LOC000677,,,,Palermo,14.0
LOC000678,P042,P042,P042,Velez Sarsfield,10.0
LOC000679,,,,Nuñez,13.0
LOC000680,,,,Mataderos,9.0
LOC000681,,,,Monserrat,1.0
LOC000682,,,,San Nicolas,1.0
LOC000683,P067,P067,P067,Nuñez,13.0
LOC000684,,,,Flores,7.0
LOC000685,P056,P056,P056,Caballito,6.0
LOC000686,,,,Flores,7.0
LOC000687,P053,P053,P053,Caballito,6.0
LOC000688,P090,P090,P090+P089,Palermo,14.0
LOC000689,P106,P106,P106,Recoleta,2.0
LOC000690,P052,P052,P052,Flores,7.0
LOC000691,P065,P065,P065,Palermo,14.0
LOC000692,P012,P012,P012,Mataderos,9.0
LOC000693,P108,P108,P108,Monserrat,1.0
LOC000694,P026,P026,P026,Constitucion,1.0
LOC000695,P087,P087,P087,Palermo,14.0
LOC000696,P112,P112,P112,Recoleta,2.0
LOC000697,P028,P028,P028,Villa Pueyrredon,12.0
LOC000698,,,,Retiro,1.0
LOC000700,,,,San Nicolas,1.0
LOC000701,P091,P091,P091,Palermo,14.0
LOC000702,P072,,,Nuñez,13.0
LOC000703,P116,P116,P116,San Nicolas,1.0
LOC000706,P021,P021,P021,Liniers,9.0
