polo_id,n_locales,ha,locales_x_ha,clase_densidad,distancia_al_corte,barrios,comunas,calles_dominantes,pct_locales_con_direccion,zonas_publicadas_encima,polo_mas_cercano,d_al_vecino_entre_puntos_m
P048,171,50.84,3.363,concentración extendida,-1.222,Colegiales (134); Villa Ortuzar (28); Chacarita (9),13; 15,Elcano (19); Alvarez Thomas (11); Zapiola (7); Cap Ramon Freire (6); Capitan Ramon Freire (6); Virrey Aviles (4),46.8,ninguna,P045,143.4
P111,170,14.9,11.413,concentración,6.828,Monserrat (154); San Nicolas (16),1,De Mayo (21); Hipolito Yrigoyen (9); Rivadavia (8); Bolivar (4); Piedras (3); Peru (3),57.6,"R12 Centro / Microcentro segmentado (37% del polo, 3% de la zona)",P108,53.2
P093,169,27.27,6.198,concentración,1.613,Balvanera (169),3,Corrientes (20); Aguero (7); Jean Jaures (7); Lavalle (6); Pueyrredon (6); Sarmiento (5),45.0,"R13 Abasto (85% del polo, 21% de la zona)",P082,121.7
P043,161,91.57,1.758,concentración extendida,-2.827,Villa Gral. Mitre (61); Villa Crespo (47); Paternal (37); Caballito (16),6; 11; 15,San Martin (20); Juan B Justo (11); Donato Alvarez (6); Juan Bautista Justo (5); Camarones (4); Darwin (4),52.8,"R21 La Paternal (46% del polo, 13% de la zona) · R08 Villa Crespo (17% del polo, 5% de la zona)",P063,288.2
P082,160,42.4,3.773,concentración extendida,-0.812,Almagro (160),5,Corrientes (16); Guardia Vieja (9); Lavalle (8); Billinghurst (7); Humahuaca (6); Medrano (5),49.4,"R13 Abasto (87% del polo, 34% de la zona)",P083,79.0
P068,156,40.14,3.887,concentración extendida,-0.698,Chacarita (136); Colegiales (20),13; 15,Federico Lacroze (16); Jorge Newbery (13); Olleros (8); Santos Dumont (6); Alvarez Thomas (6); Cordoba (6),52.6,"R09 Chacarita (68% del polo, 29% de la zona) · R19 Federico Lacroze por tramos (10% del polo, 5% de la zona)",P078,161.5
P076,156,29.18,5.347,concentración,0.762,Recoleta (81); Palermo (72); Almagro (3),2; 5; 14,Sanchez De Bustamante (9); Mario Bravo (9); Billinghurst (8); Diaz (8); Paraguay (6); Guise (6),50.6,ninguna,P104,121.4
P045,147,63.36,2.32,concentración extendida,-2.265,Villa Ortuzar (78); Parque Chas (39); Villa Urquiza (30),12; 15,Donado (13); De Los Incas (13); Alvarez Thomas (9); Triunvirato (9); Holmberg (6); La Pampa (3),45.6,"R17 Villa Urquiza (24% del polo, 3% de la zona) · R16 Donado-Holmberg (15% del polo, 8% de la zona)",P046,95.5
P072-6,146,7.74,18.87,concentración,14.285,Belgrano (146),13,Arribenos (10); Olazabal (6); Mendoza (4); 11 De Septiembre (3); Montaneses (2); Monroe (2),20.5,"R05 Belgrano (62% del polo, 12% de la zona)",P072-7,53.9
P037,142,40.81,3.479,concentración extendida,-1.106,Villa Del Parque (142),11,Nogoya (11); Cuenca (9); Tinogasta (8); Nazca (8); Marcos Sastre (7); Melincue (6),49.3,ninguna,P038,93.7
P004,141,144.02,0.979,concentración extendida,-3.606,Villa Lugano (64); Parque Avellaneda (58); Mataderos (19),8; 9,Eva Peron (28); Escalada (7); San Juan (6); Castanares (5); Miralla (4); Olivera (3),58.9,ninguna,P005,292.3
P118,136,13.94,9.754,concentración,5.169,Retiro (114); San Nicolas (22),1,Suipacha (12); Esmeralda (11); Marcelo T De Alvear (10); Paraguay (9); Cordoba (5); Florida (4),47.8,"R18 Esmeralda-Paraguay (100% del polo, 29% de la zona) · R12 Centro / Microcentro segmentado (67% del polo, 5% de la zona)",P117,49.1
P117,131,15.13,8.659,concentración,4.074,San Nicolas (131),1,Lavalle (15); Viamonte (13); Maipu (12); San Martin (8); Galerias Pacifico (8); Reconquista (5),57.3,"R12 Centro / Microcentro segmentado (90% del polo, 7% de la zona) · R18 Esmeralda-Paraguay (27% del polo, 9% de la zona)",P116,29.4
P101+P099,130,36.93,3.52,concentración extendida,-1.065,Balvanera (100); Monserrat (30),1; 3,Rivadavia (21); Entre Rios (8); Hipolito Yrigoyen (7); Belgrano (5); Solis (5); Combate De Los Pozos (5),55.4,ninguna,P085,128.5
P062,129,42.85,3.01,concentración extendida,-1.575,Boedo (77); Almagro (47); Balvanera (5),3; 5,Boedo (16); Belgrano (10); Colombres (7); San Juan (6); Carlos Calvo (5); Maza (5),49.6,"R14 Avenida Boedo (68% del polo, 16% de la zona)",P055,148.2
P108,129,18.56,6.951,concentración,2.366,Monserrat (129),1,Belgrano (14); Jose Maria Moreno (11); Moreno (9); Balcarce (4); Julio A Roca (4); Peru (4),54.3,"R12 Centro / Microcentro segmentado (27% del polo, 3% de la zona)",P111,53.2
P052,124,36.69,3.38,concentración extendida,-1.205,Floresta (61); Flores (56); Villa Santa Rita (7),7; 10; 11,Moron (14); Felipe Vallese (6); Juan F Aranguren (5); Cuenca (5); Ruperto Godoy (4); San Nicolas (4),51.6,ninguna,P059,247.9
P051,123,31.7,3.88,concentración extendida,-0.705,Constitucion (123),1,Salta (14); Constitucion (9); Lima (8); Juan De Garay (8); Brasil (7); O'Brien (5),54.5,"R11 Boulevard Caseros (6% del polo, 4% de la zona)",P026,228.9
P104,121,24.85,4.868,concentración,0.283,Recoleta (93); Palermo (28),2; 14,Billinghurst (9); Juncal (7); French (6); Alto Palermo Shopping (6); Sanchez De Bustamante (5); Santa Fe (5),50.4,ninguna,P105,80.1
P084,119,27.12,4.388,concentración extendida,-0.197,Balvanera (64); Almagro (55),3; 5,Rivadavia (35); Hipolito Yrigoyen (7); La Rioja (3); 24 De Noviembre (3); Medrano (2); Urquiza (2),53.8,ninguna,P093,161.4
P030,117,29.47,3.971,concentración extendida,-0.614,Puerto Madero (117),1,Olga Cossettini (16); Juana Manso (12); Pierina Dealessi (6); Boulevard Rosario Vera Penaloza (5); Aime Paine (4); Petrona Eyle (3),59.0,"R04 Puerto Madero (98% del polo, 9% de la zona)",P103,559.7
P100,116,12.21,9.502,concentración,4.917,Monserrat (92); San Nicolas (24),1,De Mayo (12); Rivadavia (7); Hipolito Yrigoyen (7); San Jose (6); Luis Saenz Pena (5); Salta (5),50.9,"R12 Centro / Microcentro segmentado (96% del polo, 6% de la zona)",P111,112.6
P098,115,12.54,9.172,concentración,4.587,Recoleta (115),2,Azcuenaga (10); Vicente Lopez (10); Jose E Uriburu (5); Las Heras (4); Guido (3); Junin (3),47.0,"R06 Recoleta (93% del polo, 8% de la zona)",P097,63.9
P110,112,16.3,6.869,concentración,2.284,Recoleta (112),2,Rodriguez Pena (13); Riobamba (11); Santa Fe (8); Marcelo T De Alvear (7); Arenales (6); Juncal (4),52.7,"R06 Recoleta (86% del polo, 10% de la zona)",P113,140.5
P017,108,69.8,1.547,concentración extendida,-3.038,Liniers (74); Mataderos (34),9,Emilio Castro (18); Lisandro De La Torre (7); Montiel (4); Acassuso (3); Palmar (2); Timoteo Gordillo (2),45.4,ninguna,P021,238.6
P016,105,26.72,3.929,concentración extendida,-0.656,Villa Devoto (105),11,Chivilcoy (9); Nueva York (8); Mercedes (6); Fernandez De Enciso (5); Asuncion (4); Lincoln (3),49.5,"R15 Devoto (97% del polo, 5% de la zona)",P035,621.8
P057,105,26.2,4.008,concentración extendida,-0.577,Caballito (77); Almagro (28),5; 6,La Plata (19); Rivadavia (17); Guayaquil (5); Rosario (5); Doblas (3); Otamendi (1),60.0,ninguna,P056,54.1
P032,105,20.89,5.027,concentración,0.442,La Boca (105),4,Del Valle Iberlucea (10); Gregorio Araoz De Lamadrid (9); Brandsen (6); Olavarria (4); Garibaldi (4); Magallanes (3),50.5,ninguna,P033,146.3
P090+P089,104,18.54,5.608,concentración,1.023,Palermo (104),14,Thames (8); Paraguay (7); Charcas (6); Jorge Luis Borges (6); Soler (6); Santa Fe (6),50.0,"R01 Palermo (68% del polo, 5% de la zona)",P087,75.9
P024,103,50.42,2.043,concentración extendida,-2.542,Nueva Pompeya (103),4,Saenz (31); Beazley (6); Almafuerte (4); Echauri (3); Ventura De La Vega (2); Lynch (2),61.2,ninguna,P027,136.8
P005,100,100.94,0.991,concentración extendida,-3.594,Villa Lugano (100),8,Murguiondo (10); Riestra (6); Argentina (5); Larrazabal (4); Somellera (3); Delfin Gallo (3),46.0,ninguna,P004,292.3
P038,96,22.0,4.363,concentración extendida,-0.222,Villa Devoto (40); Agronomia (22); Villa Del Parque (19); Villa Pueyrredon (15),11; 12; 15,San Martin (21); Cuenca (6); Francisco Beiro (4); Helguera (4); Salvador Maria Del Carril (4); Pareja (2),46.9,"R22 Villa Pueyrredon (4% del polo, 0% de la zona)",P037,93.7
P020,94,25.1,3.746,concentración extendida,-0.839,Villa Luro (93); Liniers (1),9; 10,Rivadavia (22); Corvalan (4); Ramon L Falcon (4); Lope De Vega (3); Basualdo (3); Guardia Nacional (2),56.4,ninguna,P021,147.0
P022,93,53.59,1.735,concentración extendida,-2.85,Saavedra (83); Coghlan (10),12,Ricardo Balbin (14); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3); Paroissien (2),49.5,ninguna,P011,326.9
P003,91,39.82,2.285,concentración extendida,-2.3,Villa Riachuelo (87); Villa Lugano (4),8,Martiniano Chilavert (15); Guamini (8); F Fernandez De La Cruz (5); Canada De Gomez (5); Montiel (3); Lisandro De La Torre (2),53.8,ninguna,P005,298.7
P012,90,32.8,2.743,concentración extendida,-1.842,Mataderos (90),9,Juan Bautista Alberdi (25); Larrazabal (5); Bragado (3); Pieres (3); Lisandro De La Torre (2); Martiniano Leguizamon (2),52.2,ninguna,P013,191.5
P107,86,10.79,7.968,concentración,3.383,Balvanera (67); Recoleta (19),2; 3,Cordoba (16); Junin (9); Pasteur (5); Viamonte (5); Tucuman (4); Azcuenaga (1),50.0,ninguna,P106,57.7
P092,79,11.71,6.749,concentración,2.164,Palermo (79),14,Charcas (8); Paraguay (7); Araoz (7); Medrano (3); Raul Scalabrini Ortiz (3); Jeronimo Salguero (2),44.3,ninguna,P091,74.7
P088,76,7.79,9.752,concentración,5.167,Palermo (76),14,Gascon (7); Honduras (7); Gorriti (7); Lavalleja (4); Julian Alvarez (4); Jose A Cabrera (3),44.7,ninguna,P086,92.8
P081,74,11.23,6.59,concentración,2.005,Villa Crespo (74),15,Aguirre (10); Raul Scalabrini Ortiz (9); Malabia (6); Juan Ramirez De Velasco (5); Ramirez De Velazco (3); Acevedo (1),50.0,"R08 Villa Crespo (100% del polo, 3% de la zona)",P077,42.7
P018-2,73,11.04,6.613,concentración,2.028,Villa Real (50); Villa Devoto (23),10; 11,Francisco Beiro (16); Lope De Vega (6); Ramon Lista (3); Virgilio (3); Cortina (1); Rivera Y Martin Ugarte (1),43.8,"R15 Devoto (54% del polo, 1% de la zona)",P018-1,88.6
P072-7,68,3.14,21.644,concentración,17.059,Belgrano (68),13,Echeverria (6); Montaneses (5); Juramento (2); Virrey Vertiz (2); Del Libertador (1),23.5,"R05 Belgrano (100% del polo, 8% de la zona)",P072-6,53.9
P002,68,63.36,1.073,concentración extendida,-3.512,Villa Soldati (68),8,Lafuente (6); Mariano Acosta (4); Francisco Rabanal (3); Francisco Fernandez De La Cruz (3); Fco Fernandez De La Cruz (3); Pedro I Rivera (2),51.5,ninguna,P014,1576.9
P026,67,27.04,2.478,concentración extendida,-2.107,Parque Patricios (31); Constitucion (20); Barracas (15); San Cristobal (1),1; 3; 4,Entre Rios (8); Caseros (7); Perdriel (5); Solis (4); Enrique Finochietto (2); Combate De Los Pozos (2),56.7,ninguna,P027,137.4
P079,66,5.69,11.597,concentración,7.012,Villa Crespo (43); Almagro (14); Caballito (9),5; 6; 15,Estado De Israel (9); Angel Gallardo (8); Corrientes (6); Juan Ramirez De Velasco (4); Ramos Mejia (2); Aguirre (2),54.5,"R08 Villa Crespo (13% del polo, 0% de la zona)",P081,141.6
P112,66,5.63,11.722,concentración,7.137,San Nicolas (53); Recoleta (8); Retiro (5),1; 2,Parana (11); Uruguay (9); Viamonte (6); Tucuman (6); Cordoba (2); Paraguay (2),57.6,"R12 Centro / Microcentro segmentado (73% del polo, 2% de la zona) · R02 Avenida Corrientes (6% del polo, 1% de la zona)",P113,68.6
P115,65,4.27,15.229,concentración,10.644,Retiro (65),1,Reconquista (12); Marcelo T De Alvear (7); Paraguay (3); Tres Sargentos (3); San Martin (3); Leandro N Alem (1),49.2,"R12 Centro / Microcentro segmentado (51% del polo, 1% de la zona) · R18 Esmeralda-Paraguay (8% del polo, 1% de la zona)",P118,106.4
P066,65,18.02,3.607,concentración extendida,-0.978,Barracas (65),4,Suarez (11); Montes De Oca (9); Manuel Montes De Oca (2); Uspallata (2); Aristobulo Del Valle (2); Martin Garcia (2),53.8,ninguna,P032,429.0
P014,64,45.63,1.403,concentración extendida,-3.182,Flores (49); Parque Avellaneda (15),7; 9,Eva Peron (15); Varela (12); Enrique Martinez (1); Martinez Castro (1); Portela (1); San Pedrito (1),54.7,ninguna,P004,481.4
P114,64,5.22,12.253,concentración,7.668,San Nicolas (64),1,Corrientes (5); Cerrito (4); Roque Saenz Pena (4); Lavalle (3); Talcahuano (3); Libertad (2),43.8,"R12 Centro / Microcentro segmentado (100% del polo, 3% de la zona) · R02 Avenida Corrientes (100% del polo, 11% de la zona)",P116,59.1
P072-2,63,7.11,8.863,concentración,4.278,Colegiales (38); Palermo (25),13; 14,Federico Lacroze (16); Cabildo (6); Amenabar (4); 3 De Febrero (3); Zapata (1); Ciudad De La Paz (1),49.2,"R19 Federico Lacroze por tramos (14% del polo, 1% de la zona)",P071,112.9
P018-1,62,14.38,4.311,concentración extendida,-0.274,Villa Devoto (62),11,Francisco Beiro (11); Jose Pedro Varela (6); Quevedo (2); Simbron (2); Desaguadero (1); Ramon Lista (1),41.9,"R15 Devoto (100% del polo, 3% de la zona)",P018-2,88.6
P044,62,17.01,3.645,concentración extendida,-0.94,San Cristobal (62),3,San Juan (21); Urquiza (3); La Rioja (3); Entre Rios (1); Dean Funes (1); Alberti (1),50.0,ninguna,P055,286.6
P075,61,11.2,5.445,concentración,0.86,Chacarita (59); Villa Crespo (2),15,Dorrego (10); Bonpland (9); Corrientes (3); Juan Ramirez De Velasco (3); Aguirre (2); Fraga (2),54.1,"R09 Chacarita (67% del polo, 8% de la zona)",P078,75.1
P042,61,11.15,5.469,concentración,0.884,Velez Sarsfield (53); Floresta (8),10,Rivadavia (20); Segurola (3); Carrasco (2); Dip Nac Osvaldo E Benedetti (1); Olivera (1); Bolanos (1),55.7,ninguna,P041,136.6
P028,60,12.04,4.981,concentración,0.396,Villa Pueyrredon (60),12,Mosconi (18); E Mosconi (6); Nazca (5); Gabriela Mistral (2); Jose Gervasio Artigas (2); Jose G Artigas (1),56.7,"R22 Villa Pueyrredon (100% del polo, 4% de la zona)",P023,206.9
P041,60,12.73,4.715,concentración,0.13,Floresta (53); Flores (7),7; 10,Rivadavia (14); Venancio Flores (4); Bacacay (2); Cuenca (2); Portela (1); Pergamino (1),48.3,ninguna,P042,136.6
P077,60,8.6,6.974,concentración,2.389,Villa Crespo (60),15,Serrano (6); Aguirre (4); Loyola (4); Thames (4); Ramirez De Velazco (4); Gurruchaga (2),43.3,"R08 Villa Crespo (99% del polo, 3% de la zona)",P081,42.7
P074,58,7.84,7.4,concentración,2.815,Villa Crespo (58),15,Corrientes (17); Serrano (3); Camargo (3); Acevedo (2); Juan B Justo (2); Gurruchaga (1),55.2,"R08 Villa Crespo (100% del polo, 2% de la zona)",P080,160.4
P087,56,5.8,9.659,concentración,5.074,Palermo (56),14,Godoy Cruz (8); Santa Fe (5); Beruti (2); Fray Justo Santamaria De Oro (2); Fray Justo Santa Maria De Oro (2); Juan Bautista Justo (2),46.4,ninguna,P090+P089,75.9
P061,54,6.93,7.796,concentración,3.211,Flores (54),7,Jose Gervasio Artigas (5); Yerbal (4); Varela (3); Ramon L Falcon (3); Rivadavia (3); Jose G Artigas (3),48.1,ninguna,P060,90.8
P040,54,10.46,5.163,concentración,0.578,Villa Santa Rita (36); Villa Del Parque (18),11,Nazca (19); Alvarez Jonte (3); Adolfo P Carranza (2); Abasto De Bs As (1); Elpidio Gonzalez (1); San Blas (1),50.0,ninguna,P037,289.0
P086,54,7.95,6.793,concentración,2.208,Palermo (30); Almagro (13); Villa Crespo (11),5; 14; 15,Cordoba (15); Gascon (4); Medrano (3); Francisco Acuna De Figueroa (3); Estado De Palestina (3); Lavalle (1),57.4,ninguna,P088,92.8
P097,53,7.56,7.007,concentración,2.422,Recoleta (53),2,Pena (6); Larrea (4); Junin (4); French (3); Azcuenaga (3); Jose E Uriburu (3),54.7,"R06 Recoleta (68% del polo, 4% de la zona)",P098,63.9
P047,53,20.49,2.586,concentración extendida,-1.999,Caballito (53),6,Neuquen (5); Avellaneda (5); Juan F Aranguren (4); Mendez De Andes (2); Nicolas Repetto (2); Martin De Gainza (1),47.2,"R10 Caballito (26% del polo, 2% de la zona)",P056,98.0
P085,53,8.77,6.043,concentración,1.458,Balvanera (21); Monserrat (15); Constitucion (10); San Cristobal (7),1; 3,Entre Rios (14); Independencia (12); Solis (3); Combate De Los Pozos (3); Chile (2),64.2,ninguna,P101+P099,128.5
P033,52,16.68,3.118,concentración extendida,-1.467,La Boca (52),4,Brown (10); Necochea (3); Wenceslao Villafane (3); Suarez (1); Olavarria (1); Martin Rodriguez (1),44.2,ninguna,P032,146.3
P095,52,8.54,6.088,concentración,1.503,Recoleta (52),2,Vicente Lopez (7); Las Heras (4); Jose Andres Pacheco De Melo (3); Callao (3); Ayacucho (2); Rodriguez Pena (2),48.1,"R06 Recoleta (70% del polo, 4% de la zona)",P097,85.2
P094,51,6.37,8.01,concentración,3.425,Monserrat (51),1,Salta (13); Mexico (4); Lima (4); Chile (3); Belgrano (3); Republica Bolivariana De Venezuela (3),60.8,ninguna,P108,251.0
P070,50,5.66,8.835,concentración,4.25,Saavedra (28); Nuñez (22),12; 13,Cabildo (12); San Isidro Labrador (4); Ramallo (3); Cuenca (1); Pico (1); Arias (1),46.0,ninguna,P072-1,592.5
P015,50,12.12,4.124,concentración extendida,-0.461,Parque Chacabuco (50),7,Asamblea (10); Del Barco Centenera (7); Avelino Diaz (2); Castanares (1); Emilio Mitre (1); Cachimayo (1),44.0,ninguna,P053,528.8
P009,50,24.65,2.029,concentración extendida,-2.556,Parque Avellaneda (26); Velez Sarsfield (14); Floresta (10),9; 10,Directorio (13); Lacarra (4); Juan Bautista Alberdi (4); Olivera (4); Jose Bonifacio (2); Bolanos (1),62.0,ninguna,P041,318.1
P067,49,7.32,6.69,concentración,2.105,Nuñez (49),13,Crisologo Larralde (10); 11 De Septiembre (4); Arribenos (3); Del Libertador (2); Nunez (2); Jaramillo (1),49.0,ninguna,P072-1,235.2
P008,49,23.52,2.083,concentración extendida,-2.502,Barracas (49),4,Vieytes (6); Iriarte (5); San Antonio (4); Hipolito Vieytes (3); California (1); Goncalves Dias (1),51.0,ninguna,P066,744.0
P006,48,28.18,1.703,concentración extendida,-2.882,Mataderos (48),9,De Los Corrales (15); Lisandro De La Torre (8); Cosquin (2); Cardenas (1); Guamini (1); Lisandro De La Torre Y Tandil\N (1),64.6,ninguna,P013,420.7
P072-5,48,5.86,8.184,concentración,3.599,Colegiales (24); Belgrano (17); Palermo (7),13; 14,Cabildo (18); Virrey Del Pino (4); Jose Hernandez (2); Cespedes (1); Virrey Olaguer Y Feliu (1); Virrey Arredondo (1),58.3,"R05 Belgrano (20% del polo, 3% de la zona)",P072-4,70.2
P059,48,6.08,7.89,concentración,3.305,Flores (48),7,Nazca (8); Rivadavia (6); San Pedrito (2); Yerbal (2); Venancio Flores (1); Bacacay (1),43.8,ninguna,P061,102.6
P105,48,5.28,9.091,concentración,4.506,Recoleta (48),2,Aguero (6); French (3); Pueyrredon (3); Laprida (2); Juncal (2); Martiniano Chilavert (1),41.7,"R06 Recoleta (21% del polo, 1% de la zona)",P104,80.1
P083,47,5.67,8.295,concentración,3.71,Almagro (47),5,Juan Domingo Peron (8); Gascon (5); Sarmiento (2); Eva Peron (2); Estado De Palestina (1); Corrientes (1),40.4,ninguna,P082,79.0
P025-2,47,4.89,9.618,concentración,5.033,Monte Castro (40); Villa Luro (7),10,Lope De Vega (12); Alvarez Jonte (7); Cuenca (1); La Nina (1); Calderon De La Barca (1); Jose Maria Verduga (1),51.1,ninguna,P025-1,140.8
P058,46,11.39,4.038,concentración extendida,-0.547,Flores (43); Parque Chacabuco (3),7,Carabobo (10); Directorio (5); Boyaca (4); Juan Bautista Alberdi (2); Rivadavia (2); Fray Luis Beltran (1),58.7,ninguna,P060,82.2
P007,45,8.96,5.025,concentración,0.44,Belgrano (45),13,Antonio Jose De Sucre (8); Figueroa Alcorta (2); La Pampa (2); Castaneda (2); Echeverria (1); Ramsay (1),35.6,ninguna,P072-7,704.4
P054,45,4.44,10.124,concentración,5.539,Caballito (27); Flores (18),6; 7,Rivadavia (8); Curapaligue (3); Bacacay (3); Yerbal (3); Donato Alvarez (3); Banfi (1),46.7,"R10 Caballito (20% del polo, 0% de la zona)",P058,126.1
P064,45,9.12,4.932,concentración,0.347,Palermo (45),14,Sinclair (5); Del Libertador (5); Cervino (3); Infanta Isabel (3); Demaria (2); Juan Francisco Segui (2),66.7,ninguna,P087,137.6
P029,45,13.35,3.372,concentración extendida,-1.213,Boedo (45),5,Pavon (9); Boedo (7); Juan De Garay (4); Inclan (3); Castro Barros (2); Castro (1),60.0,"R14 Avenida Boedo (100% del polo, 7% de la zona)",P027,330.2
P080,44,3.53,12.459,concentración,7.874,Villa Crespo (44),15,Corrientes (12); Raul Scalabrini Ortiz (6); Vera (2); Araoz (2); Luis Maria Drago (1); Malabia (1),54.5,"R08 Villa Crespo (100% del polo, 1% de la zona)",P081,48.0
P071,44,5.82,7.559,concentración,2.974,Colegiales (44),13,Federico Lacroze (14); Cap Ramon Freire (1); Zapiola (1); Capitan Ramon Freire (1); Conesa (1); Colegiales (1),43.2,"R19 Federico Lacroze por tramos (100% del polo, 7% de la zona)",P072-2,112.9
P001,44,12.11,3.633,concentración extendida,-0.952,Palermo (44),14,Costanera Rafael Obligado (16); Aeroparque Jorge Newbery (Aep) (7); Costanera Rafael Obligado S/N (3); Terminal (1); Aeropuerto Internacional Jorge Newbery (1); Coastanera Rafael Obligdo C1425 Caba (1),79.5,"R07 Costanera Norte (51% del polo, 16% de la zona)",P007,1366.0
P072-1,43,5.11,8.422,concentración,3.837,Nuñez (39); Saavedra (4),12; 13,Cabildo (15); Juana Azurduy (3); Crisologo Larralde (2); Comodoro Martin Rivadavia (2); Campos Salles (1); Vuelta De Obligado (1),58.1,"R20 Garcia del Rio (5% del polo, 1% de la zona)",P067,235.2
P060,43,5.85,7.349,concentración,2.764,Flores (43),7,Rivadavia (6); Ramon L Falcon (4); Esteban Bonorino (3); Rivera Indarte (3); Gavilan (1); Membrillar (1),48.8,ninguna,P058,82.2
P010,43,10.63,4.045,concentración extendida,-0.54,Floresta (26); Velez Sarsfield (17),10,Segurola (11); Sanabria (3); Alejandro Magarinos Cervantes (3); Cesar Diaz (2); San Blas (2); Camarones (1),55.8,ninguna,P025-1,264.9
