polo_id,n_locales,ha,vertices,ratio_concavidad,tolerancia_simplificacion_m,recortado_a_manzana,locales_x_ha
P072-4,212,39.05215236627369,17,0.55,0,False,5.428638043087426
P072-5,48,5.865395540765914,13,0.55,0,False,8.183591313900047
P072-6,146,7.737053076109313,15,0.55,0,False,18.870233739357797
P072-7,68,3.1417094779328725,17,0.55,0,False,21.64426738933909
P073,207,39.1900008538042,17,0.55,0,False,5.281959568518518
P074,58,7.837937247011617,14,0.55,0,False,7.399906145218726
P075,61,11.20367380982038,14,0.55,0,False,5.4446426266473
P076,156,29.177915154557873,15,0.55,0,False,5.346509480669022
P077,60,8.603858855754062,15,0.55,0,False,6.973615095960504
P078,585,102.60889137740402,25,0.55,0,False,5.701260311334243
P079,66,5.691213435138678,16,0.55,0,False,11.596823902702882
P080,44,3.5315111279600786,16,0.55,0,False,12.459255657341197
P081,74,11.22851931941342,18,0.55,0,False,6.590361373120545
P082,160,42.40292423955797,15,0.55,0,False,3.773324667328838
P083,47,5.666143651126182,11,0.55,0,False,8.294883238736535
P084,119,27.117540810867567,16,0.55,0,False,4.388303527593838
P085,53,8.771173738597756,11,0.55,0,False,6.042520827830859
P086,54,7.949156268439847,16,0.55,0,False,6.793173788065232
P087,56,5.79746979046476,20,0.55,0,False,9.659386253655788
P088,76,7.793308852262031,20,0.55,0,False,9.751955355643421
P090+P089,104,18.544317254369364,20,0.55,0,False,5.608187056630289
P091,728,92.36165335545506,22,0.55,0,False,7.8820589882500505
P092,79,11.70599658212572,16,0.55,0,False,6.748677863158422
P093,169,27.26642498178469,23,0.55,0,False,6.198098948171617
P094,51,6.367346085461062,14,0.55,0,False,8.00961645801715
P095,52,8.541470701047507,11,0.55,0,False,6.087944549598799
P096,41,3.8561950484133143,13,0.55,0,False,10.632242271269455
P097,53,7.563578433240068,14,0.55,0,False,7.007265207573974
P098,115,12.538538332138591,18,0.55,0,False,9.171722967519568
P100,116,12.207343556424657,17,0.55,0,False,9.502476887279037
P101+P099,130,36.92954909569843,12,0.55,0,False,3.52021628163184
P102,42,3.938550812349017,16,0.55,0,False,10.663820781062997
P103,342,47.45875186878082,18,0.55,0,False,7.206257782454946
P104,121,24.853928472983196,15,0.55,0,False,4.868445651621226
P105,48,5.2802059185076216,17,0.55,0,False,9.0905545618506
P106,198,34.21333115261682,15,0.55,0,False,5.787217827950551
P107,86,10.793103610642419,23,0.55,0,False,7.968050998343115
P108,129,18.558991717091548,21,0.55,0,False,6.950808641247462
P109,41,3.2872801242682725,16,0.55,0,False,12.47231706763242
P110,112,16.3044500507753,16,0.55,0,False,6.869290264388539
P111,170,14.894983316437662,21,0.55,0,False,11.41323869845447
P112,66,5.630386041223488,17,0.55,0,False,11.722109197624064
P113,200,28.006102167915408,18,0.55,0,False,7.141300806548
P114,64,5.2232238423088155,11,0.55,0,False,12.25296903448621
P115,65,4.268136315575713,16,0.55,0,False,15.22912934218981
P116,187,19.268031461772342,20,0.55,0,False,9.705194864924675
P117,131,15.128772904300893,18,0.55,0,False,8.658997053406663
P118,136,13.94362720483882,17,0.55,0,False,9.753559672966892
