establecimiento_uid,legacy_id,nombre,alias_nombre,nombre_normalizado,direccion,latitud,longitud,barrio_declarado,barrio,comuna,categoria,subcategoria,fuentes,familias_fuente,fuente_principal,fecha_frescura_evidencia,nivel_publicacion,existe_en_fuente,estado_vigencia,estado_operativo,fecha_verificacion_vigencia,fuente_verificacion,tipo_verificacion,referente,tipo_referente,reconocimiento,reconocimiento_normativo,orden_normativo,punto_instrumental,polo_ficha_sistema_asociado,nivel_confianza,metodo_geocodificacion,observaciones_qa
HITO-H018,H018,BOSTON CITY,,BOSTON CITY,Florida 165 local 3,-34.606125,-58.375033,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,21.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H003,H003,Bar Bidou,,BAR BIDOU,Av. Roque Saenz Pena 858,-34.605223,-58.378784,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,3.0,SI,POLO-R12,alta,USIG sobre la dirección del Boletín,
HITO-H004,H004,Bar Boca a Boca,,BAR BOCA A BOCA,Av. Benito Perez Galdos 201,-34.630228,-58.359397,,Boca,Comuna 4,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,20.0,SI,,alta,USIG sobre la dirección del Boletín,
HITO-H010,H010,Bar Conde,,BAR CONDE,Federico Lacroze 3193,-34.577801,-58.449427,,Colegiales,Comuna 13,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-07-29,completo,SI,OPERATIVO,OPERATIVO,2026-07-29,"verificado abierto al 29/07/2026, cinco días antes de la declaración del 03/08. En funcionamiento desde 1902.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,5.0,SI,SYS-CHACAGIALES,alta,USIG sobre la dirección del Boletín,
HITO-H009,H009,Bar El Federal,,BAR EL FEDERAL,Carlos Calvo 595,-34.619619,-58.374145,,San Telmo,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-07-21,completo,SI,OPERATIVO,OPERATIVO,2026-07-21,"Tripadvisor, reseña del 21/07/2026: «Very historic. We expected it to be very touristic but we were pleasantly surprised for the bar to be quiet and civilised.» Segunda reseña de julio de 2026 de otro usuario. Ficha activa, horario 8 a 2 todos los días.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,47.0,SI,POLO-R03,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H094,H094,Bar Iberia,,BAR IBERIA,Av. de Mayo 1196,-34.609258,-58.383303,Monserrat,Monserrat,Comuna 1,Bar Notable,,Boletín Oficial CABA | RES_MCGC_1225_26 (ronda 5),PUBLICA_GCBA,Boletín Oficial CABA,2024-06,completo,SI,OPERATIVO,OPERATIVO,2024-06,"La Nación / Revista Lugares 06/01/2025, entrevista a Maxi Longo.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,10.0,SI,POLO-R12;POLO-Z47,alta,USIG normalizador + datos_utiles (ronda 5),
HITO-H059,H059,Bar Imperio,,BAR IMPERIO,Av. Callao 181,-34.607022,-58.392003,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,57.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H011,H011,Bar Lavalle,,BAR LAVALLE,Lavalle 1693,-34.60304,-58.391002,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,1.0,SI,POLO-R02,alta,USIG sobre la dirección del Boletín,
HITO-H028,H028,Bar Olimpo,Café Olimpo,BAR OLIMPO,Irigoyen 1491,-34.626898,-58.518306,Monte Castro,Monte Castro,Comuna 10,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-07,completo,SI,OPERATIVO,OPERATIVO,2026-08-07,"verificación humana · verificación humana DGDGAS, 07/08/2026",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,12.0,SI,,alta,USIG sobre la dirección del Boletín,
HITO-H017,H017,Bar Via 71,,BAR VIA 71,Viamonte 1771,-34.600753,-58.392349,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,19.0,SI,POLO-R12,alta,USIG sobre la dirección del Boletín,
HITO-H005,H005,Bar de Cao,,BAR DE CAO,Av. Independencia 2400,-34.618679,-58.399898,,San Cristobal,Comuna 3,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-07,completo,SI,OPERATIVO,OPERATIVO,2026-08-07,"Ficha local operativa con teléfono [contacto_redactado] y horario vigente; Tripadvisor mantiene establecimiento, teléfono y horarios actuales.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,6.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H007,H007,Bar del Glorias,,BAR DEL GLORIAS,Andalgala 1982,-34.659301,-58.510313,,Mataderos,Comuna 9,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-04-06,completo,SI,OPERATIVO,OPERATIVO,2026-04-06,"Aquí Mataderos 06/04/2026, sobre el proyecto de beneplácito por los 85 años del club",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,9.0,SI,POLO-Z33,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H002,H002,Barbaro,,BARBARO,Tres Sargentos 415,-34.597887,-58.373198,,Retiro,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,,AUTOMATICA_PLATAFORMA_OFFLINE,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,2.0,SI,POLO-Z46,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H019,H019,Britanico,,BRITANICO,Brasil 399,-34.625306,-58.370839,,San Telmo,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,4.0,SI,POLO-R11,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H024,H024,CAFE DE LOS ANGELITOS,,CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,-34.609527,-58.396007,,Balvanera,Comuna 3,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-05-25,completo,SI,OPERATIVO,OPERATIVO,2026-05-25,"Tripadvisor, reseña del 25/05/2026 (Sue S., Kingston, Canadá, 5/5). Segunda reseña de mayo de 2026 en la ficha de atracción. Sitio propio operativo con rundown de función vigente y motor de reservas activo.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,26.0,SI,POLO-Z35,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H029,H029,CAFE PALACIO,,CAFE PALACIO,Av. Federico Lacroze 3901,-34.584401,-58.453574,,Chacarita,Comuna 15,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,,candidato_interno,SI,OPERATIVO,OPERATIVO,,,SIN_VERIFICACION,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,80.0,SI,SYS-CHACAGIALES,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H034,H034,CAFE THIBON,,CAFE THIBON,Montevideo 723,-34.600414,-58.389571,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,,candidato_interno,SI,OPERATIVO,OPERATIVO,,,SIN_VERIFICACION,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,32.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H036,H036,CAFETABAC,,CAFETABAC,Av. del Libertador 2300,-34.580905,-58.404473,,Palermo,Comuna 14,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,31.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H037,H037,CASA WATSON,,CASA WATSON,Vuelta de Obligado 2072,-34.561811,-58.455426,,Belgrano,Comuna 13,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-07,completo,SI,OPERATIVO,OPERATIVO,2026-08-07,"RESEÑA DE UNA VISITA FAMILIAR escrita el 05/07/2026 que describe haber almorzado allí, 33 días antes de la verificación. Sigue operando como Casa Watson; 'ex Capisci' queda como antecedente histórico, no como nombre vigente.",AUTOMATICA_PLATAFORMA_OFFLINE,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,90.0,SI,POLO-R05,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H020,H020,Cabildo de Buenos Aires,,CABILDO DE BUENOS AIRES,Peru 86,-34.609028,-58.374846,,Monserrat,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,22.0,SI,POLO-Z47,alta,USIG sobre la dirección del Boletín,
HITO-H021,H021,Cafe Cortazar,,CAFE CORTAZAR,Jose Antonio Cabrera 3797,-34.596464,-58.419818,,Palermo,Comuna 14,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,23.0,SI,POLO-R01,alta,USIG sobre la dirección del Boletín,
HITO-H087,H087,Cafe Rivas,,CAFE RIVAS,Estados Unidos 302,-34.618461,-58.370277,,San Telmo,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,28.0,SI,POLO-R03,alta,USIG sobre la dirección del Boletín,
HITO-H023,H023,Cafe de la U,,CAFE DE LA U,Av. Triunvirato 4801,-34.573373,-58.487403,,Villa Urquiza,Comuna 12,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,25.0,SI,POLO-R17,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H086,H086,Café Margot,,CAFE MARGOT,Av. Boedo 857,-34.623266,-58.416375,,Boedo,Comuna 5,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,27.0,SI,POLO-R14,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H027,H027,Café Montecarlo,,CAFE MONTECARLO,Paraguay 5491,-34.577099,-58.43385,,Palermo,Comuna 14,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,79.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H031,H031,Café Roma,,CAFE ROMA,Olavarria 409,-34.636242,-58.358759,,Boca,Comuna 4,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,29.0,SI,POLO-Z52,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H035,H035,Café Tortoni,,CAFE TORTONI,Av. de Mayo 825,-34.608824,-58.37813,,Monserrat,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-05-26,completo,SI,OPERATIVO,OPERATIVO,2026-05-26,"Tripadvisor, reseña del 26/05/2026 (Thayane B., 3/5): «Only valid for the tourist experience», con churros y chocolate mediocres. Crítica pero inequívocamente presencial y fechada. Segunda del 29/04/2026, tercera del 20/04/2026.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,33.0,SI,POLO-R12;POLO-Z47,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H022,H022,Café de García,,CAFE DE GARCIA,Sanabria 3302,-34.606356,-58.51059,,Villa Devoto,Comuna 11,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,24.0,SI,POLO-R15,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H038,H038,Celta Bar,,CELTA BAR,Sarmiento 1702,-34.605579,-58.390932,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,34.0,SI,POLO-R02,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H039,H039,Claridge's,,CLARIDGE S,Tucuman 535,-34.600965,-58.374517,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,35.0,SI,POLO-R12,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H040,H040,Clásica y moderna,,CLASICA Y MODERNA,Av. Callao 892,-34.599001,-58.393113,Recoleta,Recoleta,Comuna 2,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,,candidato_interno,SI,OPERATIVO,OPERATIVO,,,SIN_VERIFICACION,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,36.0,SI,,alta,USIG sobre la dirección del Boletín,
HITO-H090,H090,Confiteria El Greco,,CONFITERIA EL GRECO,Av. Rivadavia 5353,-34.620162,-58.440853,,Caballito,Comuna 6,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,38.0,SI,POLO-R10,alta,USIG sobre la dirección del Boletín,
HITO-H043,H043,Confiteria Saint Moritz,,CONFITERIA SAINT MORITZ,Esmeralda 894,-34.597786,-58.3784,,Retiro,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,,AUTOMATICA_PLATAFORMA_OFFLINE,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,39.0,SI,POLO-R12;POLO-Z46,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H042,H042,Confitería Ideal,,CONFITERIA IDEAL,Suipacha 384,-34.603924,-58.37949,,San Nicolas,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,37.0,SI,POLO-R12,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H025,H025,DON JUAN,,DON JUAN,Camarones 2702,-34.611192,-58.478216,,Villa Santa Rita,Comuna 11,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-07,completo,SI,OPERATIVO,OPERATIVO,2026-08-07,"Ficha con horarios vigentes y actividad; otra fuente actualizada el 06/06/2026 mantiene establecimiento, dirección e Instagram @donjuan_elbar.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,40.0,SI,POLO-Z27,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H047,H047,EL COLECCIONISTA,,EL COLECCIONISTA,Av. Rivadavia 4929,-34.617422,-58.434687,,Caballito,Comuna 6,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,44.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
