hito_id,nombre,direccion,barrio_declarado,tipo,reconocimiento,registro_oficial,vigencia_verificada,vigencia_nivel,vigencia_fecha,vigencia_fuente,es_patrimonio_normativo,patrimonio_norma,places_business_status,vigencia_fecha_consulta,alerta_juridica,alerta_juridica_fecha,latitud,longitud,origen,confianza
DIR-014,Los Campeones,Av. Montes de Oca 856,Barracas,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,probablemente_abierto,v5,2026-05-29,apyce.org/pizzerias-emblematicas (el organizador) + Infobae 29/05/2026,False,,,,,,-34.638058,-58.374593,evidencia_2026 · alta,alta
DIR-015,San Carlos,Av. Rivadavia 4548,Caballito,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.615514,-58.429977,evidencia_2026 · media,media
DIR-016,Torino Norte,Av. Juan B. Justo 3995,La Paternal,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.604292,-58.458401,evidencia_2026 · alta,alta
DIR-017,Gran Pizzeria Jose,Av. San Martin 6915,Villa Devoto,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.591495,-58.511332,evidencia_2026 · media,media
DIR-018,El Palacio de la Pizza,Av. Corrientes 751,San Nicolas,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.603362,-58.377315,evidencia_2026 · alta,alta
DIR-019,El Trebol 1969,Av. Angel Gallardo 3,Villa Crespo,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.602299,-58.432442,evidencia_2026 · alta,alta
DIR-020,San Antonio,Av. Juan de Garay 3602,Boedo,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.631496,-58.416229,evidencia_2026 · media,media
DIR-021,Santolin,Av. San Martin 3185,La Paternal,Heladería histórica,AFADHYA notables (2025-11),,sin_verificar,,,,False,,,,,,-34.601814,-58.468654,evidencia_2026 · media,media
DIR-022,Tino,Av. Diaz Velez 4520,Caballito,Heladería histórica,AFADHYA notables (2025-11),,sin_verificar,,,,False,,,,,,-34.608806,-58.43073,evidencia_2026 · alta,alta
DIR-023,El Ciervo,Carhue 124,Liniers,Heladería histórica,AFADHYA notables (2025-11),,sin_verificar,,,,False,,,,,,-34.640442,-58.524929,evidencia_2026 · media,media
DIR-024,Saverio Helados,Av. San Juan 2809,San Cristobal,Heladería histórica,AFADHYA historicas (2024),,sin_verificar,,,,False,,,,,,-34.623952,-58.404263,evidencia_2026 · alta,alta
DIR-025,Napoli,Av. Entre Rios 1167,San Cristobal,Heladería histórica,AFADHYA historicas (2024),,sin_verificar,,,,False,,,,,,-34.622271,-58.391621,evidencia_2026 · media,media
DIR-026,Gran Café Gardel,ochava Av. Entre Ríos e Independencia,Monserrat,Café histórico sin registro oficial,trayectoria documentada sin registro oficial,,si,v1,2025-01-05,"Infobae 05/01/2025, con reporteo",False,,,,,,-34.618158,-58.3917,evidencia_2026 · alta ronda 7,media
DIR-027,Centro Asturiano de Buenos Aires,Solis 475,Monserrat,Casa regional con comedor,casa regional con comedor en funciones,,dudosa,ninguno,,sitio oficial: la sede social cuenta con restaurante,False,,,,,,-34.614553,-58.39043,evidencia_2026 · alta ronda 7,media
DIR-028,Centro Laurak Bat (Restaurante Haritz),Av. Belgrano 1144,Monserrat,Casa regional con comedor,casa regional con comedor en funciones,,sin_verificar,,,,False,,,,,,-34.613261,-58.382472,evidencia_2026 · alta ronda 7,media
DIR-029,Casal de Catalunya,Chacabuco 863,San Telmo,Casa regional con comedor,casa regional con comedor en funciones,,sin_verificar,,,,False,,,,,,-34.618169,-58.375917,evidencia_2026 · alta ronda 7,media
H001,9 de Julio,Larrazabal 1276,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,dudosa,ninguno,2025-10-16,,False,,,,,,-34.650998,-58.502491,BOLETIN_90 (canon),alta
H002,Barbaro,Tres Sargentos 415,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,dudosa,v4,,,False,,OPERATIONAL,2026-08-08,,,-34.597887,-58.373198,BOLETIN_90 (canon),alta
H003,Bar Bidou,Av. Roque Saenz Pena 858,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.605223,-58.378784,BOLETIN_90 (canon),alta
H004,Bar Boca a Boca,Av. Benito Perez Galdos 201,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.630228,-58.359397,BOLETIN_90 (canon),alta
H005,Bar de Cao,Av. Independencia 2400,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"Ficha local operativa con teléfono 4943-3694 y horario vigente; Tripadvisor mantiene establecimiento, teléfono y horarios actuales.",False,,,,,,-34.618679,-58.399898,BOLETIN_90 (canon),alta
H006,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.587677,-58.388996,BOLETIN_90 (canon),alta
H007,Bar del Glorias,Andalgala 1982,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,probablemente_abierto,v4,2026-04-06,"Aquí Mataderos 06/04/2026, sobre el proyecto de beneplácito por los 85 años del club",False,,,,,,-34.659301,-58.510313,BOLETIN_90 (canon),alta
H008,EL COLONIAL,Av. Belgrano 599,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.612552,-58.374516,BOLETIN_90 (canon),alta
H009,Bar El Federal,Carlos Calvo 595,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-07-21,"Tripadvisor, reseña del 21/07/2026: «Very historic. We expected it to be very touristic but we were pleasantly surprised for the bar to be quiet and civilised.» Segunda reseña de julio de 2026 de otro usuario. Ficha activa, horario 8 a 2 todos los días.",False,,,,,,-34.619619,-58.374145,BOLETIN_90 (canon),alta
H010,Bar Conde,Federico Lacroze 3193,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,,2026-07-29,"verificado abierto al 29/07/2026, cinco días antes de la declaración del 03/08. En funcionamiento desde 1902.",False,,,,,,-34.577801,-58.449427,BOLETIN_90 (canon),alta
H011,Bar Lavalle,Lavalle 1693,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.60304,-58.391002,BOLETIN_90 (canon),alta
H012,BAR OVIEDO,Av. Lisandro de la Torre 2407,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,dudosa,,2021-03-01,"el catálogo lo lista y APH 21 lo protege, pero la última observación de campo del GCBA es de enero de 2013 y no participó de la Noche de los Bares Notables 2025 mientras Del Glorias y 9 de Julio sí. Diario CEMBA publicó el 17/04/2026 pero bloquea acceso automatizado: LECTURA FALLIDA, no confirmación.",True,-,,,,,-34.662711,-58.500062,BOLETIN_90 (canon),alta
H013,BAR PLAZA DORREGO,Defensa 1098,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.620552,-58.371399,BOLETIN_90 (canon),alta
H014,BAR QUINTINO,Carlos Calvo 4002,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.624844,-58.421977,BOLETIN_90 (canon),alta
H015,BAR SEDDON,Defensa 695,Monserrat,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable; sitio_interes_cultural,sin_verificar,,,,False,,,,,,-34.615917,-58.371763,BOLETIN_90 (canon),alta
H016,BAR SUR,Estados Unidos 299,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.618388,-58.37003,BOLETIN_90 (canon),alta
H017,Bar Via 71,Viamonte 1771,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.600753,-58.392349,BOLETIN_90 (canon),alta
H018,BOSTON CITY,Florida 165 local 3,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.606125,-58.375033,BOLETIN_90 (canon),alta
H019,Britanico,Brasil 399,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.625306,-58.370839,BOLETIN_90 (canon),alta
H020,Cabildo de Buenos Aires,Peru 86,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.609028,-58.374846,BOLETIN_90 (canon),alta
H021,Cafe Cortazar,Jose Antonio Cabrera 3797,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.596464,-58.419818,BOLETIN_90 (canon),alta
H022,Café de García,Sanabria 3302,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.606356,-58.51059,BOLETIN_90 (canon),alta
H023,Cafe de la U,Av. Triunvirato 4801,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.573373,-58.487403,BOLETIN_90 (canon),alta
H024,CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-05-25,"Tripadvisor, reseña del 25/05/2026 (Sue S., Kingston, Canadá, 5/5). Segunda reseña de mayo de 2026 en la ficha de atracción. Sitio propio operativo con rundown de función vigente y motor de reservas activo.",False,,,,,,-34.609527,-58.396007,BOLETIN_90 (canon),alta
H025,DON JUAN,Camarones 2702,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"Ficha con horarios vigentes y actividad; otra fuente actualizada el 06/06/2026 mantiene establecimiento, dirección e Instagram @donjuan_elbar.",False,,,,,,-34.611192,-58.478216,BOLETIN_90 (canon),alta
H026,LA POESIA,Chile 502,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.616062,-58.373267,BOLETIN_90 (canon),alta
H027,Café Montecarlo,Paraguay 5491,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.577099,-58.43385,BOLETIN_90 (canon),alta
H028,Café Olimpo,Irigoyen 1491,Monte Castro,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"verificación humana · Diego, 07/08/2026",False,,OPERATIONAL,2026-08-08,,,-34.626898,-58.518306,BOLETIN_90 (canon),alta
H029,CAFE PALACIO,Av. Federico Lacroze 3901,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.584401,-58.453574,BOLETIN_90 (canon),alta
H030,Plaza Café,Av. Rivadavia 4732,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.616452,-58.432096,BOLETIN_90 (canon),alta
H031,Café Roma,Olavarria 409,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.636242,-58.358759,BOLETIN_90 (canon),alta
H032,Roma del Abasto,Anchorena 806,Balvanera,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.599397,-58.408726,BOLETIN_90 (canon),alta
H033,SAN BERNARDO,Av. Corrientes 5436,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.597863,-58.441098,BOLETIN_90 (canon),alta
H034,CAFE THIBON,Montevideo 723,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,,,False,,,,,,-34.600414,-58.389571,BOLETIN_90 (canon),alta
H035,Café Tortoni,Av. de Mayo 825,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-05-26,"Tripadvisor, reseña del 26/05/2026 (Thayane B., 3/5): «Only valid for the tourist experience», con churros y chocolate mediocres. Crítica pero inequívocamente presencial y fechada. Segunda del 29/04/2026, tercera del 20/04/2026.",False,,,,,,-34.608824,-58.37813,BOLETIN_90 (canon),alta
H036,CAFETABAC,Av. del Libertador 2300,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.580905,-58.404473,BOLETIN_90 (canon),alta
H037,CASA WATSON,Vuelta de Obligado 2072,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-08-07,"RESEÑA DE UNA VISITA FAMILIAR escrita el 05/07/2026 que describe haber almorzado allí, 33 días antes de la verificación. Sigue operando como Casa Watson; 'ex Capisci' queda como antecedente histórico, no como nombre vigente.",False,,OPERATIONAL,2026-08-08,,,-34.561811,-58.455426,BOLETIN_90 (canon),alta
H038,Celta Bar,Sarmiento 1702,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.605579,-58.390932,BOLETIN_90 (canon),alta
H039,Claridge's,Tucuman 535,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.600965,-58.374517,BOLETIN_90 (canon),alta
H040,Clásica y moderna,Av. Callao 892,Recoleta,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,,,False,,,,,,-34.599001,-58.393113,BOLETIN_90 (canon),alta
H041,La Escuela,Manuela Pedraza 2803,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.553649,-58.469955,BOLETIN_90 (canon),alta
H042,Confitería Ideal,Suipacha 384,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.603924,-58.37949,BOLETIN_90 (canon),alta
H043,Confiteria Saint Moritz,Esmeralda 894,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,dudosa,v4,,,False,,OPERATIONAL,2026-08-08,,,-34.597786,-58.3784,BOLETIN_90 (canon),alta
H044,El Banderin,Guardia Vieja 3601,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-06-16,"Tripadvisor, reseña del 16/06/2026 (Claudio S., visitante de Madrid), verificada por doble vía en las fichas .com y .com.ar con la misma fecha y el mismo usuario",False,,,,,,-34.601649,-58.415489,BOLETIN_90 (canon),alta
H045,12 de octubre,Bulnes 331,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"verificación humana · Diego, 07/08/2026",False,,,,,,-34.607009,-58.418597,BOLETIN_90 (canon),alta
H046,El Buzón,Esquiu 1393,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,,2025-08-10,Infobae 10/08/2025.,False,,,,,,-34.65116,-58.423403,BOLETIN_90 (canon),alta
H047,EL COLECCIONISTA,Av. Rivadavia 4929,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.617422,-58.434687,BOLETIN_90 (canon),alta
H048,El Estano 1880,Aristobulo del Valle 1100,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.635408,-58.36821,BOLETIN_90 (canon),alta
H049,EL FARO,Av. de los Constituyentes 4099,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,dudosa,,2011-05-01,la única fuente que lo describe en operación es de mayo de 2011: quince años. Figura en el catálogo vigente. Perfil idéntico a Los Laureles y Bar Oviedo.,False,,,,,,-34.584925,-58.488592,BOLETIN_90 (canon),alta
H050,El Gato Negro,Av. Corrientes 1669,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.604209,-58.390307,BOLETIN_90 (canon),alta
H051,HIPOPOTAMO,Brasil 401,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.625331,-58.371288,BOLETIN_90 (canon),alta
H052,El Progreso,Av. Montes de Oca 1700,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.646536,-58.372916,BOLETIN_90 (canon),alta
H053,El Querandi,Peru 302,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.611647,-58.374749,BOLETIN_90 (canon),alta
H054,EL SIMBOLO,Av. Corrientes 3787,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"verificación humana · Diego, 07/08/2026",False,,,,,,-34.603404,-58.417844,BOLETIN_90 (canon),alta
H055,El Tokio,Alvarez Jonte 3550,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,,2026-08-05,Canal 26 05/08/2026. Abierto el 23/04/1930.,False,,OPERATIONAL,2026-08-08,,,-34.612407,-58.491572,BOLETIN_90 (canon),alta
H056,El Viejo Buzon,Neuquen 1100,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"verificación humana · Diego, 07/08/2026",False,,,,,,-34.615898,-58.448852,BOLETIN_90 (canon),alta
H057,Esquina Homero Manzi,Av. San Juan 3601,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,en_riesgo,v2,2026-05-07,,True,-,OPERATIONAL,2026-08-08,,,-34.625385,-58.416337,BOLETIN_90 (canon),alta
H058,FLORIDA GARDEN,Florida 899,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,Ficha con actividad y horario todos los días de 7 a 23; sitio propio online que permite reservas; teléfono 4312-7902 vigente.,False,,OPERATIONAL,2026-08-08,,,-34.597613,-58.375352,BOLETIN_90 (canon),alta
H059,Bar Imperio,Av. Callao 181,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.607022,-58.392003,BOLETIN_90 (canon),alta
H060,La Academia,Montevideo 341,San Nicolas,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2025-06-19,,False,,,,,,-34.60492,-58.389323,BOLETIN_90 (canon),alta
H061,LA BIELA,Av. Quintana 600,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.587834,-58.390761,BOLETIN_90 (canon),alta
H062,La Buena Medida,Suarez 101,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,no,v2,2025-10,,False,,OPERATIONAL,2026-08-08,,,-34.633746,-58.355061,BOLETIN_90 (canon),alta
H063,La Orquidea,Av. Corrientes 4101,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,probablemente_abierto,v5,2026-08-07,"Agencia NOVA, 07/08/2026: acto de entrega de diplomas a los doce nuevos Bares Notables el 04/08/2026, con La Orquídea entre los distinguidos. El organizador es el GCBA y es el GCBA el que nombra al establecimiento.",False,,,,,,-34.602917,-58.42267,BOLETIN_90 (canon),alta
H064,La Esquina de Anibal Troilo,Paraguay 1500,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,senalado_no_cerrado,ninguno,,,False,,,,,,-34.598398,-58.388093,BOLETIN_90 (canon),alta
H065,LA FARMACIA,Av. Directorio 2400,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,Ficha operativa con horarios vigentes y base extensa de reseñas; Tripadvisor operativa con horarios actuales; Turismo de la Ciudad conserva la ficha institucional.,False,,,,,,-34.633541,-58.460605,BOLETIN_90 (canon),alta
H066,La Flor de Barracas,Suarez 2095,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.641822,-58.379497,BOLETIN_90 (canon),alta
H067,LA GIRALDA,Av. Corrientes 1453,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.604052,-58.387286,BOLETIN_90 (canon),alta
H068,La Opera,Av. Corrientes 1799,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.604335,-58.392047,BOLETIN_90 (canon),alta
H069,LA PERLA,Av. Don Pedro de Mendoza 1899,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3b,2026-05-20,"Untappd, check-ins del 20/05/2026 (Patrick Reurink) y del 17/05/2026 (Francisco Montanaro)",False,,OPERATIONAL,2026-08-08,,,-34.639338,-58.361731,BOLETIN_90 (canon),alta
H070,LA PUERTO RICO,Alsina 420,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.610196,-58.372381,BOLETIN_90 (canon),alta
H071,LAS VIOLETAS,Av. Rivadavia 3899,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-07-07,"Tripadvisor .com, reseña del 07/07/2026 (JulieS, 5/5), con mención a los vitrales y a la vitrina de panadería; segunda del 27/06/2026 en .com.ar + confirmación de Diego",False,,,,,,-34.611314,-58.420777,BOLETIN_90 (canon),alta
H072,Le Caravelle,Lavalle 726,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.602372,-58.377159,BOLETIN_90 (canon),alta
H073,London City,Av. de Mayo 599,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.608508,-58.37474,BOLETIN_90 (canon),alta
H074,36 BILLARES,Av. de Mayo 1265,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v3,2026-07-04,"Tripadvisor, reseña del 04/07/2026, y SEGUNDA reseña independiente del 28/06/2026 que describe arañas originales y mesas de pool en uso. Dos reseñas con día visible en la misma ventana.",False,,,,,,-34.60917,-58.384301,BOLETIN_90 (canon),alta
H075,LOS GALGOS,Av. Callao 501,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,,2026-08-02,"declaración de su responsable, 02/08/2026 (vía E · R02).",False,,OPERATIONAL,2026-08-08,,,-34.602955,-58.392326,BOLETIN_90 (canon),alta
H076,Los Laureles,Av. Iriarte 2290,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,si,v2,2026-08-07,"Turismo de la Ciudad (ficha activamente editada, no listado inerte); contradice la nota de El Cronista sobre el mismo local (ver FD-01, ronda 4).",False,,OPERATIONAL,2026-08-08,,,-34.64945,-58.37943,BOLETIN_90 (canon),alta
H077,Mar Azul,Tucuman 1700,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.601939,-58.391132,BOLETIN_90 (canon),alta
H078,Miramar,Sarandi 1190,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable; restaurante_iconico,sin_verificar,,,,False,,,,,,-34.622663,-58.393748,BOLETIN_90 (canon),alta
H079,8 ESQUINAS,Av. Forest 1186,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.578517,-58.460138,BOLETIN_90 (canon),alta
H080,Paulin,Sarmiento 635,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,,,,,-34.604564,-58.375632,BOLETIN_90 (canon),alta
H081,Petit Colón,Libertad 505,,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),bar_notable,sin_verificar,,,,False,,OPERATIONAL,2026-08-08,,,-34.602403,-58.38376,BOLETIN_90 (canon),alta
