polo_uid,legacy_id,polo_nombre,dimension_tipo,dimension_id,dimension_nombre,porcentaje_superficie,locales,es_principal,criterio_principal,comuna_principal,comunas_secundarias,barrios,fuente_geometria,universo_locales
POLO-R04,R04,Puerto Madero,BARRIO,BARRIO_SAN_NICOLAS,San Nicolas,5.415254,33,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,BARRIO,BARRIO_SAN_TELMO,San Telmo,9.926798,29,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,COMUNA,COMUNA_01,Comuna 1,89.196997,340,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,COMUNA,COMUNA_04,Comuna 4,7.693327,14,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,COMUNA,FUERA_COBERTURA_OFICIAL_COMUNA,Fuera de cobertura oficial,3.109676,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R05,R05,Belgrano,BARRIO,BARRIO_BELGRANO,Belgrano,99.853661,343,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 13,,Belgrano;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R05,R05,Belgrano,BARRIO,BARRIO_NUNEZ,Nuñez,0.146339,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,,Belgrano;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R05,R05,Belgrano,COMUNA,COMUNA_13,Comuna 13,100.0,343,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 13,,Belgrano;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R06,R06,Recoleta,BARRIO,BARRIO_RECOLETA,Recoleta,100.0,714,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 2,,Recoleta,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R06,R06,Recoleta,COMUNA,COMUNA_02,Comuna 2,100.0,714,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 2,,Recoleta,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R07,R07,Costanera Norte,BARRIO,BARRIO_BELGRANO,Belgrano,36.782345,22,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 13,Palermo;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R07,R07,Costanera Norte,BARRIO,FUERA_COBERTURA_OFICIAL_BARRIO,Fuera de cobertura oficial,6.851438,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 13,Palermo;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R07,R07,Costanera Norte,BARRIO,BARRIO_PALERMO,Palermo,56.366217,45,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 13,Palermo;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R07,R07,Costanera Norte,COMUNA,COMUNA_13,Comuna 13,36.782345,22,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 13,Palermo;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R07,R07,Costanera Norte,COMUNA,COMUNA_14,Comuna 14,56.366217,45,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 13,Palermo;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R07,R07,Costanera Norte,COMUNA,FUERA_COBERTURA_OFICIAL_COMUNA,Fuera de cobertura oficial,6.851438,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 13,Palermo;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,BARRIO,BARRIO_CABALLITO,Caballito,9.449529,47,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,BARRIO,BARRIO_CHACARITA,Chacarita,2.257863,7,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,BARRIO,BARRIO_PALERMO,Palermo,4.678294,69,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,BARRIO,BARRIO_PATERNAL,Paternal,1.531178,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,BARRIO,BARRIO_VILLA_CRESPO,Villa Crespo,81.752783,621,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,BARRIO,BARRIO_VILLA_GRAL_MITRE,Villa Gral. Mitre,0.330353,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,COMUNA,COMUNA_11,Comuna 11,0.330353,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,COMUNA,COMUNA_14,Comuna 14,4.678294,69,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,COMUNA,COMUNA_15,Comuna 15,85.541824,629,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R08,R08,Villa Crespo,COMUNA,COMUNA_06,Comuna 6,9.449529,47,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 14;Comuna 6;Comuna 11,Villa Crespo;Palermo;Caballito;Chacarita;Paternal;Villa Gral. Mitre,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_BELGRANO,Belgrano,0.766028,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_CHACARITA,Chacarita,35.538313,300,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_COLEGIALES,Colegiales,46.175306,441,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_PALERMO,Palermo,11.764665,124,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_PATERNAL,Paternal,0.165463,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_VILLA_CRESPO,Villa Crespo,4.230681,18,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,BARRIO,BARRIO_VILLA_ORTUZAR,Villa Ortuzar,1.359544,8,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,COMUNA,COMUNA_13,Comuna 13,46.941335,441,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,COMUNA,COMUNA_14,Comuna 14,11.764665,124,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,COMUNA,COMUNA_15,Comuna 15,41.294001,326,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 13,Comuna 15;Comuna 14,Colegiales;Chacarita;Palermo;Villa Crespo;Villa Ortuzar;Belgrano;Paternal,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,BARRIO,BARRIO_BOEDO,Boedo,1.385691,17,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,BARRIO,BARRIO_CABALLITO,Caballito,88.963554,453,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,BARRIO,BARRIO_FLORES,Flores,2.666588,13,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,BARRIO,BARRIO_PARQUE_CHACABUCO,Parque Chacabuco,6.984168,25,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,COMUNA,COMUNA_05,Comuna 5,1.385691,17,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,COMUNA,COMUNA_06,Comuna 6,88.963554,453,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R10,R10,Caballito,COMUNA,COMUNA_07,Comuna 7,9.650756,38,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 6,Comuna 7;Comuna 5,Caballito;Parque Chacabuco;Boedo;Flores,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R11,R11,Boulevard Caseros,BARRIO,BARRIO_BARRACAS,Barracas,51.311857,25,SI,"decisión editorial explícita: mayor superficie; C4 51,311853 % / C1 48,688147 %; locales C4 25 / C1 35",Comuna 4,Comuna 1,Barracas;San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R11,R11,Boulevard Caseros,BARRIO,BARRIO_CONSTITUCION,Constitucion,25.852531,16,NO,"decisión editorial explícita: mayor superficie; C4 51,311853 % / C1 48,688147 %; locales C4 25 / C1 35",Comuna 4,Comuna 1,Barracas;San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R11,R11,Boulevard Caseros,BARRIO,BARRIO_SAN_TELMO,San Telmo,22.835612,19,NO,"decisión editorial explícita: mayor superficie; C4 51,311853 % / C1 48,688147 %; locales C4 25 / C1 35",Comuna 4,Comuna 1,Barracas;San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R11,R11,Boulevard Caseros,COMUNA,COMUNA_01,Comuna 1,48.688147,35,NO,"decisión editorial explícita: mayor superficie; C4 51,311853 % / C1 48,688147 %; locales C4 25 / C1 35",Comuna 4,Comuna 1,Barracas;San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R11,R11,Boulevard Caseros,COMUNA,COMUNA_04,Comuna 4,51.311853,25,SI,"decisión editorial explícita: mayor superficie; C4 51,311853 % / C1 48,688147 %; locales C4 25 / C1 35",Comuna 4,Comuna 1,Barracas;San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R12,R12,Centro y Microcentro,BARRIO,BARRIO_MONSERRAT,Monserrat,18.456711,147,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Nicolas;Retiro;Monserrat,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
