polo_uid,legacy_id,polo_nombre,referente_id,nombre,categoria_referente,categoria_visual,simbolo_visual,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,es_icono_principal,estado_icono_principal,puntaje_icono_principal_propuesto,elegible_icono_principal_propuesto,regla_icono_principal,es_ancla,observaciones,asignacion_metodo,fuera_geometria,cerca_borde_50m,distancia_borde_m,relacion_espacial,relacion_espacial_etiqueta,umbral_relacion_espacial_m
POLO-R11,R11,Boulevard Caseros,HITO-H019,Britanico,Bar Notable,Bar Notable,CIRCLE,,Brasil 399,-34.625306,-58.370839,San Telmo,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,90,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,31.58,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R12,R12,Centro y Microcentro,HITO-H003,Bar Bidou,Bar Notable,Bar Notable,CIRCLE,,Av. Roque Saenz Pena 858,-34.605223,-58.378784,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,43.893,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R12,R12,Centro y Microcentro,HITO-H042,Confitería Ideal,Bar Notable,Bar Notable,CIRCLE,,Suipacha 384,-34.603924,-58.37949,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,0.287,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R12,R12,Centro y Microcentro,HITO-H053,El Querandi,Bar Notable,Bar Notable,CIRCLE,,Peru 302,-34.611647,-58.374749,Monserrat,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,19.176,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R13,R13,Abasto,HITO-H054,EL SIMBOLO,Bar Notable,Bar Notable,CIRCLE,,Av. Corrientes 3787,-34.603404,-58.417844,Almagro,Comuna 5,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,286.644,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R13,R13,Abasto,HITO-H044,El Banderin,Bar Notable,Bar Notable,CIRCLE,,Guardia Vieja 3601,-34.601649,-58.415489,Almagro,Comuna 5,OPERATIVO,2026-06-16,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,112.871,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R13,R13,Abasto,HITO-DIR-006,Pin Pun,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Av. Corrientes 3954,-34.603323,-58.42031,Almagro,Comuna 5,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.cronista.com/clase/gourmet/la-pizzeria-historica-que-es-la-mas-antigua-de-caba-y-fue-elegida-como-la-mejor-de-la-ciudad-en-varias-oportunidades/,media,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,60.799,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R14,R14,Avenida Boedo,HITO-H086,Café Margot,Bar Notable,Bar Notable,CIRCLE,,Av. Boedo 857,-34.623266,-58.416375,Boedo,Comuna 5,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,334.747,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R14,R14,Avenida Boedo,HITO-H057,Esquina Homero Manzi,Bar Notable,Bar Notable,CIRCLE,,Av. San Juan 3601,-34.625385,-58.416337,Boedo,Comuna 5,SIN_VERIFICAR,2026-05-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,339.977,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R14,R14,Avenida Boedo,HITO-DIR-020,San Antonio,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2026),Av. Juan de Garay 3602,-34.631496,-58.416229,Boedo,Comuna 5,SIN_VERIFICAR,,APYCE + GCBA (2026),https://www.cronista.com/clase/gourmet/la-clasica-pizzeria-portena-que-es-un-clasico-de-boedo-y-causa-furor-en-el-barrio/,media,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,373.244,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R15,R15,Devoto,HITO-H022,Café de García,Bar Notable,Bar Notable,CIRCLE,,Sanabria 3302,-34.606356,-58.51059,Villa Devoto,Comuna 11,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,190.967,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R15,R15,Devoto,HITO-DIR-017,Gran Pizzeria Jose,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2026),Av. San Martin 6915,-34.591495,-58.511332,Villa Devoto,Comuna 11,SIN_VERIFICAR,,APYCE + GCBA (2026),https://www.cronista.com/clase/gourmet/la-pizzeria-clasica-de-villa-devoto-que-cumplio-80-anos-y-que-vale-la-pena-conocer/,media,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,113.46,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R15,R15,Devoto,HITO-H083,STYLO CAFE,Bar Notable,Bar Notable,CIRCLE,,Fernandez de Enciso 3934,-34.601354,-58.512648,Villa Devoto,Comuna 11,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,310.677,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R17,R17,Villa Urquiza,HITO-H023,Cafe de la U,Bar Notable,Bar Notable,CIRCLE,,Av. Triunvirato 4801,-34.573373,-58.487403,Villa Urquiza,Comuna 12,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,90,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,570.574,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R21,R21,La Paternal,HITO-MIC-003,MN Santa Inés,Bib Gourmand,Distinción MICHELIN,STAR,selección MICHELIN,Ávalos 360,-34.592784,-58.467636,Paternal,Comuna 15,SIN_VERIFICAR,2026-08-08,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mn-santa-ines,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,307.464,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R21,R21,La Paternal,HITO-DIR-021,Santolin,otro documentado,Referente documentado,HEXAGON,Heladería histórica,Av. San Martin 3185,-34.601814,-58.468654,Paternal,Comuna 15,SIN_VERIFICAR,,AFADHYA notables (2025-11),https://www.lanacion.com.ar/sociedad/5-heladerias-historicas-buenos-aires-les-hacen-nid2210827/,media,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,45,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,298.29,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R21,R21,La Paternal,HITO-DIR-016,Torino Norte,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2026),Av. Juan B. Justo 3995,-34.604292,-58.458401,Villa Crespo,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2026),https://pizzeriatorino.com.ar/contacto/,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,63,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,47.936,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z27,Z27,Villa Santa Rita,HITO-H025,DON JUAN,Bar Notable,Bar Notable,CIRCLE,,Camarones 2702,-34.611192,-58.478216,Villa Santa Rita,Comuna 11,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,19.08,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z27,Z27,Villa Santa Rita,HITO-REF-EL-SOL-DE-GALICIA-LUIS-VIALE-2867,El Sol de Galicia,referente barrial,Referente documentado,HEXAGON,churrería/pastelería,Luis Viale 2867,-34.61912637900802,-58.47439225162961,Villa Santa Rita,Comuna 11,OPERATIVO,2026-08-07,Trayectoria desde 1957; no Bar Notable,"sitio oficial del establecimiento, documentado en AUDITORIA_DEL_CATALOGO_OFICIAL.md",alta_documental; media_espacial,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,42,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,139.255,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z27,Z27,Villa Santa Rita,HITO-H055,El Tokio,Bar Notable,Bar Notable,CIRCLE,,Alvarez Jonte 3550,-34.612407,-58.491572,Villa Santa Rita,Comuna 11,OPERATIVO,2026-08-05,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,5.413,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z28,Z28,Monte Castro,HITO-DIR-002,El Fortin,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),,-34.624277,-58.511648,Monte Castro,Comuna 10,OPERATIVO,2025-08-26,APYCE + GCBA (2025),https://buenosaires.gob.ar/noticias/historias-de-mi-comuna-pizzeria-el-fortin,baja,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,83,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,0.185,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z33,Z33,Mataderos,HITO-H012,BAR OVIEDO,Bar Notable,Bar Notable,CIRCLE,,Av. Lisandro de la Torre 2407,-34.662711,-58.500062,Mataderos,Comuna 9,OPERATIVO,2021-03-01,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,93.997,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z33,Z33,Mataderos,HITO-PAT-002,Bar Catedral Tango,patrimonio,Patrimonio normativo,X,Sitio de Interes Cultural,Timoteo Gordillo 2498,-34.662959,-58.501138,Mataderos,Comuna 9,SIN_VERIFICAR,,Sitio de Interes Cultural,https://buenosaires.gob.ar/noticias/reconocimiento-uno-de-los-lugares-mas-emblematicos-de-mataderos,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,4.62,DENTRO,referente dentro del polo,0 / 50 / 250
