wikidata_id,nombre,declaratoria,direccion_declarada,direccion_consultada,direccion_normalizada,tipo_normalizacion,lon,lat,fundacion,sitio_web,barrio_declarado_en_wikidata,clase_en_wikidata,geocodificacion,listado_no_exhaustivo,la_declaratoria_no_es_calidad,fuente,barrio,comuna
Q56826297,Celta Bar,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Sarmiento 1701,Sarmiento 1701,"SARMIENTO 1701, CABA",calle_altura,-58.390915,-34.605499,,http://www.losnotables.com.ar,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
Q56826305,Café La Poesía,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Chile 502,Chile 502,"CHILE 502, CABA",calle_altura,-58.373267,-34.616062,,http://www.losnotables.com.ar,San Telmo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Telmo,1.0
Q56826310,9 de julio,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Larrazabal 1276,Larrazabal 1276,"LARRAZABAL AV. 1276, CABA",calle_altura,-58.502491,-34.650998,,,Mataderos,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Mataderos,9.0
Q56826315,12 de octubre,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Bulnes 331,Bulnes 331,"BULNES 331, CABA",calle_altura,-58.418597,-34.607009,,,Almagro,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Almagro,5.0
Q56826321,Barbaro,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Tres Sargentos 415,Tres Sargentos 415,"TRES SARGENTOS 415, CABA",calle_altura,-58.373198,-34.597887,,,Retiro,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Retiro,1.0
Q56826324,Bar Bidou,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Diagonal Norte 858,Diagonal Norte 858,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 858, CABA",calle_altura,-58.378784,-34.605223,,,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
Q56826332,Bar Carlitos,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Carlos Calvo 2607,Carlos Calvo 2607,"CALVO, CARLOS 2607, CABA",calle_altura,-58.401949,-34.621026,,,San Cristóbal,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Cristobal,3.0
Q56826349,Bar del Alvear Palace Hotel,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. Alvear 1891,Av. Alvear 1891,"ALVEAR AV. 1891, CABA",calle_altura,-58.388996,-34.587677,,,Recoleta,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Recoleta,2.0
Q56826438,Bar del Glorias,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Andalgala 1982,Andalgala 1982,"ANDALGALA 1982, CABA",calle_altura,-58.510313,-34.659301,,,Mataderos,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Mataderos,9.0
Q56826453,Bar El Colonial,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. Belgrano 599,Av. Belgrano 599,"BELGRANO AV. 599, CABA",calle_altura,-58.374516,-34.612552,,,Monserrat,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Monserrat,1.0
Q56826471,Bar iberia,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. De Mayo 1196,Av. De Mayo 1196,"DE MAYO AV. 1196, CABA",calle_altura,-58.383303,-34.609258,,,Monserrat,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Monserrat,1.0
Q56826482,Bar Lavalle,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Lavalle 1693,Lavalle 1693,"LAVALLE 1693, CABA",calle_altura,-58.391002,-34.60304,,,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
Q56826501,Bar Oviedo,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Lisandro de la Torre 2407,Lisandro de la Torre 2407,"DE LA TORRE, LISANDRO AV. 2407, CABA",calle_altura,-58.500062,-34.662711,,,Mataderos,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Mataderos,9.0
Q56826508,Bar Plaza Dorrego,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Defensa 1098,Defensa 1098,"DEFENSA 1098, CABA",calle_altura,-58.371399,-34.620552,,,San Telmo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Telmo,1.0
Q56826515,Bar Quintino,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Carlos Calvo 4002,Carlos Calvo 4002,"CALVO, CARLOS AV. 4002, CABA",calle_altura,-58.421977,-34.624844,,,Boedo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Boedo,5.0
Q56826523,Bar Seddon,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Defensa 695,Defensa 695,"DEFENSA 695, CABA",calle_altura,-58.371763,-34.615917,,,Monserrat,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Monserrat,1.0
Q56826536,Bar Sur,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Estados Unidos 299,Estados Unidos 299,"ESTADOS UNIDOS 299, CABA",calle_altura,-58.37003,-34.618388,,https://bar-sur.com.ar,Buenos Aires,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Telmo,1.0
Q56826560,Bar Boston City,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Florida 165,Florida 165,"FLORIDA 165, CABA",calle_altura,-58.375033,-34.606125,,,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
Q56826565,Café de la Esquina,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. Del Libertador 6196,Av. Del Libertador 6196,"DEL LIBERTADOR AV. 6196, CABA",calle_altura,-58.449325,-34.554981,,,Belgrano,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Belgrano,13.0
Q56826568,Café de la U,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Triunvirato 4801,Triunvirato 4801,"TRIUNVIRATO AV. 4801, CABA",calle_altura,-58.487403,-34.573373,,,Villa Urquiza,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Villa Urquiza,12.0
Q56826576,Café de los Incas,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. De los Incas 3909,Av. De los Incas 3909,"DE LOS INCAS AV. 3909, CABA",calle_altura,-58.467361,-34.57724,,,Villa Ortúzar,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Villa Ortuzar,15.0
Q56826578,Café Don Juan,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Camarones 2702,Camarones 2702,"CAMARONES 2702, CABA",calle_altura,-58.478216,-34.611192,,,Villa Santa Rita,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Villa Santa Rita,11.0
Q56826581,Café Los Andes,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Scalabrini Ortiz 1312,Scalabrini Ortiz 1312,"SCALABRINI ORTIZ, RAUL AV. 1312, CABA",calle_altura,-58.427968,-34.5928,,,Palermo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Palermo,14.0
Q56826585,Café Montecarlo,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Paraguay 5491,Paraguay 5491,"PARAGUAY 5491, CABA",calle_altura,-58.43385,-34.577099,,,Palermo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Palermo,14.0
Q56826592,Café Monserrat,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),San Jose 524,San Jose 524,"SAN JOSE 524, CABA",calle_altura,-58.385901,-34.614765,,,Monserrat,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Monserrat,1.0
Q56826599,Café Nostalgia,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Soler 3599,Soler 3599,"SOLER 3599, CABA",calle_altura,-58.414389,-34.594061,,,Recoleta,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Recoleta,2.0
Q56826603,Café Olimpo,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Irigoyen 1491,Irigoyen 1491,"IRIGOYEN 1491, CABA",calle_altura,-58.518306,-34.626898,,,Monte Castro,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Monte Castro,10.0
Q56826607,Café Palacio,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. F. Lacroze 3901,Av. F. Lacroze 3901,"LACROZE, FEDERICO AV. 3901, CABA",calle_altura,-58.453574,-34.584401,,,Chacarita,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Chacarita,15.0
Q56826608,Café Roma,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Olavarria 409,Olavarria 409,"OLAVARRIA 409, CABA",calle_altura,-58.358759,-34.636242,,,La Boca,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),La Boca,4.0
Q56826620,Café Roma,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),San Luis 3101,San Luis 3101,"SAN LUIS 3101, CABA",calle_altura,-58.40885,-34.59945,,,Balvanera,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Balvanera,3.0
Q56826622,Café Thibon,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Montevideo 723,Montevideo 723,"MONTEVIDEO 723, CABA",calle_altura,-58.389571,-34.600414,,,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
Q56826626,Caffe Tabac,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Av. Del Libertador 2300,Av. Del Libertador 2300,"DEL LIBERTADOR AV. 2300, CABA",calle_altura,-58.404473,-34.580905,,,Palermo,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Palermo,14.0
Q56826629,Casa Watson,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Vuelta De Obligado 2072,Vuelta De Obligado 2072,"VUELTA DE OBLIGADO 2072, CABA",calle_altura,-58.455426,-34.561811,,,Belgrano,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),Belgrano,13.0
Q56826633,Claridge's,Bar Notable (declaratoria patrimonial de la Ciudad Autónoma de Buenos Aires),Tucuman 535,Tucuman 535,"TUCUMAN 535, CABA",calle_altura,-58.374517,-34.600965,,,San Nicolás,edificio,USIG · normalizador GCBA,"Listado NO exhaustivo: son los Bares Notables cargados en Wikidata con su declaratoria patrimonial, no el registro oficial completo.","«Bar Notable» es una declaratoria, es decir un acto administrativo por valor patrimonial, arquitectónico o cultural. NO es una calificación de calidad gastronómica y no debe leerse como recomendación.",Wikidata (CC0 1.0) · geocodificación USIG (GCBA),San Nicolas,1.0
