fuente_id,titulo,autor,medio_u_organismo,fecha,url,url_alternativa,estado_acceso,detalle_acceso,caracter_fuente,detalle_caracter,apta_prueba_principal,polos_asociados,evidencias_asociadas,observaciones
F-LN-BAJO,El Bajo Belgrano apuesta a grandes bares restaurantes y vida nocturna,s/d,La Nacion,circa 2013,https://www.lanacion.com.ar/lifestyle/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna-nid1578738/,https://carlosfelice.com.ar/blog/2013/06/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna/,paywall,titulo y lead verificados; cuerpo paywall,periodistica,diario nacional,si,Belgrano,BEL-E11,Replica en blog de terceros no oficial; usar solo como localizador
F-LN-COCINAS,Cocinas del mundo: el barrio que ofrece platos de diversos paises en unas pocas cuadras,s/d,La Nacion,2025-01-20,https://www.lanacion.com.ar/sabado/el-nuevo-belgrano-la-gastronomia-del-mundo-se-da-cita-en-unas-pocas-cuadras-nid20012025/,,paywall,titulo verificado,periodistica,diario nacional,si,Belgrano,BEL-E14,Cuerpo no leido completo
F-LN-DESALOJOS,Postergan desalojos en los carritos de la Costanera Norte,s/d,La Nacion,1997-10-08,https://www.lanacion.com.ar/sociedad/postergan-desalojos-en-los-carritos-de-la-costanera-norte-nid78338/,,paywall,titulo verificado,periodistica,diario nacional,si,Costanera Norte,CN-10,Historia de permanencia de carritos
F-LN-CHORIPAN,Cumplio todos los requisitos y paso a ser el primer choripanero habilitado,s/d,La Nacion,2004-10-04,https://www.lanacion.com.ar/sociedad/cumplio-todos-los-requisitos-y-paso-a-ser-el-primer-choripanero-habilitado-nid641953/,,paywall,cuerpo no leido completo,periodistica,diario nacional,si,Costanera Norte; marco ciudad,,Hito de habilitacion del oficio; sin evidencia_id asignado en matriz (reserva)
F-LN-RECO,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,Content LAB,La Nacion / Recoleta Urban Mall,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,,activa,,comercial,BRANDED CONTENT (Content LAB),no,Recoleta,REC-R03 REC-R04 REC-R05 REC-R12,Independencia baja; util para ubicar nodo; nunca prueba principal de decision territorial
F-CL-BC-NUEVO,Nuevo Barrio Chino: que comer y por cuanto en los flamantes locales del gran polo gastronomico de Belgrano,Maria Florencia Perez,Clarin Gourmet,2023-05-14,https://www.clarin.com/gourmet/nuevo-barrio-chino-comer-flamantes-locales-gran-polo-gastronomico-belgrano_0_K19moUbDp1.html,,paywall,activa con paywall parcial,periodistica,diario nacional,si,Belgrano,BEL-E07,Tramo Juramento-Mendoza
F-CL-FOODTRUCKS,De los carritos a los foodtrucks la evolucion de la comida que se vende en la calle,Redaccion Clarin,Clarin,2017-06-30,https://www.clarin.com/ciudades/carritos-foodtrucks-evolucion-comida-vende-calle_0_BygTJBV4-.html,,activa,,periodistica,diario nacional,si,Costanera Norte,CN-08,Comodato AGC carritos; clave metodologica
F-CL-CN-NUEVA,La nueva Costanera Norte: quienes son los nuevos duenos de los restaurantes,Malena Nazareth Martos,Clarin,2026-01-04,https://www.clarin.com/ciudades/nueva-costanera-norte-nuevos-duenos-restaurantes-zona-polemicas-historicas-concesiones_0_DZJOpwemv1.html,,paywall,activa con paywall parcial,periodistica,diario nacional,si,Costanera Norte,CN-11 CN-12,Sector 1 concesiones; no usar marcas como nombres de componente
F-CL-CS-GAS,En Costanera Sur ahora el choripan se hace en parrillas a gas,s/d,Clarin,2014-08-15,https://www.clarin.com/ciudades/carritos-costanera-sur-gas_0_Byse6v9qPXe.html,,activa,,periodistica,diario nacional,si,Costanera Norte (comparacion Sur),CN-16,Diferenciacion Norte/Sur
F-CL-RECO-44,Con 44 propuestas resurge el polo gastronomico de Recoleta,Redaccion Clarin,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,,activa,,periodistica,diario nacional,si,Recoleta,REC-R06 REC-R07 REC-R08 REC-R11,Fecha corregida (no 2016); corredor hasta Retiro; valida historia no densidad 2026
F-IPRO-9,Los 9 mejores lugares para ir a comer en el Barrio Chino,Silvina Reusmann,iProfesional,2023-02-17,https://www.iprofesional.com/turismo/377641-los-9-mejores-lugares-para-ir-a-comer-en-el-barrio-chino,,activa,,periodistica,portal de noticias,con_advertencia,Belgrano,BEL-E06,Ranking no delimita; util por dato urbano del Pasaje Echeverria
F-IPRO-CS,Dos importantes grupos se disputan la concesion del centro Costa Salguero,s/d,iProfesional,2025-11-03,https://www.iprofesional.com/negocios/441019-dos-importantes-grupos-se-disputan-la-concesion-del-centro-costa-salguero,,activa,,periodistica,portal de noticias,si,Costanera Norte,CN-14,Usos gastronomicos en pliego
F-BAC-FOODIE,El circuito foodie de Belgrano,Fiamma Zampino,Buenos Aires Connect,2022-06-01,https://buenosairesconnect.com/donde-comer-belgrano-restaurantes-barrio-chino-pasaje-echeverria/,,activa,sitio JS-heavy (parcial),promocional,divulgacion turistico-gastronomica,no,Belgrano,BEL-E05,Caracterizacion secundaria
F-BAC-BEL,Belgrano: todo lo que tenes que saber sobre este barrio sensacional,s/d,Buenos Aires Connect,2025-04-09,https://buenosairesconnect.com/belgrano-cuatro-recorridos-cuatro-aspectos-un-solo-barrio/,,activa,sitio JS-heavy (parcial),promocional,divulgacion urbana,no,Belgrano,BEL-E10,Debil para Cabildo-Juramento
F-OHLALA-BC,Barrio Chino de Buenos Aires: donde queda y los mejores lugares para comer rico,Maria Paula Bandera,Ohlala,2024-06-26,https://www.somosohlala.com/lifestyle/gastronomia/barrio-chino-reloaded-cuales-son-los-nuevos-spots-bajo-las-vias-para-comer-rico-y-pasear-nid29072023,,activa,,promocional,lifestyle,no,Belgrano,BEL-E08,Caracterizacion secundaria
F-MALEVA-BC,Reporte MALEVA Barrio Chino,Camila Barreiro,MALEVA,2021-08-17,https://malevamag.com/2021/08/17/reporte-maleva-cuales-son-los-seis-platos-que-tenes-que-comer-si-o-si-en-el-barrio-chino-de-belgrano/,,activa,,promocional,revista foodie,no,Belgrano,BEL-E09,Caracterizacion secundaria
F-MALEVA-BR,BELGRANO R CON R DE RICO Y RENOVADO,Dolores Ugarte del Rio,MALEVA,2018-03-19,https://malevamag.com/2018/03/19/belgrano-r-con-r-de-rico-y-renovado-las-cinco-nuevas-propuestas-que-tenes-que-conocer-por-dolores-ugarte-del-rio/,,activa,,promocional,revista foodie,no,Belgrano,BEL-E13,Polito entre comillas; desactualizada 2018
F-SPG-BR,Una vuelta por Belgrano R,s/d,Solo por Gusto,2022-10-19,https://soloporgusto.com/una-vuelta-por-belgrano-r/,,no_verificada,HTTP 403 al fetch; solo metadatos y crawl parcial,promocional,blog gastronomico,no,Belgrano,BEL-E12,No inventar citas del cuerpo
F-CRON-BA,De Modena a Mercedes Haus: asi es el nuevo polo gastronomico de Recoleta,s/d,El Cronista (Clase),2021-11-01,https://www.cronista.com/clase/gourmet/de-modena-a-mercedes-haus-asi-es-el-nuevo-polo-gastronomico-de-recoleta/,,paywall,activa con paywall parcial,periodistica,seccion lifestyle-comercial,con_advertencia,Recoleta,REC-R09 REC-R10,Predio Bellas Artes; nodo no subzona
F-INFOBAE-CARR,Macri presento 13 nuevos carritos e inauguro un paseo en Costanera Norte,s/d,Infobae,2013-08-26,https://www.infobae.com/2013/08/26/1504482-macri-presento-13-nuevos-carritos-e-inauguro-un-paseo-costanera-norte/,,activa,,periodistica,portal de noticias,si,Costanera Norte,CN-07,Regularizacion frente Aeroparque
F-TYM-CARR,Los tentadores carritos de la Costanera,Susana Esposito,Tango y Milonga,2016-05-18,https://www.tangoymilonga.com.ar/noticias2016/carritos_de_la_costanera.html,,activa,encoding antiguo en pagina,promocional,divulgacion historica,no,Costanera Norte,CN-09,Historia divulgativa; no fuente academica primaria
F-BAH-ODULIO,Carrito Odulio en la Costanera,s/d,Buenos Aires Historia (Asoc. Civil Rumbo Sur),s/d,https://buenosaireshistoria.org/fotografias/carrito-odulio-en-la-costanera/,,activa,,academica,archivo historico de asociacion civil,con_advertencia,Costanera Norte,CN-15,Memoria material; no delimita
F-AMBA-DJ,Como es el proyecto Distrito Joven,El Auditor via Observatorio AMBA,Observatorio AMBA,2022-03,https://observatorioamba.org/noticias-y-agenda/noticia/cmo-es-el-proyecto-distrito-joven,,activa,verificada parcialmente,academica,observatorio tercer sector,con_advertencia,Costanera Norte,CN-13,Fuente de seguimiento; no reemplaza Boletin Oficial
