fuente_id,titulo,autor,medio,fecha,url,url_alternativa,estado_acceso,verificada,polos_asociados,observaciones
F-CL-BC-NUEVO,Nuevo Barrio Chino: que comer y por cuanto en los flamantes locales del gran polo gastronomico de Belgrano,Maria Florencia Perez,Clarin Gourmet,2023-05-14,https://www.clarin.com/gourmet/nuevo-barrio-chino-comer-flamantes-locales-gran-polo-gastronomico-belgrano_0_K19moUbDp1.html,,activa_parcial_paywall,si,Belgrano,Tramo Juramento-Mendoza
F-CL-FOODTRUCKS,De los carritos a los foodtrucks la evolucion de la comida que se vende en la calle,Redaccion Clarin,Clarin,2017-06-30,https://www.clarin.com/ciudades/carritos-foodtrucks-evolucion-comida-vende-calle_0_BygTJBV4-.html,,activa,si,Costanera Norte,Comodato AGC carritos
F-CL-CN-NUEVA,La nueva Costanera Norte: quienes son los nuevos duenos de los restaurantes,Malena Nazareth Martos,Clarin,2026-01-04,https://www.clarin.com/ciudades/nueva-costanera-norte-nuevos-duenos-restaurantes-zona-polemicas-historicas-concesiones_0_DZJOpwemv1.html,,activa_parcial_paywall,si,Costanera Norte,Sector 1 concesiones; no usar marcas como nombres de componente
F-CL-CS-GAS,En Costanera Sur ahora el choripan se hace en parrillas a gas,s/d,Clarin,2014-08-15,https://www.clarin.com/ciudades/carritos-costanera-sur-gas_0_Byse6v9qPXe.html,,activa,si,Costanera Norte (comparacion Sur),Diferenciacion Norte/Sur
F-CL-RECO-44,Con 44 propuestas resurge el polo gastronomico de Recoleta,Redaccion Clarin,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,,activa,si,Recoleta,Fecha corregida (no 2016); corredor hasta Retiro
F-IPRO-9,Los 9 mejores lugares para ir a comer en el Barrio Chino,Silvina Reusmann,iProfesional,2023-02-17,https://www.iprofesional.com/turismo/377641-los-9-mejores-lugares-para-ir-a-comer-en-el-barrio-chino,,activa,si,Belgrano,Pasaje Echeverria; no usar ranking como delimitacion
F-IPRO-CS,Dos importantes grupos se disputan la concesion del centro Costa Salguero,s/d,iProfesional,2025-11-03,https://www.iprofesional.com/negocios/441019-dos-importantes-grupos-se-disputan-la-concesion-del-centro-costa-salguero,,activa,si,Costanera Norte,Usos gastronomicos en pliego
F-BAC-FOODIE,El circuito foodie de Belgrano,Fiamma Zampino,Buenos Aires Connect,2022-06-01,https://buenosairesconnect.com/donde-comer-belgrano-restaurantes-barrio-chino-pasaje-echeverria/,,activa_parcial_js,parcial,Belgrano,Sitio JS-heavy
F-BAC-BEL,Belgrano: todo lo que tenes que saber sobre este barrio sensacional,s/d,Buenos Aires Connect,2025-04-09,https://buenosairesconnect.com/belgrano-cuatro-recorridos-cuatro-aspectos-un-solo-barrio/,,activa_parcial_js,parcial,Belgrano,Debil para Cabildo-Juramento
F-OHLALA-BC,Barrio Chino de Buenos Aires: donde queda y los mejores lugares para comer rico,Maria Paula Bandera,Ohlala,2024-06-26,https://www.somosohlala.com/lifestyle/gastronomia/barrio-chino-reloaded-cuales-son-los-nuevos-spots-bajo-las-vias-para-comer-rico-y-pasear-nid29072023,,activa,si,Belgrano,Lifestyle
F-MALEVA-BC,Reporte MALEVA Barrio Chino,Camila Barreiro,MALEVA,2021-08-17,https://malevamag.com/2021/08/17/reporte-maleva-cuales-son-los-seis-platos-que-tenes-que-comer-si-o-si-en-el-barrio-chino-de-belgrano/,,activa,si,Belgrano,Foodie
F-MALEVA-BR,BELGRANO R CON R DE RICO Y RENOVADO,Dolores Ugarte del Rio,MALEVA,2018-03-19,https://malevamag.com/2018/03/19/belgrano-r-con-r-de-rico-y-renovado-las-cinco-nuevas-propuestas-que-tenes-que-conocer-por-dolores-ugarte-del-rio/,,activa,si,Belgrano,Polito entre comillas; desactualizada
F-SPG-BR,Una vuelta por Belgrano R,s/d,Solo por Gusto,2022-10-19,https://soloporgusto.com/una-vuelta-por-belgrano-r/,,http_403,parcial,Belgrano,Acceso bloqueado al fetch; metadatos y crawl parcial
F-CRON-BA,De Modena a Mercedes Haus: asi es el nuevo polo gastronomico de Recoleta,s/d,El Cronista,2021-11-01,https://www.cronista.com/clase/gourmet/de-modena-a-mercedes-haus-asi-es-el-nuevo-polo-gastronomico-de-recoleta/,,activa_parcial_paywall,si,Recoleta,Predio Bellas Artes; no subzona
F-INFOBAE-CARR,Macri presento 13 nuevos carritos e inauguro un paseo en Costanera Norte,s/d,Infobae,2013-08-26,https://www.infobae.com/2013/08/26/1504482-macri-presento-13-nuevos-carritos-e-inauguro-un-paseo-costanera-norte/,,activa,si,Costanera Norte,Regularizacion frente Aeroparque
F-TYM-CARR,Los tentadores carritos de la Costanera,Susana Esposito,Tango y Milonga,2016-05-18,https://www.tangoymilonga.com.ar/noticias2016/carritos_de_la_costanera.html,,activa,si,Costanera Norte,Historia divulgativa
F-BAH-ODULIO,Carrito Odulio en la Costanera,s/d,Buenos Aires Historia,s/d,https://buenosaireshistoria.org/fotografias/carrito-odulio-en-la-costanera/,,activa,si,Costanera Norte,Foto historica
F-AMBA-DJ,Como es el proyecto Distrito Joven,El Auditor via Observatorio AMBA,Observatorio AMBA,2022-03,https://observatorioamba.org/noticias-y-agenda/noticia/cmo-es-el-proyecto-distrito-joven,,activa,parcial,Costanera Norte,Fuente de seguimiento no BO
