nombre,direccion_adoptada,direcciones_alternativas,barrio,comuna,estado,nivel_de_verificacion,fecha,fuente,dias_desde_verificacion,accion
CAFE RIVAS,Estados Unidos 302,,San Telmo,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE ROMA,Olavarria 409,,La Boca,4,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE SAN BERNARDO,Av. Corrientes 5436,,Villa Crespo,15,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE TABAC,Av. del Libertador 2300,,Recoleta,2,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE THIBON,Montevideo 723,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CAFE TORTONI,Av. de Mayo 825,,Monserrat,1,abierto,v3,2026-05-26,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-05-26.,76,mantener; próxima revisión ordinaria
CELTA BAR,Sarmiento 1702,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CLARIDGE'S BAR,Tucuman 535,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CLASICA Y MODERNA,Av. Callao 892,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CONFITERIA EL GRECO,Av. Rivadavia 5353,,Caballito,6,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CONFITERIA LA IDEAL,Suipacha 384,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
CONFITERIA SAINT MORITZ,Esmeralda 894,,Retiro,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
DON JUAN BAR,Camarones 2702,,Villa Santa Rita,11,abierto,v2,2026-08-07,Fuente pública fechada archivada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
EL BANDERIN,Guardia Vieja 3601,,Almagro,5,abierto,v3,2026-06-16,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-06-16.,55,mantener; próxima revisión ordinaria
EL BOLICHE DE ROBERTO,Bulnes 331,,Almagro,5,abierto,v2,2026-08-07,Fuente pública fechada archivada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
El Buzón,Esquiú 1393,Esquiú y Centenera | Esquiú y Tabaré,Nueva Pompeya,4,abierto,v2,2025-08-10,"Infobae, publicación del 2025-08-10.",365,revisar: evidencia vencida o no auditables individualmente
EL COLECCIONISTA,Av. Rivadavia 4929,,Caballito,6,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
EL ESTANO 1880,Aristobulo del Valle 1100,,La Boca,4,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
EL FARO,Av. de los Constituyentes 4099,,Parque Chas,15,abierto,v2,2011-05-01,Fuente pública fechada archivada; fecha adoptada 2011-05-01.,5580,revisar: evidencia vencida o no auditables individualmente
EL FEDERAL,Carlos Calvo 595,599,San Telmo,1,abierto,v3,2026-07-21,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-07-21.,20,mantener; próxima revisión ordinaria
EL GATO NEGRO,Av. Corrientes 1669,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
EL HIPOPOTAMO,Brasil 401,,San Telmo,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
EL PROGRESO,Av. Montes de Oca 1700,,Barracas,4,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
EL QUERANDI,Peru 302,,Monserrat,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
EL SIMBOLO,Av. Corrientes 3787,3797,Almagro,5,abierto,v2,2026-08-07,Fuente pública fechada archivada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
EL TOKIO,Alvarez Jonte 3550,,Villa Santa Rita,11,abierto,v2,2026-08-05,"Canal 26, publicación del 2026-08-05.",5,mantener; próxima revisión ordinaria
EL VIEJO BUZON,Neuquen 1100 esq. Espinosa,,Caballito,6,abierto,v2,2026-08-07,Fuente pública fechada archivada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
ESQUINA HOMERO MANZI,Av. San Juan 3601,,Almagro,5,en_riesgo,v1,2026-05-07,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",95,revisar: evidencia vencida o no auditables individualmente
FLORIDA GARDEN,Florida 899,,Retiro,1,abierto,v2,2026-08-07,Fuente pública fechada archivada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
HOTEL SAVOY / BAR IMPERIO,Callao 181,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
JOSEPHINA'S CAFE,Guido 1532,,Recoleta,2,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA ACADEMIA,Montevideo 341,,San Nicolas,1,abierto,v1,2025-06-19,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",417,revisar: evidencia vencida o no auditables individualmente
LA BIELA,Av. Quintana 600,,Recoleta,2,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA BUENA MEDIDA,Suarez 101,,La Boca,4,cerrado,v2,2025-10-16,"Canal 26, 2025-12-03, y BAE Negocios, 2025-12-02; cierre ocurrido en octubre de 2025.",298,corregir catálogo oficial; conservar separado de los casos recuperados
LA ESCUELA,Manuela Pedraza 2803,,Nunez,13,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA FARMACIA,Av. Directorio 2400,,Flores,7,abierto,v3,2026-08-07,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
LA FLOR DE BARRACAS,Suarez 2095,,Barracas,4,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA GIRALDA,Av. Corrientes 1453,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA OPERA,Av. Corrientes 1799,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA ORQUIDEA,Av. Corrientes 4101,,Almagro,5,abierto,v3,2026-08-07,Ficha oficial editada o participación pública fechada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
LA PERLA,Av. Don Pedro de Mendoza 1899,,La Boca,4,abierto,v3,2026-05-20,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-05-20.,82,mantener; próxima revisión ordinaria
LA POESIA,Chile 502,,San Telmo,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LA PUERTO RICO,Alsina 420,,Monserrat,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LAS VIOLETAS,Av. Rivadavia 3899,,Almagro,5,abierto,v3,2026-07-07,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-07-07.,34,mantener; próxima revisión ordinaria
LE CARAVELLE,Lavalle 726,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LONDON CITY,Av. de Mayo 599,,Monserrat,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
LOS 36 BILLARES,Av. de Mayo 1265/71,1271,Monserrat,1,abierto,v3,2026-07-04,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-07-04.,37,mantener; próxima revisión ordinaria
LOS GALGOS,Av. Callao 501,,San Nicolas,1,abierto,v1,2026-08-02,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",8,revisar: evidencia vencida o no auditables individualmente
LOS LAURELES,Av. Iriarte 2290,,Barracas,4,abierto,v3,2026-08-07,Ficha oficial editada o participación pública fechada; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
MAR AZUL,Tucuman 1700,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
MIRAMAR,Sarandi 1190,,San Cristobal,3,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
MONTECARLO BAR Y DESPENSA,Paraguay 5491,,Palermo,14,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
MUSEO FOTOGRAFICO SIMIK,Av. Federico Lacroze 3901,,Chacarita,15,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
OCHO ESQUINAS,Av. Forest 1186,,Chacarita,15,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
PAULIN,Sarmiento 635,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
PETIT COLON,Libertad 505,,San Nicolas,1,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
PLAZA BAR,Florida 1005,,Retiro,1,cerrado,v2,2017-04-29,"Clarín/Viva, 2025-02-15, y Tango y Milonga, 2025-01-02; cierre fechado el 2017-04-29.",3390,corregir catálogo oficial; conservar separado de los casos recuperados
PLAZA CAFE,Av. Rivadavia 4732,,Caballito,6,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
ROMA DEL ABASTO,Anchorena 806,,Balvanera,3,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
STYLO CAFE,Fernandez de Enciso 3934,,Villa Devoto,11,abierto,v1,2026-08-08,"Consulta de canales públicos del 2026-08-08, sin pieza individual archivable. El estado de un agregador no acredita apertura.",2,revisar: evidencia vencida o no auditables individualmente
THE NEW BRIGHTON,Sarmiento 645,,San Nicolas,1,abierto_en_quiebra,v3,2026-06-06,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-06-06.,65,monitorear continuidad; no equiparar riesgo con cierre
VARELA VARELITA,Av. Scalabrini Ortiz 2102,,Palermo,14,abierto,v3,2026-06-25,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-06-25.,46,mantener; próxima revisión ordinaria
WATSON'S,Vuelta de Obligado 2072,,Belgrano,13,abierto,v3,2026-08-07,Reseña o registro público fechado que describe servicio real; fecha adoptada 2026-08-07.,3,mantener; próxima revisión ordinaria
