zona_id,nombre,clase,detalle_geometria,ha,via_B_bar_notable,via_B_restaurante_iconico,via_B_pizzeria_emblematica,via_B_heladeria_historica,via_B_michelin,via_B_50best,via_B_total,via_B_patrimonio_normativo,via_B_si,via_B_probablemente_abierto,via_B_no,via_B_dudosa,via_B_sin_verificar,via_B_soporte,via_B_abierta,via_B_nombres,via_D_n_enclaves,via_D_enclaves,via_D_colectividades,via_D_abierta,via_C_cae_por_FIAB
R05,Belgrano,referencia publicada,envolvente editorial del Atlas,39.65,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,1,E02,china (con presencia taiwanesa fundacional),si,False
R16,Donado-Holmberg,referencia publicada,envolvente editorial del Atlas,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
R20,Garcia del Rio,referencia publicada,envolvente editorial del Atlas · ampliada,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
R22,Villa Pueyrredon,referencia publicada,envolvente editorial del Atlas,305.55,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
S_LUGANO,Villa Lugano,zona nueva,polígono administrativo de Villa Lugano,930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
S_RIACHUELO,Villa Riachuelo,zona nueva,polígono administrativo de Villa Riachuelo,424.16,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z24,Flores · Avellaneda y Ruperto Godoy,zona nueva,perímetro delimitado desde el callejero (comparte barrio con otras zonas: el polígono del barrio contaría los mismos hitos más de una vez),39.51,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,1,E04,"coreana (extension comercial, no nucleo residencial)",si,False
Z25,Floresta,zona nueva,polígono administrativo de Floresta,232.16,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,1,E04,"coreana (extension comercial, no nucleo residencial)",si,True
Z26,Vélez Sarsfield,zona nueva,polígono administrativo de Velez Sarsfield,240.15,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z29,Villa del Parque,zona nueva,polígono administrativo de Villa Del Parque,340.1,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z30,Villa Real y Versalles,zona nueva,"polígono administrativo de Villa Real, Versalles",274.2,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z31,Villa Luro,zona nueva,polígono administrativo de Villa Luro,256.8,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z38,Parque Chacabuco,zona nueva,polígono administrativo de Parque Chacabuco,383.38,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,1,E03,coreana,si,False
Z39,Parque Avellaneda,zona nueva,polígono administrativo de Parque Avellaneda,473.47,0,0,0,0,0,0,0,1,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z39b,Baek-ku · Barrio Coreano,zona nueva,perímetro delimitado desde el callejero (comparte barrio con otras zonas: el polígono del barrio contaría los mismos hitos más de una vez),34.86,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,1,E03,coreana,si,False
Z42,Coghlan,zona nueva,polígono administrativo de Coghlan,128.05,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
Z49,Villa Soldati,zona nueva,polígono administrativo de Villa Soldati,869.45,0,0,0,0,0,0,0,0,0,0,0,0,0,sin_hitos,no,,0,,,no,False
