polo_id,nombre_polo,soporte_clase,n_locales,ha,via_A_abierta,via_C_abierta,via_F_abierta,zona_via_B,via_B_modo,zona_via_D,via_D_modo,zona_via_E,via_E_modo,cobertura_de_la_zona_pct,como_se_asigno,via_B_soporte_del_fragmento,nota
PG007_RECOLETA,Recoleta,envolvente publicada,714.0,140.52,si,no,no,R06,propia,R06,propia,R06,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG008_CABALLITO,Caballito,envolvente publicada,508.0,225.36,si,si,no,R10,propia,R10,propia,R10,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG009_COSTANERA_NORTE,Costanera Norte,envolvente publicada,67.0,38.5,si,si,si,R07,propia,R07,propia,R07,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG010_AVENIDA_CASEROS_BARRACAS,Avenida Caseros / Barracas,envolvente publicada,60.0,50.03,no,no,si,R11,propia,R11,propia,R11,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG011_MICROCENTRO_CENTRO_RENOVADO,Microcentro y Centro,envolvente publicada,1084.0,184.12,si,no,no,R12,propia,R12,propia,R12,propia,100.0,asignación de la vía E,mixto,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG012_AVENIDA_CORRIENTES,Avenida Corrientes,envolvente publicada,354.0,49.67,si,no,si,R02,propia,R02,propia,R02,propia,100.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG013_ABASTO,Abasto,envolvente publicada,373.0,109.0,si,no,si,R13,propia,R13,propia,R13,propia,100.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG014_AVENIDA_BOEDO,Avenida Boedo,envolvente publicada,245.0,179.46,si,no,si,R14,propia,R14,propia,R14,propia,100.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG015_DEVOTO,Devoto,envolvente publicada,422.0,478.74,si,no,si,R15,propia,R15,propia,R15,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG016_CORREDOR_DOHO_DONADO_HOLMBERG,DoHo / Donado-Holmberg,envolvente publicada,121.0,119.0,si,no,si,R16,propia,R16,propia,R16,propia,100.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG017_VILLA_URQUIZA,Villa Urquiza,envolvente publicada,528.0,446.62,si,no,no,R17,propia,R17,propia,R17,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG018_NUEVO_BAJO_EN_RETIRO_ESMERALDA_Y_PARAGUAY,Nuevo Bajo en Retiro / Esmeralda y Paraguay,envolvente publicada,318.0,48.39,si,no,no,Z46,heredada,Z46,heredada,Z46,heredada,,la decisión 5 absorbe R18 en Z46 Retiro,mixto,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG019_AVENIDA_FEDERICO_LACROZE_DESDE_LIBERTADOR_,Federico Lacroze / Libertador a Cabildo,envolvente publicada,185.0,89.49,si,no,si,R09R19_CHACAGIALES,heredada,R09R19_CHACAGIALES,heredada,R09R19_CHACAGIALES,heredada,,la ronda 8 fusiona R19 en R09R19_CHACAGIALES,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG020_PARQUE_SAAVEDRA_AVENIDA_GARCIA_DEL_RIO,Parque Saavedra / Garcia del Rio,envolvente publicada,61.0,28.38,no,no,si,R20,heredada,R20,heredada,R20,heredada,46.5,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG021_CIRCUITO_GASTRONOMICO_DE_PATERNAL,Paternal,envolvente publicada,208.0,321.01,si,no,no,R21,heredada,R21,heredada,R21,heredada,83.3,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PG022_VILLA_PUEYRREDON_AVENIDA_SAN_MARTIN,Villa Pueyrredon / Av. San Martin,envolvente publicada,198.0,305.55,si,no,no,R22,propia,R22,propia,R22,propia,100.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGF2_COLEGIALES,Colegiales,barrio administrativo,441.0,229.08,si,no,no,R09R19_CHACAGIALES,heredada,R09R19_CHACAGIALES,heredada,R09R19_CHACAGIALES,heredada,,la ronda 8 fusiona Z43 en R09R19_CHACAGIALES,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGF2_MONTSERRAT,Monserrat,barrio administrativo,913.0,219.97,si,no,si,Z47,propia,Z47,propia,Z47,propia,100.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGF2_RETIRO,Retiro,barrio administrativo,598.0,451.65,si,no,no,Z46,propia,Z46,propia,Z46,propia,96.8,asignación de la vía E,mixto,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGF2_FLORES,Flores,barrio administrativo,773.0,859.45,si,no,no,,requiere_cruce,,requiere_cruce,,requiere_cruce,,el soporte cubre el 2175 % del barrio: abarca las zonas en vez de pertenecer a una,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGF2_FLORESTA,Floresta,barrio administrativo,282.0,232.16,si,no,si,Z25,propia,Z25,propia,Z25,propia,100.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGF2_PARQUE_PATRICIOS,Parque Patricios,barrio administrativo,278.0,374.52,si,no,no,Z40,heredada,Z40,heredada,Z40,heredada,43.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P021,P021 · Liniers,polo del borrador,262.0,77.86,si,no,no,Z32,heredada,Z32,heredada,Z32,heredada,17.5,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P073,P073 · Palermo,polo del borrador,207.0,39.19,si,no,si,R01,heredada,R01,heredada,R01,heredada,0.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P048,P048 · Colegiales,polo del borrador,172.0,50.84,si,no,no,R09R19_CHACAGIALES,heredada,R09R19_CHACAGIALES,heredada,R09R19_CHACAGIALES,heredada,,la ronda 8 fusiona Z43 en R09R19_CHACAGIALES,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P076,P076 · Recoleta,polo del borrador,154.0,29.18,si,no,si,R06,heredada,R06,heredada,R06,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P037,P037 · Villa Del Parque,polo del borrador,135.0,40.81,si,no,no,Z29,heredada,Z29,heredada,Z29,heredada,12.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P004,P004 · Villa Lugano,polo del borrador,132.0,144.02,si,si,no,S_LUGANO,heredada,S_LUGANO,heredada,S_LUGANO,heredada,8.3,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P101+P099,P101+P099 · Balvanera,polo del borrador,175.0,36.93,si,no,si,Z36,requiere_cruce,Z36,requiere_cruce,Z36,requiere_cruce,,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P052,P052 · Floresta,polo del borrador,134.0,36.69,si,no,si,Z25,heredada,Z25,heredada,Z25,heredada,6.7,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P104,P104 · Recoleta,polo del borrador,141.0,24.85,si,no,si,R06,heredada,R06,heredada,R06,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P084,P084 · Balvanera,polo del borrador,127.0,27.12,si,no,si,Z35,heredada,Z35,heredada,Z35,heredada,2.8,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P017,P017 · Liniers,polo del borrador,105.0,69.8,si,no,no,Z32,heredada,Z32,heredada,Z32,heredada,12.8,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P057,P057 · Caballito,polo del borrador,97.0,26.2,si,no,no,R10,heredada,R10,heredada,R10,heredada,0.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P032,P032 · La Boca,polo del borrador,98.0,20.89,si,no,no,S_LABOCA,heredada,S_LABOCA,heredada,S_LABOCA,heredada,4.1,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P024,P024 · Nueva Pompeya,polo del borrador,95.0,50.42,si,no,si,Z40,heredada,Z40,heredada,Z40,heredada,5.8,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P005,P005 · Villa Lugano,polo del borrador,92.0,100.94,si,no,no,S_LUGANO,heredada,S_LUGANO,heredada,S_LUGANO,heredada,10.9,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P020,P020 · Villa Luro,polo del borrador,87.0,25.1,si,no,si,Z31,heredada,Z31,heredada,Z31,heredada,9.7,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P022,P022 · Saavedra,polo del borrador,79.0,53.59,si,no,si,R20,heredada,R20,heredada,R20,heredada,25.7,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P003,P003 · Villa Riachuelo,polo del borrador,83.0,39.82,si,no,si,S_RIACHUELO,heredada,S_RIACHUELO,heredada,S_RIACHUELO,heredada,8.8,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P012,P012 · Mataderos,polo del borrador,82.0,32.81,si,no,si,Z33,heredada,Z33,heredada,Z33,heredada,4.4,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P107,P107 · Balvanera,polo del borrador,84.0,10.79,si,no,no,Z35,heredada,Z35,heredada,Z35,heredada,,"por residuo: no toca ninguna zona delimitada de Balvanera (Z35: 0.0 % del fragmento, a 46 m · Z47: 0.0 % del fragmento, a 316 m), así que queda en Z35, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P092,P092 · Palermo,polo del borrador,79.0,11.71,si,no,no,R01,heredada,R01,heredada,R01,heredada,0.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P088,P088 · Palermo,polo del borrador,69.0,7.79,si,no,no,R01,heredada,R01,heredada,R01,heredada,0.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P002,P002 · Villa Soldati,polo del borrador,59.0,63.36,si,no,no,Z49,heredada,Z49,heredada,Z49,heredada,7.3,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P026,P026 · Parque Patricios,polo del borrador,62.0,27.04,si,no,si,Z40,heredada,Z40,heredada,Z40,heredada,1.5,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P066,P066 · Barracas,polo del borrador,62.0,18.02,si,no,si,S_BARRACAS,heredada,S_BARRACAS,heredada,S_BARRACAS,heredada,2.3,asignación de la vía E,probable,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P014,P014 · Flores,polo del borrador,61.0,45.63,si,no,si,,requiere_cruce,,requiere_cruce,,requiere_cruce,,el soporte cubre el 115 % del barrio: abarca las zonas en vez de pertenecer a una,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P044,P044 · San Cristobal,polo del borrador,53.0,17.01,si,no,si,Z48,heredada,Z48,heredada,Z48,heredada,8.3,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P042,P042 · Velez Sarsfield,polo del borrador,53.0,11.15,si,no,si,Z26,heredada,Z26,heredada,Z26,heredada,4.3,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P041,P041 · Floresta,polo del borrador,52.0,12.73,si,no,si,Z25,heredada,Z25,heredada,Z25,heredada,5.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P087,P087 · Palermo,polo del borrador,47.0,5.8,si,no,no,R01,heredada,R01,heredada,R01,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P061,P061 · Flores,polo del borrador,44.0,6.93,si,no,si,Z23,heredada,Z23,heredada,Z23,heredada,,"por residuo: no toca ninguna zona delimitada de Flores (Z24: 0.0 % del fragmento, a 399 m · Z39b: 0.0 % del fragmento, a 1,199 m), así que queda en Z23, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P040,P040 · Villa Santa Rita,polo del borrador,45.0,10.46,si,no,si,Z27,heredada,Z27,heredada,Z27,heredada,3.3,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P086,P086 · Palermo,polo del borrador,53.0,7.95,si,no,si,R01,heredada,R01,heredada,R01,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P085,P085 · Balvanera,polo del borrador,48.0,8.77,si,no,no,Z35,heredada,Z35,heredada,Z35,heredada,,"por residuo: no toca ninguna zona delimitada de Balvanera (Z35: 0.0 % del fragmento, a 526 m · Z47: 0.0 % del fragmento, a 665 m), así que queda en Z35, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P033,P033 · La Boca,polo del borrador,44.0,16.68,si,no,si,S_LABOCA,heredada,S_LABOCA,heredada,S_LABOCA,heredada,3.3,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P094,P094 · Monserrat,polo del borrador,44.0,6.37,si,no,si,Z47,heredada,Z47,heredada,Z47,heredada,2.9,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P070,P070 · Saavedra,polo del borrador,44.0,5.66,si,no,no,R20,heredada,R20,heredada,R20,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P015,P015 · Parque Chacabuco,polo del borrador,40.0,12.12,si,no,si,Z38,heredada,Z38,heredada,Z38,heredada,3.2,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P009,P009 · Parque Avellaneda,polo del borrador,43.0,24.65,si,no,si,Z39,heredada,Z39,heredada,Z39,heredada,3.3,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P067,P067 · Nuñez,polo del borrador,41.0,7.32,si,no,si,Z41,heredada,Z41,heredada,Z41,heredada,1.6,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P008,P008 · Barracas,polo del borrador,38.0,23.52,si,no,si,S_BARRACAS,heredada,S_BARRACAS,heredada,S_BARRACAS,heredada,3.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P006,P006 · Mataderos,polo del borrador,41.0,28.18,si,no,si,Z33,heredada,Z33,heredada,Z33,heredada,3.8,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P059,P059 · Flores,polo del borrador,43.0,6.08,si,no,no,Z23,heredada,Z23,heredada,Z23,heredada,,"por residuo: no toca ninguna zona delimitada de Flores (Z24: 0.0 % del fragmento, a 30 m · Z39b: 0.0 % del fragmento, a 1,459 m), así que queda en Z23, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
