polo_id,nombre_polo,n_hitos,n_pendientes,n_abiertos,n_cerrados,n_en_disputa,hitos,hito_ids,estados,via_B_soporte,decidida_por_un_solo_hito,ultimo_pendiente
PG011_MICROCENTRO_CENTRO_RENOVADO,Microcentro y Centro,21,20,0,1,0,36 BILLARES; Bar Bidou; Café Tortoni; Claridge's; Confiteria Saint Moritz; Confitería Ideal; El Imparcial; El Palacio de la Pizza; El Querandi; FLORIDA GARDEN; Guerrin; LA GIRALDA; LA PUERTO RICO; Las Cuartetas; Le Caravelle; PLAZA BAR; Paulin; Petit Colón; Tancat; The New Brighton; Zum Edelweiss,DIR-003; DIR-005; DIR-018; H003; H035; H039; H042; H043; H053; H058; H067; H070; H072; H074; H080; H081; H082; H084; ICO-002; ICO-015; ICO-016,36 BILLARES=sin_verificar; Bar Bidou=sin_verificar; Café Tortoni=sin_verificar; Claridge's=sin_verificar; Confiteria Saint Moritz=sin_verificar; Confitería Ideal=sin_verificar; El Imparcial=sin_verificar; El Palacio de la Pizza=sin_verificar; El Querandi=sin_verificar; FLORIDA GARDEN=sin_verificar; Guerrin=sin_verificar; LA GIRALDA=sin_verificar; LA PUERTO RICO=sin_verificar; Las Cuartetas=sin_verificar; Le Caravelle=sin_verificar; PLAZA BAR=sin_verificar; Paulin=sin_verificar; Petit Colón=sin_verificar; Tancat=sin_verificar; The New Brighton=no; Zum Edelweiss=sin_verificar,sin_verificar,False,False
PG012_AVENIDA_CORRIENTES,Avenida Corrientes,10,9,1,0,0,Bar Lavalle; Celta Bar; El Gato Negro; Guerrin; LA GIRALDA; LOS GALGOS; La Academia; La Opera; Petit Colón; Zum Edelweiss,DIR-003; H011; H038; H050; H060; H067; H068; H075; H081; ICO-016,Bar Lavalle=sin_verificar; Celta Bar=sin_verificar; El Gato Negro=sin_verificar; Guerrin=sin_verificar; LA GIRALDA=sin_verificar; LOS GALGOS=si; La Academia=sin_verificar; La Opera=sin_verificar; Petit Colón=sin_verificar; Zum Edelweiss=sin_verificar,activo,False,False
PG013_ABASTO,Abasto,3,3,0,0,0,EL SIMBOLO; El Banderin; Pin Pun,DIR-006; H044; H054,EL SIMBOLO=sin_verificar; El Banderin=sin_verificar; Pin Pun=sin_verificar,sin_verificar,False,False
PG014_AVENIDA_BOEDO,Avenida Boedo,3,3,0,0,0,Café Margot; Esquina Homero Manzi; San Antonio,DIR-020; H057; H086,Café Margot=sin_verificar; Esquina Homero Manzi=sin_verificar; San Antonio=sin_verificar,sin_verificar,False,False
PG015_DEVOTO,Devoto,3,3,0,0,0,Café de García; Gran Pizzeria Jose; STYLO CAFE,DIR-017; H022; H083,Café de García=sin_verificar; Gran Pizzeria Jose=sin_verificar; STYLO CAFE=sin_verificar,sin_verificar,False,False
PG017_VILLA_URQUIZA,Villa Urquiza,1,1,0,0,0,Cafe de la U,H023,Cafe de la U=sin_verificar,sin_verificar,True,True
PG018_NUEVO_BAJO_EN_RETIRO_ESMERALDA_Y_PARAGUAY,Nuevo Bajo en Retiro / Esmeralda y Paraguay,4,4,0,0,0,Confiteria Saint Moritz; FLORIDA GARDEN; PLAZA BAR; Tancat,H043; H058; H082; ICO-015,Confiteria Saint Moritz=sin_verificar; FLORIDA GARDEN=sin_verificar; PLAZA BAR=sin_verificar; Tancat=sin_verificar,sin_verificar,False,False
PG019_AVENIDA_FEDERICO_LACROZE_DESDE_LIBERTADOR_,Federico Lacroze / Libertador a Cabildo,1,0,1,0,0,Bar Conde,H010,Bar Conde=si,activo,True,False
PG021_CIRCUITO_GASTRONOMICO_DE_PATERNAL,Paternal,3,3,0,0,0,MN Santa Inés; Santolin; Torino Norte,DIR-016; DIR-021; MIC-003,MN Santa Inés=sin_verificar; Santolin=sin_verificar; Torino Norte=sin_verificar,sin_verificar,False,False
PGF2_COLEGIALES,Colegiales,3,2,1,0,0,ANAFE; Bar Conde; Osaka Concepción,H010; MIC-013; MIC-042,ANAFE=sin_verificar; Bar Conde=si; Osaka Concepción=sin_verificar,activo,False,False
PGF2_FLORES,Flores,1,1,0,0,0,LA FARMACIA,H065,LA FARMACIA=sin_verificar,sin_verificar,True,True
PGF2_MONTSERRAT,Monserrat,9,9,0,0,0,36 BILLARES; BAR SEDDON; Cabildo de Buenos Aires; Café Tortoni; EL COLONIAL; El Imparcial; El Querandi; LA PUERTO RICO; London City,H008; H015; H020; H035; H053; H070; H073; H074; ICO-002,36 BILLARES=sin_verificar; BAR SEDDON=sin_verificar; Cabildo de Buenos Aires=sin_verificar; Café Tortoni=sin_verificar; EL COLONIAL=sin_verificar; El Imparcial=sin_verificar; El Querandi=sin_verificar; LA PUERTO RICO=sin_verificar; London City=sin_verificar,sin_verificar,False,False
PGF2_RETIRO,Retiro,11,10,1,0,0,Barbaro; Chuchú; Confiteria Saint Moritz; El Cuartito; Elena; FLORIDA GARDEN; Floreria Atlantico; Josephina's Cafe; PLAZA BAR; Presencia; Tancat,DIR-004; H002; H043; H058; H082; H089; H164; ICO-015; MIC-044; MIC-048; MIC-050,Barbaro=sin_verificar; Chuchú=sin_verificar; Confiteria Saint Moritz=sin_verificar; El Cuartito=sin_verificar; Elena=sin_verificar; FLORIDA GARDEN=sin_verificar; Floreria Atlantico=si; Josephina's Cafe=sin_verificar; PLAZA BAR=sin_verificar; Presencia=sin_verificar; Tancat=sin_verificar,activo,False,False
PGR_P004,P004 · Villa Lugano,1,1,0,0,0,Yiyo el Zeneize,H199,Yiyo el Zeneize=sin_verificar,sin_verificar,True,True
PGR_P006,P006 · Mataderos,3,3,0,0,0,BAR OVIEDO; Bar Catedral Tango; Edificios Administrativos del Antiguo Matadero,H012; PAT-002; PAT-003,BAR OVIEDO=dudosa; Bar Catedral Tango=sin_verificar; Edificios Administrativos del Antiguo Matadero=sin_verificar,sin_verificar,False,False
PGR_P007,P007 · Belgrano,2,2,0,0,0,Kōnā; Narda Comedor,MIC-054; MIC-056,Kōnā=sin_verificar; Narda Comedor=sin_verificar,sin_verificar,False,False
PGR_P008,P008 · Barracas,1,1,0,0,1,Los Laureles,H076,Los Laureles=en_disputa,en_disputa,True,True
PGR_P012,P012 · Mataderos,2,1,1,0,0,9 de Julio; El Cedron,DIR-011; H001,9 de Julio=sin_verificar; El Cedron=si,activo,False,False
PGR_P013,P013 · Mataderos,1,1,0,0,0,Bar del Glorias,H007,Bar del Glorias=sin_verificar,sin_verificar,True,True
PGR_P021,P021 · Liniers,1,1,0,0,0,El Ciervo,DIR-023,El Ciervo=sin_verificar,sin_verificar,True,True
PGR_P025-2,P025-2 · Monte Castro,1,0,1,0,0,El Fortin,DIR-002,El Fortin=si,activo,True,False
PGR_P032,P032 · La Boca,1,1,0,0,0,LA PERLA,H069,LA PERLA=sin_verificar,sin_verificar,True,True
PGR_P033,P033 · La Boca,4,4,0,0,0,Banchero; Café Roma; Café Roma; Il Matterello,DIR-010; H031; H032; ICO-008,Banchero=sin_verificar; Café Roma=sin_verificar; Café Roma=sin_verificar; Il Matterello=sin_verificar,sin_verificar,False,False
PGR_P034,P034 · Monte Castro,1,0,1,0,0,El Tokio,H055,El Tokio=si,activo,True,False
PGR_P044,P044 · San Cristobal,1,1,0,0,0,Saverio Helados,DIR-024,Saverio Helados=sin_verificar,sin_verificar,True,True
PGR_P048,P048 · Colegiales,3,3,0,0,0,8 ESQUINAS; ANAFE; La Mezzetta,DIR-009; H079; MIC-013,8 ESQUINAS=sin_verificar; ANAFE=sin_verificar; La Mezzetta=sin_verificar,sin_verificar,False,False
PGR_P057,P057 · Caballito,2,2,0,0,0,Plaza Café; San Carlos,DIR-015; H030,Plaza Café=sin_verificar; San Carlos=sin_verificar,sin_verificar,False,False
PGR_P066,P066 · Barracas,1,1,0,0,0,Los Campeones,DIR-014,Los Campeones=sin_verificar,sin_verificar,True,True
PGR_P073,P073 · Palermo,2,2,0,0,0,Mishiguene; Mishiguene,H158; MIC-037,Mishiguene=sin_verificar; Mishiguene=sin_verificar,sin_verificar,False,False
PGR_P084,P084 · Balvanera,1,1,0,0,0,LAS VIOLETAS,H071,LAS VIOLETAS=sin_verificar,sin_verificar,True,True
PGR_P088,P088 · Palermo,1,1,0,0,0,La Alacena Trattoria,MIC-014,La Alacena Trattoria=sin_verificar,sin_verificar,True,True
PGR_P092,P092 · Palermo,1,1,0,0,0,Varela Varelita,H085,Varela Varelita=sin_verificar,sin_verificar,True,True
PGR_P101+P099,P101+P099 · Balvanera,1,1,0,0,0,CAFE DE LOS ANGELITOS,H024,CAFE DE LOS ANGELITOS=sin_verificar,sin_verificar,True,True
PGR_P109,P109 · San Nicolas,2,2,0,0,0,Bar Via 71; Clásica y moderna,H017; H040,Bar Via 71=sin_verificar; Clásica y moderna=sin_verificar,sin_verificar,False,False
