enclave_id,establecimiento,calle,altura_fuente,rubro,origen_cocina,vigencia,vigencia_fecha,fuente,nota_direccion,geocodificado,latitud,longitud,zona,dist_nucleo_m,dist_corredor_m,sentido_de_la_duda,vigencia_nota_r4
E02,Fujisan,Mendoza,1650,restaurante,japonesa / nikkei,dudoso,2021-08-26,El Cronista 26/08/2021,,si,-34.556795,-58.450225,nucleo,70.4,129.6,,
E02,Asia Oriental,Mendoza,1650,supermercado,,dudoso,,El Holandes Picante,,si,-34.556795,-58.450225,nucleo,70.4,129.6,,
E02,China Rose,Mendoza,1689,restaurante,china,dudoso,2021-08-26,La Nacion 2017; El Cronista 26/08/2021,,si,-34.556941,-58.450616,nucleo,31.8,94.0,,
E02,Tina & Co (Bio Market),Mendoza,1678,dietetica,,dudoso,2014-03-28,MalevaMag 28/03/2014,,si,-34.556979,-58.450532,nucleo,35.6,95.8,,
E02,Iglesia Presbiteriana Sin Heng,Mendoza,1660,culto,,dudoso,,buenosaires123,,si,-34.556892,-58.450387,nucleo,52.0,111.8,,
E02,Hua Fu Chen,Olazabal,1673,supermercado,china,dudoso,,El Holandes Picante,,si,-34.555972,-58.451326,nucleo,41.6,105.6,,
E02,Lucumma,Olazabal,1679,restaurante,peruana,dudoso,2017-02-16,La Nacion 2017; comuna13caba,,si,-34.556022,-58.451409,nucleo,32.2,96.2,,
E02,Dogg,Blanco Encalada,1661,hamburguesas,americana,dudoso,2021-08-26,El Cronista 26/08/2021,,si,-34.555003,-58.452084,nucleo,140.4,163.5,,
E02,Las Carnitas,Monroe,1785,parrilla,argentina,dudoso,2021-08-26,El Cronista 26/08/2021,,si,-34.554751,-58.454078,corredor,275.0,94.7,,
E02,Garbis,Monroe,1799,restaurante,arabe-armenia,dudoso,2021-08-26,El Cronista 26/08/2021,,si,-34.554848,-58.454243,corredor,281.3,77.1,,
E02,Hong Kong Style,Montaneses,2149,restaurante,china (cantonesa),cerrado,2020-05,iProfesional 04/07/2020,,si,-34.556941,-58.449253,nucleo,133.5,174.8,,cerró en mayo de 2020 tras 20 años (iProfesional 04/07/2020). Sin ninguna evidencia de reapertura posterior.
E02,Dragon Porteno,Arribenos,2137,restaurante,china,cerrado,2020-07-04,iProfesional 04/07/2020,,si,-34.557776,-58.450263,nucleo,4.2,44.5,,cerró con 8 despidos (iProfesional 04/07/2020). Sin evidencia de reapertura.
