hito_id,nombre,direccion,barrio_declarado,registro_oficial,vigencia_verificada,vigencia_nivel,consulta
MIC-014,La Alacena Trattoria,Gascón 1401,Palermo,,sin_verificar,,"La Alacena Trattoria, Gascón 1401, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-053,La Cabaña,Avenida Alicia Moreau de Justo 580,Puerto Madero,,sin_verificar,,"La Cabaña, Avenida Alicia Moreau de Justo 580, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-015,Mengano,José Antonio Cabrera 5172,Palermo,,sin_verificar,,"Mengano, José Antonio Cabrera 5172, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-006,Mercado de Liniers,Gorriti 6012,Palermo,,sin_verificar,,"Mercado de Liniers, Gorriti 6012, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-029,Michel Rolland Grill & Wine,Juana Manso 1760,Puerto Madero,,sin_verificar,,"Michel Rolland Grill & Wine, Juana Manso 1760, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-037,Mishiguene,Lafinur 3368,Palermo,,sin_verificar,,"Mishiguene, Lafinur 3368, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-003,MN Santa Inés,Ávalos 360,Paternal,,sin_verificar,,"MN Santa Inés, Ávalos 360, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-056,Narda Comedor,Mariscal Antonio José de Sucre 664,Belgrano,,sin_verificar,,"Narda Comedor, Mariscal Antonio José de Sucre 664, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-040,Ness,Grecia 3691,Nuñez,,sin_verificar,,"Ness, Grecia 3691, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-022,Nika Club Omakase,Nicaragua 5952,Palermo,,sin_verificar,,"Nika Club Omakase, Nicaragua 5952, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-034,Niño Gordo,Thames 1810,Palermo,,sin_verificar,,"Niño Gordo, Thames 1810, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-042,Osaka Concepción,Concepción Arenal 2913,Colegiales,,sin_verificar,,"Osaka Concepción, Concepción Arenal 2913, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-017,Picarón,Avenida Dorrego 866,Chacarita,,sin_verificar,,"Picarón, Avenida Dorrego 866, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-033,Piedra Pasillo Al Fondo,Campos Salles 2145,Nuñez,,sin_verificar,,"Piedra Pasillo Al Fondo, Campos Salles 2145, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-050,Presencia,Montevideo 1789,Retiro,,sin_verificar,,"Presencia, Montevideo 1789, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-041,Raggio Osteria,Gurruchaga 2121,Palermo,,sin_verificar,,"Raggio Osteria, Gurruchaga 2121, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-010,Reliquia,Ángel Justiniano Carranza 1601,Palermo,,sin_verificar,,"Reliquia, Ángel Justiniano Carranza 1601, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-031,República del Fuego,Juncal 2682,Recoleta,,sin_verificar,,"República del Fuego, Juncal 2682, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-027,Restó SCA,Montevideo 938,Recoleta,,sin_verificar,,"Restó SCA, Montevideo 938, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-030,Roux,Peña 2300,Recoleta,,sin_verificar,,"Roux, Peña 2300, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-055,Sottovoce,Avenida del Libertador 1098,Recoleta,,sin_verificar,,"Sottovoce, Avenida del Libertador 1098, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-002,Trescha,Murillo 725,Villa Crespo,,sin_verificar,,"Trescha, Murillo 725, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-028,Ultramarinos,Pasaje Arribeños 1980,,,sin_verificar,,"Ultramarinos, Pasaje Arribeños 1980, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-026,Uni Omakase,Guatemala 5820,Palermo,,sin_verificar,,"Uni Omakase, Guatemala 5820, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-001,Albamonte Ristorante,CORRIENTES AV. 6735,Chacarita,restaurante_iconico,sin_verificar,,"Albamonte Ristorante, CORRIENTES AV. 6735, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-002,El Imparcial,"YRIGOYEN, HIPOLITO 1201",Monserrat,restaurante_iconico,probablemente_abierto,v4,"El Imparcial, YRIGOYEN, HIPOLITO 1201, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-003,El Mirasol de Boedo,BOEDO 136,Almagro,restaurante_iconico,sin_verificar,,"El Mirasol de Boedo, BOEDO 136, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-004,El Puentecito,LUJAN 2101,Barracas,restaurante_iconico,sin_verificar,,"El Puentecito, LUJAN 2101, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-005,El Tropezón,CALLAO AV. 248,Balvanera,restaurante_iconico,sin_verificar,,"El Tropezón, CALLAO AV. 248, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-006,Estilo Campo,"MOREAU DE JUSTO, ALICIA AV. 1840",Puerto Madero,restaurante_iconico,sin_verificar,,"Estilo Campo, MOREAU DE JUSTO, ALICIA AV. 1840, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-007,Happening,"OBLIGADO RAFAEL, AV.COSTANERA 7030",Belgrano,restaurante_iconico,sin_verificar,,"Happening, OBLIGADO RAFAEL, AV.COSTANERA 7030, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-008,Il Matterello,"RODRIGUEZ, MARTIN 517",La Boca,restaurante_iconico,sin_verificar,,"Il Matterello, RODRIGUEZ, MARTIN 517, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-009,La Brigada,ESTADOS UNIDOS 465,San Telmo,restaurante_iconico,sin_verificar,,"La Brigada, ESTADOS UNIDOS 465, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-010,"La Estancia, Asador Criollo",LAVALLE 941,San Nicolas,restaurante_iconico,sin_verificar,,"La Estancia, Asador Criollo, LAVALLE 941, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-011,Marcelo Restaurante,"MOREAU DE JUSTO, ALICIA AV. 1140",Puerto Madero,restaurante_iconico,sin_verificar,,"Marcelo Restaurante, MOREAU DE JUSTO, ALICIA AV. 1140, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-012,Miramar,SAN JUAN AV. 1999,San Cristobal,bar_notable; restaurante_iconico,sin_verificar,,"Miramar, SAN JUAN AV. 1999, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-013,Restaurante Oviedo,BERUTI 2602,Recoleta,restaurante_iconico,sin_verificar,,"Restaurante Oviedo, BERUTI 2602, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-014,Sorrento,"MOREAU DE JUSTO, ALICIA AV. 420",Puerto Madero,restaurante_iconico,sin_verificar,,"Sorrento, MOREAU DE JUSTO, ALICIA AV. 420, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-015,Tancat,PARAGUAY 645,Retiro,restaurante_iconico,si,v2,"Tancat, PARAGUAY 645, Ciudad Autónoma de Buenos Aires, Argentina"
ICO-016,Zum Edelweiss,LIBERTAD 431,San Nicolas,restaurante_iconico,sin_verificar,,"Zum Edelweiss, LIBERTAD 431, Ciudad Autónoma de Buenos Aires, Argentina"
H149,Don Julio,Guatemala 4699,Palermo,,sin_verificar,,"Don Julio, Guatemala 4699, Ciudad Autónoma de Buenos Aires, Argentina"
H150,Nino Gordo,Thames 1810,Palermo,,sin_verificar,,"Nino Gordo, Thames 1810, Ciudad Autónoma de Buenos Aires, Argentina"
H151,El Preferido de Palermo,Jorge Luis Borges 2108,Palermo,,sin_verificar,,"El Preferido de Palermo, Jorge Luis Borges 2108, Ciudad Autónoma de Buenos Aires, Argentina"
H152,El Mercado (Faena),Martha Salotti 445,Puerto Madero,,sin_verificar,,"El Mercado (Faena), Martha Salotti 445, Ciudad Autónoma de Buenos Aires, Argentina"
H153,Aramburu,Vicente Lopez 1661,Recoleta,,sin_verificar,,"Aramburu, Vicente Lopez 1661, Ciudad Autónoma de Buenos Aires, Argentina"
H154,Trescha,Murillo 725,Villa Crespo,,sin_verificar,,"Trescha, Murillo 725, Ciudad Autónoma de Buenos Aires, Argentina"
H155,Crizia,Gorriti 5143,Palermo,,sin_verificar,,"Crizia, Gorriti 5143, Ciudad Autónoma de Buenos Aires, Argentina"
H156,Julia,Loyola 807,Villa Crespo,,sin_verificar,,"Julia, Loyola 807, Ciudad Autónoma de Buenos Aires, Argentina"
H157,Ness,Grecia 3691,Nunez,,sin_verificar,,"Ness, Grecia 3691, Ciudad Autónoma de Buenos Aires, Argentina"
H158,Mishiguene,Lafinur 3368,Palermo,,sin_verificar,,"Mishiguene, Lafinur 3368, Ciudad Autónoma de Buenos Aires, Argentina"
H159,Gran Dabbang,Av. Raul Scalabrini Ortiz 1543,Palermo,,sin_verificar,,"Gran Dabbang, Av. Raul Scalabrini Ortiz 1543, Ciudad Autónoma de Buenos Aires, Argentina"
H160,Don Julio,Guatemala 4699,Palermo,,sin_verificar,,"Don Julio, Guatemala 4699, Ciudad Autónoma de Buenos Aires, Argentina"
H161,Tres Monos,Guatemala 4899,Palermo,,sin_verificar,,"Tres Monos, Guatemala 4899, Ciudad Autónoma de Buenos Aires, Argentina"
H162,CoChinChina,Armenia 1540,Palermo,,sin_verificar,,"CoChinChina, Armenia 1540, Ciudad Autónoma de Buenos Aires, Argentina"
H163,Victor Audio Bar,Soler 5130,Palermo,,sin_verificar,,"Victor Audio Bar, Soler 5130, Ciudad Autónoma de Buenos Aires, Argentina"
H164,Floreria Atlantico,Arroyo 872,Retiro,,si,,"Floreria Atlantico, Arroyo 872, Ciudad Autónoma de Buenos Aires, Argentina"
H199,Yiyo el Zeneize,Av. Eva Peron 4402,Parque Avellaneda,ley_especifica,sin_verificar,,"Yiyo el Zeneize, Av. Eva Peron 4402, Ciudad Autónoma de Buenos Aires, Argentina"
H074,36 BILLARES,Av. de Mayo 1265,,bar_notable,sin_verificar,,"36 BILLARES, Av. de Mayo 1265, Ciudad Autónoma de Buenos Aires, Argentina"
H079,8 ESQUINAS,Av. Forest 1186,,bar_notable,sin_verificar,,"8 ESQUINAS, Av. Forest 1186, Ciudad Autónoma de Buenos Aires, Argentina"
H001,9 de Julio,Larrazabal 1276,,bar_notable,dudosa,ninguno,"9 de Julio, Larrazabal 1276, Ciudad Autónoma de Buenos Aires, Argentina"
H006,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,,bar_notable,sin_verificar,,"BAR DEL ALVEAR PALACE HOTEL, Av. Alvear 1891, Ciudad Autónoma de Buenos Aires, Argentina"
H012,BAR OVIEDO,Av. Lisandro de la Torre 2407,,bar_notable,dudosa,,"BAR OVIEDO, Av. Lisandro de la Torre 2407, Ciudad Autónoma de Buenos Aires, Argentina"
H013,BAR PLAZA DORREGO,Defensa 1098,,bar_notable,sin_verificar,,"BAR PLAZA DORREGO, Defensa 1098, Ciudad Autónoma de Buenos Aires, Argentina"
H014,BAR QUINTINO,Carlos Calvo 4002,,bar_notable,sin_verificar,,"BAR QUINTINO, Carlos Calvo 4002, Ciudad Autónoma de Buenos Aires, Argentina"
H015,BAR SEDDON,Defensa 695,Monserrat,bar_notable; sitio_interes_cultural,sin_verificar,,"BAR SEDDON, Defensa 695, Ciudad Autónoma de Buenos Aires, Argentina"
H016,BAR SUR,Estados Unidos 299,,bar_notable,sin_verificar,,"BAR SUR, Estados Unidos 299, Ciudad Autónoma de Buenos Aires, Argentina"
H018,BOSTON CITY,Florida 165 local 3,,bar_notable,sin_verificar,,"BOSTON CITY, Florida 165 local 3, Ciudad Autónoma de Buenos Aires, Argentina"
H009,Bar El Federal,Carlos Calvo 595,,bar_notable,sin_verificar,,"Bar El Federal, Carlos Calvo 595, Ciudad Autónoma de Buenos Aires, Argentina"
H059,Bar Imperio,Av. Callao 181,,bar_notable,sin_verificar,,"Bar Imperio, Av. Callao 181, Ciudad Autónoma de Buenos Aires, Argentina"
H005,Bar de Cao,Av. Independencia 2400,,bar_notable,si,v2,"Bar de Cao, Av. Independencia 2400, Ciudad Autónoma de Buenos Aires, Argentina"
H007,Bar del Glorias,Andalgala 1982,,bar_notable,probablemente_abierto,v4,"Bar del Glorias, Andalgala 1982, Ciudad Autónoma de Buenos Aires, Argentina"
H002,Barbaro,Tres Sargentos 415,,bar_notable,dudosa,v4,"Barbaro, Tres Sargentos 415, Ciudad Autónoma de Buenos Aires, Argentina"
H019,Britanico,Brasil 399,,bar_notable,sin_verificar,,"Britanico, Brasil 399, Ciudad Autónoma de Buenos Aires, Argentina"
H024,CAFE DE LOS ANGELITOS,Av. Rivadavia 2100,,bar_notable,sin_verificar,,"CAFE DE LOS ANGELITOS, Av. Rivadavia 2100, Ciudad Autónoma de Buenos Aires, Argentina"
H029,CAFE PALACIO,Av. Federico Lacroze 3901,,bar_notable,sin_verificar,,"CAFE PALACIO, Av. Federico Lacroze 3901, Ciudad Autónoma de Buenos Aires, Argentina"
H034,CAFE THIBON,Montevideo 723,,bar_notable,si,v2,"CAFE THIBON, Montevideo 723, Ciudad Autónoma de Buenos Aires, Argentina"
H036,CAFETABAC,Av. del Libertador 2300,,bar_notable,sin_verificar,,"CAFETABAC, Av. del Libertador 2300, Ciudad Autónoma de Buenos Aires, Argentina"
H037,CASA WATSON,Vuelta de Obligado 2072,,bar_notable,si,v3,"CASA WATSON, Vuelta de Obligado 2072, Ciudad Autónoma de Buenos Aires, Argentina"
H023,Cafe de la U,Av. Triunvirato 4801,,bar_notable,sin_verificar,,"Cafe de la U, Av. Triunvirato 4801, Ciudad Autónoma de Buenos Aires, Argentina"
H086,Café Margot,Av. Boedo 857,,bar_notable,sin_verificar,,"Café Margot, Av. Boedo 857, Ciudad Autónoma de Buenos Aires, Argentina"
H027,Café Montecarlo,Paraguay 5491,,bar_notable,sin_verificar,,"Café Montecarlo, Paraguay 5491, Ciudad Autónoma de Buenos Aires, Argentina"
H032,Roma del Abasto,Anchorena 806,Balvanera,bar_notable,sin_verificar,,"Roma del Abasto, Anchorena 806, Ciudad Autónoma de Buenos Aires, Argentina"
H031,Café Roma,Olavarria 409,,bar_notable,sin_verificar,,"Café Roma, Olavarria 409, Ciudad Autónoma de Buenos Aires, Argentina"
H035,Café Tortoni,Av. de Mayo 825,,bar_notable,sin_verificar,,"Café Tortoni, Av. de Mayo 825, Ciudad Autónoma de Buenos Aires, Argentina"
H022,Café de García,Sanabria 3302,,bar_notable,sin_verificar,,"Café de García, Sanabria 3302, Ciudad Autónoma de Buenos Aires, Argentina"
H038,Celta Bar,Sarmiento 1702,,bar_notable,sin_verificar,,"Celta Bar, Sarmiento 1702, Ciudad Autónoma de Buenos Aires, Argentina"
H039,Claridge's,Tucuman 535,,bar_notable,sin_verificar,,"Claridge's, Tucuman 535, Ciudad Autónoma de Buenos Aires, Argentina"
H043,Confiteria Saint Moritz,Esmeralda 894,,bar_notable,dudosa,v4,"Confiteria Saint Moritz, Esmeralda 894, Ciudad Autónoma de Buenos Aires, Argentina"
H042,Confitería Ideal,Suipacha 384,,bar_notable,sin_verificar,,"Confitería Ideal, Suipacha 384, Ciudad Autónoma de Buenos Aires, Argentina"
H025,DON JUAN,Camarones 2702,,bar_notable,si,v2,"DON JUAN, Camarones 2702, Ciudad Autónoma de Buenos Aires, Argentina"
H047,EL COLECCIONISTA,Av. Rivadavia 4929,,bar_notable,sin_verificar,,"EL COLECCIONISTA, Av. Rivadavia 4929, Ciudad Autónoma de Buenos Aires, Argentina"
H008,EL COLONIAL,Av. Belgrano 599,,bar_notable,sin_verificar,,"EL COLONIAL, Av. Belgrano 599, Ciudad Autónoma de Buenos Aires, Argentina"
H049,EL FARO,Av. de los Constituyentes 4099,,bar_notable,dudosa,,"EL FARO, Av. de los Constituyentes 4099, Ciudad Autónoma de Buenos Aires, Argentina"
H054,EL SIMBOLO,Av. Corrientes 3787,,bar_notable,si,v2,"EL SIMBOLO, Av. Corrientes 3787, Ciudad Autónoma de Buenos Aires, Argentina"
H044,El Banderin,Guardia Vieja 3601,,bar_notable,si,v3,"El Banderin, Guardia Vieja 3601, Ciudad Autónoma de Buenos Aires, Argentina"
H046,El Buzón,Esquiu 1393,,bar_notable,si,,"El Buzón, Esquiu 1393, Ciudad Autónoma de Buenos Aires, Argentina"
H048,El Estano 1880,Aristobulo del Valle 1100,,bar_notable,sin_verificar,,"El Estano 1880, Aristobulo del Valle 1100, Ciudad Autónoma de Buenos Aires, Argentina"
H050,El Gato Negro,Av. Corrientes 1669,,bar_notable,sin_verificar,,"El Gato Negro, Av. Corrientes 1669, Ciudad Autónoma de Buenos Aires, Argentina"
H052,El Progreso,Av. Montes de Oca 1700,,bar_notable,sin_verificar,,"El Progreso, Av. Montes de Oca 1700, Ciudad Autónoma de Buenos Aires, Argentina"
H053,El Querandi,Peru 302,,bar_notable,sin_verificar,,"El Querandi, Peru 302, Ciudad Autónoma de Buenos Aires, Argentina"
H055,El Tokio,Alvarez Jonte 3550,,bar_notable,si,,"El Tokio, Alvarez Jonte 3550, Ciudad Autónoma de Buenos Aires, Argentina"
H056,El Viejo Buzon,Neuquen 1100,,bar_notable,si,v2,"El Viejo Buzon, Neuquen 1100, Ciudad Autónoma de Buenos Aires, Argentina"
H057,Esquina Homero Manzi,Av. San Juan 3601,,bar_notable,en_riesgo,v2,"Esquina Homero Manzi, Av. San Juan 3601, Ciudad Autónoma de Buenos Aires, Argentina"
H058,FLORIDA GARDEN,Florida 899,,bar_notable,si,v2,"FLORIDA GARDEN, Florida 899, Ciudad Autónoma de Buenos Aires, Argentina"
H051,HIPOPOTAMO,Brasil 401,,bar_notable,sin_verificar,,"HIPOPOTAMO, Brasil 401, Ciudad Autónoma de Buenos Aires, Argentina"
H061,LA BIELA,Av. Quintana 600,,bar_notable,sin_verificar,,"LA BIELA, Av. Quintana 600, Ciudad Autónoma de Buenos Aires, Argentina"
H065,LA FARMACIA,Av. Directorio 2400,,bar_notable,si,v2,"LA FARMACIA, Av. Directorio 2400, Ciudad Autónoma de Buenos Aires, Argentina"
H067,LA GIRALDA,Av. Corrientes 1453,,bar_notable,sin_verificar,,"LA GIRALDA, Av. Corrientes 1453, Ciudad Autónoma de Buenos Aires, Argentina"
H069,LA PERLA,Av. Don Pedro de Mendoza 1899,,bar_notable,si,v3b,"LA PERLA, Av. Don Pedro de Mendoza 1899, Ciudad Autónoma de Buenos Aires, Argentina"
H026,LA POESIA,Chile 502,,bar_notable,sin_verificar,,"LA POESIA, Chile 502, Ciudad Autónoma de Buenos Aires, Argentina"
H070,LA PUERTO RICO,Alsina 420,,bar_notable,sin_verificar,,"LA PUERTO RICO, Alsina 420, Ciudad Autónoma de Buenos Aires, Argentina"
H071,LAS VIOLETAS,Av. Rivadavia 3899,,bar_notable,si,v3,"LAS VIOLETAS, Av. Rivadavia 3899, Ciudad Autónoma de Buenos Aires, Argentina"
H075,LOS GALGOS,Av. Callao 501,,bar_notable,si,,"LOS GALGOS, Av. Callao 501, Ciudad Autónoma de Buenos Aires, Argentina"
H060,La Academia,Montevideo 341,San Nicolas,bar_notable,si,v2,"La Academia, Montevideo 341, Ciudad Autónoma de Buenos Aires, Argentina"
H062,La Buena Medida,Suarez 101,,bar_notable,no,v2,"La Buena Medida, Suarez 101, Ciudad Autónoma de Buenos Aires, Argentina"
H064,La Esquina de Anibal Troilo,Paraguay 1500,,bar_notable,senalado_no_cerrado,ninguno,"La Esquina de Anibal Troilo, Paraguay 1500, Ciudad Autónoma de Buenos Aires, Argentina"
H066,La Flor de Barracas,Suarez 2095,,bar_notable,sin_verificar,,"La Flor de Barracas, Suarez 2095, Ciudad Autónoma de Buenos Aires, Argentina"
H072,Le Caravelle,Lavalle 726,,bar_notable,sin_verificar,,"Le Caravelle, Lavalle 726, Ciudad Autónoma de Buenos Aires, Argentina"
H073,London City,Av. de Mayo 599,,bar_notable,sin_verificar,,"London City, Av. de Mayo 599, Ciudad Autónoma de Buenos Aires, Argentina"
H076,Los Laureles,Av. Iriarte 2290,,bar_notable,si,v2,"Los Laureles, Av. Iriarte 2290, Ciudad Autónoma de Buenos Aires, Argentina"
H078,Miramar,Sarandi 1190,,bar_notable; restaurante_iconico,sin_verificar,,"Miramar, Sarandi 1190, Ciudad Autónoma de Buenos Aires, Argentina"
H082,PLAZA BAR,Florida 1005,,bar_notable,cerrado_con_reapertura_anunciada,v2,"PLAZA BAR, Florida 1005, Ciudad Autónoma de Buenos Aires, Argentina"
H080,Paulin,Sarmiento 635,,bar_notable,sin_verificar,,"Paulin, Sarmiento 635, Ciudad Autónoma de Buenos Aires, Argentina"
