bar,nombres_vistos,direcciones_vistas,direccion_boletin,id_boletin,nombre_gcba,direccion_gcba,en_GCBA_84,en_WIKIDATA_95,en_BOLETIN_90,n_listas,emparejado_por,latitud,longitud,origen_punto
Barbaro,BARBARO - BAR O BAR | Bar Bar O | Barbaro,"TRES SARGENTOS 415, CABA | Tres Sargentos 415",Tres Sargentos 415,H002,BARBARO - BAR O BAR,"TRES SARGENTOS 415, CABA",si,si,si,3,domicilio,-34.597887,-58.373198,"REFERENTES_2026 (GCBA, ya geocodificado)"
Britanico,BAR BRITANICO | Bar Británico | Britanico,"BRASIL AV. 399, CABA | Brasil 399",Brasil 399,H019,BAR BRITANICO,"BRASIL AV. 399, CABA",si,si,si,3,domicilio,-34.625306,-58.370839,"REFERENTES_2026 (GCBA, ya geocodificado)"
CAFE DE LOS ANGELITOS,CAFE DE LOS ANGELITOS | Cafe de los Angelitos | Café de los Angelitos,"Av. Rivadavia 2064 | Av. Rivadavia 2100 | RIVADAVIA AV. 2100, CABA",Av. Rivadavia 2100,H024,CAFE DE LOS ANGELITOS,"RIVADAVIA AV. 2100, CABA",si,si,si,3,domicilio+nombre+calle,-34.609527,-58.396007,"REFERENTES_2026 (GCBA, ya geocodificado)"
CAFE PALACIO,CAFE PALACIO | Cafe Palacio | Café Palacio,"Av. F. Lacroze 3901 | Av. Federico Lacroze 3901 | LACROZE, FEDERICO AV. 3901, CABA",Av. Federico Lacroze 3901,H029,CAFE PALACIO,"LACROZE, FEDERICO AV. 3901, CABA",si,si,si,3,domicilio+nombre+altura (homonimo cerrado),-34.584401,-58.453574,"REFERENTES_2026 (GCBA, ya geocodificado)"
CAFE THIBON,CAFE THIBON | Cafe Thibon | Café Thibon,"MONTEVIDEO 723, CABA | Montevideo 723",Montevideo 723,H034,CAFE THIBON,"MONTEVIDEO 723, CABA",si,si,si,3,domicilio,-34.600414,-58.389571,"REFERENTES_2026 (GCBA, ya geocodificado)"
CAFETABAC,CAFETABAC | Caffe Tabac,"Av. Del Libertador 2300 | Av. del Libertador 2300 | DEL LIBERTADOR AV. 2300, CABA",Av. del Libertador 2300,H036,CAFETABAC,"DEL LIBERTADOR AV. 2300, CABA",si,si,si,3,domicilio,-34.580905,-58.404473,"REFERENTES_2026 (GCBA, ya geocodificado)"
CASA WATSON,CASA WATSON | Casa Watson,"VUELTA DE OBLIGADO 2072, CABA | Vuelta De Obligado 2072 | Vuelta de Obligado 2072",Vuelta de Obligado 2072,H037,CASA WATSON,"VUELTA DE OBLIGADO 2072, CABA",si,si,si,3,domicilio,-34.561811,-58.455426,"REFERENTES_2026 (GCBA, ya geocodificado)"
Cafe de la U,CAFE DE LA U | Cafe de la U | Café de la U,"Av. Triunvirato 4801 | TRIUNVIRATO AV. 4801, CABA | Triunvirato 4801",Av. Triunvirato 4801,H023,CAFE DE LA U,"TRIUNVIRATO AV. 4801, CABA",si,si,si,3,domicilio,-34.573373,-58.487403,"REFERENTES_2026 (GCBA, ya geocodificado)"
Café Margot,CAFE MARGOT | Cafe Margot | Café Margot,"Av. Boedo 857 | BOEDO AV. 857, CABA | Boedo 857",Av. Boedo 857,H086,CAFE MARGOT,"BOEDO AV. 857, CABA",si,si,si,3,domicilio,-34.623266,-58.416375,"REFERENTES_2026 (GCBA, ya geocodificado)"
Café Montecarlo,CAFE MONTECARLO | Cafe Montecarlo | Café Montecarlo,"PARAGUAY 5491, CABA | Paraguay 5491",Paraguay 5491,H027,CAFE MONTECARLO,"PARAGUAY 5491, CABA",si,si,si,3,domicilio,-34.577099,-58.43385,"REFERENTES_2026 (GCBA, ya geocodificado)"
Café Roma,CAFE ROMA | Café Roma | Roma del Abasto,"SAN LUIS 3101, CABA | San Luis 3101",San Luis 3101,H032,CAFE ROMA,"SAN LUIS 3101, CABA",si,si,si,3,domicilio,-34.636242,-58.358759,"REFERENTES_2026 (GCBA, ya geocodificado)"
Café Roma,CAFE ROMA | Cafe Roma | Café Roma,"OLAVARRIA 409, CABA | Olavarria 409",Olavarria 409,H031,CAFE ROMA,"OLAVARRIA 409, CABA",si,si,si,3,domicilio,-34.636242,-58.358759,"REFERENTES_2026 (GCBA, ya geocodificado)"
Café Tortoni,CAFE TORTORI | Cafe Tortoni | Café Tortoni,"Av. de Mayo 825 | Avenida de Mayo 825. Ciudad Autónoma de Buenos Aires. Argentina | DE MAYO AV. 825, CABA",Av. de Mayo 825,H035,CAFE TORTORI,"DE MAYO AV. 825, CABA",si,si,si,3,domicilio,-34.608824,-58.37813,"REFERENTES_2026 (GCBA, ya geocodificado)"
Café de García,CAFE DE GARCIA | Cafe de Garcia | Café de García,"SANABRIA 3302, CABA | Sanabria 3302",Sanabria 3302,H022,CAFE DE GARCIA,"SANABRIA 3302, CABA",si,si,si,3,domicilio,-34.606356,-58.51059,"REFERENTES_2026 (GCBA, ya geocodificado)"
Celta Bar,CELTA BAR | Celta Bar,"SARMIENTO 1702, CABA | Sarmiento 1701 | Sarmiento 1702",Sarmiento 1702,H038,CELTA BAR,"SARMIENTO 1702, CABA",si,si,si,3,domicilio+nombre+calle,-34.605579,-58.390932,"REFERENTES_2026 (GCBA, ya geocodificado)"
Claridge's,CLARIDGE BAR | Claridge's,"TUCUMAN 535, CABA | Tucuman 535",Tucuman 535,H039,CLARIDGE BAR,"TUCUMAN 535, CABA",si,si,si,3,domicilio,-34.600965,-58.374517,"REFERENTES_2026 (GCBA, ya geocodificado)"
Confiteria Saint Moritz,CONFITERIA SAINT MORITZ | Confiteria Saint Moritz | Confitería Saint Moritz,"ESMERALDA 894, CABA | Esmeralda 894",Esmeralda 894,H043,CONFITERIA SAINT MORITZ,"ESMERALDA 894, CABA",si,si,si,3,domicilio,-34.597786,-58.3784,"REFERENTES_2026 (GCBA, ya geocodificado)"
Confitería Ideal,CONFITERIA IDEAL | Confiteria La Ideal | Confitería Ideal,"SUIPACHA 384, CABA | Suipacha 384",Suipacha 384,H042,CONFITERIA IDEAL,"SUIPACHA 384, CABA",si,si,si,3,domicilio,-34.603924,-58.37949,"REFERENTES_2026 (GCBA, ya geocodificado)"
DON JUAN,Cafe Don Juan | Café Don Juan | DON JUAN,"CAMARONES 2702, CABA | Camarones 2702",Camarones 2702,H025,DON JUAN,"CAMARONES 2702, CABA",si,si,si,3,domicilio,-34.611192,-58.478216,"REFERENTES_2026 (GCBA, ya geocodificado)"
EL COLECCIONISTA,EL COLECCIONISTA | El Coleccionista,"Av. Rivadavia 4929 | RIVADAVIA AV. 4929, CABA | Rivadavia 4929",Av. Rivadavia 4929,H047,EL COLECCIONISTA,"RIVADAVIA AV. 4929, CABA",si,si,si,3,domicilio,-34.617422,-58.434687,"REFERENTES_2026 (GCBA, ya geocodificado)"
EL COLONIAL,Bar El Colonial | EL COLONIAL,"Av. Belgrano 599 | BELGRANO AV. 599, CABA",Av. Belgrano 599,H008,EL COLONIAL,"BELGRANO AV. 599, CABA",si,si,si,3,domicilio,-34.612552,-58.374516,"REFERENTES_2026 (GCBA, ya geocodificado)"
EL FARO,EL FARO | El Faro,"Av. de los Constituyentes 4099 | DE LOS CONSTITUYENTES AV. 4099, CABA",Av. de los Constituyentes 4099,H049,EL FARO,"DE LOS CONSTITUYENTES AV. 4099, CABA",si,si,si,3,domicilio,-34.584925,-58.488592,"REFERENTES_2026 (GCBA, ya geocodificado)"
EL SIMBOLO,EL SIMBOLO | El Simbolo | El Símbolo,"Av. Corrientes 3787 | CORRIENTES AV. 3787, CABA",Av. Corrientes 3787,H054,EL SIMBOLO,"CORRIENTES AV. 3787, CABA",si,si,si,3,domicilio,-34.603404,-58.417844,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Banderin,CAFE EL BANDERIN | El Banderin | El Banderín,"GUARDIA VIEJA 3601, CABA | Guardia Vieja 3601",Guardia Vieja 3601,H044,CAFE EL BANDERIN,"GUARDIA VIEJA 3601, CABA",si,si,si,3,domicilio,-34.601649,-58.415489,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Buzón,EL BUZON | El Buzon | El Buzón,"ESQUIU 1393, CABA | Esquiu 1393",Esquiu 1393,H046,EL BUZON,"ESQUIU 1393, CABA",si,si,si,3,domicilio,-34.65116,-58.423403,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Estano 1880,BAR EL ESTAÑO 1880 | Café El Estaño 1880 | El Estano 1880,"Aristobulo del Valle 1100 | Aristóbulo del Valle 1100 | VALLE, ARISTOBULO DEL 1100, CABA",Aristobulo del Valle 1100,H048,BAR EL ESTAÑO 1880,"VALLE, ARISTOBULO DEL 1100, CABA",si,si,si,3,domicilio,-34.635408,-58.36821,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Gato Negro,EL GATO NEGRO / DON VITORIANO | El Gato Negro,"Av. Corrientes 1669 | CORRIENTES AV. 1669, CABA",Av. Corrientes 1669,H050,EL GATO NEGRO / DON VITORIANO,"CORRIENTES AV. 1669, CABA",si,si,si,3,domicilio+solo nombre,-34.604209,-58.390307,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Progreso,EL PROGRESO | El Progreso,"Av. Montes de Oca 1700 | Av. Montes de Oca 1702 | MONTES DE OCA, MANUEL AV. 1700, CABA",Av. Montes de Oca 1700,H052,EL PROGRESO,"MONTES DE OCA, MANUEL AV. 1700, CABA",si,si,si,3,domicilio+nombre+calle,-34.646536,-58.372916,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Querandi,EL QUERANDI | El Querandi,"PERU 302, CABA | Peru 302",Peru 302,H053,EL QUERANDI,"PERU 302, CABA",si,si,si,3,domicilio,-34.611647,-58.374749,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Tokio,EL TOKIO | El Tokio,"ALVAREZ JONTE AV. 3550, CABA | Alvarez Jonte 3550 | Av. Alvarez Jonte 3550",Alvarez Jonte 3550,H055,EL TOKIO,"ALVAREZ JONTE AV. 3550, CABA",si,si,si,3,domicilio,-34.612407,-58.491572,"REFERENTES_2026 (GCBA, ya geocodificado)"
El Viejo Buzon,EL VIEJO BUZON | El Viejo Buzon | El Viejo Buzón,"NEUQUEN 1100, CABA | Neuquen 1100",Neuquen 1100,H056,EL VIEJO BUZON,"NEUQUEN 1100, CABA",si,si,si,3,domicilio,-34.615898,-58.448852,"REFERENTES_2026 (GCBA, ya geocodificado)"
Esquina Homero Manzi,ESQUINA HOMERO MANZI | Esquina Homero Manzi,"Av. San Juan 3601 | SAN JUAN AV. 3601, CABA | San Juan y Boedo",Av. San Juan 3601,H057,ESQUINA HOMERO MANZI,"SAN JUAN AV. 3601, CABA",si,si,si,3,domicilio+solo nombre,-34.625385,-58.416337,"REFERENTES_2026 (GCBA, ya geocodificado)"
FLORIDA GARDEN,FLORIDA GARDEN | Florida Garden,"FLORIDA 899, CABA | Florida 899",Florida 899,H058,FLORIDA GARDEN,"FLORIDA 899, CABA",si,si,si,3,domicilio,-34.597613,-58.375352,"REFERENTES_2026 (GCBA, ya geocodificado)"
HIPOPOTAMO,El Hipopotamo | HIPOPOTAMO,"BRASIL 401, CABA | Brasil 401",Brasil 401,H051,HIPOPOTAMO,"BRASIL 401, CABA",si,si,si,3,domicilio,-34.625331,-58.371288,"REFERENTES_2026 (GCBA, ya geocodificado)"
LA BIELA,LA BIELA | La Biela,"Av. Quintana 600 | QUINTANA, MANUEL, PRES. AV. 600, CABA | Quintana 600",Av. Quintana 600,H061,LA BIELA,"QUINTANA, MANUEL, PRES. AV. 600, CABA",si,si,si,3,domicilio,-34.587834,-58.390761,"REFERENTES_2026 (GCBA, ya geocodificado)"
LA FARMACIA,LA FARMACIA | La Farmacia,"Av. Directorio 2400 | DIRECTORIO AV. 2400, CABA",Av. Directorio 2400,H065,LA FARMACIA,"DIRECTORIO AV. 2400, CABA",si,si,si,3,domicilio,-34.633541,-58.460605,"REFERENTES_2026 (GCBA, ya geocodificado)"
LA GIRALDA,LA GIRALDA | La Giralda,"Av. Corrientes 1453 | CORRIENTES AV. 1453, CABA",Av. Corrientes 1453,H067,LA GIRALDA,"CORRIENTES AV. 1453, CABA",si,si,si,3,domicilio,-34.604052,-58.387286,"REFERENTES_2026 (GCBA, ya geocodificado)"
LA PERLA,LA PERLA | La Perla,"Av. Don Pedro de Mendoza 1899 | DON PEDRO DE MENDOZA AV. 1899, CABA | Don Pedro de Mendoza 1899",Av. Don Pedro de Mendoza 1899,H069,LA PERLA,"DON PEDRO DE MENDOZA AV. 1899, CABA",si,si,si,3,domicilio,-34.639338,-58.361731,"REFERENTES_2026 (GCBA, ya geocodificado)"
LA POESIA,Cafe La Poesia | Café La Poesía | LA POESIA,"CHILE 502, CABA | Chile 502",Chile 502,H026,LA POESIA,"CHILE 502, CABA",si,si,si,3,domicilio,-34.616062,-58.373267,"REFERENTES_2026 (GCBA, ya geocodificado)"
LA PUERTO RICO,LA PUERTO RICO | La Puerto Rico,"ALSINA, ADOLFO 420, CABA | Alsina 420",Alsina 420,H070,LA PUERTO RICO,"ALSINA, ADOLFO 420, CABA",si,si,si,3,domicilio,-34.610196,-58.372381,"REFERENTES_2026 (GCBA, ya geocodificado)"
LAS VIOLETAS,LAS VIOLETAS | Las Violetas,"Av. Rivadavia 3899 | RIVADAVIA AV. 3899, CABA",Av. Rivadavia 3899,H071,LAS VIOLETAS,"RIVADAVIA AV. 3899, CABA",si,si,si,3,domicilio,-34.611314,-58.420777,"REFERENTES_2026 (GCBA, ya geocodificado)"
LOS GALGOS,LOS GALGOS | Los Galgos,"Av. Callao 501 | CALLAO AV. 501, CABA",Av. Callao 501,H075,LOS GALGOS,"CALLAO AV. 501, CABA",si,si,si,3,domicilio,-34.602955,-58.392326,"REFERENTES_2026 (GCBA, ya geocodificado)"
La Academia,LA ACADEMIA | La Academia,"Av. Callao 368 | CALLAO AV. 368, CABA",Av. Callao 368,H060,LA ACADEMIA,"CALLAO AV. 368, CABA",si,si,si,3,domicilio,-34.604902,-58.392357,"REFERENTES_2026 (GCBA, ya geocodificado)"
La Buena Medida,LA BUENA MEDIDA | La Buena Medida,"SUAREZ 101, CABA | Suarez 101",Suarez 101,H062,LA BUENA MEDIDA,"SUAREZ 101, CABA",si,si,si,3,domicilio,-34.633746,-58.355061,"REFERENTES_2026 (GCBA, ya geocodificado)"
La Esquina de Anibal Troilo,LA ESQUINA DE ANIBAL TROILO | La Esquina de Anibal Troilo | La Esquina de Aníbal Troilo,"PARAGUAY 1500, CABA | Paraguay 1500",Paraguay 1500,H064,LA ESQUINA DE ANIBAL TROILO,"PARAGUAY 1500, CABA",si,si,si,3,domicilio,-34.598398,-58.388093,"REFERENTES_2026 (GCBA, ya geocodificado)"
La Flor de Barracas,LA FLOR DE BARRACAS | La Flor de Barracas,"Av. Suárez 2095 | SUAREZ AV. 2095, CABA | Suarez 2095",Suarez 2095,H066,LA FLOR DE BARRACAS,"SUAREZ AV. 2095, CABA",si,si,si,3,domicilio,-34.641822,-58.379497,"REFERENTES_2026 (GCBA, ya geocodificado)"
Le Caravelle,LE CARAVELLE | Le Caravelle,"LAVALLE 726, CABA | Lavalle 726",Lavalle 726,H072,LE CARAVELLE,"LAVALLE 726, CABA",si,si,si,3,domicilio,-34.602372,-58.377159,"REFERENTES_2026 (GCBA, ya geocodificado)"
London City,BAR LONDON CITY | Café London City | Confitería London City | London City,"Av. De Mayo 599 | Av. de Mayo 599 | Avenida de Mayo 599 Ciudad Autónoma de Buenos Aires Argentina | DE MAYO AV. 599, CABA",Av. de Mayo 599,H073,BAR LONDON CITY,"DE MAYO AV. 599, CABA",si,si,si,3,domicilio,-34.608508,-58.37474,"REFERENTES_2026 (GCBA, ya geocodificado)"
Los Laureles,LOS LAURELES | Los Laureles,"Av. Iriarte 2290 | IRIARTE, GRAL. AV. 2290, CABA | Iriarte 2290",Av. Iriarte 2290,H076,LOS LAURELES,"IRIARTE, GRAL. AV. 2290, CABA",si,si,si,3,domicilio,-34.64945,-58.37943,"REFERENTES_2026 (GCBA, ya geocodificado)"
Miramar,MIRAMAR | Miramar,"SARANDI 1190, CABA | Sarandi 1190 | Sarandí 1190",Sarandi 1190,H078,MIRAMAR,"SARANDI 1190, CABA",si,si,si,3,domicilio,-34.622663,-58.393748,"REFERENTES_2026 (GCBA, ya geocodificado)"
PLAZA BAR,PLAZA BAR | Plaza Bar,"FLORIDA 1005, CABA | Florida 1005",Florida 1005,H082,PLAZA BAR,"FLORIDA 1005, CABA",si,si,si,3,domicilio,-34.595775,-58.375112,"REFERENTES_2026 (GCBA, ya geocodificado)"
Paulin,PAULIN | Paulin | Paulín,"SARMIENTO 635, CABA | Sarmiento 635 | Sarmiento 643",Sarmiento 635,H080,PAULIN,"SARMIENTO 635, CABA",si,si,si,3,domicilio+nombre+calle,-34.604564,-58.375632,"REFERENTES_2026 (GCBA, ya geocodificado)"
Petit Colón,PETIT COLON | Petit Colon | Petit Colón,"LIBERTAD 505, CABA | Libertad 505",Libertad 505,H081,PETIT COLON,"LIBERTAD 505, CABA",si,si,si,3,domicilio,-34.602403,-58.38376,"REFERENTES_2026 (GCBA, ya geocodificado)"
SAN BERNARDO,Cafe San Bernardo | Café San Bernardo | SAN BERNARDO,"Av. Corrientes 5436 | CORRIENTES AV. 5436, CABA | Corrientes 5436",Av. Corrientes 5436,H033,SAN BERNARDO,"CORRIENTES AV. 5436, CABA",si,si,si,3,domicilio,-34.597863,-58.441098,"REFERENTES_2026 (GCBA, ya geocodificado)"
STYLO CAFE,STYLO CAFE | Stylo Cafe | Stylo Café,"FERNANDEZ DE ENCISO 3934, CABA | Fernandez De Enciso 3934 | Fernandez de Enciso 3934",Fernandez de Enciso 3934,H083,STYLO CAFE,"FERNANDEZ DE ENCISO 3934, CABA",si,si,si,3,domicilio,-34.601354,-58.512648,"REFERENTES_2026 (GCBA, ya geocodificado)"
The New Brighton,THE NEW BRIGHTON | The New Brighton,"SARMIENTO 645, CABA | Sarmiento 645",Sarmiento 645,H084,THE NEW BRIGHTON,"SARMIENTO 645, CABA",si,si,si,3,domicilio,-34.604575,-58.375796,"REFERENTES_2026 (GCBA, ya geocodificado)"
Varela Varelita,VARELA VARELITA | Varela Varelita,"Av. Scalabrini Ortiz 2102 | SCALABRINI ORTIZ, RAUL AV. 2102, CABA",Av. Scalabrini Ortiz 2102,H085,VARELA VARELITA,"SCALABRINI ORTIZ, RAUL AV. 2102, CABA",si,si,si,3,domicilio,-34.58764,-58.420109,"REFERENTES_2026 (GCBA, ya geocodificado)"
12 de octubre,12 de octubre | El Boliche de Roberto,Bulnes 331,Bulnes 331,H045,,,no,si,si,2,domicilio,-34.607009,-58.418597,USIG sobre la dirección del Boletín
Bar Bidou,Bar Bidou,Av. Roque Saenz Pena 858 | Diagonal Norte 858,Av. Roque Saenz Pena 858,H003,,,no,si,si,2,nombre+altura (homonimo cerrado),-34.605223,-58.378784,USIG sobre la dirección del Boletín
Bar Lavalle,Bar Lavalle,Lavalle 1693,Lavalle 1693,H011,,,no,si,si,2,domicilio,-34.60304,-58.391002,USIG sobre la dirección del Boletín
Café Olimpo,Cafe Olimpo | Café Olimpo,Irigoyen 1491,Irigoyen 1491,H028,,,no,si,si,2,domicilio,-34.626898,-58.518306,USIG sobre la dirección del Boletín
Clásica y moderna,Clasica y Moderna | Clásica y moderna,Av. Callao 892,Av. Callao 892,H040,,,no,si,si,2,domicilio,-34.599001,-58.393113,USIG sobre la dirección del Boletín
Mar Azul,Mar Azul,Tucuman 1700 | Tucumán 1700,Tucuman 1700,H077,,,no,si,si,2,domicilio,-34.601939,-58.391132,USIG sobre la dirección del Boletín
Plaza Café,Cafe Plaza | Plaza Café,Av. Rivadavia 4732,Av. Rivadavia 4732,H030,,,no,si,si,2,domicilio,-34.616452,-58.432096,USIG sobre la dirección del Boletín
Bar Boca a Boca,Bar Boca a Boca,Av. Benito Perez Galdos 201,Av. Benito Perez Galdos 201,H004,,,no,no,si,1,unico,-34.630228,-58.359397,USIG sobre la dirección del Boletín
Bar Conde,Bar Conde,Federico Lacroze 3193,Federico Lacroze 3193,H010,,,no,no,si,1,unico,-34.577801,-58.449427,USIG sobre la dirección del Boletín
Bar Via 71,Bar Via 71,Viamonte 1771,Viamonte 1771,H017,,,no,no,si,1,unico,-34.600753,-58.392349,USIG sobre la dirección del Boletín
Cabildo de Buenos Aires,Cabildo de Buenos Aires,Peru 86,Peru 86,H020,,,no,no,si,1,unico,-34.609028,-58.374846,USIG sobre la dirección del Boletín
Cafe Cortazar,Cafe Cortazar,Jose Antonio Cabrera 3797,Jose Antonio Cabrera 3797,H021,,,no,no,si,1,unico,-34.596464,-58.419818,USIG sobre la dirección del Boletín
Cafe Rivas,Cafe Rivas,Estados Unidos 302,Estados Unidos 302,H087,,,no,no,si,1,unico,-34.618461,-58.370277,USIG sobre la dirección del Boletín
Confiteria El Greco,Confiteria El Greco,Av. Rivadavia 5353,Av. Rivadavia 5353,H090,,,no,no,si,1,unico,-34.620162,-58.440853,USIG sobre la dirección del Boletín
El Portuario,El Portuario,Pinzon 102,Pinzon 102,H088,,,no,no,si,1,unico,-34.632174,-58.356024,USIG sobre la dirección del Boletín
Josephina's Cafe,Josephina's Cafe,Guido 1532,Guido 1532,H089,,,no,no,si,1,unico,-34.592512,-58.38697,USIG sobre la dirección del Boletín
La Escuela,La Escuela,Manuela Pedraza 2803,Manuela Pedraza 2803,H041,,,no,no,si,1,unico,-34.553649,-58.469955,USIG sobre la dirección del Boletín
La Opera,La Opera,Av. Corrientes 1799,Av. Corrientes 1799,H068,,,no,no,si,1,unico,-34.604335,-58.392047,USIG sobre la dirección del Boletín
La Orquidea,La Orquidea,Av. Corrientes 4101,Av. Corrientes 4101,H063,,,no,no,si,1,unico,-34.602917,-58.42267,USIG sobre la dirección del Boletín
