hito_id,nombre,tipo,reconocimiento,direccion,barrio_declarado,latitud,longitud,origen,fuente_primaria,edicion_o_anio,confianza,metodo_geocodificacion,conflicto_direccion,nota_carga,es_patrimonio_normativo,patrimonio_norma,patrimonio_declaratoria,patrimonio_organismo,patrimonio_nota,vigencia_verificada,vigencia_fuente,vigencia_fecha,continuidad_ininterrumpida,es_alta_2026_08_03,declaratoria_localizada,alta_referencia_que_toca,vigencia_nivel,vigencia_sentido_duda,vigencia_revisar_hasta,nota_ronda_5,nota_ronda_6,registro_oficial,direccion_variante,vigencia_fecha_consulta,nota_ronda_7,places_business_status,nota_ronda_8,alerta_juridica,alerta_juridica_fecha,alerta_juridica_fuente,nota_ronda_9
MG-0010,Smart Plaza Parque Patricios,Mercado/patio,Mercado o patio documentado,,,,,REFERENTES_2026,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-001,4ta Pared,MICHELIN,Recomendado/seleccionado,Habana 3499,Villa Devoto,-34.594084,-58.507376,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/4ta-pared,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-020,A Fuego Fuerte,MICHELIN,Recomendado/seleccionado,Bonpland 1670,Palermo,-34.583595,-58.437705,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/a-fuego-fuerte,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-011,Ácido,MICHELIN,Bib Gourmand,Charlone 999,Chacarita,-34.580768,-58.4578,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/acido,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-012,Ajo Negro - Mar de Tapas,MICHELIN,Bib Gourmand,Avenida Córdoba 6237,Chacarita,-34.583019,-58.448034,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/ajo-negro-mar-de-tapas,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-019,Alcanfor,MICHELIN,Recomendado/seleccionado,Aguirre 949,Villa Crespo,-34.593746,-58.439242,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/alcanfor,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-013,ANAFE,MICHELIN,Bib Gourmand,Virrey Avilés 3216,Colegiales,-34.573892,-58.458955,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/anafe,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-018,Anchoíta,MICHELIN,Recomendado/seleccionado,Juan Ramírez de Velasco 1520,Chacarita,-34.589461,-58.445298,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/anchoita,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-045,Aramburu,MICHELIN,Dos Estrellas,Vicente López 1661,Recoleta,-34.591981,-58.389545,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/aramburu,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-049,Bis Bistró,MICHELIN,Bib Gourmand,Vicente López 1661 Local 12,Recoleta,-34.591981,-58.389545,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/bis-bistro,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-032,Buri Omakase,MICHELIN,Recomendado/seleccionado,Guatemala 5781,Palermo,-34.578876,-58.433715,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/buri-omakase,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-051,Cabaña Las Lilas,MICHELIN,Recomendado/seleccionado,Avenida Alicia Moreau de Justo 516,Puerto Madero,-34.603631,-58.36706,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/cabana-las-lilas,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-058,Casa Cavia,MICHELIN,Recomendado/seleccionado,Cavia 2985,Palermo,-34.577456,-58.407236,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/casa-cavia,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-052,Casa Palanti,MICHELIN,Recomendado/seleccionado,Ortiz de Ocampo 2901,Palermo,-34.577981,-58.402433,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/casa-palanti,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-035,Casa Veltri,MICHELIN,Recomendado/seleccionado,Juncal 1642,Recoleta,-34.594177,-58.390974,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/casa-veltri,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-025,Caseros,MICHELIN,Bib Gourmand,Avenida Caseros 486,Barracas,-34.626816,-58.371734,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/caseros,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-048,Chuchú,MICHELIN,Bib Gourmand,Avenida del Libertador 405,Retiro,-34.589982,-58.379361,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/chuchu,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-008,Chuí,MICHELIN,Recomendado/seleccionado,Loyola 1250,Villa Crespo,-34.590044,-58.441137,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/chui,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-043,Corte Comedor,MICHELIN,Recomendado/seleccionado,Avenida Olazábal 1391,Belgrano,-34.554079,-58.448133,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/corte-comedor,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-009,Crizia,MICHELIN,Una Estrella,Fitz Roy 1819,Palermo,-34.583209,-58.435151,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/crizia,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-023,Don Julio,MICHELIN,Una Estrella,Guatemala 4699,Palermo,-34.586392,-58.424304,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/don-julio,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-046,Duhau Restaurante & Vinoteca,MICHELIN,Recomendado/seleccionado,Avenida Alvear 1661,Recoleta,-34.589406,-58.38643,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/duhau-restaurant-vinoteca,"selección MICHELIN vigente, consultada el 03-08-2026",media,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-038,El Preferido de Palermo,MICHELIN,Recomendado/seleccionado,Jorge Luis Borges 2108,Palermo,-34.585456,-58.4253,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/el-preferido-de-palermo,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-044,Elena,MICHELIN,Recomendado/seleccionado,Posadas 1086/88,Retiro,-34.590154,-58.382258,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/elena,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-039,Evelia,MICHELIN,Recomendado/seleccionado,Campos Salles 1712,Nuñez,-34.548355,-58.458392,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/evelia,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-057,Fervor,MICHELIN,Recomendado/seleccionado,Posadas 1519,Recoleta,-34.587315,-58.387386,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fervor,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-004,Fico,MICHELIN,Recomendado/seleccionado,Muñecas 775,Villa Crespo,-34.600741,-58.44549,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fico-1213659,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-021,Fogón Asado,MICHELIN,Recomendado/seleccionado,Uriarte 1423,Palermo,-34.58852,-58.433587,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fogon-asado,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-024,Garabato Bistro,MICHELIN,Bib Gourmand,O'Higgins 3424,Nuñez,-34.548501,-58.463572,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/garabato-bistro,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-047,Gioia Cocina Botánica,MICHELIN,Recomendado/seleccionado,Posadas 1350,Recoleta,-34.588486,-58.385579,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/gioia-cocina-botanica,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-005,Han,MICHELIN,Una Estrella,Vera 966,Villa Crespo,-34.594888,-58.441652,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/han,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-007,Horta,MICHELIN,Recomendado/seleccionado,Aguirre 1080,Villa Crespo,-34.592503,-58.440557,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/horta-1217076,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-036,José El Carnicero,MICHELIN,Recomendado/seleccionado,Thames 2316,Palermo,-34.582803,-58.423822,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/jose-el-carnicero,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-016,Julia,MICHELIN,Recomendado/seleccionado,Loyola 807,Villa Crespo,-34.593368,-58.437876,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/julia-1206804,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-054,Kōnā,MICHELIN,Recomendado/seleccionado,Castañeda 1899,Belgrano,-34.553373,-58.437036,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/kona,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-014,La Alacena Trattoria,MICHELIN,Bib Gourmand,Gascón 1401,Palermo,-34.594011,-58.422791,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/la-alacena-trattoria,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-053,La Cabaña,MICHELIN,Recomendado/seleccionado,Avenida Alicia Moreau de Justo 580,Puerto Madero,-34.604104,-58.367006,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/la-cabana-551418,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-015,Mengano,MICHELIN,Bib Gourmand,José Antonio Cabrera 5172,Palermo,-34.588943,-58.433757,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mengano,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-006,Mercado de Liniers,MICHELIN,Recomendado/seleccionado,Gorriti 6012,Palermo,-34.581688,-58.441598,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mercado-de-liniers,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-029,Michel Rolland Grill & Wine,MICHELIN,Recomendado/seleccionado,Juana Manso 1760,Puerto Madero,-34.619238,-58.361564,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/michel-rolland-grill-wine,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-037,Mishiguene,MICHELIN,Recomendado/seleccionado,Lafinur 3368,Palermo,-34.577021,-58.412208,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mishiguene,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-003,MN Santa Inés,MICHELIN,Bib Gourmand,Ávalos 360,Paternal,-34.592784,-58.467636,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mn-santa-ines,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-056,Narda Comedor,MICHELIN,Recomendado/seleccionado,Mariscal Antonio José de Sucre 664,Belgrano,-34.553046,-58.436699,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/narda-comedor,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-040,Ness,MICHELIN,Recomendado/seleccionado,Grecia 3691,Nuñez,-34.545719,-58.463724,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/ness,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-022,Nika Club Omakase,MICHELIN,Recomendado/seleccionado,Nicaragua 5952,Palermo,-34.5789,-58.437129,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/nika-club-omakase,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-034,Niño Gordo,MICHELIN,Recomendado/seleccionado,Thames 1810,Palermo,-34.5866,-58.429023,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/nino-gordo,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-042,Osaka Concepción,MICHELIN,Recomendado/seleccionado,Concepción Arenal 2913,Colegiales,-34.578551,-58.441801,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/osaka-concepcion,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-017,Picarón,MICHELIN,Recomendado/seleccionado,Avenida Dorrego 866,Chacarita,-34.591115,-58.447086,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/picaron,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-033,Piedra Pasillo Al Fondo,MICHELIN,Recomendado/seleccionado,Campos Salles 2145,Nuñez,-34.550759,-58.463338,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/piedra-pasillo-al-fondo,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-050,Presencia,MICHELIN,Recomendado/seleccionado,Montevideo 1789,Retiro,-34.590008,-58.386103,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/presencia,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-041,Raggio Osteria,MICHELIN,Recomendado/seleccionado,Gurruchaga 2121,Palermo,-34.586135,-58.424182,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/raggio-osteria,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-010,Reliquia,MICHELIN,Bib Gourmand,Ángel Justiniano Carranza 1601,Palermo,-34.58328,-58.439119,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/reliquia,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-031,República del Fuego,MICHELIN,Recomendado/seleccionado,Juncal 2682,Recoleta,-34.589779,-58.404128,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/republica-del-fuego,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-027,Restó SCA,MICHELIN,Recomendado/seleccionado,Montevideo 938,Recoleta,-34.598001,-58.389789,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/resto-sca,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-030,Roux,MICHELIN,Recomendado/seleccionado,Peña 2300,Recoleta,-34.590733,-58.397336,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/roux-532524,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MIC-055,Sottovoce,MICHELIN,Recomendado/seleccionado,Avenida del Libertador 1098,Recoleta,-34.586089,-58.387478,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/sottovoce-1208879,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-002,Trescha,MICHELIN,Una Estrella,Murillo 725,Villa Crespo,-34.600335,-58.444028,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/trescha,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-028,Ultramarinos,MICHELIN,Recomendado/seleccionado,Pasaje Arribeños 1980,,,,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/ultramarinos,"selección MICHELIN vigente, consultada el 03-08-2026",sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MIC-026,Uni Omakase,MICHELIN,Recomendado/seleccionado,Guatemala 5820,Palermo,-34.578581,-58.434262,REFERENTES_2026,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/uni-omakase,"selección MICHELIN vigente, consultada el 03-08-2026",alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
