bar,nombres_vistos,direcciones_vistas,direccion_boletin,id_boletin,nombre_gcba,direccion_gcba,en_GCBA_84,en_WIKIDATA_95,en_BOLETIN_90,n_listas,emparejado_por
Confiteria Saint Moritz,CONFITERIA SAINT MORITZ | Confiteria Saint Moritz | Confitería Saint Moritz,"ESMERALDA 894, CABA | Esmeralda 894",Esmeralda 894,H043,CONFITERIA SAINT MORITZ,"ESMERALDA 894, CABA",si,si,si,3,domicilio
Confitería Ideal,CONFITERIA IDEAL | Confiteria La Ideal | Confitería Ideal,"SUIPACHA 384, CABA | Suipacha 384",Suipacha 384,H042,CONFITERIA IDEAL,"SUIPACHA 384, CABA",si,si,si,3,domicilio
DON JUAN,Cafe Don Juan | Café Don Juan | DON JUAN,"CAMARONES 2702, CABA | Camarones 2702",Camarones 2702,H025,DON JUAN,"CAMARONES 2702, CABA",si,si,si,3,domicilio
EL COLECCIONISTA,EL COLECCIONISTA | El Coleccionista,"Av. Rivadavia 4929 | RIVADAVIA AV. 4929, CABA | Rivadavia 4929",Av. Rivadavia 4929,H047,EL COLECCIONISTA,"RIVADAVIA AV. 4929, CABA",si,si,si,3,domicilio
EL COLONIAL,Bar El Colonial | EL COLONIAL,"Av. Belgrano 599 | BELGRANO AV. 599, CABA",Av. Belgrano 599,H008,EL COLONIAL,"BELGRANO AV. 599, CABA",si,si,si,3,domicilio
EL FARO,EL FARO | El Faro,"Av. de los Constituyentes 4099 | DE LOS CONSTITUYENTES AV. 4099, CABA",Av. de los Constituyentes 4099,H049,EL FARO,"DE LOS CONSTITUYENTES AV. 4099, CABA",si,si,si,3,domicilio
EL SIMBOLO,EL SIMBOLO | El Simbolo | El Símbolo,"Av. Corrientes 3787 | CORRIENTES AV. 3787, CABA",Av. Corrientes 3787,H054,EL SIMBOLO,"CORRIENTES AV. 3787, CABA",si,si,si,3,domicilio
El Banderin,CAFE EL BANDERIN | El Banderin | El Banderín,"GUARDIA VIEJA 3601, CABA | Guardia Vieja 3601",Guardia Vieja 3601,H044,CAFE EL BANDERIN,"GUARDIA VIEJA 3601, CABA",si,si,si,3,domicilio
El Buzón,EL BUZON | El Buzon | El Buzón,"ESQUIU 1393, CABA | Esquiu 1393",Esquiu 1393,H046,EL BUZON,"ESQUIU 1393, CABA",si,si,si,3,domicilio
El Estano 1880,BAR EL ESTAÑO 1880 | Café El Estaño 1880 | El Estano 1880,"Aristobulo del Valle 1100 | Aristóbulo del Valle 1100 | VALLE, ARISTOBULO DEL 1100, CABA",Aristobulo del Valle 1100,H048,BAR EL ESTAÑO 1880,"VALLE, ARISTOBULO DEL 1100, CABA",si,si,si,3,domicilio
El Gato Negro,EL GATO NEGRO / DON VITORIANO | El Gato Negro,"Av. Corrientes 1669 | CORRIENTES AV. 1669, CABA",Av. Corrientes 1669,H050,EL GATO NEGRO / DON VITORIANO,"CORRIENTES AV. 1669, CABA",si,si,si,3,domicilio+solo nombre
El Progreso,EL PROGRESO | El Progreso,"Av. Montes de Oca 1700 | Av. Montes de Oca 1702 | MONTES DE OCA, MANUEL AV. 1700, CABA",Av. Montes de Oca 1700,H052,EL PROGRESO,"MONTES DE OCA, MANUEL AV. 1700, CABA",si,si,si,3,domicilio+nombre+calle
El Querandi,EL QUERANDI | El Querandi,"PERU 302, CABA | Peru 302",Peru 302,H053,EL QUERANDI,"PERU 302, CABA",si,si,si,3,domicilio
El Tokio,EL TOKIO | El Tokio,"ALVAREZ JONTE AV. 3550, CABA | Alvarez Jonte 3550 | Av. Alvarez Jonte 3550",Alvarez Jonte 3550,H055,EL TOKIO,"ALVAREZ JONTE AV. 3550, CABA",si,si,si,3,domicilio
El Viejo Buzon,EL VIEJO BUZON | El Viejo Buzon | El Viejo Buzón,"NEUQUEN 1100, CABA | Neuquen 1100",Neuquen 1100,H056,EL VIEJO BUZON,"NEUQUEN 1100, CABA",si,si,si,3,domicilio
Esquina Homero Manzi,ESQUINA HOMERO MANZI | Esquina Homero Manzi,"Av. San Juan 3601 | SAN JUAN AV. 3601, CABA | San Juan y Boedo",Av. San Juan 3601,H057,ESQUINA HOMERO MANZI,"SAN JUAN AV. 3601, CABA",si,si,si,3,domicilio+solo nombre
FLORIDA GARDEN,FLORIDA GARDEN | Florida Garden,"FLORIDA 899, CABA | Florida 899",Florida 899,H058,FLORIDA GARDEN,"FLORIDA 899, CABA",si,si,si,3,domicilio
HIPOPOTAMO,El Hipopotamo | HIPOPOTAMO,"BRASIL 401, CABA | Brasil 401",Brasil 401,H051,HIPOPOTAMO,"BRASIL 401, CABA",si,si,si,3,domicilio
LA BIELA,LA BIELA | La Biela,"Av. Quintana 600 | QUINTANA, MANUEL, PRES. AV. 600, CABA | Quintana 600",Av. Quintana 600,H061,LA BIELA,"QUINTANA, MANUEL, PRES. AV. 600, CABA",si,si,si,3,domicilio
LA FARMACIA,LA FARMACIA | La Farmacia,"Av. Directorio 2400 | DIRECTORIO AV. 2400, CABA",Av. Directorio 2400,H065,LA FARMACIA,"DIRECTORIO AV. 2400, CABA",si,si,si,3,domicilio
LA GIRALDA,LA GIRALDA | La Giralda,"Av. Corrientes 1453 | CORRIENTES AV. 1453, CABA",Av. Corrientes 1453,H067,LA GIRALDA,"CORRIENTES AV. 1453, CABA",si,si,si,3,domicilio
LA PERLA,LA PERLA | La Perla,"Av. Don Pedro de Mendoza 1899 | DON PEDRO DE MENDOZA AV. 1899, CABA | Don Pedro de Mendoza 1899",Av. Don Pedro de Mendoza 1899,H069,LA PERLA,"DON PEDRO DE MENDOZA AV. 1899, CABA",si,si,si,3,domicilio
LA POESIA,Cafe La Poesia | Café La Poesía | LA POESIA,"CHILE 502, CABA | Chile 502",Chile 502,H026,LA POESIA,"CHILE 502, CABA",si,si,si,3,domicilio
LA PUERTO RICO,LA PUERTO RICO | La Puerto Rico,"ALSINA, ADOLFO 420, CABA | Alsina 420",Alsina 420,H070,LA PUERTO RICO,"ALSINA, ADOLFO 420, CABA",si,si,si,3,domicilio
LAS VIOLETAS,LAS VIOLETAS | Las Violetas,"Av. Rivadavia 3899 | RIVADAVIA AV. 3899, CABA",Av. Rivadavia 3899,H071,LAS VIOLETAS,"RIVADAVIA AV. 3899, CABA",si,si,si,3,domicilio
LOS GALGOS,LOS GALGOS | Los Galgos,"Av. Callao 501 | CALLAO AV. 501, CABA",Av. Callao 501,H075,LOS GALGOS,"CALLAO AV. 501, CABA",si,si,si,3,domicilio
La Academia,LA ACADEMIA | La Academia,"Av. Callao 368 | CALLAO AV. 368, CABA",Av. Callao 368,H060,LA ACADEMIA,"CALLAO AV. 368, CABA",si,si,si,3,domicilio
La Buena Medida,LA BUENA MEDIDA | La Buena Medida,"SUAREZ 101, CABA | Suarez 101",Suarez 101,H062,LA BUENA MEDIDA,"SUAREZ 101, CABA",si,si,si,3,domicilio
La Esquina de Anibal Troilo,LA ESQUINA DE ANIBAL TROILO | La Esquina de Anibal Troilo | La Esquina de Aníbal Troilo,"PARAGUAY 1500, CABA | Paraguay 1500",Paraguay 1500,H064,LA ESQUINA DE ANIBAL TROILO,"PARAGUAY 1500, CABA",si,si,si,3,domicilio
La Flor de Barracas,LA FLOR DE BARRACAS | La Flor de Barracas,"Av. Suárez 2095 | SUAREZ AV. 2095, CABA | Suarez 2095",Suarez 2095,H066,LA FLOR DE BARRACAS,"SUAREZ AV. 2095, CABA",si,si,si,3,domicilio
Le Caravelle,LE CARAVELLE | Le Caravelle,"LAVALLE 726, CABA | Lavalle 726",Lavalle 726,H072,LE CARAVELLE,"LAVALLE 726, CABA",si,si,si,3,domicilio
London City,BAR LONDON CITY | Café London City | Confitería London City | London City,"Av. De Mayo 599 | Av. de Mayo 599 | Avenida de Mayo 599 Ciudad Autónoma de Buenos Aires Argentina | DE MAYO AV. 599, CABA",Av. de Mayo 599,H073,BAR LONDON CITY,"DE MAYO AV. 599, CABA",si,si,si,3,domicilio
Los Laureles,LOS LAURELES | Los Laureles,"Av. Iriarte 2290 | IRIARTE, GRAL. AV. 2290, CABA | Iriarte 2290",Av. Iriarte 2290,H076,LOS LAURELES,"IRIARTE, GRAL. AV. 2290, CABA",si,si,si,3,domicilio
Miramar,MIRAMAR | Miramar,"SARANDI 1190, CABA | Sarandi 1190 | Sarandí 1190",Sarandi 1190,H078,MIRAMAR,"SARANDI 1190, CABA",si,si,si,3,domicilio
PLAZA BAR,PLAZA BAR | Plaza Bar,"FLORIDA 1005, CABA | Florida 1005",Florida 1005,H082,PLAZA BAR,"FLORIDA 1005, CABA",si,si,si,3,domicilio
Paulin,PAULIN | Paulin | Paulín,"SARMIENTO 635, CABA | Sarmiento 635 | Sarmiento 643",Sarmiento 635,H080,PAULIN,"SARMIENTO 635, CABA",si,si,si,3,domicilio+nombre+calle
Petit Colón,PETIT COLON | Petit Colon | Petit Colón,"LIBERTAD 505, CABA | Libertad 505",Libertad 505,H081,PETIT COLON,"LIBERTAD 505, CABA",si,si,si,3,domicilio
SAN BERNARDO,Cafe San Bernardo | Café San Bernardo | SAN BERNARDO,"Av. Corrientes 5436 | CORRIENTES AV. 5436, CABA | Corrientes 5436",Av. Corrientes 5436,H033,SAN BERNARDO,"CORRIENTES AV. 5436, CABA",si,si,si,3,domicilio
STYLO CAFE,STYLO CAFE | Stylo Cafe | Stylo Café,"FERNANDEZ DE ENCISO 3934, CABA | Fernandez De Enciso 3934 | Fernandez de Enciso 3934",Fernandez de Enciso 3934,H083,STYLO CAFE,"FERNANDEZ DE ENCISO 3934, CABA",si,si,si,3,domicilio
The New Brighton,THE NEW BRIGHTON | The New Brighton,"SARMIENTO 645, CABA | Sarmiento 645",Sarmiento 645,H084,THE NEW BRIGHTON,"SARMIENTO 645, CABA",si,si,si,3,domicilio
Varela Varelita,VARELA VARELITA | Varela Varelita,"Av. Scalabrini Ortiz 2102 | SCALABRINI ORTIZ, RAUL AV. 2102, CABA",Av. Scalabrini Ortiz 2102,H085,VARELA VARELITA,"SCALABRINI ORTIZ, RAUL AV. 2102, CABA",si,si,si,3,domicilio
12 de octubre,12 de octubre | El Boliche de Roberto,Bulnes 331,Bulnes 331,H045,,,no,si,si,2,domicilio
Bar Bidou,Bar Bidou,Av. Roque Saenz Pena 858 | Diagonal Norte 858,Av. Roque Saenz Pena 858,H003,,,no,si,si,2,nombre+altura (homonimo cerrado)
Bar Lavalle,Bar Lavalle,Lavalle 1693,Lavalle 1693,H011,,,no,si,si,2,domicilio
CAFE NOSTALGIA,CAFE NOSTALGIA | Café Nostalgia,"SOLER 3599, CABA | Soler 3599",,,CAFE NOSTALGIA,"SOLER 3599, CABA",si,si,no,2,domicilio
Café Los Andes,CAFE LOS ANDES | Café Los Andes,"SCALABRINI ORTIZ, RAUL AV. 1312, CABA | Scalabrini Ortiz 1312",,,CAFE LOS ANDES,"SCALABRINI ORTIZ, RAUL AV. 1312, CABA",si,si,no,2,domicilio
Café Monserrat,CAFE MONTSERRAT | Café Monserrat,"SAN JOSE 524, CABA | San Jose 524",,,CAFE MONTSERRAT,"SAN JOSE 524, CABA",si,si,no,2,domicilio
Café Olimpo,Cafe Olimpo | Café Olimpo,Irigoyen 1491,Irigoyen 1491,H028,,,no,si,si,2,domicilio
Café de la Esquina,CAFE DE LA ESQUINA | Café de la Esquina,"Av. Del Libertador 6196 | DEL LIBERTADOR AV. 6169, CABA",,,CAFE DE LA ESQUINA,"DEL LIBERTADOR AV. 6169, CABA",si,si,no,2,nombre+calle
Clásica y moderna,Clasica y Moderna | Clásica y moderna,Av. Callao 892,Av. Callao 892,H040,,,no,si,si,2,domicilio
El Preferido de Palermo,EL PREFERIDO DE PALERMO | El Preferido de Palermo,"BORGES, JORGE LUIS 2108, CABA | Jorge L. Borges 2108",,,EL PREFERIDO DE PALERMO,"BORGES, JORGE LUIS 2108, CABA",si,si,no,2,nombre+altura (homonimo cerrado)
IBERIA,Bar iberia | IBERIA,"Av. De Mayo 1196 | DE MAYO AV. 1196, CABA",,,IBERIA,"DE MAYO AV. 1196, CABA",si,si,no,2,domicilio
LA EMBAJADA,LA EMBAJADA | La Embajada,"SANTIAGO DEL ESTERO 88, CABA | Santiago del Estero 88",,,LA EMBAJADA,"SANTIAGO DEL ESTERO 88, CABA",si,si,no,2,domicilio
LA NUEVA ANDALUZA,LA NUEVA ANDALUZA | La Nueva Andaluza,"CAMARONES 1412, CABA | Camarones 1412",,,LA NUEVA ANDALUZA,"CAMARONES 1412, CABA",si,si,no,2,domicilio
Mar Azul,Mar Azul,Tucuman 1700 | Tucumán 1700,Tucuman 1700,H077,,,no,si,si,2,domicilio
Plaza Café,Cafe Plaza | Plaza Café,Av. Rivadavia 4732,Av. Rivadavia 4732,H030,,,no,si,si,2,domicilio
American Bar,American Bar,Diagonal Norte 632,,,,,no,si,no,1,unico
BAR LAVALLE,BAR LAVALLE,"LAVALLE 2407, CABA",,,BAR LAVALLE,"LAVALLE 2407, CABA",si,no,no,1,unico
BIDOU DE LAS LUCES,BIDOU DE LAS LUCES,"PERU 269, CABA",,,BIDOU DE LAS LUCES,"PERU 269, CABA",si,no,no,1,unico
Bar Boca a Boca,Bar Boca a Boca,Av. Benito Perez Galdos 201,Av. Benito Perez Galdos 201,H004,,,no,no,si,1,unico
Bar Carlitos,Bar Carlitos,Carlos Calvo 2607,,,,,no,si,no,1,unico
Bar Conde,Bar Conde,Federico Lacroze 3193,Federico Lacroze 3193,H010,,,no,no,si,1,unico
Bar Via 71,Bar Via 71,Viamonte 1771,Viamonte 1771,H017,,,no,no,si,1,unico
CAFE VICTORIA,CAFE VICTORIA,"ENTRE RIOS AV. 114, CABA",,,CAFE VICTORIA,"ENTRE RIOS AV. 114, CABA",si,no,no,1,unico
CONFITERIA DEL HOTEL CASTELAR,CONFITERIA DEL HOTEL CASTELAR,"DE MAYO AV. 1048, CABA",,,CONFITERIA DEL HOTEL CASTELAR,"DE MAYO AV. 1048, CABA",si,no,no,1,unico
Cabildo de Buenos Aires,Cabildo de Buenos Aires,Peru 86,Peru 86,H020,,,no,no,si,1,unico
Cafe Cortazar,Cafe Cortazar,Jose Antonio Cabrera 3797,Jose Antonio Cabrera 3797,H021,,,no,no,si,1,unico
Cafe Rivas,Cafe Rivas,Estados Unidos 302,Estados Unidos 302,H087,,,no,no,si,1,unico
Café Retiro,Café Retiro,,,,,,no,si,no,1,unico
Café de los Incas,Café de los Incas,Av. De los Incas 3909,,,,,no,si,no,1,unico
Confiteria El Greco,Confiteria El Greco,Av. Rivadavia 5353,Av. Rivadavia 5353,H090,,,no,no,si,1,unico
Confitería Queen Bess,Confitería Queen Bess,Av. Santa Fe 868,,,,,no,si,no,1,unico
Confitería Richmond,Confitería Richmond,,,,,,no,si,no,1,unico
Confitería del Hotel Castelar,Confitería del Hotel Castelar,Av. de Mayo 1148/50/52,,,,,no,si,no,1,unico
El Portuario,El Portuario,Pinzon 102,Pinzon 102,H088,,,no,no,si,1,unico
Josephina's Cafe,Josephina's Cafe,Guido 1532,Guido 1532,H089,,,no,no,si,1,unico
La Escuela,La Escuela,Manuela Pedraza 2803,Manuela Pedraza 2803,H041,,,no,no,si,1,unico
La Opera,La Opera,Av. Corrientes 1799,Av. Corrientes 1799,H068,,,no,no,si,1,unico
La Orquidea,La Orquidea,Av. Corrientes 4101,Av. Corrientes 4101,H063,,,no,no,si,1,unico
OLIMPO,OLIMPO,"ARREGUI 5794, CABA",,,OLIMPO,"ARREGUI 5794, CABA",si,no,no,1,unico
Victoria,Victoria,Bolívar 104,,,,,no,si,no,1,unico
