pagina,eje_citado,eje_en_la_fuente,valor_citado,valor_en_la_fuente,anio,coincide,superlativo_citado,superlativo_correcto
Z35 · Balvanera y Once,Once,Once,variacion_interanual=-1.6 pp,variacion_interanual=-1.577789 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z50 · Montes de Oca,Montes de Oca,Montes de Oca,ocupacion=89.7 %,ocupacion=89.726027 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z50 · Montes de Oca,Montes de Oca,Montes de Oca,variacion_interanual=-1.9 pp,variacion_interanual=-1.940639 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Parque Patricios,Parque Patricios,ocupacion=89.2 %,ocupacion=89.215686 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Parque Patricios,Parque Patricios,variacion_interanual=1.4 pp,variacion_interanual=1.410808 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Av. Patricios,Av. Patricios,ocupacion=88.2 %,ocupacion=88.194444 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Av. Patricios,Av. Patricios,variacion_interanual=1.1 pp,variacion_interanual=1.119615 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Av. Sáenz,Sáenz,ocupacion=87.3 %,ocupacion=87.264151 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Av. Sáenz,Sáenz,variacion_interanual=-1.5 pp,variacion_interanual=-1.520896 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z40 · Nueva Pompeya y Parque Patricios,Av. Sáenz,Sáenz,densidad=17.67 locales/cuadra,densidad=17.666667 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,entre los ejes más densos,sí: 8.º mayor valor
R14 · Avenida Boedo,Boedo,Boedo,ocupacion=91.2 %,ocupacion=91.189427 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R14 · Avenida Boedo,Boedo,Boedo,variacion_interanual=-1.8 pp,variacion_interanual=-1.823673 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z37 · Almagro,Almagro,Almagro,ocupacion=94.5 %,ocupacion=94.472362 %,2026 (1er cuatrimestre),sí (redondeo publicado),entre los ejes más llenos,sí: 4.º mayor valor
Z37 · Almagro,Almagro,Almagro,variacion_interanual=-1 pp,variacion_interanual=-0.982184 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z38 · Caballito,Caballito,Caballito,ocupacion=96.7 %,ocupacion=96.721311 %,2026 (1er cuatrimestre),sí (redondeo publicado),entre los ejes más llenos,sí: 2.º mayor valor
Z38 · Caballito,Caballito,Caballito,variacion_interanual=-0.3 pp,variacion_interanual=-0.26499 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R15 · Avellaneda y pasaje comercial,Avellaneda,Avellaneda,ocupacion=94.6 %,ocupacion=94.594595 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R15 · Avellaneda y pasaje comercial,Avellaneda,Avellaneda,variacion_interanual=-0.2 pp,variacion_interanual=-0.225017 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R15 · Avellaneda y pasaje comercial,Avellaneda,Avellaneda,densidad=23.33 locales/cuadra,densidad=23.326087 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,mayor densidad de 48,sí: mayor valor
R16 · Enclave coreano,Flores Sur,Flores Sur,ocupacion=92.6 %,ocupacion=92.561983 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R16 · Enclave coreano,Flores Sur,Flores Sur,variacion_interanual=3.3 pp,variacion_interanual=3.305785 pp,2026 (1er cuatrimestre),sí (redondeo publicado),entre las mayores subas,sí: 3.ª mayor suba
R16 · Enclave coreano,Flores Sur,Flores Sur,densidad=20.17 locales/cuadra,densidad=20.166667 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,tercera mayor densidad de 48,sí: 3.º mayor valor
Z32 · Liniers,Liniers,Liniers,ocupacion=92.9 %,ocupacion=92.857143 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z32 · Liniers,Liniers,Liniers,variacion_interanual=0 pp,variacion_interanual=0.039463 pp,2026 (1er cuatrimestre),sí por redondeo; no para la lectura ‘sin movimiento’,,
Z32 · Liniers,Liniers,Liniers,densidad=18.2 locales/cuadra,densidad=18.2 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,sexta mayor densidad de 48,sí: 6.º mayor valor
Z33 · Mataderos,Mataderos,Mataderos,ocupacion=92.3 %,ocupacion=92.307692 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z33 · Mataderos,Mataderos,Mataderos,variacion_interanual=-1.4 pp,variacion_interanual=-1.386001 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z27 · Parque Avellaneda,Parque Avellaneda,Parque Avellaneda,ocupacion=77.8 %,ocupacion=77.777778 %,2026 (1er cuatrimestre),sí (redondeo publicado),peor ocupación de 48,sí: menor valor
Z27 · Parque Avellaneda,Parque Avellaneda,Parque Avellaneda,variacion_interanual=2.5 pp,variacion_interanual=2.453102 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z28 · Monte Castro,Monte Castro,Monte Castro,ocupacion=86.9 %,ocupacion=86.865672 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z28 · Monte Castro,Monte Castro,Monte Castro,variacion_interanual=-5.1 pp,variacion_interanual=-5.074627 pp,2026 (1er cuatrimestre),sí (redondeo publicado),quinta mayor caída de 48,sí: 5.ª mayor caída con valores exactos
Z28 · Monte Castro,Monte Castro,Monte Castro,densidad=18.61 locales/cuadra,densidad=18.611111 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,quinta mayor densidad de 48,sí: 5.º mayor valor
R18 · Devoto,Devoto,Devoto,ocupacion=88.1 %,ocupacion=88.125 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R18 · Devoto,Devoto,Devoto,variacion_interanual=-1.8 pp,variacion_interanual=-1.843652 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R18 · Devoto,Devoto,Devoto,densidad=16 locales/cuadra,densidad=16 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,,
Z39 · Villa Urquiza,Triunvirato,Triunvirato,ocupacion=92.1 %,ocupacion=92.128801 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z39 · Villa Urquiza,Triunvirato,Triunvirato,variacion_interanual=-1.3 pp,variacion_interanual=-1.275833 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z39 · Villa Urquiza,Triunvirato,Triunvirato,densidad=16.44 locales/cuadra,densidad=16.441176 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,,
R10 · García del Río,Cabildo,Cabildo,ocupacion=91.8 %,ocupacion=91.752577 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R10 · García del Río,Cabildo,Cabildo,variacion_interanual=-3.8 pp,variacion_interanual=-3.842136 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R11 · Belgrano,Cabildo,Cabildo,ocupacion=91.8 %,ocupacion=91.752577 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R11 · Belgrano,Cabildo,Cabildo,variacion_interanual=-3.8 pp,variacion_interanual=-3.842136 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R09 · Federico Lacroze,Chacarita,Chacarita,ocupacion=91.8 %,ocupacion=91.791045 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R09 · Federico Lacroze,Chacarita,Chacarita,variacion_interanual=-1.6 pp,variacion_interanual=-1.591308 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R09 · Federico Lacroze,Colegiales,Colegiales,ocupacion=91.2 %,ocupacion=91.213389 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R09 · Federico Lacroze,Colegiales,Colegiales,variacion_interanual=-0.4 pp,variacion_interanual=-0.38325 pp,2026 (1er cuatrimestre),sí (redondeo publicado),caída más chica de los ejes atribuidos por el documento,"no: Caballito cayó menos y Liniers subió 0,039463 puntos"
Z43 · Colegiales,Colegiales,Colegiales,ocupacion=91.2 %,ocupacion=91.213389 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z43 · Colegiales,Colegiales,Colegiales,variacion_interanual=-0.4 pp,variacion_interanual=-0.38325 pp,2026 (1er cuatrimestre),sí (redondeo publicado),sólo Caballito cayó menos y cuatro ejes subieron,"no: Liniers subió 0,039463 puntos; hubo cinco subas, no cuatro"
R20 · Palermo,Palermo Soho,Palermo Soho,ocupacion=87.3 %,ocupacion=87.311178 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R20 · Palermo,Palermo Soho,Palermo Soho,variacion_interanual=-1.4 pp,variacion_interanual=-1.412857 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
R08 · Villa Crespo,Villa Crespo,Villa Crespo,ocupacion=79.8 %,ocupacion=79.754601 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R08 · Villa Crespo,Villa Crespo,Villa Crespo,variacion_interanual=-9.1 pp,variacion_interanual=-9.134288 pp,2026 (1er cuatrimestre),sí (redondeo publicado),mayor caída de 48,sí: mayor caída
R19 · Chacarita,Chacarita,Chacarita,ocupacion=91.8 %,ocupacion=91.791045 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
R19 · Chacarita,Chacarita,Chacarita,variacion_interanual=-1.6 pp,variacion_interanual=-1.591308 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z42 · La Paternal,Warnes,Warnes,ocupacion=82.5 %,ocupacion=82.539683 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z42 · La Paternal,Warnes,Warnes,variacion_interanual=-6.8 pp,variacion_interanual=-6.830396 pp,2026 (1er cuatrimestre),sí (redondeo publicado),empate en tercer puesto entre mayores caídas,"no: Warnes es 3.º con -6,830396; Santa Fe y Callao es 4.º con -6,763471"
Z42 · La Paternal,Av. San Martín,Av. San Martín,ocupacion=88.9 %,ocupacion=88.888889 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Z42 · La Paternal,Av. San Martín,Av. San Martín,variacion_interanual=3.2 pp,variacion_interanual=3.174603 pp,2026 (1er cuatrimestre),sí (redondeo publicado),entre las mayores subas,sí: 4.ª mayor suba
Flores · casco histórico,Flores,Flores,ocupacion=90.5 %,ocupacion=90.540541 %,2026 (1er cuatrimestre),sí (redondeo publicado),,
Flores · casco histórico,Flores,Flores,variacion_interanual=-2.4 pp,variacion_interanual=-2.41184 pp,2026 (1er cuatrimestre),sí (redondeo publicado),,
Flores · casco histórico,Flores,Flores,densidad=15.24 locales/cuadra,densidad=15.235294 locales/frente de manzana,2026 (1er cuatrimestre),sí en valor redondeado; no en unidad publicada,,
