id,titulo,organismo,licencia,actualizado,recursos,formatos,tiene_coordenada,tiene_direccion,georreferenciable,palabras_gastro,palabras_local,columnas_sensibles,puntaje,columnas,url_portal
mapa-techos-solares,Mapa de Techos Amarillos,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-05-15,4,CSV GEOJSON XLSX ZIP,True,True,True,,local,,9,altura | barrio | calle | calle2 | capacidad | caracteris | comuna | direccion | direccion_ | edificio | energia_an | fecha_inst | foto | id_techo | link | proveedor | tipo_edifi | tipo_siste | tipo_techo | tnco2eq_an | wkt,https://data.buenosaires.gob.ar/dataset/mapa-techos-solares
mapa-techos-verdes,Mapa de Techos Verdes.,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-22,4,CSV GEOJSON XLSX ZIP,True,True,True,,local,,9,barrio | calle | calle_nro | comuna | direccion_ | edificio | fecha_inst | id_techo | proyecto | publico_pr | superficie | tipo_cubie | wkt,https://data.buenosaires.gob.ar/dataset/mapa-techos-verdes
organizadores-exposiciones,Organizadores de Exposiciones,Ente de Turismo (ENTUR),CC-BY-2.5-AR,2026-06-23,4,CSV XLSX,True,True,True,feria,,telefono,9,altura | barrio | calle | codigo postal | codigo postal argentino | comuna | correo electronico | latitud | longitud | nombre | periodo | piso / depto | sitio web | telefono,https://data.buenosaires.gob.ar/dataset/organizadores-exposiciones
arbolado-publico-lineal,Arbolado público lineal,Secretaria de Atención Ciudadana y Gestión Comunal,CC-BY-2.5-AR,2026-06-18,7,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,altura_arbol | altura_tot | ancho_acera | barrio | calle | calle_altura | calle_chapa | calle_nombre | chapa1 | chapa2 | codigo_man | comuna | diametro | diametro_altura_pecho | direccion_normalizada | estado_plantera | id_arbol | id_especie | inclinacio | lat | latitud | long | long_calle | longitud | manzana | nivel_plantera | nombre_cie | nombre_cientifico | nombre_com | nombre_fam | nombre_gen | nro_registro | origen | tipo_activ | tipo_folla | tipo_sitio | ttipo_folla | ubicacion | ubicacion_plantera,https://data.buenosaires.gob.ar/dataset/arbolado-publico-lineal
ba-diversa,BA Diversa,Ente de Turismo (ENTUR),CC-BY-2.5-AR,2025-05-13,2,CSV XLSX,True,True,True,,cultural negocio,,8,actividad_nombre | actividad_nombre	 | actividad_tipo | altura | ano | asistentes_cantidad | asistentes_cantidad	 | barrio | calle | cantidad_total | codigo_postal	 | codigo_postal_argentino | codigo_postal_argentino	 | comuna | descripcion | direccion_normalizada | direccion_sede | fecha_fin | fecha_inicio | festival | lat | lng | sede,https://data.buenosaires.gob.ar/dataset/ba-diversa
bicicleterias,Bicicleterías.,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,,,email mail telefono,8,altura | barrio | calle | calle2 | comuna | direccion | direccion_ | email | horario_de | id | mecanica_s | nombre | telefono | web | wkt,https://data.buenosaires.gob.ar/dataset/bicicleterias
cajones-para-carga-descarga,Cajones para Carga y Descarga,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,barrio | calle_altura | calle_nombre | codigo_postal | codigo_postal_argentino | comuna | direccion | lat | long,https://data.buenosaires.gob.ar/dataset/cajones-para-carga-descarga
cajones-para-estacionamiento-motos,Cajones para estacionamiento de motos,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,altura | barrio | calle | codigo_postal | codigo_postal_argentino | comuna | lat | long,https://data.buenosaires.gob.ar/dataset/cajones-para-estacionamiento-motos
carteles-escolares-semaforizados,Carteles Escolares Semaforizados,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,anio_inau | barrio | calle_altura | calle_nombre | codigo_postal | codigo_postal_argentino | comuna | dom_orig | fecha_fina | fecha_inau | horario | id_codigo | instala | lat | long | n_cruce | nro_nva | objeto | observ | origen,https://data.buenosaires.gob.ar/dataset/carteles-escolares-semaforizados
colonias-de-verano,Colonias de Verano,Secretaría General y Relaciones Internacionales,CC-BY-4.0,2026-04-21,4,CSV JSON XLSX ZIP,True,True,True,,establecimiento local,telefono,8,barrio | comuna | direccion | horario_at | id | inclusiva | nombre | telefono | wkt,https://data.buenosaires.gob.ar/dataset/colonias-de-verano
espacios-verdes,Espacios Verdes,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-07-06,18,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,alc_conven | apadrinada | area | barrio | boletin oficial | boletin_of | canil | clasificac | comuna | decreto | dgev_padri | estado | fech_padri | fecha boletin oficial | fecha de decreto | fecha de ley | fecha de ordenanza | fecha_bole | fecha_decr | fecha_orde | fuente 1 | fuente 2 | fuente 3 | fuente 4 | fuente_geo | fuente_ins | geometria | geometria (wkt) | id_ev_pub | identificador | identificador de objeto | ley | mant_2017 | manzana | nom_mapa | nombre | nombre del espacio verde | nombre original | nombre_ev | observacio,https://data.buenosaires.gob.ar/dataset/espacios-verdes
espacios-distrito-artes,Espacios del Distrito de las Artes,Ministerio de Hacienda y Finanzas,CC-BY-2.5-AR,2026-06-23,4,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,altura | barrio | categoria | codigo postal | codigo postal argentino | comuna | domicilio normalizado | identificador | latitud | longitud | nombre | nombre de la calle | sitio web o redes sociales,https://data.buenosaires.gob.ar/dataset/espacios-distrito-artes
estaciones-bicicletas-publicas,Estaciones Bicicletas Públicas.,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-07-03,10,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,altura | barrio | calle | capacidad | codigo_postal | codigo_postal_argentino | comuna | direccion | direccion_altura | direccion_completa | direccion_interseccion | direccion_nombre | direccion_normalizada | domicilio_estacion | emplazamiento | estado | horario_estacion | id_comet | id_estacion | lat | lat_estacion | latitud | lng | long | long_estacion | longitud | lugar | lunes_a_viernes | nombre | nombre_estacion | numero_de_estacion | observaciones | sa_do_fe | tipo_estacion | ubicacion,https://data.buenosaires.gob.ar/dataset/estaciones-bicicletas-publicas
garajes-comerciales,Garajes Comerciales,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,barrio | calle_altura | calle_nombre | codigo_postal | codigo_postal_argentino | comuna | lat | long | nombre | pisos_16 | smp | tipo1_16 | tipo2_16,https://data.buenosaires.gob.ar/dataset/garajes-comerciales
juegotecas-barriales,Juegotecas Barriales.,Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2026-06-22,4,CSV GEOJSON XLSX ZIP,True,True,True,,,mail telefono,8,barrio | categoria | comuna | destinatar | direccion | direccion_ | horario | id_usig | link_web | mail | nombre | nombre_org | telefono | tipo | wkt,https://data.buenosaires.gob.ar/dataset/juegotecas-barriales
metrobus,Metrobus,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-23,8,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,altura de plano | barrio | calle | comuna | direccion | latitud | linea 1 | linea 2 | linea 3 | linea 4 | linea 5 | linea 6 | longitud | metrobus | nombre de parada | nombre en mapa | sentido | sentido linea 1 | sentido linea 2 | sentido linea 3 | sentido linea 4 | sentido linea 5 | sentido linea 6 | tipo de calle,https://data.buenosaires.gob.ar/dataset/metrobus
nacimientos,Nacimientos.,Dirección General de Estadísticas y Censos,CC-BY-2.5-AR,2026-07-03,26,CSV XLSX,True,True,True,,establecimiento local,documento,8,altura | anio | barrio | calle | cant_nacidos_vivos | cantidad_nacidos_vivos | comuna | cp | cpa | cuenta | descripcion_subtipo | direccion_normalizada | edad_promedio | establecimiento_salud_nombre | fecha_nacimiento | genero_nacido | grupo_edad | hijo_fecha_nacimiento | hijo_genero | lat | local_ocurrencia | long | madre_nacionalidad | madre_tipo_documento | medadbu | minstrucbu | nivel_instruccion | padre_nacionalidad | padre_tipo_documento | pesonacbu | porc_nacidos_vivos | sexo | situacion_convivencia | tiemgestbu | tipparto,https://data.buenosaires.gob.ar/dataset/nacimientos
obras-registradas,Obras Registradas,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-07-28,4,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,acronimo | barrio | barrio	 | comuna | comuna	 | descripcio | expediente | fecha | id_registr | smp | ubicacion | wkt_1 | wkt_2,https://data.buenosaires.gob.ar/dataset/obras-registradas
venta-de-alimentos,Permisos para la venta de alimentos en el espacio público.,Secretaria de Atención Ciudadana y Gestión Comunal,Creative Commons Attribution,2026-03-13,2,CSV XLSX,True,False,True,alimento,permiso,documento titular,8,anio_expediente | barrio | categoria | codigo_postal | codigo_postal_argentino | comuna | fecha_dispo | fecha_vto_dispo | lat | locacion | long | nro_dispo | nro_documento | nro_expediente | tipo_documento | tipo_permiso | titular,https://data.buenosaires.gob.ar/dataset/venta-de-alimentos
programa-pasate-a-led,Programa Pasate a LED,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-23,9,CSV GEOJSON PDF XLSX ZIP,True,True,True,,,,8,ahorro_ene | altura | ano | calle | cant_hog | cant_lamp | cruce | direccion | dom_geo | dom_norma | emisiones | horario | id | lugar | mes | observ_pri | tipo | ubicacion | wkt,https://data.buenosaires.gob.ar/dataset/programa-pasate-a-led
programas-deportivos,Programas Deportivos,Vicejefatura de Gobierno,CC-BY-2.5-AR,2026-06-23,4,CSV GEOJSON XLSX ZIP,True,True,True,,,telefono,8,actividad | altura | barrio | calle | codigo postal | codigo postal argentino | comuna | correo electronico | cruce | facebook | geometria | horario | identificador | latitud | longitud | objeto | observaciones | programa | sede | sitio web | telefono | twitter,https://data.buenosaires.gob.ar/dataset/programas-deportivos
relevamiento-usos-suelo,Relevamiento Usos del Suelo,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-06-22,16,CSV GEOJSON PDF TXT XLSX ZIP,True,True,True,,,,8,ano | barrio | calle | calle_1 | calle_2 | chapa_visible | comuna | d21 | d31 | d41 | d51 | fecha | id | latitud | longitud | manzana | nombre | numero | parcela | parcelas_u | pisos | rama | rama1 | seccion | sm | smp | ss_rama | ss_rama1 | sub_rama1 | subrama | tipo1_16 | tipo2_16 | tipo_1 | tipo_2 | unificacio | zona,https://data.buenosaires.gob.ar/dataset/relevamiento-usos-suelo
transportes-autorizados-pasajeros,Transportes autorizados de pasajeros,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-24,18,CSV XLSX,True,True,True,,empresa habilitacion,apellido cuil cuit documento telefono titular,8,altura | apellido y nombre | barrio | calle | codigo postal | codigo postal argentino | comuna | cuit | cuit/cuil | direccion | domicilio legal | dominio | es titular | fecha de vencimiento | latitud | longitud | marca | matricula | modelo | nombre fantasia | numero | numero de documento | numero de habilitacion | papel de seguridad | periodo | piso | piso y departamento | razon social | telefono | tipo de documento | titular | titular de licencia | vencimiento de habilitacion,https://data.buenosaires.gob.ar/dataset/transportes-autorizados-pasajeros
ufus,Unidades Febriles de Urgencia,Ministerio de Salud,CC-BY-2.5-AR,2026-07-20,6,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,barrio | calle_altura | calle_nombre | canti_consultas_atendidas | canti_consultas_covid | canti_consultas_descartadas | canti_consultas_no_covid | canti_dom_caba | canti_dom_no_aplica | canti_dom_no_caba | canti_genero_f | canti_genero_m | canti_personas_ufu | canti_test_negativos | canti_test_pendientes | canti_test_positivos | canti_test_realizados | comuna | direccion normalizada | fecha | id_ufu | lat | latitud | long | longitud | nombre | rango_etario_0_9 | rango_etario_10_19 | rango_etario_20_29 | rango_etario_30_39 | rango_etario_40_49 | rango_etario_50_59 | rango_etario_60_69 | rango_etario_70_mas | rango_etario_sin_datos | ufu,https://data.buenosaires.gob.ar/dataset/ufus
veredas,Veredas.,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-22,8,CSV KML XLSX ZIP,True,True,True,,,,8,anchoequiv | area | clave_vere | comuna | esquina | id_calle_f | longitudeq | objectid | perimetro | smp,https://data.buenosaires.gob.ar/dataset/veredas
areas-de-proteccion-familiar-policia-de-la-ciudad,Áreas de Protección Familiar Policía de la Ciudad,Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2026-06-23,4,CSV GEOJSON XLSX ZIP,True,True,True,,,telefono,8,altura | area | barrio | calle | calle 2 | codigo postal | codigo postal argentino | comuna | direccion | latitud | longitud | nombre de la comisaria | telefonos,https://data.buenosaires.gob.ar/dataset/areas-de-proteccion-familiar-policia-de-la-ciudad
areas-proteccion-historica,Áreas de Protección Histórica,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-06-18,8,CSV GEOJSON XLSX ZIP,True,True,True,,,,8,1_altura | 1_calle | 1_direccio | 1_direccion | 2_altura | 2_calle | 2_direccio | 2_direccion | 3_altura | 3_calle | 3_direccio | 3_direccion | 4_altura | 4_calle | 4_direccio | 4_direccion | altura | aph_nro_y_nombre | barrio | calle | catalogaci | catalogacion | codigo_postal | codigo_postal_argentino | comuna | denominaci | denominacion | direccion_normalizada | estado | ficha_atla | ficha_facha | foto_adici | foto_cuadr | foto_facha | foto_frent | foto_manza | foto_plano | latitud | ley_3056 | longitud,https://data.buenosaires.gob.ar/dataset/areas-proteccion-historica
agricultura-urbana,Agricultura Urbana,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-04-09,2,CSV XLSX,True,True,True,,establecimiento,,7,barrio | calle_altura | calle_nombre | codigo_postal | codigo_postal_argentino | comuna | direccion | lat | long | lugar | tipo | tipo_establecimiento,https://data.buenosaires.gob.ar/dataset/agricultura-urbana
barrios-populares,Barrios Populares,Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2026-07-03,9,CSV JSON XLSX ZIP,True,True,True,,local,,7,alt_2013 | alt_2017 | area | barrio | extr_2017 | geometry | id | nombre | smp | tipo,https://data.buenosaires.gob.ar/dataset/barrios-populares
basilicas,Basílicas.,Secretaría General y Relaciones Internacionales,CC-BY-2.5-AR,2026-07-01,3,CSV XLSX ZIP,True,True,True,,local,mail telefono,7,altura | barrio | barrio	 | calle | codigo_postal | codigo_postal_argentino | codigo_postal_argentino	 | comuna | cruce | e_mail | id | lat | localidad | localidad	 | long | nombre | telefono | web,https://data.buenosaires.gob.ar/dataset/basilicas
boleto-estudiantil,Boleto Estudiantil.,Jefatura de Gabinete de Ministros,CC-BY-2.5-AR,2026-06-24,3,CSV XLSX,True,True,True,,empresa,,7,altura | barrio | calle | codigo postal | codigo postal argentino | comuna | dias y horario | direccion normalizada | empresa | latitud | linea | longitud,https://data.buenosaires.gob.ar/dataset/boleto-estudiantil
carteles-luminosos,Carteles Luminosos,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-23,2,CSV XLSX,True,True,True,,empresa,,7,barrio | comuna | conectividad | direccion | empresa | latitud | longitud,https://data.buenosaires.gob.ar/dataset/carteles-luminosos
centros-de-accion-familiar,Centros de Acción Familiar,Ministerio de Desarrollo Humano y Hábitat,CC-BY-4.0,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,cultural,email mail telefono,7,barrio | comuna | destinatar | direccion | email | geometry | id | nombre | telefono | web,https://data.buenosaires.gob.ar/dataset/centros-de-accion-familiar
centros-desarrollo-infantil,Centros de Desarrollo Infantil.,Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,establecimiento,mail telefono,7,barrio | categoria | comuna | direccion | direccion_ | horario | id_usig | link_web | mail | nombre | nombre_org | programa | telefono | tipo | wkt,https://data.buenosaires.gob.ar/dataset/centros-desarrollo-infantil
complejo-teatral,Complejo Teatral,Ministerio de Cultura,CC-BY-2.5-AR,2026-07-17,4,CSV XLSX,True,True,True,,local,,7,anio | autor | ba_con_vos_y_banco_ciudad | barrio | cartelera | clasificacion | club_nacion | codigo_postal | codigo_postal_argentino | comuna | coordenada_x | coordenada_y | descripcion | direcccion_obra | direccion_normalizada | discapacidad | id | jub_y_est | localidades_vendidas | mes | obra | periodo | sala | teatro | tipo_presentacion | titulo | version,https://data.buenosaires.gob.ar/dataset/complejo-teatral
elecciones-2013,Elecciones 2013,Subsecretaría de Justicia,CC-BY-2.5-AR,2025-08-25,6,CSV XLSX,True,True,True,,establecimiento,cuit,7,cantidad de mesas | cantidad de mesas	 | circuito | codigo | comuna | descripcion | direccion | distrito | establecimiento | lat | lng | mesa | mesa desde | mesa desde	 | mesa hasta | mesa hasta	 | votos,https://data.buenosaires.gob.ar/dataset/elecciones-2013
elecciones-2015,Elecciones 2015,Subsecretaría de Justicia,CC-BY-2.5-AR,2026-06-23,12,CSV PDF XLSX ZIP,True,True,True,,establecimiento,cuit,7,cargo_cod | cargo_codigo | cargo_descrip | cargo_descripcion | circuito_cod | circuito_codigo | direccion_normalizada | direccion_normalizada	 | establecimiento_codigo | establecimiento_direccion | establecimiento_nombre | extension | lat | long | mesa_desde | mesa_hasta | mesa_num | mesa_numero | mesa_sexo | mesas | mesas_cantidad | mesas_cantidad	 | mesas_total | nombre del archivo | num_cargo | numero_cargo | partido_cod | partido_codigo | partido_descrip | partido_descripcion | seccion_cod | seccion_codigo | tipo de archivo | total_votos,https://data.buenosaires.gob.ar/dataset/elecciones-2015
empresas-distrito-tecnologico,Empresas Distrito Tecnológico,Ministerio de Hacienda y Finanzas,CC-BY-2.5-AR,2026-06-18,3,CSV XLSX ZIP,True,True,True,,empresa,,7,altura | ano_de_i | ano_de_i	 | barrio | calle | calle2 | calle2	 | codigo_postal | codigo_postal	 | codigo_postal_argentino	 | comuna | comuna	 | fecha_de_i | grado_de_a | id | jurisdicci	 | lat | long | mes_de_i	 | nombre | origen | piso_dpto | piso_dpto	 | sector,https://data.buenosaires.gob.ar/dataset/empresas-distrito-tecnologico
empresas-desinfeccion-desinfestacion,Empresas de Desinfección y Desinfestación.,Agencia de Protección Ambiental,CC-BY-2.5-AR,2025-07-28,2,CSV XLSX,True,True,True,,empresa,apellido mail razon_social telefono,7,altura | barrio | calle | codigo_postal | codigo_postal_argentino | codigo_postal_argentino	 | comuna | e_mail | lat | long | piso_dpto | razon_social_o_apellido_y_nombre	 | telefono,https://data.buenosaires.gob.ar/dataset/empresas-desinfeccion-desinfestacion
empresas-limpieza-tanques-agua,Empresas de limpieza de tanques de agua.,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-18,2,CSV XLSX,True,True,True,,empresa,apellido mail razon_social telefono,7,altura | barrio | calle | codigo_postal | codigo_postal_argentino	 | comuna | e_mail | lat | long | piso_dpto | razon_social_o_apellido_y_nombre	 | telefono,https://data.buenosaires.gob.ar/dataset/empresas-limpieza-tanques-agua
estaciones-ferrocarril,Estaciones de Ferrocarril.,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-07-03,9,CSV GEOJSON KML XLSX ZIP,True,False,True,,local,,7,barrio | cartel | comuna | id | lat | linea | linea_2 | localidad | long | nombre | partido | ramal | sentido | wkt,https://data.buenosaires.gob.ar/dataset/estaciones-ferrocarril
hogares-permanentes,Hogares Permanentes,Ministerio de Desarrollo Humano y Hábitat,CC-BY-4.0,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,local,telefono,7,direccion | id | nombre | telefono | tipo | wkt,https://data.buenosaires.gob.ar/dataset/hogares-permanentes
infraestructura-gestion-residuos,Infraestructura de gestión de residuos,Ministerio de Espacio Público e Higiene Urbana,Creative Commons Attribution,2026-06-22,44,CSV XLSX ZIP,True,True,True,,empresa,,7,administra | alt_derfin | alt_derini | alt_izqfin | alt_izqini | altura | altura_1 | barrio | calle | calle2 | calle_1 | calle_n4 | cod_equipa | cod_ruta | codigo | codigo_p | codigo_po | comuna | comunas | direccion | empresa | id | id_calle | id_coop | id_cv | id_obj | id_punto_r | latitud | long | longitud | mas info | materiales | nom_map | nom_servic | nombre | nomoficial | ruta_der | ruta_izq | sentido | tipo_c,https://data.buenosaires.gob.ar/dataset/infraestructura-gestion-residuos
