orden,hito_id,nombre_capa,nombre_catalogo,direccion,vigencia_antes,vigencia_despues,nivel_antes,nivel_despues,cambia,verificado_por,citable_en_documento,detalle
37,H042,Confitería Ideal,CONFITERIA LA IDEAL,Suipacha 384,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
38,H090,Confiteria El Greco,CONFITERIA EL GRECO,Av. Rivadavia 5353,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
39,H043,Confiteria Saint Moritz,CONFITERIA SAINT MORITZ,Esmeralda 894,dudosa,si,v4,v4,True,relevamiento documental,False,probablemente_abierto v4 04/02/2026
44,H047,EL COLECCIONISTA,EL COLECCIONISTA,Av. Rivadavia 4929,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
45,H048,El Estano 1880,EL ESTANO 1880,Aristobulo del Valle 1100,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
48,H050,El Gato Negro,EL GATO NEGRO,Av. Corrientes 1669,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
49,H051,HIPOPOTAMO,EL HIPOPOTAMO,Brasil 401,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
50,H052,El Progreso,EL PROGRESO,Av. Montes de Oca 1700,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
51,H053,El Querandi,EL QUERANDI,Peru 302,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
57,H059,Bar Imperio,HOTEL SAVOY / BAR IMPERIO,Callao 181,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
58,H089,Josephina's Cafe,JOSEPHINA'S CAFE,Guido 1532,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
60,H061,LA BIELA,LA BIELA,Av. Quintana 600,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
62,H041,La Escuela,LA ESCUELA,Manuela Pedraza 2803,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
64,H066,La Flor de Barracas,LA FLOR DE BARRACAS,Suarez 2095,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
65,H067,LA GIRALDA,LA GIRALDA,Av. Corrientes 1453,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
66,H068,La Opera,LA OPERA,Av. Corrientes 1799,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
69,H026,LA POESIA,LA POESIA,Chile 502,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
70,H070,LA PUERTO RICO,LA PUERTO RICO,Alsina 420,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
72,H072,Le Caravelle,LE CARAVELLE,Lavalle 726,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
73,H073,London City,LONDON CITY,Av. de Mayo 599,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
75,H075,LOS GALGOS,LOS GALGOS,Av. Callao 501,si,si,,v2/v3 sin fecha individual,False,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
77,H077,Mar Azul,MAR AZUL,Tucuman 1700,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
78,H078,Miramar,MIRAMAR,Sarandi 1190,sin_verificar,si,,,True,relevamiento documental,False,verificado abierto 07/07/2026 · DOBLE REGISTRO: Bar Notable Y Restaurante Iconico
79,H027,Café Montecarlo,MONTECARLO BAR Y DESPENSA,Paraguay 5491,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
80,H029,CAFE PALACIO,MUSEO FOTOGRAFICO SIMIK,Av. Federico Lacroze 3901,sin_verificar,si,,,True,relevamiento documental,False,"ex Cafe Palacio, renombrado en el consolidado"
81,H079,8 ESQUINAS,OCHO ESQUINAS,Av. Forest 1186,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
82,H080,Paulin,PAULIN,Sarmiento 635,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
83,H081,Petit Colón,PETIT COLON,Libertad 505,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
85,H030,Plaza Café,PLAZA CAFE,Av. Rivadavia 4732,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
86,H032,Roma del Abasto,ROMA DEL ABASTO,Anchorena 806,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
87,H083,STYLO CAFE,STYLO CAFE,Fernandez de Enciso 3934,sin_verificar,si,,v2/v3 sin fecha individual,True,"Diego (DGDGAS), 08/08/2026",False,Verificacion humana directa: redes sociales y Google Maps.
