eje,zona,zona_origen,tramos,locales_relevados,locales_ocupados,cuadras,densidad_comercial_por_cuadra,tasa_ocupacion_pct,var_interrelevamiento_pp,var_interanual_pp,esta_en_el_atlas,que_es_en_el_atlas
Cuenca,Oeste,heredada del PDF,Av. Cuenca 2701-3499,274,258,16.0,17.12,94.2,1.1,0.7,NO — candidato a evaluar con las seis vias,
Devoto,Oeste,heredada del PDF,Lope de Vega 2801-3499 · Francisco Beiró 5201-5499,320,282,20.0,16.0,88.1,0.0,-1.8,parcial,
Flores,Oeste,heredada del PDF,Av. Rivadavia 6201-7399 · Av. Nazca 1-499,518,469,34.0,15.24,90.5,-3.3,-2.4,SI — Z23 casco historico,Z23 casco historico
Liniers,Oeste,heredada del PDF,Ramón Falcón 6801-7299,182,169,10.0,18.2,92.9,1.1,0.0,SI — E07 Mercado Andino,"E07 Mercado Andino — SIN CAIDA en la serie vigente (0,0 pp)"
Monte Castro,Oeste,heredada del PDF,Álvarez Jonte 4501-5399,335,291,18.0,18.61,86.9,-2.7,-5.1,parcial — El Fortin,El Fortin
Villa Crespo,Oeste,heredada del PDF,Aguirre 701-899 · Gurruchaga 701-999 · Loyola 601-799,163,130,14.0,11.64,79.8,-10.9,-9.1,SI,"R08 — LA MAYOR CAIDA INTERANUAL DE LOS 48 (-9,1 pp)"
Warnes,Oeste,heredada del PDF,Dorrego 1-299 · Warnes 701-1599,252,208,24.0,10.5,82.5,-6.2,-6.8,SI — entorno de R21,entorno de R21
Alberdi,Sur,heredada del PDF,Alberdi 3601-4099,117,112,10.0,11.7,95.7,2.6,3.4,NO — candidato a evaluar con las seis vias,NO ESTA EN NUESTRA MATRIZ · sube
Av. Patricios,Sur,heredada del PDF,Av. Reg. de los Patricios 301-999,144,127,14.0,10.29,88.2,1.1,1.1,NO — candidato a evaluar con las seis vias,
Boedo,Sur,heredada del PDF,Av. Boedo 701-1099 · Av. San Juan 3501-3699 · Independencia 3501-3699,227,207,16.0,14.19,91.2,-2.7,-1.8,SI,
Chilavert,Sur,heredada del PDF,Chilavert 6101-6999 · Guaminí 4801-4999,306,271,22.0,13.91,88.6,-1.7,-2.4,NO — candidato a evaluar con las seis vias,NO ESTA EN NUESTRA MATRIZ
Constitución,Sur,heredada del PDF,Brasil 1101-1299 · Lima 1601-1799 · Salta 1601-1799,139,125,12.0,11.58,89.9,-0.8,1.5,parcial,
Defensa,Sur,heredada del PDF,Defensa 801-1499,191,162,14.0,13.64,84.8,3.1,2.7,SI — R03 San Telmo,"R03 San Telmo — SUBE 2,7 pp en la serie vigente; su via E ya estaba en dos grupos"
Flores Sur,Sur,heredada del PDF,Varela 1101-1399,121,112,6.0,20.17,92.6,0.0,3.3,"SI — Bajo Flores, enclave coreano",Bajo Flores · enclave coreano
Mataderos,Sur,heredada del PDF,Av. Alberdi 5501-6299,221,204,16.0,13.81,92.3,0.0,-1.4,SI,
Montes de Oca,Sur,heredada del PDF,Montes de Oca 501-1199,146,131,14.0,10.43,89.7,-1.1,-1.9,"SI — P008 Barracas, corredor 280-1702",P008 Barracas · corredor 280-1702 y CCCA
Parque Avellaneda,Sur,heredada del PDF,Av. Alberdi 4301-4899,153,119,12.0,12.75,77.8,-0.3,2.5,parcial,"LA PEOR OCUPACION DE LOS 48 (77,8 %), pero sube 2,5 pp"
Parque Patricios,Sur,heredada del PDF,Av. Caseros 2601-2999 · La Rioja 1901-2199,204,182,14.0,14.57,89.2,-1.0,1.4,parcial,
Riestra,Sur,heredada del PDF,Murguiondo 4001-4399 · Riestra 5501-5799,201,171,14.0,14.36,85.1,-0.5,-0.6,NO — candidato a evaluar con las seis vias,NO ESTA EN NUESTRA MATRIZ
Sáenz,Sur,heredada del PDF,Sáenz 801-1399,212,185,12.0,17.67,87.3,-0.9,-1.5,"SI — Av. Saenz, capa de memoria (La Blanqueada)","Av. Saenz · La Blanqueada (1802-2017) · ~4,9 locales vacios por cuadra"
