hito_id,nombre,tipo,direccion,barrio,polo_mas_cercano_id,polo_mas_cercano,distancia_m,prioridad_de_inspeccion,calle_de_la_puerta,la_nombra_el_perimetro_escrito,la_calle_toca_el_borde,que_haria_falta,tramo_a_agregar_m,ha_del_borde_actual,locales_del_borde_actual,ha_si_se_extiende,locales_si_se_extiende,delta_ha,delta_locales,piezas_del_borde_actual,piezas_si_se_extiende,mismo_punto_que,borde_transitorio,borde_es_propio,perimetro_escrito_de_la_pagina
MIC-025,Caseros,MICHELIN,Avenida Caseros 486,Barracas,R11,Boulevard Caseros,54.1,a 250 m o menos,CASEROS AV.,si,si,extender sobre una calle que el perímetro escrito ya nombra,292,50.03,60,53.7,82,3.67,22,3,2,,no,si,"Av. Caseros entre Defensa y Bolivar. UNA CUADRA, maximo hasta Peru. NO llega a Montes de Oca."
DIR-010,Banchero,Pizzería emblemática,Suarez 396,Boca,Z52,La Boca · Almirante Brown y Necochea,54.1,a 250 m o menos,SUAREZ,si,si,extender sobre una calle que el perímetro escrito ya nombra,137,6.14,3,8.34,9,2.2,6,1,1,,no,si,"DELIMITACION LITERAL DE OBRA PUBLICA EN CURSO, enero de 2026: 'el tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria... aproximadamente 340 METROS LINEALES... desde la avenida Suar"
H037,Casa Watson,Bar Notable,Vuelta de Obligado 2072,Belgrano,R05,Belgrano,58.6,a 250 m o menos,VUELTA DE OBLIGADO,no,si,haría falta una calle que el perímetro escrito no nombra,259,39.65,343,43.42,349,3.77,6,6,6,,no,si,Perimetro vigente. Contiene el enclave E02 Barrio Chino.
H045,12 de octubre,Bar Notable,Bulnes 331,Almagro,R13,Abasto,58.6,a 250 m o menos,BULNES,no,si,haría falta una calle que el perímetro escrito no nombra,707,109.0,373,112.91,387,3.91,14,1,1,,no,si,Perimetro vigente. Contiene el enclave E01 Corredor Peruano.
MIC-046,Duhau Restaurante & Vinoteca,MICHELIN,Avenida Alvear 1661,Recoleta,Z46,Retiro,61.8,a 250 m o menos,ALVEAR,si,si,extender sobre una calle que el perímetro escrito ya nombra,248,467.14,715,470.67,723,3.53,8,1,1,,no,no,ABSORBE R18 POR DECISION 5. Nucleo institucional Plaza San Martin / Florida + corredor Arroyo (de Juncal y Esmeralda a Plaza Carlos Pellegrini) + CLUSTER COREANO-ASIATICO sobre Maipu / Esmeralda / Paraguay / M.T. de Alve
H077,Mar Azul,Bar Notable,Tucuman 1700,San Nicolas,R02,Avenida Corrientes,62.0,a 250 m o menos,TUCUMAN,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",37,49.67,354,51.24,366,1.57,12,1,1,,no,si,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.
H064,La Esquina de Anibal Troilo,Bar Notable,Paraguay 1500,Recoleta,R06,Recoleta,62.8,a 250 m o menos,PARAGUAY,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",254,140.52,714,145.13,739,4.61,25,1,1,,no,si,Perimetro vigente.
MG-0001,Mercado de San Telmo,Mercado/patio,Defensa 961,San Telmo,R03,San Telmo,64.2,a 250 m o menos,DEFENSA,si,si,extender sobre una calle que el perímetro escrito ya nombra,373,25.37,71,32.81,140,7.44,69,2,1,,no,si,Perimetro vigente. Nucleo en el entorno de Plaza Dorrego y Defensa.
MIC-047,Gioia Cocina Botánica,MICHELIN,Posadas 1350,Recoleta,Z46,Retiro,66.2,a 250 m o menos,POSADAS,no,si,haría falta una calle que el perímetro escrito no nombra,286,467.14,715,470.96,723,3.82,8,1,1,,no,no,ABSORBE R18 POR DECISION 5. Nucleo institucional Plaza San Martin / Florida + corredor Arroyo (de Juncal y Esmeralda a Plaza Carlos Pellegrini) + CLUSTER COREANO-ASIATICO sobre Maipu / Esmeralda / Paraguay / M.T. de Alve
H008,El Colonial,Bar Notable,Av. Belgrano 599,Monserrat,R12,Centro y Microcentro,71.3,a 250 m o menos,BELGRANO,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",129,184.12,1084,186.73,1096,2.61,12,5,5,,no,si,"Perimetro vigente. SE PISA CON Z47 MONSERRAT, que ahora entra por si solo."
MIC-055,Sottovoce,MICHELIN,Avenida del Libertador 1098,Recoleta,R06,Recoleta,71.8,a 250 m o menos,DEL LIBERTADOR AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",165,140.52,714,142.18,724,1.66,10,1,1,,no,si,Perimetro vigente.
H085,Varela Varelita,Bar Notable,Av. Scalabrini Ortiz 2102,Palermo,R01,Palermo,82.4,a 250 m o menos,"SCALABRINI ORTIZ, RAUL",no,si,haría falta una calle que el perímetro escrito no nombra,232,385.51,1916,390.09,1940,4.58,24,2,2,,no,si,"Se publica con el perimetro vigente. Subzonas identificadas: P091 Soho, P078 Hollywood, P065 Las Canitas, P073 Botanico, P087 Pacifico, P092 Villa Freud."
MIC-031,República del Fuego,MICHELIN,Juncal 2682,Recoleta,R06,Recoleta,85.1,a 250 m o menos,JUNCAL,no,si,haría falta una calle que el perímetro escrito no nombra,234,140.52,714,146.01,738,5.49,24,1,1,,no,si,Perimetro vigente.
MIC-008,Chuí,MICHELIN,Loyola 1250,Villa Crespo,R08,Villa Crespo,92.4,a 250 m o menos,LOYOLA,si,si,extender sobre una calle que el perímetro escrito ya nombra,418,335.46,823,344.07,837,8.61,14,4,3,,no,si,"Perimetro vigente. Ejes: Loyola, Thames, Aguirre."
H018,Boston City,Bar Notable,Florida 165 local 3,San Nicolas,R12,Centro y Microcentro,94.9,a 250 m o menos,FLORIDA,no,si,haría falta una calle que el perímetro escrito no nombra,1257,184.12,1084,191.06,1122,6.94,38,5,4,,no,si,"Perimetro vigente. SE PISA CON Z47 MONSERRAT, que ahora entra por si solo."
MIC-001,4ta Pared,MICHELIN,Habana 3499,Villa Devoto,R15,Devoto,97.7,a 250 m o menos,HABANA,no,si,haría falta una calle que el perímetro escrito no nombra,289,478.74,422,483.27,426,4.53,4,1,1,,no,si,Perimetro vigente. Nucleo en Plaza Arenales.
ICO-009,La Brigada,Restaurante Icónico,Estados Unidos 465,San Telmo,R03,San Telmo,99.8,a 250 m o menos,ESTADOS UNIDOS,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",253,25.37,71,31.51,128,6.14,57,2,2,,no,si,Perimetro vigente. Nucleo en el entorno de Plaza Dorrego y Defensa.
H062,La Buena Medida,Bar Notable,Suarez 101,Boca,Z52,La Boca · Almirante Brown y Necochea,106.5,a 250 m o menos,SUAREZ,si,si,extender sobre una calle que el perímetro escrito ya nombra,269,6.14,3,10.17,10,4.03,7,1,1,,no,si,"DELIMITACION LITERAL DE OBRA PUBLICA EN CURSO, enero de 2026: 'el tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria... aproximadamente 340 METROS LINEALES... desde la avenida Suar"
H014,Bar Quintino,Bar Notable,Carlos Calvo 4002,Boedo,R14,Avenida Boedo,110.0,a 250 m o menos,"CALVO, CARLOS",no,si,haría falta una calle que el perímetro escrito no nombra,830,179.46,245,186.58,253,7.12,8,1,1,,no,si,"Eje Av. Boedo. Envolvente actual: 245 locales, 179 ha."
H031,Café Roma,Bar Notable,Olavarria 409,Boca,Z52,La Boca · Almirante Brown y Necochea,110.9,a 250 m o menos,OLAVARRIA,si,si,extender sobre una calle que el perímetro escrito ya nombra,284,6.14,3,10.73,13,4.59,10,1,1,H032,no,si,"DELIMITACION LITERAL DE OBRA PUBLICA EN CURSO, enero de 2026: 'el tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria... aproximadamente 340 METROS LINEALES... desde la avenida Suar"
H032,Café Roma,Bar Notable,San Luis 3101,Boca,Z52,La Boca · Almirante Brown y Necochea,110.9,a 250 m o menos,SAN LUIS,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",129,6.14,3,8.6,10,2.46,7,1,2,H031,no,si,"DELIMITACION LITERAL DE OBRA PUBLICA EN CURSO, enero de 2026: 'el tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria... aproximadamente 340 METROS LINEALES... desde la avenida Suar"
H087,Cafe Rivas,Bar Notable,Estados Unidos 302,San Telmo,R04,Puerto Madero,122.4,a 250 m o menos,ESTADOS UNIDOS,no,si,haría falta una calle que el perímetro escrito no nombra,469,314.54,354,319.52,387,4.98,33,2,3,,no,si,"Perimetro vigente, diques."
H059,Bar Imperio,Bar Notable,Av. Callao 181,San Nicolas,R02,Avenida Corrientes,124.8,a 250 m o menos,CALLAO AV.,si,si,extender sobre una calle que el perímetro escrito ya nombra,537,49.67,354,55.72,389,6.05,35,1,1,,no,si,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.
DIR-023,El Ciervo,Heladería histórica,Carhue 124,Liniers,Z32,Liniers · Mercado Andino,128.9,a 250 m o menos,CARHUE,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",47,7.0,63,8.07,70,1.07,7,1,2,,no,si,"EJE: Jose Leon Suarez entre Ramon Falcon y Ventura Bosch, ~285 m medidos (284,0 segun el repo, ~300 segun Ciocoletto 2019). Transversales: Ramon Falcon, Ibarrola y Ventura Bosch. NO ES UN CUADRANTE: es un eje con transve"
H016,Bar Sur,Bar Notable,Estados Unidos 299,San Telmo,R04,Puerto Madero,129.2,a 250 m o menos,ESTADOS UNIDOS,no,si,haría falta una calle que el perímetro escrito no nombra,337,314.54,354,317.14,361,2.6,7,2,3,,no,si,"Perimetro vigente, diques."
H034,Cafe Thibon,Bar Notable,Montevideo 723,San Nicolas,R12,Centro y Microcentro,136.5,a 250 m o menos,MONTEVIDEO,no,si,haría falta una calle que el perímetro escrito no nombra,1070,184.12,1084,206.8,1241,22.68,157,5,4,,no,si,"Perimetro vigente. SE PISA CON Z47 MONSERRAT, que ahora entra por si solo."
DIR-019,El Trebol 1969,Pizzería emblemática,Av. Angel Gallardo 3,Almagro,R08,Villa Crespo,175.2,a 250 m o menos,"GALLARDO, ANGEL AV.",no,si,haría falta una calle que el perímetro escrito no nombra,319,335.46,823,341.68,852,6.22,29,4,4,,no,si,"Perimetro vigente. Ejes: Loyola, Thames, Aguirre."
DIR-001,La Americana,Pizzería emblemática,Av. Callao 83,San Nicolas,R12,Centro y Microcentro,186.6,a 250 m o menos,CALLAO AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",139,184.12,1084,187.69,1103,3.57,19,5,6,,no,si,"Perimetro vigente. SE PISA CON Z47 MONSERRAT, que ahora entra por si solo."
H047,El Coleccionista,Bar Notable,Av. Rivadavia 4929,Caballito,R10,Caballito,192.4,a 250 m o menos,RIVADAVIA,no,si,haría falta una calle que el perímetro escrito no nombra,509,225.36,508,243.83,537,18.47,29,2,2,,no,si,Perimetro vigente. Subzona premium sobre Av. Pedro Goyena.
H040,Clásica y moderna,Bar Notable,Av. Callao 892,Recoleta,R06,Recoleta,193.4,a 250 m o menos,CALLAO AV.,no,si,haría falta una calle que el perímetro escrito no nombra,648,140.52,714,151.26,745,10.74,31,1,1,,no,si,Perimetro vigente.
H017,Bar Via 71,Bar Notable,Viamonte 1771,San Nicolas,R02,Avenida Corrientes,204.7,a 250 m o menos,VIAMONTE,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",429,49.67,354,60.91,426,11.24,72,1,2,,no,si,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.
DIR-013,Pirilo,Pizzería emblemática,Defensa 821,San Telmo,R03,San Telmo,223.4,a 250 m o menos,DEFENSA,si,si,extender sobre una calle que el perímetro escrito ya nombra,515,25.37,71,36.89,171,11.52,100,2,1,,no,si,Perimetro vigente. Nucleo en el entorno de Plaza Dorrego y Defensa.
H088,El Portuario,Bar Notable,Pinzon 102,Boca,Z52,La Boca · Almirante Brown y Necochea,225.2,a 250 m o menos,PINZON,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",341,6.14,3,13.67,6,7.53,3,1,2,,no,si,"DELIMITACION LITERAL DE OBRA PUBLICA EN CURSO, enero de 2026: 'el tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria... aproximadamente 340 METROS LINEALES... desde la avenida Suar"
MIC-043,Corte Comedor,MICHELIN,Avenida Olazábal 1391,Belgrano,R05,Belgrano,233.8,a 250 m o menos,OLAZABAL,si,si,extender sobre una calle que el perímetro escrito ya nombra,381,39.65,343,48.72,369,9.07,26,6,6,,no,si,Perimetro vigente. Contiene el enclave E02 Barrio Chino.
H015,Bar Seddon,Bar Notable,Defensa 695,Monserrat,R04,Puerto Madero,238.0,a 250 m o menos,DEFENSA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",1047,314.54,354,340.04,546,25.5,192,2,2,,no,si,"Perimetro vigente, diques."
H046,El Buzón,Bar Notable,Esquiu 1393,Nueva Pompeya,Z40,Nueva Pompeya y Parque Patricios,255.7,más de 250 m,ESQUIU,no,si,haría falta una calle que el perímetro escrito no nombra,,69.06,112,,,,,5,,,no,si,Av. Caseros / Distrito Tecnologico + Av. Saenz / Mercado de Pompeya + Barrio Charrua.
MIC-014,La Alacena Trattoria,MICHELIN,Gascón 1401,Palermo,R01,Palermo,272.9,más de 250 m,GASCON,no,si,haría falta una calle que el perímetro escrito no nombra,,385.51,1916,,,,,2,,,no,si,"Se publica con el perimetro vigente. Subzonas identificadas: P091 Soho, P078 Hollywood, P065 Las Canitas, P073 Botanico, P087 Pacifico, P092 Villa Freud."
MG-0006,Patio de los Lecheros,Mercado/patio,Av. Tte. Gral. Donato Alvarez 175,Caballito,R10,Caballito,278.6,más de 250 m,"ALVAREZ, DONATO, TTE. GRAL.",no,si,haría falta una calle que el perímetro escrito no nombra,,225.36,508,,,,,2,,,no,si,Perimetro vigente. Subzona premium sobre Av. Pedro Goyena.
H021,Cafe Cortazar,Bar Notable,Jose Antonio Cabrera 3797,Palermo,Z37,Almagro,349.3,más de 250 m,,,,no se puede decidir: la dirección no resuelve contra el callejero,,60.9,207,,,,,2,,,no,si,"Nucleo Guardia Vieja-Bulnes + corredor Av. Corrientes 3500-4200 + nodo Rivadavia y Medrano. CUATRO LOCALES EN TRES CUADRAS DE GUARDIA VIEJA, dos de ellos enfrentados en la misma esquina (3601 y 3602)."
H026,La Poesia,Bar Notable,Chile 502,San Telmo,R03,San Telmo,357.9,más de 250 m,CHILE,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,25.37,71,,,,,2,,,no,si,Perimetro vigente. Nucleo en el entorno de Plaza Dorrego y Defensa.
H066,La Flor de Barracas,Bar Notable,Suarez 2095,Barracas,Z50,Barracas · Av. Montes de Oca,358.9,más de 250 m,SUAREZ,no,si,haría falta una calle que el perímetro escrito no nombra,,50.62,84,,,,,1,,,no,si,"Av. Montes de Oca, con establecimientos documentados con altura DESDE EL 280 HASTA EL 1702 sobre la misma avenida. Es continuidad medida en la propia fuente."
H056,El Viejo Buzon,Bar Notable,Neuquen 1100,Caballito,R10,Caballito,386.1,más de 250 m,NEUQUEN,no,si,haría falta una calle que el perímetro escrito no nombra,,225.36,508,,,,,2,,,no,si,Perimetro vigente. Subzona premium sobre Av. Pedro Goyena.
MG-0012,Patio Gastronomico Rodrigo Bueno,Mercado/patio,Av. Espana 2230,Boca,R04,Puerto Madero,407.3,más de 250 m,ESPAÑA AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,314.54,354,,,,,2,,,no,si,"Perimetro vigente, diques."
PAT-001,Pena Los Amigos / Bar El Chino,Patrimonio normativo,Beazley 3566,Nueva Pompeya,Z40,Nueva Pompeya y Parque Patricios,423.9,más de 250 m,BEAZLEY,no,si,haría falta una calle que el perímetro escrito no nombra,,69.06,112,,,,,5,,,no,si,Av. Caseros / Distrito Tecnologico + Av. Saenz / Mercado de Pompeya + Barrio Charrua.
ICO-008,Il Matterello,Restaurante Icónico,Martín Rodríguez 517,Boca,Z52,La Boca · Almirante Brown y Necochea,449.2,más de 250 m,"RODRIGUEZ, MARTIN",no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,6.14,3,,,,,1,,,no,si,"DELIMITACION LITERAL DE OBRA PUBLICA EN CURSO, enero de 2026: 'el tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria... aproximadamente 340 METROS LINEALES... desde la avenida Suar"
H004,Bar Boca a Boca,Bar Notable,Av. Benito Perez Galdos 201,Boca,R04,Puerto Madero,450.1,más de 250 m,"PEREZ GALDOS, BENITO AV.",no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,314.54,354,,,,,2,,,no,si,"Perimetro vigente, diques."
H030,Plaza Café,Bar Notable,Av. Rivadavia 4732,Caballito,R10,Caballito,453.2,más de 250 m,RIVADAVIA,no,si,haría falta una calle que el perímetro escrito no nombra,,225.36,508,,,,,2,,,no,si,Perimetro vigente. Subzona premium sobre Av. Pedro Goyena.
H024,Cafe de los Angelitos,Bar Notable,Av. Rivadavia 2100,Balvanera,R02,Avenida Corrientes,463.9,más de 250 m,RIVADAVIA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,49.67,354,,,,,1,,,no,si,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.
H199,Yiyo el Zeneize,Mercado/patio,Av. Eva Peron 4402,Parque Avellaneda,Z39,Parque Avellaneda,515.0,más de 250 m,"PERON, EVA AV.",no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,75.26,11,,,,,1,,,no,si,Anillo del Parque Avellaneda sobre Av. Olivera y Av. Lacarra.
H048,El Estano 1880,Bar Notable,Aristobulo del Valle 1100,Boca,Z50,Barracas · Av. Montes de Oca,525.0,más de 250 m,"VALLE, ARISTOBULO DEL",no,si,haría falta una calle que el perímetro escrito no nombra,,50.62,84,,,,,1,,,no,si,"Av. Montes de Oca, con establecimientos documentados con altura DESDE EL 280 HASTA EL 1702 sobre la misma avenida. Es continuidad medida en la propia fuente."
DIR-022,Tino,Heladería histórica,Av. Diaz Velez 4520,Caballito,R08,Villa Crespo,569.9,más de 250 m,DIAZ VELEZ AV.,no,si,haría falta una calle que el perímetro escrito no nombra,,335.46,823,,,,,4,,,no,si,"Perimetro vigente. Ejes: Loyola, Thames, Aguirre."
MIC-056,Narda Comedor,MICHELIN,Mariscal Antonio José de Sucre 664,Belgrano,R07,Costanera Norte,607.3,más de 250 m,,,,no se puede decidir: la dirección no resuelve contra el callejero,,38.5,67,,,,,4,,,no,si,Perimetro vigente.
ICO-004,El Puentecito,Restaurante Icónico,Luján 2101,Barracas,Z51,"Barracas · Iriarte, California y Vieytes",622.8,más de 250 m,LUJAN,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,5.83,12,,,,,1,,,no,si,"Racimo real documentado sobre Av. Iriarte 2100-2300, con extension a Vieytes y California."
H028,Café Olimpo,Bar Notable,Irigoyen 1491,Monte Castro,Z28,Monte Castro,638.3,más de 250 m,IRIGOYEN,si,no,el perímetro nombra la calle pero la calle no llega al borde: la extensión quedaría suelta,,28.73,69,,,,,1,,,no,si,"Av. Alvarez Jonte aproximadamente entre el 4400 y el 5299, con nodo en el cruce con Av. Lope de Vega."
DIR-015,San Carlos,Pizzería emblemática,Av. Rivadavia 4548,Caballito,Z37,Almagro,645.3,más de 250 m,RIVADAVIA,si,si,extender sobre una calle que el perímetro escrito ya nombra,,60.9,207,,,,,2,,,no,si,"Nucleo Guardia Vieja-Bulnes + corredor Av. Corrientes 3500-4200 + nodo Rivadavia y Medrano. CUATRO LOCALES EN TRES CUADRAS DE GUARDIA VIEJA, dos de ellos enfrentados en la misma esquina (3601 y 3602)."
MIC-054,Kōnā,MICHELIN,Castañeda 1899,Belgrano,R07,Costanera Norte,652.5,más de 250 m,CASTAÑEDA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,38.5,67,,,,,4,,,no,si,Perimetro vigente.
H036,Cafetabac,Bar Notable,Av. del Libertador 2300,Palermo,R06,Recoleta,654.9,más de 250 m,DEL LIBERTADOR AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,140.52,714,,,,,1,,,no,si,Perimetro vigente.
DIR-024,Saverio Helados,Heladería histórica,Av. San Juan 2809,San Cristobal,R14,Avenida Boedo,665.4,más de 250 m,SAN JUAN AV.,no,si,haría falta una calle que el perímetro escrito no nombra,,179.46,245,,,,,1,,,no,si,"Eje Av. Boedo. Envolvente actual: 245 locales, 179 ha."
H007,Bar del Glorias,Bar Notable,Andalgala 1982,Mataderos,Z33,Mataderos,666.8,más de 250 m,ANDALGALA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,43.99,17,,,,,1,,,si,si,Feria y Mercado de Hacienda (Av. Lisandro de la Torre y Av. de los Corrales) + El Cedron a mas de un kilometro + notables dispersos. Eje comercial IDECBA corregido: Av. Alberdi 5501-6299.
DIR-011,El Cedron,Pizzería emblemática,Av. Juan B. Alberdi 6101,Mataderos,Z33,Mataderos,691.2,más de 250 m,"ALBERDI, JUAN BAUTISTA AV.",no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,43.99,17,,,,,1,,,si,si,Feria y Mercado de Hacienda (Av. Lisandro de la Torre y Av. de los Corrales) + El Cedron a mas de un kilometro + notables dispersos. Eje comercial IDECBA corregido: Av. Alberdi 5501-6299.
H065,La Farmacia,Bar Notable,Av. Directorio 2400,Flores,R10,Caballito,792.4,más de 250 m,DIRECTORIO AV.,no,si,haría falta una calle que el perímetro escrito no nombra,,225.36,508,,,,,2,,,no,si,Perimetro vigente. Subzona premium sobre Av. Pedro Goyena.
H001,9 de Julio,Bar Notable,Larrazabal 1276,Mataderos,Z33,Mataderos,887.6,más de 250 m,LARRAZABAL,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,43.99,17,,,,,1,,,si,si,Feria y Mercado de Hacienda (Av. Lisandro de la Torre y Av. de los Corrales) + El Cedron a mas de un kilometro + notables dispersos. Eje comercial IDECBA corregido: Av. Alberdi 5501-6299.
MIC-052,Casa Palanti,MICHELIN,Ortiz de Ocampo 2901,Palermo,R06,Recoleta,903.9,más de 250 m,ORTIZ DE OCAMPO,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,140.52,714,,,,,1,,,no,si,Perimetro vigente.
DIR-025,Napoli,Heladería histórica,Av. Entre Rios 1167,San Cristobal,R11,Boulevard Caseros,1076.0,más de 250 m,ENTRE RIOS AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,50.03,60,,,,,3,,,no,si,"Av. Caseros entre Defensa y Bolivar. UNA CUADRA, maximo hasta Peru. NO llega a Montes de Oca."
MIC-058,Casa Cavia,MICHELIN,Cavia 2985,Palermo,R07,Costanera Norte,1094.5,más de 250 m,CAVIA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,38.5,67,,,,,4,,,no,si,Perimetro vigente.
ICO-012,Miramar,Restaurante Icónico,Av. San Juan 1999,San Cristobal,R11,Boulevard Caseros,1153.9,más de 250 m,SAN JUAN AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",,50.03,60,,,,,3,,,no,si,"Av. Caseros entre Defensa y Bolivar. UNA CUADRA, maximo hasta Peru. NO llega a Montes de Oca."
