concentracion_id,concentracion_nombre,ha,n_locales_medidos,n_locales_de_la_capa,polo,polo_nombre,estado,pct_de_la_concentracion_dentro,ha_de_la_concentracion_fuera,polos_que_toca,n_polos_que_toca,polo_es_transitorio
P053,Av. La Plata y Av. Pedro Goyena°,61.31,202,196,R10,Caballito,mayormente dentro,73.6,16.21,R10,1,no
P054,Caballito · Av. Rivadavia y Curapaligüe°,4.44,38,45,R10,Caballito,toca el borde,20.5,3.53,R10,1,no
P055,Balvanera · Av. La Rioja e Independencia°,8.52,36,40,,,fuera de todo polo,0.0,8.52,,0,no
P056,Caballito · Av. Rivadavia y Acoyte°,74.34,250,210,R10,Caballito,mayormente dentro,54.1,34.09,R10,1,no
P057,Caballito · Av. La Plata y Av. Rivadavia°,26.2,97,105,,,fuera de todo polo,0.0,26.2,,0,no
P058,Flores · Av. Carabobo y Av. Directorio°,11.39,53,46,,,fuera de todo polo,0.0,11.39,,0,no
P059,Flores · Av. Nazca y Av. Rivadavia°,6.08,43,48,,,fuera de todo polo,0.0,6.08,,0,no
P060,Casco Histórico de Flores,5.85,36,43,,,fuera de todo polo,0.0,5.85,,0,no
P061,Flores · Av. Rivadavia y Varela°,6.93,44,54,,,fuera de todo polo,0.0,6.93,,0,no
P062,San Juan y Boedo,42.85,131,129,R14,Avenida Boedo,mayormente dentro,67.9,13.77,R14,1,no
P063,Av. Gaona y Ángel Gallardo (Caballito y Villa Crespo)°,67.54,187,182,R08,Villa Crespo,mayormente dentro,71.9,19.01,R08 R21,2,no
P064,Palermo · Plaza Italia y Av. del Libertador°,9.12,39,45,,,fuera de todo polo,0.0,9.12,,0,no
P065,Las Cañitas,82.04,361,361,R01,Palermo,contenida,100.0,0.0,R01 R19,2,no
P066,Av. Montes de Oca,18.02,62,65,Z50,Barracas · Av. Montes de Oca,mayormente dentro,61.0,7.02,Z50,1,no
P067,Bajo Núñez,7.32,41,49,Z41,Nunez,contenida,100.0,0.0,Z41,1,no
P068,Polo gastronómico Chacarita,40.14,169,156,R19,Federico Lacroze,mayormente dentro,85.6,5.76,R19 R09 Z43 Z44,4,no
P069,Belgrano · Echeverría y Conde°,7.59,39,42,,,fuera de todo polo,0.0,7.59,,0,no
P070,Saavedra · Av. Cabildo y Ramallo°,5.66,44,50,Z41,Nunez,toca el borde,39.8,3.41,Z41,1,no
P071,Colegiales · Federico Lacroze y Zapiola°,5.82,37,44,R19,Federico Lacroze,contenida,100.0,0.0,R19 Z43,2,no
P072-1,Núñez · Av. Cabildo y Crisólogo Larralde°,5.11,38,43,Z41,Nunez,mayormente dentro,94.6,0.27,Z41 R20,2,no
P072-2,Colegiales · Av. Cabildo y Federico Lacroze°,7.11,55,63,Z43,Colegiales,mayormente dentro,57.2,3.04,Z43 R19,2,no
P072-3,Belgrano R,5.08,38,40,,,fuera de todo polo,0.0,5.08,,0,no
P072-4,Belgrano C,39.05,242,212,R05,Belgrano,toca el borde,40.5,23.25,R05,1,no
P072-5,Belgrano · Av. Cabildo y Virrey del Pino°,5.87,48,48,Z43,Colegiales,mayormente dentro,50.5,2.9,Z43 R05,2,no
P072-6,Barrio Chino,7.74,143,146,R05,Belgrano,mayormente dentro,61.7,2.96,R05,1,no
P072-7,Barrancas de Belgrano,3.14,59,68,R05,Belgrano,contenida,100.0,0.0,R05,1,no
P073,Palermo Botánico,39.19,207,207,,,fuera de todo polo,0.0,39.19,,0,no
P074,Villa Crespo · eje Av. Corrientes°,7.84,51,58,R08,Villa Crespo,contenida,100.0,0.0,R08,1,no
P075,Chacarita · Av. Dorrego y Bonpland°,11.2,59,61,R19,Federico Lacroze,mayormente dentro,96.8,0.36,R19 R09,2,no
P076,Palermo · Bustamante y Mario Bravo°,29.18,154,156,,,fuera de todo polo,0.0,29.18,,0,no
P077,Polo gastronómico Villa Crespo,8.6,53,60,R08,Villa Crespo,contenida,99.0,0.08,R08,1,no
P078,Palermo Hollywood,102.61,595,585,R01,Palermo,contenida,100.0,0.0,R01 R19 R09 R08 Z43,5,no
P079,Villa Crespo · Estado de Israel y Ángel Gallardo°,5.69,58,66,R08,Villa Crespo,toca el borde,12.6,4.97,R08,1,no
P080,Villa Crespo · Av. Corrientes y Scalabrini Ortiz°,3.53,34,44,R08,Villa Crespo,contenida,100.0,0.0,R08,1,no
P081,Villa Crespo · Aguirre y Scalabrini Ortiz°,11.23,68,74,R08,Villa Crespo,contenida,100.0,0.0,R08,1,no
P082,Abasto · Humahuaca y Guardia Vieja,42.4,171,160,R13,Abasto,mayormente dentro,87.1,5.47,R13 Z37,2,no
P083,Almagro · Perón y Gascón°,5.67,40,47,Z37,Almagro,toca el borde,22.3,4.4,Z37,1,no
P084,Almagro · Av. Rivadavia y Medrano°,27.12,127,119,Z37,Almagro,mayormente dentro,51.2,13.22,Z37,1,no
P085,Balvanera · Av. Entre Ríos e Independencia°,8.77,48,53,,,fuera de todo polo,0.0,8.77,,0,no
P086,Eje Av. Córdoba · Almagro y Palermo°,7.95,53,54,,,fuera de todo polo,0.0,7.95,,0,no
P087,Palermo Pacífico,5.8,47,56,,,fuera de todo polo,0.0,5.8,,0,no
P088,Palermo · Gascón y Honduras°,7.79,69,76,,,fuera de todo polo,0.0,7.79,,0,no
P090+P089,Palermo · eje Av. Santa Fe°,18.54,108,104,R01,Palermo,mayormente dentro,68.5,5.84,R01,1,no
P091,Palermo Soho,92.36,772,728,R01,Palermo,contenida,100.0,0.0,R01 R08,2,no
P092,Villa Freud,11.71,79,79,,,fuera de todo polo,0.0,11.71,,0,no
P093,Abasto,27.27,171,169,R13,Abasto,mayormente dentro,85.1,4.05,R13,1,no
P094,Monserrat · Lima y México°,6.37,44,51,,,fuera de todo polo,0.0,6.37,,0,no
P095,Recoleta · Av. Las Heras y Av. Callao°,8.54,55,52,R06,Recoleta,mayormente dentro,70.5,2.52,R06,1,no
P096,La Isla (Recoleta),3.86,35,41,R06,Recoleta,contenida,100.0,0.0,R06,1,no
P097,Recoleta · Av. Pueyrredón y Junín°,7.56,55,53,R06,Recoleta,mayormente dentro,67.8,2.44,R06,1,no
P098,Recoleta · Plaza Francia,12.54,111,115,R06,Recoleta,mayormente dentro,92.7,0.92,R06,1,no
P100,Avenida de Mayo · tramo Congreso,12.21,109,116,R12,Centro y Microcentro,mayormente dentro,95.8,0.51,R12 Z47,2,no
P101+P099,Congreso,36.93,175,130,,,fuera de todo polo,0.0,36.93,,0,no
P102,Bulevar Caseros,3.94,33,42,R11,Boulevard Caseros,toca el borde,21.3,3.1,R11 R03,2,no
P103,San Telmo,47.46,351,342,R03,San Telmo,toca el borde,13.8,40.92,R03 R04,2,no
P104,Alto Palermo,24.85,141,121,,,fuera de todo polo,0.0,24.85,,0,no
P105,Barrio Norte · Agüero y Laprida°,5.28,39,48,R06,Recoleta,toca el borde,21.1,4.17,R06,1,no
P106,Barrio Norte · Av. Pueyrredón y Av. Santa Fe,34.21,225,198,R06,Recoleta,toca el borde,30.2,23.87,R06 Z35 R13,3,no
P107,Balvanera · Junín y Pasteur°,10.79,84,86,Z35,Balvanera · Once,toca el borde,0.7,10.72,Z35,1,no
P108,Monserrat · Av. Belgrano y Perú°,18.56,134,129,R12,Centro y Microcentro,toca el borde,27.0,13.54,R12,1,no
P109,Av. Callao entre Córdoba y Paraguay°,3.29,34,41,,,fuera de todo polo,0.0,3.29,,0,no
P110,Barrio Norte · Av. Santa Fe y Av. Callao,16.3,132,112,R06,Recoleta,mayormente dentro,86.2,2.24,R06,1,no
P111,Avenida de Mayo · tramo Plaza de Mayo,14.89,173,170,Z47,Monserrat y Congreso,mayormente dentro,56.3,6.5,Z47 R12,2,no
P112,San Nicolás · Uruguay y Paraná°,5.63,60,66,R12,Centro y Microcentro,mayormente dentro,73.3,1.5,R12 R02 Z46,3,no
P113,Av. Corrientes · tramo teatral,28.01,226,200,R02,Avenida Corrientes,mayormente dentro,73.9,7.32,R02 R12,2,no
P114,Tribunales,5.22,59,64,R02,Avenida Corrientes,contenida,100.0,0.0,R02 R12,2,no
P115,Retiro · Reconquista y San Martín°,4.27,56,65,Z46,Retiro,contenida,100.0,0.0,Z46 R12,2,no
P116,Microcentro,19.27,199,187,R12,Centro y Microcentro,mayormente dentro,61.5,7.41,R12 R02 Z46,3,no
P117,Microcentro · Florida y Galerías Pacífico,15.13,152,131,R12,Centro y Microcentro,mayormente dentro,89.7,1.55,R12 Z46,2,no
P118,Retiro · Esmeralda y Paraguay°,13.94,147,136,Z46,Retiro,contenida,100.0,0.0,Z46 R12,2,no
