referencia,nombre,eje_idecba,tramo,locales_del_tramo_dentro,locales_del_tramo_total,tasa_ocupacion_pct,var_interanual_pp,decia_esta_en_el_atlas,veredicto
(calibracion),,Avellaneda,Avellaneda 2701-3799 · Bogotá 2901-3499 · Aranguren 2901-3499,,5,,,NO — candidato a evaluar con las seis vias,la sonda lo ve
(calibracion),,Caballito,Acoyte 1-199 · Av. Rivadavia 4401-5499 · José Maria Moreno 1-99,,12,,,SI,la sonda lo ve
(calibracion),,Corrientes y Medrano,Av. Corrientes 3601-4799,,9,,,NO — candidato a evaluar con las seis vias,la sonda lo ve
(calibracion),,Corrientes y Scalabrini Ortiz,Av. Corrientes 5201-5699 · Scalabrini Ortiz 201-799,,6,,,NO — candidato a evaluar con las seis vias,la sonda lo ve
(calibracion),,Cuenca,Av. Cuenca 2701-3499,,11,,,NO — candidato a evaluar con las seis vias,la sonda lo ve
(calibracion),,Devoto,Lope de Vega 2801-3499 · Francisco Beiró 5201-5499,,6,,,parcial,la sonda lo ve
(calibracion),,Flores,Av. Rivadavia 6201-7399 · Av. Nazca 1-499,,6,,,SI — Z23 casco historico,la sonda lo ve
(calibracion),,Liniers,Ramón Falcón 6801-7299,,0,,,SI — E07 Mercado Andino,LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Monte Castro,Álvarez Jonte 4501-5399,,4,,,parcial — El Fortin,la sonda lo ve
(calibracion),,Villa Crespo,Aguirre 701-899 · Gurruchaga 701-999 · Loyola 601-799,,4,,,SI,la sonda lo ve
(calibracion),,Warnes,Dorrego 1-299 · Warnes 701-1599,,2,,,SI — entorno de R21,LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Alberdi,Alberdi 3601-4099,,0,,,NO — candidato a evaluar con las seis vias,LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Av. Patricios,Av. Reg. de los Patricios 301-999,,0,,,NO — candidato a evaluar con las seis vias,LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Boedo,Av. Boedo 701-1099 · Av. San Juan 3501-3699 · Independencia 3501-3699,,3,,,SI,la sonda lo ve
(calibracion),,Chilavert,Chilavert 6101-6999 · Guaminí 4801-4999,,5,,,NO — candidato a evaluar con las seis vias,la sonda lo ve
(calibracion),,Constitución,Brasil 1101-1299 · Lima 1601-1799 · Salta 1601-1799,,9,,,parcial,la sonda lo ve
(calibracion),,Defensa,Defensa 801-1499,,14,,,SI — R03 San Telmo,la sonda lo ve
(calibracion),,Flores Sur,Varela 1101-1399,,0,,,"SI — Bajo Flores, enclave coreano",LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Mataderos,Av. Alberdi 5501-6299,,0,,,SI,LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Montes de Oca,Montes de Oca 501-1199,,2,,,"SI — P008 Barracas, corredor 280-1702",LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Parque Avellaneda,Av. Alberdi 4301-4899,,0,,,parcial,LA SONDA NO LO VE - menos de 3 locales matchean en toda la base
(calibracion),,Parque Patricios,Av. Caseros 2601-2999 · La Rioja 1901-2199,,7,,,parcial,la sonda lo ve
(calibracion),,Riestra,Murguiondo 4001-4399 · Riestra 5501-5799,,4,,,NO — candidato a evaluar con las seis vias,la sonda lo ve
(calibracion),,Sáenz,Sáenz 801-1399,,6,,,"SI — Av. Saenz, capa de memoria (La Blanqueada)",la sonda lo ve
R11,Boulevard Caseros,Constitución,brasil 1101-1299,,,,,,"misma calle, alturas 379.0-780.0 contra 1101-1299: no solapa"
R11,Boulevard Caseros,Constitución,brasil av 1101-1299,,,,,,"misma calle, alturas 359.0-359.0 contra 1101-1299: no solapa"
R11,Boulevard Caseros,Parque Patricios,caseros 2601-2999,,,,,,"misma calle, alturas 430.0-799.0 contra 2601-2999: no solapa"
R11,Boulevard Caseros,Defensa,defensa 801-1499,,,,,,"misma calle, alturas 1501.0-1757.0 contra 801-1499: no solapa"
R11,Boulevard Caseros,Montes de Oca,"montes de oca, manuel 501-1199",,,,,,"misma calle, alturas 95.0-101.0 contra 501-1199: no solapa"
R11,Boulevard Caseros,Constitución,salta 1601-1799,,,,,,"misma calle, alturas 1998.0-1998.0 contra 1601-1799: no solapa"
