ID,Fuente,Grupo,Qué aporta,Acceso real,API/open data,Legalidad/riesgo,Granularidad,Cobertura CABA,Costo,Esfuerzo técnico,Valor DataGastro,Factibilidad,Riesgo legal,Prioridad,Camino recomendado,Acción concreta Diego,URL,Puntaje
MP01,Mercado Pago APIs / Point / QR / Reportes,Pagos / actividad económica,"Pagos presenciales y online de comercios adheridos: cantidad de transacciones, montos, ticket promedio, medios de pago, sucursales/cajas/QR/Point. Es una de las mejores señales de actividad económica si se consigue agregada.",API oficial para cuentas propias o integraciones; datos de toda CABA requieren convenio con Mercado Pago.,Sí para merchant/integrador; no para datos agregados públicos.,"Bajo con convenio, agregación y anonimización; proteger datos fiscales/comerciales.",Comercio/caja/QR si autorizado; ideal comuna-rubro-mes.,Muy alta potencialmente.,Convenio/institucional,Alto por privacidad/negociación,5,3,2,Muy alta,"Pedir dashboard/CSV mensual anonimizado: actividad gastronómica por comuna/rubro, no datos personales ni CUIT visibles.",Escalar como fuente F08 candidata: 'actividad económica real agregada'. Pedir sponsor político/institucional para convenio.,https://www.mercadopago.com.ar/developers/es/reference,2.95
ML01,Mercado Libre Marketplace,E-commerce / proveedores,"Oferta de equipamiento, insumos y productos gastronómicos; puede servir para precios de referencia de insumos/equipamiento, no para medir restaurantes activos.","APIs de marketplace públicas/para desarrolladores, pero valor indirecto.","Sí, con foco marketplace.",Bajo vía API; evitar scraping.,Publicación/producto/vendedor.,"Alta para vendedores/productos, no necesariamente locales gastronómicos.",Bajo,Medio,2,3,2,Baja,No mezclar con universo de restaurantes. Usar sólo si surge línea de costos/insumos.,"Dejarlo en backlog, no en MVP.",https://developers.mercadolibre.com.ar/,1.6
P01,"Adquirentes y redes de pago: Prisma/Payway, Fiserv, Getnet, MODO, Naranja X, bancos",Pagos / consumo agregado,"Transacciones por rubro, monto, ticket promedio, tarjetas nacionales/extranjeras, temporalidad, impacto de eventos y zonas de consumo.",Sólo convenio; no API pública para gobierno.,No pública.,"Medio: requiere anonimización, umbrales mínimos y aprobación legal.",Comuna/rubro/semana o mes; nunca persona ni tarjeta.,Muy alta si se suman varios adquirentes.,Convenio/comercial,Alto,5,2,3,Alta,Mesa institucional con Banco Ciudad + procesadores para dataset agregado recurrente.,Pedir a jefa si existe vínculo con Banco Ciudad/Desarrollo Económico para abrir conversación de datos agregados de consumo gastronómico.,,2.3
POS01,"Sistemas POS gastronómicos: Fudo, Maxirest, Bistrosoft, Tango/Dragonfish, etc.",Ventas operativas / restaurantes,"Ventas, comandas, ticket promedio, ocupación de mesas, productos vendidos, horarios pico. Excelente para pilotos voluntarios.",Convenio con proveedores o restaurantes opt-in.,Depende del proveedor.,Bajo con consentimiento; medio por sensibilidad comercial.,Local-día/hora si autorizado; ideal agregado.,"Alta en locales profesionalizados, menor en pequeños.",Convenio/piloto,Medio,5,3,2,Alta,"Piloto con 20 locales voluntarios de distintos barrios. No pedir facturación individual pública, sino indicadores agregados.",Preguntar internamente si BA Capital Gastronómica tiene restaurantes aliados dispuestos a participar.,,2.95
RES01,"Reservas online: Meitre, OpenTable, Resy, TheFork, plataformas locales",Reservas / ocupación,"Reservas, no-shows, ocupación, anticipación, horarios pico, tamaño de grupo.",Convenio/opt-in con plataforma o locales.,Variable.,Bajo con agregación/consentimiento.,Local-franja horaria; ideal barrio/semana.,Media; concentrada en restaurantes con reserva.,Convenio,Medio,4,3,2,Media-alta,"Fuente complementaria para gastronomía de mesa, no delivery.",Identificar 2-3 plataformas usadas por restaurantes de CABA y pedir reunión exploratoria.,,2.5
SOC01,Instagram / Meta Graph API,Social / reputación / promoción,"Señales de presencia digital, publicaciones propias de comercios que autoricen, hashtags/campañas, engagement de cuentas institucionales.",Limitado: APIs para cuentas propias/autorizadas y ciertos endpoints. Scraping de perfiles públicos no recomendable.,"Sí, pero restringida.",Medio-alto si se intenta scraping; bajo con cuentas opt-in/campañas.,Cuenta/post autorizado; hashtag/campaña.,"Alta visualmente, baja si se exige vía API oficial.",Bajo,Medio,3,2,4,Media,"Usar para campañas y eventos, no como padrón de locales.","Si hay campañas oficiales, pedir que los comercios etiqueten cuenta/hashtag estándar para medir alcance.",https://developers.facebook.com/docs/instagram-platform/,1.15
SOC02,TikTok Research API / Commercial Content API,Social / tendencias,"Videos por keywords/hashtags, métricas de vistas/likes/comentarios/compartidos, región del creador, fechas. Útil para tendencias gastronómicas, no para locales activos.",API oficial pero con acceso/revisión y límites; Research API depende de elegibilidad.,"Sí, restringida.",Bajo si se usa API; medio por privacidad/términos.,"Video/hashtag/creator, no local georreferenciado confiable.",Indirecta.,Bajo/según acceso,Medio,3,2,2,Media-baja,"Usar para 'tendencias culinarias' y repercusión de eventos, no para actividad económica dura.","Armar keywords oficiales: 'BA Capital Gastronómica', 'Distrito del Vino', 'Caminos y Sabores', barrios y eventos.",https://developers.tiktok.com/doc/research-api-specs-query-videos,1.65
GT01,Google Trends,Demanda / interés digital,"Interés de búsqueda por términos como 'restaurante palermo', 'cafetería de especialidad', cocinas, eventos o barrios.",Interfaz pública y librerías no oficiales; API oficial pública limitada/no estándar.,No API oficial estable para pipeline.,Bajo para análisis manual; medio para scraping automático.,Término-zona-tiempo; no local.,"Buena para tendencias, no para padrón.",Gratis,Bajo-medio,3,3,2,Media,"Indicador de demanda/marketing en informes, no fuente maestra.",Listar 20 keywords y validar si Google Trends permite CABA/AMBA o sólo Argentina.,https://trends.google.com/,2.05
MOB01,"Operadoras móviles: Movistar/Telefónica, Personal/Telecom, Claro",Movilidad / flujo de personas,"Flujo peatonal agregado, visitantes únicos, origen/destino, permanencia por zonas, impacto de eventos y turismo.",Convenio comercial/institucional; datos anonimizados y agregados.,No pública.,"Medio-alto: privacidad, anonimización, umbrales y marco legal.",Celda/zona/hora agregada; nunca individuo.,Muy alta si hay convenio.,Comercial/convenio,Alto,5,2,4,Alta estratégica,No para MVP; sí para medir impacto de eventos y zonas gastronómicas con datos agregados.,Preguntar si el GCBA ya tiene convenio con alguna telco para movilidad urbana/turismo.,,2.05
MOB02,Waze for Cities / movilidad vial,Movilidad / accesibilidad,"Tráfico, incidentes y velocidad vial. No mide consumo gastronómico, pero ayuda a analizar accesibilidad e impacto de eventos.",Programa de intercambio con ciudades.,Programa/partner.,Bajo-medio con convenio.,Segmento vial/evento.,Alta si la Ciudad ya participa.,Programa/convenio,Medio,2,3,2,Baja-media,"Complemento de movilidad, no fuente gastronómica principal.",Consultar a movilidad/BA Data si ya reciben Waze for Cities.,https://www.waze.com/wazeforcities/,1.6
MOV01,SUBE / transporte público agregado,Movilidad / afluencia,Flujos de pasajeros cercanos a zonas/eventos; sirve para contexto de demanda territorial.,Convenios interjurisdiccionales y/o datasets agregados existentes.,Parcial; depende de fuente.,Medio por privacidad si se solicita granular.,Estación/parada/línea-tiempo agregada.,Alta.,Convenio,Medio,3,3,3,Media,"Usar para contexto de accesibilidad, no como consumo.",Consultar a equipo de movilidad/BA Data qué datos SUBE agregados tienen disponibles.,,1.8
INT01,Padrón vivo de habilitaciones / AGC interno,Gobierno / base maestra,"Estado actualizado de habilitaciones, bajas, titulares, rubros, inspecciones si se integra. Es la fuente más importante para pasar de aprobaciones históricas a locales vigentes.",Interno GCBA/AGC; requiere gestión.,No necesariamente público.,"Bajo dentro de gobierno, con tratamiento adecuado de datos sensibles.",Trámite/local/habilitación.,Completa formal.,Interno,Medio-alto por acceso,5,4,2,Muy alta,Prioridad antes de sumar fuentes privadas: conseguir padrón vivo/estado actual para no confundir aprobaciones históricas con locales activos.,Pedir a jefa contacto AGC y preguntar específicamente por campo de estado vigente/baja/fecha de cese y rubro normalizado.,,3.35
INT02,Permisos de área gastronómica / mesas y sillas (F06),Gobierno / espacio público,"Uso de espacio público por comercios gastronómicos, superficie/mesas/sillas, permisos activos, ubicación.",Ya identificado como fuente candidata; falta integrar dataset operativo.,Puede existir en GCBA/área interna.,Bajo-medio.,Permiso/local/dirección.,Alta para locales con área gastronómica.,Interno,Medio,5,4,2,Muy alta,Debe ser el próximo F06 oficial antes de convenios privados.,"Pedir archivo/base operativo con permisos vigentes, histórico, dirección, superficie y estado.",,3.35
INT03,AGIP / Ingresos Brutos agregados por rubro,Gobierno / actividad económica,"Actividad económica declarada por rubro y territorio si existe agregación segura: cantidad de contribuyentes, facturación imponible agregada, altas/bajas.",Interno/convenio interárea; no público a nivel contribuyente.,No pública.,Alto si hay CUIT o secreto fiscal; viable sólo agregado con umbrales.,Comuna/rubro/mes agregado.,Muy alta formal.,Interno,Alto por legalidad,5,2,5,Alta estratégica,"Pedir indicadores agregados, nunca base nominal.",Formular pedido como 'serie estadística agregada por comuna y rubro gastronómico' con umbral mínimo de comercios por celda.,,1.8
INT04,Eventos GCBA + permisos/eventbrite/ticketing,Eventos / impacto,"Calendario, ubicación, asistentes estimados/reales, expositores, ventas o tickets si existieran, relación con comercios cercanos.",Interno y/o convenios con plataformas.,Parcial.,Bajo-medio.,Evento/día/lugar.,Alta para eventos oficiales; parcial para privados.,Interno/convenio,Medio,4,4,2,Alta,Fortalecer F04: pasar de relevamiento manual a tabla operativa de eventos oficiales.,Pedir a Dirección una planilla estándar obligatoria para cada evento gastronómico.,,2.9
REV01,Webs de restaurantes / menús / Schema.org,Precios / oferta,"Menús, rangos de precios, tipos de cocina, reservas, links de delivery y horarios publicados.",Scraping cuidadoso de sitios propios y datos estructurados; requiere revisión legal/robots.,No uniforme.,"Medio: respetar robots.txt, términos y frecuencia; preferir datos propios/opt-in.",Local / item menú.,Media.,Bajo,Alto por limpieza,3,2,3,Baja-media,No para MVP; podría servir para índice de precios/cocinas si hay opt-in.,No arrancar con scraping masivo; primero armar estándar voluntario de carga de menú.,,1.4
SCR01,Scraping Rappi/PedidosYa/Google Maps,Técnica no recomendada,"Podría listar locales, menús, precios y disponibilidad visibles públicamente.","Técnicamente posible, institucionalmente riesgoso.",No oficial.,"Alto: términos de servicio, bloqueos, reputación institucional, datos no auditables.",Local/item.,"Alta si funciona, pero frágil.","Bajo técnico, alto legal/reputacional",Alto,4,1,5,No hacer,No pedir a Codex scraping de plataformas privadas para una entrega institucional. Reemplazar por convenios o APIs oficiales.,"Si alguien lo propone, pedir dictamen legal y permiso explícito antes.",,0.95
SURV01,Formulario voluntario a restaurantes / cámaras / BA Capital Gastronómica,Datos declarativos opt-in,"Estado activo, capacidad, mesas, empleados, canales de venta, delivery, reservas, POS usado, interés en programas, consentimiento para compartir datos.",Totalmente viable desde el área.,Formulario / CRM.,Bajo con consentimiento y política de privacidad.,Local individual.,Depende de difusión; ideal con cámaras y programas.,Bajo,Bajo,4,5,1,Muy alta,Crear F06/F07 opt-in de comercios activos; permite validar Google/Rappi/PedidosYa/POS.,Armar formulario simple de 15 campos y pedir a jefa aprobación para enviarlo a aliados.,,3.55
NEWS01,Noticias/web pública sobre aperturas/cierres,Señales blandas,"Aperturas, cierres, rankings, nuevas tendencias, notas de prensa.",Web pública y monitoreo manual/automatizado con alertas.,Variable.,"Bajo si se almacena cita/resumen, no contenido completo.",Evento/local/noticia.,Parcial y sesgada a lugares mediáticos.,Bajo,Bajo-medio,2,4,2,Baja,"Usar como capa de monitoreo cualitativo, no estadística central.","Crear Google Alerts para 'abre restaurante CABA', 'cierra restaurante Palermo', eventos gastronómicos BA.",https://news.google.com/,2.0
