pagina,render,metodo_inspeccion,hallazgo,estado
26,render_conduccion/pagina_26.png,"render 150 dpi, página por página",R11: tramo corto; no se extiende a Barracas.,OK
27,render_conduccion/pagina_27.png,"render 150 dpi, página por página",R12: cinco areas separadas y rotuladas.,OK
28,render_conduccion/pagina_28.png,"render 150 dpi, página por página","Ampliacion R12: aporta zoom y rotulos, pero se parece mucho al mapa principal. Ya estaba declarado en la V2.1.",OBSERVACION
29,render_conduccion/pagina_29.png,"render 150 dpi, página por página","Ficha doble R13/R14. R13 publica los tres tramos con su minimo, sin destacar ninguno.",OK
30,render_conduccion/pagina_30.png,"render 150 dpi, página por página",R13: forma suavizada con trazo punteado de area declarada.,OK
31,render_conduccion/pagina_31.png,"render 150 dpi, página por página",R14: eje de Boedo continuo a lo largo de la avenida.,OK
32,render_conduccion/pagina_32.png,"render 150 dpi, página por página",Ficha doble R15/R16. R16 aclara que 'DoHo' es un apodo y no el nombre.,OK
33,render_conduccion/pagina_33.png,"render 150 dpi, página por página",R15: polo de Devoto con sus huecos internos.,OK
34,render_conduccion/pagina_34.png,"render 150 dpi, página por página","Ampliacion R15: no hay trazado propio del nucleo en el corpus, asi que la vista repite el polo completo. Declarado tambien en la V2.1.",OBSERVACION
35,render_conduccion/pagina_35.png,"render 150 dpi, página por página",R16: doble eje con Donado y Holmberg rotuladas.,OK
36,render_conduccion/pagina_36.png,"render 150 dpi, página por página",Ficha doble R17/R18. R17 nombra los tres ejes y explica por que el mapa ubica uno.,OK
37,render_conduccion/pagina_37.png,"render 150 dpi, página por página",R17: se dibuja el unico eje con recorrido cerrado; Monroe y Congreso como calles de referencia.,OK
38,render_conduccion/pagina_38.png,"render 150 dpi, página por página","R18: circulo de consulta de 400 m, sin punto central, con trazo punteado.",OK
39,render_conduccion/pagina_39.png,"render 150 dpi, página por página","Ficha doble R19/R20. Las dos dicen el estado de los locales en castellano, sin la etiqueta de origen.",OK
40,render_conduccion/pagina_40.png,"render 150 dpi, página por página","R19: dos tramos independientes, rotulados y sin union artificial. Los rotulos de Federico Lacroze y Alvarez Thomas se cruzan en el vertice; heredado de la V2.1.",OBSERVACION
41,render_conduccion/pagina_41.png,"render 150 dpi, página por página",Ampliacion R19: los dos tramos con su zona de contacto junto a Cabildo.,OK
42,render_conduccion/pagina_42.png,"render 150 dpi, página por página",R20: banda con esquinas ablandadas y extremos planos preservados.,OK
43,render_conduccion/pagina_43.png,"render 150 dpi, página por página",Ampliacion R20: el parque se distingue del tramo. 'Av. Garcia del Rio' se cruza con el rotulo de area; heredado de la V2.1.,OBSERVACION
44,render_conduccion/pagina_44.png,"render 150 dpi, página por página","Ficha doble R21/R22. R21 nombra el sector oeste por el territorio, no por su codigo interno.",OK
45,render_conduccion/pagina_45.png,"render 150 dpi, página por página",R21: tres piezas; sin puntos de anclaje dibujados.,OK
46,render_conduccion/pagina_46.png,"render 150 dpi, página por página","R22: marco de relevamiento rotulado como marco, no como area gastronomica.",OK
47,render_conduccion/pagina_47.png,"render 150 dpi, página por página","Tabla de consulta 1 de 2: once filas que llenan la pagina, encabezados en castellano, sin colision entre columnas.",OK
48,render_conduccion/pagina_48.png,"render 150 dpi, página por página","Tabla de consulta 2 de 2: once filas, mismo criterio.",OK
49,render_conduccion/pagina_49.png,"render 150 dpi, página por página","Cierre en media carilla, como pide el encargo. Es la unica pagina con mas de un cuarto de alto libre y lo esta por decision editorial, no por falta de contenido.",OBSERVACION
