referencia_id,pagina_mapa,linea,texto_publicado,campos_de_origen,tipo
R15,35,Qué no es,La periferia del polo no está definida con precisión y la lectura no se extiende a Villa Pueyrredón ni a Villa del Parque.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R16,37,Qué muestra este mapa,"El área aproximada del doble eje de Donado y Holmberg, con la oferta repartida en tramos.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R16,37,Qué mide la cifra,"40 locales relevados, contando una sola vez los repetidos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R16,37,Qué no es,No forma un área única ni queda incluida en Villa Urquiza.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]",principal
R17,39,Qué muestra este mapa,"El área aproximada de Villa Urquiza. De sus tres calles —Triunvirato, Monroe y Congreso— el mapa ubica la de Triunvirato, la única con recorrido cerrado en el material disponible.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 BLOQUEADO-02",principal
R17,39,Qué mide la cifra,"189 locales relevados, contando una sola vez los repetidos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 BLOQUEADO-02",principal
R17,39,Qué no es,"Villa Urquiza no incluye a Donado–Holmberg, que es una zona aparte.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 BLOQUEADO-02",principal
R18,40,Qué muestra este mapa,El círculo de 400 metros con que se consultó el cruce de Esmeralda y Paraguay.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; regla_construccion GA-R18-CS07; DECISIONES_AUTONOMAS_V2 D-5a",principal
R18,40,Qué mide la cifra,"Al menos 216 locales. Es un mínimo: puede haber más, no menos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; regla_construccion GA-R18-CS07; DECISIONES_AUTONOMAS_V2 D-5a",principal
R18,40,Qué no es,"El círculo es el radio con que se consultó la zona, no un centro demostrado.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; regla_construccion GA-R18-CS07; DECISIONES_AUTONOMAS_V2 D-5a",principal
R19,42,Qué muestra este mapa,"Los dos tramos de Federico Lacroze: entre Libertador y Cabildo, y entre Cabildo y Álvarez Thomas.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R19,42,Qué mide la cifra,"Al menos 211 locales. Al momento del relevamiento, 204 estaban abiertos y 7 cerrados de forma temporaria.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R19,42,Qué no es,Los dos tramos se relevaron por separado y sus números no se suman; la zona no se mezcla con Chacarita.,"edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R20,44,Qué muestra este mapa,"El tramo de García del Río, entre Cabildo y Parque Saavedra, con oferta continua y de escala modesta.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; observaciones GC-R20-BASE",principal
R20,44,Qué mide la cifra,"Al menos 40 locales. Es un mínimo: puede haber más, no menos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; observaciones GC-R20-BASE",principal
R20,44,Qué no es,"El tramo no sigue antes de Cabildo ni dentro del parque, y no alcanza para hablar de un corredor.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; observaciones GC-R20-BASE",principal
R21,47,Qué muestra este mapa,"El área aproximada de La Paternal, extensa y con la oferta repartida.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R21,47,Qué mide la cifra,"Al menos 254 locales. Al momento del relevamiento, 242 estaban abiertos y 12 cerrados de forma temporaria.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R21,47,Qué no es,"No tiene un centro demostrado ni un contorno definido, y el borde con Villa Crespo sigue siendo parte de La Paternal.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo",principal
R22,48,Qué muestra este mapa,"El marco con que se relevó Villa Pueyrredón, con la oferta repartida por todo el barrio.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; rol GC-R22-FRAME; DECISIONES_AUTONOMAS_V2 D-5b",principal
R22,48,Qué mide la cifra,"Al menos 158 locales. Es un mínimo: puede haber más, no menos. No equivale a locales abiertos hoy.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; rol GC-R22-FRAME; DECISIONES_AUTONOMAS_V2 D-5b",principal
R22,48,Qué no es,"El contorno es el marco con que se relevó el barrio, no un área gastronómica: la mayor densidad del centro y centro este es una descripción, no un núcleo adoptado.","edición técnica · mismo bloque, en castellano llano: caracterizacion[0]; cifra; detalle_cuantitativo[0]; rol GC-R22-FRAME; DECISIONES_AUTONOMAS_V2 D-5b",principal
R01,9,Qué muestra este mapa,"Palermo Soho ampliado, una de las tres partes de Palermo. Alrededor, las avenidas del entorno; en gris, las otras partes de Palermo que alcanzan a verse.","página nueva de la edición de conducción (S-03); parte declarada en la fuente cartográfica de R01, sin cifra ni geometría nuevas",detalle
R01,9,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"página nueva de la edición de conducción (S-03); parte declarada en la fuente cartográfica de R01, sin cifra ni geometría nuevas",detalle
R01,9,Qué no es,Palermo Soho no representa por sí solo a todo Palermo.,"página nueva de la edición de conducción (S-03); parte declarada en la fuente cartográfica de R01, sin cifra ni geometría nuevas",detalle
R01,10,Qué muestra este mapa,"Palermo Hollywood ampliado, una de las tres partes de Palermo. Alrededor, las avenidas del entorno; en gris, las otras partes de Palermo que alcanzan a verse.","página nueva de la edición de conducción (S-03); parte declarada en la fuente cartográfica de R01, sin cifra ni geometría nuevas",detalle
R01,10,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"página nueva de la edición de conducción (S-03); parte declarada en la fuente cartográfica de R01, sin cifra ni geometría nuevas",detalle
R01,10,Qué no es,Palermo Hollywood no representa por sí solo a todo Palermo.,"página nueva de la edición de conducción (S-03); parte declarada en la fuente cartográfica de R01, sin cifra ni geometría nuevas",detalle
R01,11,Qué muestra este mapa,"Las Cañitas ampliada, una de las tres partes de Palermo. Alrededor, las avenidas del entorno; en gris, las otras partes de Palermo que alcanzan a verse.","edición técnica · mismo bloque, en castellano llano: complementarias[R01]; caracterizacion[0] de R01",detalle
R01,11,Qué mide la cifra,No se hizo un conteo propio de esta zona.,"edición técnica · mismo bloque, en castellano llano: complementarias[R01]; caracterizacion[0] de R01",detalle
R01,11,Qué no es,Las Cañitas no representa por sí sola a todo Palermo.,"edición técnica · mismo bloque, en castellano llano: complementarias[R01]; caracterizacion[0] de R01",detalle
R02,13,Qué muestra este mapa,"La avenida Corrientes y el polo de Abasto en un mismo mapa, para ver cómo se ubican uno respecto del otro.","edición técnica · mismo bloque, en castellano llano: complementarias[R02]; limitaciones_especificas de R02 y R13",detalle
R02,13,Qué mide la cifra,Ninguna de las dos zonas tiene un conteo propio.,"edición técnica · mismo bloque, en castellano llano: complementarias[R02]; limitaciones_especificas de R02 y R13",detalle
R02,13,Qué no es,Estar cerca no las convierte en una sola zona.,"edición técnica · mismo bloque, en castellano llano: complementarias[R02]; limitaciones_especificas de R02 y R13",detalle
R08,23,Qué muestra este mapa,Los tres puntos de Villa Crespo donde el relevamiento llegó a su tope y no pudo seguir contando.,"edición técnica · mismo bloque, en castellano llano: complementarias[R08]; SATURACIONES_RESIDUALES_CATEGORY_SPLIT_V4_4.csv",detalle
R08,23,Qué mide la cifra,646 locales relevados en Villa Crespo; en esos tres puntos el conteo quedó incompleto.,"edición técnica · mismo bloque, en castellano llano: complementarias[R08]; SATURACIONES_RESIDUALES_CATEGORY_SPLIT_V4_4.csv",detalle
R08,23,Qué no es,"Los tres círculos marcan un límite del relevamiento, no una concentración de oferta.","edición técnica · mismo bloque, en castellano llano: complementarias[R08]; SATURACIONES_RESIDUALES_CATEGORY_SPLIT_V4_4.csv",detalle
R12,30,Qué muestra este mapa,"Las áreas del Centro y el Microcentro ampliadas, cada una con su nombre.","edición técnica · mismo bloque, en castellano llano: complementarias[R12]; detalle_cuantitativo[0] de R12",detalle
R12,30,Qué mide la cifra,Al menos 797 locales distintos en el conjunto; 143 de ellos están dentro de dos áreas a la vez.,"edición técnica · mismo bloque, en castellano llano: complementarias[R12]; detalle_cuantitativo[0] de R12",detalle
R12,30,Qué no es,"Los números de las áreas no se suman ni se ordenan de mayor a menor, porque comparten locales.","edición técnica · mismo bloque, en castellano llano: complementarias[R12]; detalle_cuantitativo[0] de R12",detalle
R15,36,Qué muestra este mapa,Devoto ampliado. Su núcleo se organiza alrededor de Plaza Arenales.,"edición técnica · mismo bloque, en castellano llano: complementarias[R15]; caracterizacion[0] de R15; DECISIONES_AUTONOMAS_V2 BLOQUEADO-03",detalle
R15,36,Qué mide la cifra,"119 locales relevados, contando una sola vez los repetidos.","edición técnica · mismo bloque, en castellano llano: complementarias[R15]; caracterizacion[0] de R15; DECISIONES_AUTONOMAS_V2 BLOQUEADO-03",detalle
R15,36,Qué no es,"No hay un trazado propio del núcleo, así que el mapa muestra el polo completo.","edición técnica · mismo bloque, en castellano llano: complementarias[R15]; caracterizacion[0] de R15; DECISIONES_AUTONOMAS_V2 BLOQUEADO-03",detalle
R19,43,Qué muestra este mapa,"Los dos tramos de Federico Lacroze de cerca, con la zona donde se tocan, junto a Cabildo.","edición técnica · mismo bloque, en castellano llano: complementarias[R19]; denominador_metodo de R19",detalle
R19,43,Qué mide la cifra,Al menos 211 locales en el conjunto; cada tramo se relevó por separado y sus números no se suman.,"edición técnica · mismo bloque, en castellano llano: complementarias[R19]; denominador_metodo de R19",detalle
R19,43,Qué no es,Que los tramos se toquen no prueba que la oferta sea continua entre ellos.,"edición técnica · mismo bloque, en castellano llano: complementarias[R19]; denominador_metodo de R19",detalle
R20,45,Qué muestra este mapa,"El extremo de García del Río junto a Parque Saavedra, con el parque señalado.","edición técnica · mismo bloque, en castellano llano: complementarias[R20]; observaciones GC-R20-BASE",detalle
R20,45,Qué mide la cifra,Al menos 40 locales en el tramo. El parque no aporta locales: se usó para verificar que el tramo no siguiera dentro de él.,"edición técnica · mismo bloque, en castellano llano: complementarias[R20]; observaciones GC-R20-BASE",detalle
R20,45,Qué no es,El parque no integra la zona.,"edición técnica · mismo bloque, en castellano llano: complementarias[R20]; observaciones GC-R20-BASE",detalle
