origen,termino_controlado,apariciones,resultado
SVG costanera_norte_institucional_v3_2.svg,sin oferta,0,APTO
SVG costanera_norte_institucional_v3_2.svg,sin reabrir,0,APTO
SVG costanera_norte_institucional_v3_2.svg,adoptada por el estudio,0,APTO
SVG costanera_norte_institucional_v3_2.svg,lecturas editoriales de apoyo,0,APTO
SVG costanera_norte_institucional_v3_2.svg,delimitación adoptada recientemente,0,APTO
SVG costanera_norte_institucional_v3_2.svg,DataGastro,0,APTO
SVG costanera_norte_institucional_v3_2.svg,EXPERIMENTAL,0,APTO
SVG costanera_norte_institucional_v3_2.svg,NO OFICIAL,0,APTO
SVG costanera_norte_institucional_v3_2.svg,BEL-A,0,APTO
SVG costanera_norte_institucional_v3_2.svg,REC-A,0,APTO
SVG costanera_norte_institucional_v3_2.svg,CN-DEC10,0,APTO
SVG costanera_norte_institucional_v3_2.svg,Places,0,APTO
SVG costanera_norte_institucional_v3_2.svg,preliminar,0,APTO
SVG costanera_norte_institucional_v3_2.svg,borrador,0,APTO
SVG costanera_norte_institucional_v3_2.svg,prueba,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,containers,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,"92,96",0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,revisión interna,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,anonymous,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,sin oferta,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,sin reabrir,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,adoptada por el estudio,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,lecturas editoriales de apoyo,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,delimitación adoptada recientemente,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,DataGastro,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,EXPERIMENTAL,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,NO OFICIAL,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,BEL-A,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,REC-A,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,CN-DEC10,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,Places,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,preliminar,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,borrador,0,APTO
SVG costanera_norte_media_pagina_v3_2.svg,prueba,0,APTO
SVG mapa_general_institucional_v3_2.svg,containers,0,APTO
SVG mapa_general_institucional_v3_2.svg,"92,96",0,APTO
SVG mapa_general_institucional_v3_2.svg,revisión interna,0,APTO
SVG mapa_general_institucional_v3_2.svg,anonymous,0,APTO
SVG mapa_general_institucional_v3_2.svg,sin oferta,0,APTO
SVG mapa_general_institucional_v3_2.svg,sin reabrir,0,APTO
SVG mapa_general_institucional_v3_2.svg,adoptada por el estudio,0,APTO
SVG mapa_general_institucional_v3_2.svg,lecturas editoriales de apoyo,0,APTO
SVG mapa_general_institucional_v3_2.svg,delimitación adoptada recientemente,0,APTO
SVG mapa_general_institucional_v3_2.svg,DataGastro,0,APTO
SVG mapa_general_institucional_v3_2.svg,EXPERIMENTAL,0,APTO
SVG mapa_general_institucional_v3_2.svg,NO OFICIAL,0,APTO
SVG mapa_general_institucional_v3_2.svg,BEL-A,0,APTO
SVG mapa_general_institucional_v3_2.svg,REC-A,0,APTO
SVG mapa_general_institucional_v3_2.svg,CN-DEC10,0,APTO
SVG mapa_general_institucional_v3_2.svg,Places,0,APTO
SVG mapa_general_institucional_v3_2.svg,preliminar,0,APTO
SVG mapa_general_institucional_v3_2.svg,borrador,0,APTO
SVG mapa_general_institucional_v3_2.svg,prueba,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,containers,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,"92,96",0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,revisión interna,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,anonymous,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,sin oferta,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,sin reabrir,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,adoptada por el estudio,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,lecturas editoriales de apoyo,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,delimitación adoptada recientemente,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,DataGastro,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,EXPERIMENTAL,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,NO OFICIAL,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,BEL-A,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,REC-A,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,CN-DEC10,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,Places,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,preliminar,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,borrador,0,APTO
DOC README_AJUSTES_FINALES_V2_1.md,prueba,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,containers,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,"92,96",0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,revisión interna,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,anonymous,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,sin oferta,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,sin reabrir,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,adoptada por el estudio,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,lecturas editoriales de apoyo,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,delimitación adoptada recientemente,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,DataGastro,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,EXPERIMENTAL,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,NO OFICIAL,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,BEL-A,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,REC-A,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,CN-DEC10,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,Places,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,preliminar,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,borrador,0,APTO
DOC AUDITORIA_COMPARATIVA_V2_V2_1.md,prueba,0,APTO
